squad,#_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Napredak Kruš,3,37,37,"3,330",37,,,,,,11,7,19,7,18,5,5,0,0,0.0,Serbian_SuperLiga,2023_2024
Novi Pazar,2,37,37,"3,330",37,,,,,,14,6,17,11,29,10,8,1,1,11.0,Serbian_SuperLiga,2023_2024
Partizan,3,37,37,"3,330",37,,,,,,24,6,7,12,32,9,8,1,0,11.0,Serbian_SuperLiga,2023_2024
Radnički Kragujevac,3,37,37,"3,330",37,,,,,,19,4,13,10,27,5,5,0,0,0.0,Serbian_SuperLiga,2023_2024
Radnički Niš,3,37,37,"3,330",37,,,,,,11,8,18,8,21,4,3,1,0,25.0,Serbian_SuperLiga,2023_2024
Radnik Surdulica,2,37,37,"3,330",37,,,,,,3,9,25,8,21,6,6,0,0,0.0,Serbian_SuperLiga,2023_2024
Red Star,3,37,37,"3,330",37,,,,,,30,3,3,16,43,2,2,0,0,0.0,Serbian_SuperLiga,2023_2024
Spartak Subotic,3,37,37,"3,330",37,,,,,,13,8,16,14,37,4,2,1,1,33.0,Serbian_SuperLiga,2023_2024
TSC Bačka Top,2,37,37,"3,330",37,,,,,,22,9,6,17,45,8,4,2,2,33.0,Serbian_SuperLiga,2023_2024
Vojvodina,2,37,37,"3,330",37,,,,,,17,10,10,12,32,4,4,0,0,0.0,Serbian_SuperLiga,2023_2024
Voždovac,2,37,37,"3,330",37,,,,,,9,11,17,6,16,7,7,0,0,0.0,Serbian_SuperLiga,2023_2024
Aalborg,1,32,32,"2,880",32,45.0,1.0,151.0,112.0,74.0,13,6,13,11,34,6,6,0,0,0.0,Danish_Superliga,2021_2022
AGF,2,32,32,"2,880",32,43.0,1.0,142.0,103.0,71.0,6,12,14,8,25,5,3,1,1,25.0,Danish_Superliga,2021_2022
Brøndby,2,32,32,"2,880",32,41.0,1.0,139.0,105.0,75.0,13,9,10,6,18,7,7,0,0,0.0,Danish_Superliga,2021_2022
FC Copenhagen,1,32,32,"2,880",32,19.0,0.0,90.0,75.0,82.0,20,8,4,18,56,4,3,1,0,25.0,Danish_Superliga,2021_2022
Midtjylland,3,32,32,"2,880",32,33.0,1.0,127.0,95.0,74.0,20,5,7,11,34,1,1,0,0,0.0,Danish_Superliga,2021_2022
Nordsjælland,4,32,32,"2,880",32,47.0,1.0,158.0,113.0,71.0,8,12,12,7,21,2,2,0,0,0.0,Danish_Superliga,2021_2022
Odense,2,32,32,"2,880",32,46.0,1.0,148.0,104.0,69.0,8,14,10,4,12,2,1,1,0,50.0,Danish_Superliga,2021_2022
Randers,1,32,32,"2,880",32,42.0,1.0,156.0,114.0,73.0,12,7,13,6,18,0,0,0,0,,Danish_Superliga,2021_2022
Silkeborg,2,32,32,"2,880",32,37.0,1.0,121.0,84.0,70.0,13,10,9,8,25,1,1,0,0,0.0,Danish_Superliga,2021_2022
SønderjyskE,2,32,32,"2,880",32,54.0,1.0,152.0,101.0,65.0,4,11,17,4,12,4,2,1,1,33.0,Danish_Superliga,2021_2022
Vejle BK,3,32,32,"2,880",32,60.0,1.0,169.0,113.0,66.0,7,8,17,7,21,5,4,0,1,0.0,Danish_Superliga,2021_2022
Viborg,2,32,32,"2,880",32,43.0,1.0,148.0,108.0,73.0,10,14,8,6,18,4,4,0,0,0.0,Danish_Superliga,2021_2022
Austria Wien,2,32,32,"2,880",32,52.0,1.0,144.0,98.0,68.0,11,10,11,5,15,6,6,0,0,0.0,Austrian_Bundesliga,2022_2023
Hartberg,3,32,32,"2,880",32,56.0,1.0,154.0,104.0,67.0,9,6,17,7,21,7,6,0,1,0.0,Austrian_Bundesliga,2022_2023
LASK,2,32,32,"2,880",32,38.0,1.0,137.0,101.0,73.0,14,12,6,5,15,3,2,0,1,0.0,Austrian_Bundesliga,2022_2023
Rapid Wien,2,32,32,"2,880",32,47.0,1.0,124.0,82.0,66.0,12,6,14,7,21,5,5,0,0,0.0,Austrian_Bundesliga,2022_2023
RB Salzburg,2,32,32,"2,880",32,22.0,0.0,91.0,71.0,78.0,23,8,1,16,50,3,2,0,1,0.0,Austrian_Bundesliga,2022_2023
Ried,2,32,32,"2,880",32,50.0,1.0,154.0,107.0,68.0,4,11,17,4,12,3,2,1,0,33.0,Austrian_Bundesliga,2022_2023
SC Austria Lustenau,2,32,32,"2,880",32,54.0,1.0,152.0,104.0,68.0,11,10,11,7,21,6,6,0,0,0.0,Austrian_Bundesliga,2022_2023
SCR Altach,3,32,32,"2,880",32,53.0,1.0,146.0,96.0,65.0,6,10,16,6,18,3,3,0,0,0.0,Austrian_Bundesliga,2022_2023
SK Austria Klagenfurt,2,32,32,"2,880",32,63.0,1.0,159.0,104.0,64.0,11,5,16,4,12,8,6,2,0,25.0,Austrian_Bundesliga,2022_2023
Sturm Graz,3,32,32,"2,880",32,29.0,0.0,88.0,62.0,69.0,20,6,6,11,34,3,2,1,0,33.0,Austrian_Bundesliga,2022_2023
Wolfsberger AC,2,32,32,"2,880",32,51.0,1.0,139.0,91.0,64.0,12,6,14,8,25,3,2,1,0,33.0,Austrian_Bundesliga,2022_2023
WSG Tirol,2,32,32,"2,880",32,53.0,1.0,148.0,100.0,67.0,10,8,14,5,15,5,5,0,0,0.0,Austrian_Bundesliga,2022_2023
Atalanta,3,38,38,"3,420",38,42.0,1.0,142.0,99.0,74.0,21,6,11,15,39,9,6,2,1,25.0,Serie_A,2023_2024
Bologna,3,38,38,"3,420",38,32.0,0.0,125.0,91.0,76.0,18,14,6,17,44,7,3,2,2,40.0,Serie_A,2023_2024
Cagliari,3,38,38,"3,420",38,68.0,1.0,157.0,92.0,59.0,8,12,18,5,13,5,4,0,1,0.0,Serie_A,2023_2024
Empoli,3,38,38,"3,420",38,54.0,1.0,185.0,130.0,74.0,9,9,20,9,23,8,6,2,0,25.0,Serie_A,2023_2024
Fiorentina,3,38,38,"3,420",38,46.0,1.0,148.0,101.0,74.0,17,9,12,8,21,9,8,1,0,11.0,Serie_A,2023_2024
Frosinone,2,38,38,"3,420",38,69.0,1.0,180.0,112.0,64.0,8,11,19,7,18,8,5,1,2,16.0,Serie_A,2023_2024
Genoa,3,38,38,"3,420",38,45.0,1.0,139.0,94.0,69.0,12,13,13,9,23,4,3,1,0,25.0,Serie_A,2023_2024
Hellas Verona,2,38,38,"3,420",38,51.0,1.0,163.0,113.0,69.0,9,11,18,8,21,2,2,0,0,0.0,Serie_A,2023_2024
Inter,3,38,38,"3,420",38,22.0,0.0,113.0,90.0,82.0,29,7,2,21,55,4,2,1,1,33.0,Serie_A,2023_2024
Juventus,3,38,38,"3,420",38,31.0,0.0,116.0,86.0,75.0,19,14,5,17,44,3,2,1,0,33.0,Serie_A,2023_2024
Lazio,2,38,38,"3,420",38,39.0,1.0,148.0,109.0,75.0,18,7,13,13,34,3,2,0,1,0.0,Serie_A,2023_2024
Lecce,1,38,38,"3,420",38,54.0,1.0,173.0,119.0,71.0,8,14,16,7,18,6,5,1,0,16.0,Serie_A,2023_2024
Milan,4,38,38,"3,419",38,49.0,1.0,163.0,115.0,74.0,22,9,7,13,34,8,8,0,0,0.0,Serie_A,2023_2024
Monza,2,38,38,"3,420",38,51.0,1.0,191.0,138.0,77.0,11,12,15,12,31,9,7,2,0,22.0,Serie_A,2023_2024
Napoli,3,38,38,"3,420",38,48.0,1.0,128.0,78.0,64.0,13,14,11,7,18,4,2,2,0,50.0,Serie_A,2023_2024
Roma,2,38,38,"3,420",38,46.0,1.0,151.0,107.0,71.0,18,9,11,11,28,5,3,1,1,25.0,Serie_A,2023_2024
Salernitana,3,38,38,"3,420",38,81.0,2.0,207.0,128.0,65.0,2,11,25,2,5,10,10,0,0,0.0,Serie_A,2023_2024
Sassuolo,2,38,38,"3,420",38,75.0,1.0,173.0,101.0,61.0,7,9,22,3,7,11,8,1,2,11.0,Serie_A,2023_2024
Torino,2,38,38,"3,420",38,36.0,0.0,143.0,107.0,79.0,13,14,11,18,47,7,7,0,0,0.0,Serie_A,2023_2024
Udinese,2,38,38,"3,420",38,53.0,1.0,157.0,105.0,72.0,6,19,13,9,23,9,9,0,0,0.0,Serie_A,2023_2024
Austria Wien,2,32,32,"2,880",32,34.0,1.0,103.0,77.0,71.0,12,10,10,13,40,8,5,3,0,37.0,Austrian_Bundesliga,2023_2024
Blau-Weiß Linz,2,32,32,"2,880",32,48.0,1.0,138.0,95.0,68.0,7,11,14,9,28,6,5,1,0,16.0,Austrian_Bundesliga,2023_2024
Hartberg,1,32,32,"2,880",32,51.0,1.0,135.0,90.0,65.0,12,9,11,10,31,6,5,1,0,16.0,Austrian_Bundesliga,2023_2024
LASK,1,32,32,"2,880",32,33.0,1.0,107.0,77.0,72.0,14,10,8,14,43,4,3,1,0,25.0,Austrian_Bundesliga,2023_2024
Rapid Wien,1,32,32,"2,880",32,35.0,1.0,104.0,70.0,68.0,11,12,9,12,37,2,2,0,0,0.0,Austrian_Bundesliga,2023_2024
RB Salzburg,3,32,32,"2,880",32,29.0,0.0,85.0,62.0,71.0,20,7,5,14,43,6,5,1,0,16.0,Austrian_Bundesliga,2023_2024
SC Austria Lustenau,2,32,32,"2,880",32,56.0,1.0,158.0,111.0,68.0,4,9,19,7,21,9,6,3,0,33.0,Austrian_Bundesliga,2023_2024
SCR Altach,3,32,32,"2,880",32,40.0,1.0,119.0,81.0,68.0,6,13,13,10,31,3,3,0,0,0.0,Austrian_Bundesliga,2023_2024
SK Austria Klagenfurt,2,32,32,"2,880",32,49.0,1.0,144.0,96.0,66.0,9,12,11,8,25,1,1,0,0,0.0,Austrian_Bundesliga,2023_2024
Sturm Graz,3,32,32,"2,880",32,23.0,0.0,97.0,77.0,78.0,19,10,3,14,43,3,2,1,0,33.0,Austrian_Bundesliga,2023_2024
Wolfsberger AC,2,32,32,"2,880",32,38.0,1.0,135.0,100.0,73.0,12,10,10,9,28,3,2,1,0,33.0,Austrian_Bundesliga,2023_2024
WSG Tirol,3,32,32,"2,878",32,55.0,1.0,142.0,91.0,63.0,7,5,20,4,12,4,3,1,0,25.0,Austrian_Bundesliga,2023_2024
Ajax,3,34,34,"3,060",34,61.0,1.0,164.0,104.0,64.0,15,11,8,5,14,3,2,0,1,0.0,Eredivisie,2023_2024
Almere City,2,34,34,"3,060",34,59.0,1.0,188.0,129.0,70.0,7,13,14,10,29,4,3,1,0,25.0,Eredivisie,2023_2024
AZ Alkmaar,3,34,34,"3,060",34,39.0,1.0,134.0,96.0,73.0,19,8,7,13,38,4,4,0,0,0.0,Eredivisie,2023_2024
Excelsior,1,34,34,"3,060",34,73.0,2.0,204.0,132.0,65.0,6,11,17,6,17,2,2,0,0,0.0,Eredivisie,2023_2024
Feyenoord,2,34,34,"3,060",34,26.0,0.0,85.0,59.0,70.0,26,6,2,17,50,1,1,0,0,0.0,Eredivisie,2023_2024
Fortuna Sittard,4,34,34,"3,060",34,56.0,1.0,151.0,97.0,64.0,9,11,14,9,26,2,2,0,0,0.0,Eredivisie,2023_2024
Go Ahead Eag,1,34,34,"3,060",34,46.0,1.0,180.0,135.0,75.0,12,10,12,11,32,2,2,0,0,0.0,Eredivisie,2023_2024
Heerenveen,2,34,34,"3,060",34,70.0,2.0,164.0,96.0,59.0,10,7,17,7,20,4,4,0,0,0.0,Eredivisie,2023_2024
Heracles Almelo,1,34,34,"3,060",34,74.0,2.0,226.0,153.0,69.0,9,6,19,4,11,5,5,0,0,0.0,Eredivisie,2023_2024
NEC Nijmegen,2,34,34,"3,060",34,51.0,1.0,163.0,111.0,71.0,14,11,9,7,20,6,5,1,0,16.0,Eredivisie,2023_2024
PSV Eindhoven,3,34,34,"3,060",34,21.0,0.0,78.0,59.0,76.0,29,4,1,18,52,3,3,0,0,0.0,Eredivisie,2023_2024
RKC Waalwijk,3,34,34,"3,056",34,56.0,1.0,204.0,149.0,75.0,7,8,19,5,14,7,5,1,1,16.0,Eredivisie,2023_2024
Sparta R'dam,1,34,34,"3,060",34,48.0,1.0,161.0,113.0,72.0,14,7,13,8,23,5,3,1,1,25.0,Eredivisie,2023_2024
Twente,2,34,34,"3,060",34,36.0,1.0,129.0,94.0,76.0,21,6,7,10,29,6,5,1,0,16.0,Eredivisie,2023_2024
Utrecht,2,34,34,"3,060",34,47.0,1.0,162.0,115.0,74.0,13,11,10,8,23,6,5,1,0,16.0,Eredivisie,2023_2024
Vitesse,1,34,34,"3,060",34,74.0,2.0,225.0,150.0,69.0,6,6,22,3,8,7,5,2,0,28.0,Eredivisie,2023_2024
Volendam,3,34,34,"3,060",34,88.0,2.0,273.0,185.0,68.0,4,7,23,2,5,1,1,0,0,0.0,Eredivisie,2023_2024
Zwolle,2,34,34,"3,060",34,67.0,1.0,196.0,131.0,69.0,9,9,16,5,14,10,8,2,0,20.0,Eredivisie,2023_2024
Arouca,4,34,34,"3,056",34,54.0,1.0,146.0,92.0,65.0,7,10,17,5,14,6,4,2,0,33.0,Primeira_Liga,2021_2022
B-SAD,2,34,34,"3,060",34,55.0,1.0,166.0,110.0,69.0,5,11,18,8,23,7,5,2,0,28.0,Primeira_Liga,2021_2022
Benfica,2,34,34,"3,060",34,30.0,0.0,109.0,79.0,73.0,23,5,6,12,35,2,1,1,0,50.0,Primeira_Liga,2021_2022
Boavista,2,34,34,"3,060",34,52.0,1.0,138.0,86.0,66.0,7,17,10,6,17,7,6,1,0,14.0,Primeira_Liga,2021_2022
Braga,3,34,34,"3,060",34,31.0,0.0,118.0,88.0,75.0,19,8,7,16,47,2,2,0,0,0.0,Primeira_Liga,2021_2022
Estoril,2,34,34,"3,060",34,43.0,1.0,144.0,102.0,72.0,9,12,13,11,32,5,3,1,1,25.0,Primeira_Liga,2021_2022
Famalicão,3,34,34,"3,060",34,51.0,1.0,141.0,90.0,68.0,9,12,13,9,26,8,6,2,0,25.0,Primeira_Liga,2021_2022
Gil Vicente FC,4,34,34,"3,060",34,42.0,1.0,145.0,104.0,76.0,13,12,9,11,32,9,8,1,0,11.0,Primeira_Liga,2021_2022
Marítimo,2,34,34,"3,059",34,44.0,1.0,156.0,110.0,76.0,9,11,14,9,26,10,7,2,1,22.0,Primeira_Liga,2021_2022
Moreirense,2,34,34,"3,060",34,51.0,1.0,141.0,90.0,67.0,7,8,19,4,11,5,5,0,0,0.0,Primeira_Liga,2021_2022
Paços,3,34,34,"3,057",34,44.0,1.0,173.0,127.0,76.0,9,11,14,10,29,5,4,1,0,20.0,Primeira_Liga,2021_2022
Portimonense,3,34,34,"3,060",34,45.0,1.0,159.0,116.0,73.0,10,8,16,10,29,2,2,0,0,0.0,Primeira_Liga,2021_2022
Porto,4,34,34,"3,060",34,22.0,0.0,71.0,48.0,71.0,29,4,1,16,47,3,2,1,0,33.0,Primeira_Liga,2021_2022
Santa Clara,3,34,34,"3,060",34,54.0,1.0,143.0,89.0,67.0,9,13,12,8,23,8,8,0,0,0.0,Primeira_Liga,2021_2022
Sporting CP,3,34,34,"3,060",34,23.0,0.0,82.0,60.0,73.0,27,4,3,18,52,2,1,1,0,50.0,Primeira_Liga,2021_2022
Tondela,2,34,34,"3,060",34,67.0,1.0,188.0,122.0,68.0,7,7,20,2,5,8,8,0,0,0.0,Primeira_Liga,2021_2022
Vitória,2,34,34,"3,060",34,41.0,1.0,144.0,102.0,75.0,13,9,12,8,23,7,5,1,1,16.0,Primeira_Liga,2021_2022
Vizela,3,34,34,"2,970",34,58.0,1.0,154.0,98.0,68.0,7,12,15,2,5,11,9,0,2,0.0,Primeira_Liga,2021_2022
Ajax,2,34,34,"3,060",34,38.0,1.0,114.0,76.0,67.0,20,9,5,11,32,1,1,0,0,0.0,Eredivisie,2022_2023
AZ Alkmaar,2,34,34,"3,060",34,35.0,1.0,96.0,60.0,67.0,20,7,7,12,35,5,4,1,0,20.0,Eredivisie,2022_2023
Cambuur,3,34,34,"3,060",34,69.0,2.0,207.0,141.0,69.0,5,4,25,7,20,7,6,0,1,0.0,Eredivisie,2022_2023
Emmen,2,34,34,"3,060",34,65.0,1.0,164.0,100.0,61.0,6,10,18,7,20,2,2,0,0,0.0,Eredivisie,2022_2023
Excelsior,2,34,34,"3,060",34,71.0,2.0,241.0,172.0,71.0,9,5,20,8,23,1,1,0,0,0.0,Eredivisie,2022_2023
Feyenoord,2,34,34,"3,060",34,30.0,0.0,103.0,74.0,70.0,25,7,2,13,38,1,0,1,0,100.0,Eredivisie,2022_2023
Fortuna Sittard,2,34,34,"3,060",34,62.0,1.0,184.0,124.0,67.0,10,6,18,7,20,3,3,0,0,0.0,Eredivisie,2022_2023
Go Ahead Eag,1,34,34,"3,060",34,56.0,1.0,172.0,118.0,68.0,10,10,14,8,23,2,2,0,0,0.0,Eredivisie,2022_2023
Groningen,3,34,34,"3,059",34,75.0,2.0,192.0,117.0,64.0,4,6,24,4,11,7,7,0,0,0.0,Eredivisie,2022_2023
Heerenveen,3,34,34,"3,060",34,50.0,1.0,144.0,94.0,68.0,12,10,12,10,29,5,4,1,0,20.0,Eredivisie,2022_2023
NEC Nijmegen,2,34,34,"3,060",34,45.0,1.0,183.0,139.0,77.0,8,15,11,9,26,4,4,0,0,0.0,Eredivisie,2022_2023
PSV Eindhoven,2,34,34,"3,060",34,40.0,1.0,121.0,83.0,68.0,23,6,5,11,32,2,2,0,0,0.0,Eredivisie,2022_2023
RKC Waalwijk,2,34,34,"3,060",34,64.0,1.0,208.0,143.0,71.0,11,8,15,6,17,8,5,2,1,28.0,Eredivisie,2022_2023
Sparta R'dam,2,34,34,"3,060",34,37.0,1.0,158.0,121.0,77.0,17,8,9,14,41,3,2,1,0,33.0,Eredivisie,2022_2023
Twente,2,34,34,"3,060",34,27.0,0.0,124.0,97.0,79.0,18,10,6,17,50,2,1,1,0,50.0,Eredivisie,2022_2023
Utrecht,2,34,34,"3,060",34,50.0,1.0,160.0,110.0,69.0,15,9,10,12,35,1,1,0,0,0.0,Eredivisie,2022_2023
Vitesse,3,34,34,"3,060",34,50.0,1.0,135.0,85.0,63.0,10,10,14,9,26,2,1,1,0,50.0,Eredivisie,2022_2023
Volendam,2,34,34,"3,060",34,71.0,2.0,204.0,135.0,66.0,10,6,18,5,14,4,2,2,0,50.0,Eredivisie,2022_2023
Adana Demirspor,4,38,38,"3,415",38,61.0,1.0,185.0,131.0,71.0,10,14,14,10,26,10,8,0,2,0.0,Super_Lig,2023_2024
Alanyaspor,2,38,38,"3,420",38,50.0,1.0,155.0,107.0,69.0,12,16,10,9,23,3,3,0,0,0.0,Super_Lig,2023_2024
Ankaragücü,3,38,38,"3,415",38,52.0,1.0,158.0,110.0,69.0,8,16,14,7,18,4,4,0,0,0.0,Super_Lig,2023_2024
Antalyaspor,2,38,38,"3,420",38,49.0,1.0,166.0,121.0,72.0,12,13,13,8,21,5,4,0,1,0.0,Super_Lig,2023_2024
Başakşehir,3,38,38,"3,420",38,43.0,1.0,138.0,99.0,71.0,18,7,13,13,34,6,4,2,0,33.0,Super_Lig,2023_2024
Beşiktaş,2,38,38,"3,418",38,47.0,1.0,142.0,100.0,69.0,16,8,14,14,36,5,4,1,0,20.0,Super_Lig,2023_2024
Fatih Karagümrük,3,38,38,"3,420",38,52.0,1.0,152.0,107.0,70.0,10,10,18,8,21,9,7,1,1,12.0,Super_Lig,2023_2024
Fenerbahçe,4,38,38,"3,420",38,31.0,0.0,97.0,70.0,73.0,31,6,1,17,44,5,5,0,0,0.0,Super_Lig,2023_2024
Galatasaray,2,38,38,"3,420",38,26.0,0.0,115.0,92.0,79.0,33,3,2,18,47,3,2,1,0,33.0,Super_Lig,2023_2024
Gaziantep FK,2,38,38,"3,420",38,57.0,1.0,168.0,118.0,69.0,12,8,18,9,23,10,6,2,2,25.0,Super_Lig,2023_2024
Hatayspor,2,38,38,"3,420",38,52.0,1.0,158.0,112.0,69.0,9,14,15,9,23,7,4,2,1,33.0,Super_Lig,2023_2024
İstanbulspor,3,38,38,"3,420",38,79.0,2.0,204.0,137.0,65.0,4,7,26,3,7,12,9,3,0,25.0,Super_Lig,2023_2024
Kasımpaşa,2,38,38,"3,420",38,65.0,1.0,166.0,108.0,63.0,16,8,14,8,21,8,5,2,1,28.0,Super_Lig,2023_2024
Kayserispor,3,38,38,"3,420",38,57.0,1.0,190.0,140.0,73.0,11,12,15,8,21,8,7,1,0,12.0,Super_Lig,2023_2024
Konyaspor,3,38,38,"3,420",38,53.0,1.0,122.0,79.0,63.0,9,14,15,12,31,10,9,1,0,10.0,Super_Lig,2023_2024
Pendikspor,2,38,38,"3,420",38,73.0,1.0,170.0,102.0,59.0,9,10,19,5,13,5,4,1,0,20.0,Super_Lig,2023_2024
Rizespor,2,38,38,"3,420",38,58.0,1.0,184.0,137.0,72.0,14,8,16,13,34,11,8,3,0,27.0,Super_Lig,2023_2024
Samsunspor,2,38,38,"3,420",38,52.0,1.0,142.0,92.0,64.0,11,10,17,7,18,3,2,1,0,33.0,Super_Lig,2023_2024
Sivasspor,2,38,38,"3,420",38,54.0,1.0,186.0,134.0,72.0,14,12,12,10,26,3,3,0,0,0.0,Super_Lig,2023_2024
Trabzonspor,2,38,38,"3,420",38,51.0,1.0,151.0,106.0,70.0,20,4,13,10,26,6,6,0,0,0.0,Super_Lig,2023_2024
Atalanta,3,38,38,"3,419",38,48.0,1.0,139.0,94.0,69.0,16,11,11,10,26,6,5,0,1,0.0,Serie_A,2021_2022
Bologna,3,38,38,"3,420",38,55.0,1.0,184.0,130.0,74.0,12,10,16,13,34,9,8,1,0,11.0,Serie_A,2021_2022
Cagliari,2,38,38,"3,420",38,68.0,1.0,185.0,115.0,67.0,6,12,20,3,7,10,7,3,0,30.0,Serie_A,2021_2022
Empoli,1,38,38,"3,420",38,70.0,1.0,216.0,150.0,69.0,10,11,17,7,18,10,5,2,3,28.0,Serie_A,2021_2022
Fiorentina,2,38,38,"3,418",38,51.0,1.0,126.0,75.0,61.0,19,5,14,11,28,5,3,2,0,40.0,Serie_A,2021_2022
Genoa,2,38,38,"3,420",38,60.0,1.0,184.0,125.0,69.0,4,16,18,10,26,5,4,1,0,20.0,Serie_A,2021_2022
Hellas Verona,3,38,38,"3,420",38,59.0,1.0,159.0,101.0,64.0,14,11,13,4,10,4,3,1,0,25.0,Serie_A,2021_2022
Inter,2,38,38,"3,420",38,32.0,0.0,127.0,96.0,78.0,25,9,4,15,39,4,4,0,0,0.0,Serie_A,2021_2022
Juventus,3,38,38,"3,420",38,37.0,0.0,123.0,84.0,73.0,20,10,8,13,34,7,4,3,0,42.0,Serie_A,2021_2022
Lazio,2,38,38,"3,420",38,58.0,1.0,146.0,89.0,63.0,18,10,10,9,23,6,5,0,1,0.0,Serie_A,2021_2022
Milan,2,38,38,"3,420",38,31.0,0.0,125.0,95.0,78.0,26,8,4,18,47,5,4,1,0,20.0,Serie_A,2021_2022
Napoli,3,38,38,"3,420",38,31.0,0.0,136.0,106.0,77.0,24,7,7,16,42,1,1,0,0,0.0,Serie_A,2021_2022
Roma,1,38,38,"3,420",38,43.0,1.0,146.0,104.0,74.0,18,9,11,15,39,6,5,1,0,16.0,Serie_A,2021_2022
Salernitana,3,38,38,"3,420",38,78.0,2.0,221.0,144.0,67.0,7,10,21,2,5,8,6,1,1,14.0,Serie_A,2021_2022
Sampdoria,3,38,38,"3,420",38,63.0,1.0,185.0,123.0,67.0,10,6,22,7,18,4,3,1,0,25.0,Serie_A,2021_2022
Sassuolo,3,38,38,"3,420",38,66.0,1.0,177.0,111.0,67.0,13,11,14,3,7,9,8,1,0,11.0,Serie_A,2021_2022
Spezia,3,38,38,"3,420",38,71.0,1.0,208.0,139.0,70.0,10,6,22,7,18,13,10,1,2,9.0,Serie_A,2021_2022
Torino,3,38,38,"3,420",38,41.0,1.0,124.0,81.0,74.0,13,11,14,9,23,11,9,2,0,18.0,Serie_A,2021_2022
Udinese,2,38,38,"3,420",38,58.0,1.0,162.0,105.0,67.0,11,14,13,8,21,7,5,0,2,0.0,Serie_A,2021_2022
Venezia,3,38,38,"3,420",38,69.0,1.0,228.0,161.0,74.0,6,9,23,4,10,12,11,0,1,0.0,Serie_A,2021_2022
Arsenal,1,38,38,"3,420",38,43.0,1.0,136.0,94.0,70.0,26,6,6,14,36,5,3,0,2,0.0,Premier_League,2022_2023
Aston Villa,2,38,38,"3,420",38,46.0,1.0,151.0,108.0,72.0,18,7,13,12,31,6,5,1,0,16.0,Premier_League,2022_2023
Bournemouth,2,38,38,"3,420",38,71.0,1.0,204.0,136.0,68.0,11,6,21,8,21,7,6,0,1,0.0,Premier_League,2022_2023
Brentford,1,38,38,"3,420",38,46.0,1.0,197.0,154.0,77.0,15,14,9,12,31,2,2,0,0,0.0,Premier_League,2022_2023
Brighton,2,38,38,"3,420",38,53.0,1.0,131.0,82.0,64.0,18,8,12,12,31,8,6,2,0,25.0,Premier_League,2022_2023
Chelsea,2,38,38,"3,420",38,47.0,1.0,159.0,115.0,71.0,11,11,16,10,26,1,1,0,0,0.0,Premier_League,2022_2023
Crystal Palace,3,38,38,"3,420",38,49.0,1.0,160.0,114.0,71.0,11,12,15,9,23,4,4,0,0,0.0,Premier_League,2022_2023
Everton,2,38,38,"3,420",38,57.0,1.0,185.0,127.0,71.0,8,12,18,9,23,6,5,1,0,16.0,Premier_League,2022_2023
Fulham,2,38,38,"3,420",38,53.0,1.0,196.0,144.0,76.0,15,7,16,9,23,8,7,1,0,12.0,Premier_League,2022_2023
Leeds United,2,38,38,"3,420",38,78.0,2.0,185.0,108.0,60.0,7,10,21,5,13,6,5,0,1,0.0,Premier_League,2022_2023
Leicester City,2,38,38,"3,420",38,68.0,1.0,178.0,113.0,64.0,9,7,22,7,18,5,4,1,0,20.0,Premier_League,2022_2023
Liverpool,2,38,38,"3,420",38,47.0,1.0,157.0,111.0,71.0,19,10,9,14,36,4,2,1,1,33.0,Premier_League,2022_2023
Manchester City,2,38,38,"3,420",38,33.0,0.0,92.0,60.0,67.0,28,5,5,13,34,3,3,0,0,0.0,Premier_League,2022_2023
Manchester Utd,1,38,38,"3,420",38,43.0,1.0,142.0,99.0,71.0,23,6,9,17,44,3,2,1,0,33.0,Premier_League,2022_2023
Newcastle Utd,2,38,38,"3,418",38,33.0,0.0,127.0,94.0,75.0,19,14,5,14,36,5,2,2,1,50.0,Premier_League,2022_2023
Nott'ham Forest,3,38,38,"3,420",38,68.0,1.0,182.0,112.0,65.0,9,11,18,8,21,9,6,2,1,25.0,Premier_League,2022_2023
Southampton,2,38,38,"3,420",38,73.0,1.0,150.0,81.0,52.0,6,7,25,4,10,3,2,1,0,33.0,Premier_League,2022_2023
Tottenham,2,38,38,"3,420",38,63.0,1.0,172.0,109.0,65.0,18,6,14,10,26,4,3,1,0,25.0,Premier_League,2022_2023
West Ham,2,38,38,"3,420",38,55.0,1.0,170.0,115.0,70.0,11,7,20,9,23,6,4,1,1,20.0,Premier_League,2022_2023
Wolves,2,38,38,"3,420",38,58.0,1.0,174.0,115.0,67.0,11,8,19,11,28,4,2,2,0,50.0,Premier_League,2022_2023
Aalborg,3,32,32,"2,880",32,43.0,1.0,143.0,103.0,72.0,6,9,17,9,28,4,3,0,1,0.0,Danish_Superliga,2022_2023
AGF,1,32,32,"2,880",32,30.0,0.0,112.0,87.0,76.0,14,9,9,11,34,5,4,1,0,20.0,Danish_Superliga,2022_2023
Brøndby,2,32,32,"2,880",32,52.0,1.0,156.0,108.0,67.0,12,8,12,7,21,4,2,2,0,50.0,Danish_Superliga,2022_2023
FC Copenhagen,3,32,32,"2,880",32,35.0,1.0,113.0,81.0,71.0,18,5,9,10,31,5,3,1,1,25.0,Danish_Superliga,2022_2023
