squad,#_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Barcelona,2,38,38,"3,420",38,44.0,1.0,141.0,97.0,70.0,26,7,5,17,44,2,2,0,0,0.0,La_Liga,2023_2024
Betis,3,38,38,"3,420",38,45.0,1.0,158.0,115.0,75.0,14,15,9,13,34,8,7,1,0,12.0,La_Liga,2023_2024
Cádiz,2,38,38,"3,420",38,55.0,1.0,175.0,121.0,69.0,6,15,17,10,26,2,2,0,0,0.0,La_Liga,2023_2024
Celta Vigo,2,38,38,"3,417",38,57.0,1.0,164.0,109.0,68.0,10,11,17,6,15,8,6,1,1,14.0,La_Liga,2023_2024
Getafe,2,38,38,"3,420",38,54.0,1.0,173.0,118.0,71.0,10,13,15,10,26,7,5,1,1,16.0,La_Liga,2023_2024
Girona,1,38,38,"3,420",38,46.0,1.0,168.0,121.0,75.0,25,6,7,12,31,7,5,1,1,16.0,La_Liga,2023_2024
Granada,4,38,38,"3,420",38,79.0,2.0,203.0,126.0,63.0,4,9,25,3,7,6,5,0,1,0.0,La_Liga,2023_2024
Las Palmas,2,38,38,"3,416",38,47.0,1.0,156.0,109.0,73.0,10,10,18,8,21,9,5,3,1,37.0,La_Liga,2023_2024
Mallorca,3,38,38,"3,420",38,44.0,1.0,148.0,104.0,73.0,8,16,14,10,26,5,4,1,0,20.0,La_Liga,2023_2024
Osasuna,2,38,38,"3,420",38,56.0,1.0,152.0,95.0,63.0,12,9,17,10,26,2,1,1,0,50.0,La_Liga,2023_2024
Rayo Vallecano,2,38,38,"3,420",38,48.0,1.0,151.0,104.0,68.0,8,14,16,13,34,2,1,1,0,50.0,La_Liga,2023_2024
Real Madrid,3,38,38,"3,420",38,26.0,0.0,118.0,93.0,78.0,29,8,1,21,55,1,1,0,0,0.0,La_Liga,2023_2024
Real Sociedad,2,38,38,"3,417",38,39.0,1.0,135.0,96.0,75.0,16,12,10,15,39,7,6,1,0,14.0,La_Liga,2023_2024
Sevilla,3,38,38,"3,420",38,54.0,1.0,175.0,123.0,72.0,10,11,17,8,21,5,5,0,0,0.0,La_Liga,2023_2024
Valencia,3,38,38,"3,420",38,45.0,1.0,160.0,114.0,73.0,13,10,15,13,34,6,3,3,0,50.0,La_Liga,2023_2024
Villarreal,2,38,38,"3,420",38,65.0,1.0,214.0,150.0,72.0,14,11,13,6,15,6,6,0,0,0.0,La_Liga,2023_2024
AEK Athens,3,36,36,"3,240",36,,,,,,16,8,12,12,33,5,4,0,1,0.0,Super_League_Greece,2021_2022
Apollon Smyrnis,3,33,33,"2,970",33,,,,,,4,10,19,9,27,11,9,1,1,10.0,Super_League_Greece,2021_2022
Aris,3,36,36,"3,240",36,,,,,,18,8,10,18,50,5,4,1,0,20.0,Super_League_Greece,2021_2022
Asteras Tripoli,2,33,33,"2,970",33,,,,,,11,8,14,14,42,5,5,0,0,0.0,Super_League_Greece,2021_2022
Atromitos,3,33,33,"2,970",33,,,,,,8,9,16,7,21,8,7,0,1,0.0,Super_League_Greece,2021_2022
Ionikos,3,33,33,"2,970",33,,,,,,12,9,12,8,24,11,9,1,1,10.0,Super_League_Greece,2021_2022
OFI Crete,4,33,33,"2,970",33,,,,,,11,11,11,10,30,5,2,2,1,50.0,Super_League_Greece,2021_2022
Olympiacos,4,36,36,"3,240",36,,,,,,25,8,3,15,41,2,1,1,0,50.0,Super_League_Greece,2021_2022
Panathinaikos,2,36,36,"3,240",36,,,,,,18,7,11,19,52,4,4,0,0,0.0,Super_League_Greece,2021_2022
Panetolikos,3,33,33,"2,970",33,,,,,,10,7,16,9,27,15,9,6,0,40.0,Super_League_Greece,2021_2022
PAOK,2,36,36,"3,240",36,,,,,,19,7,10,13,36,2,2,0,0,0.0,Super_League_Greece,2021_2022
PAS Giannina,2,36,36,"3,240",36,,,,,,12,10,14,15,41,4,3,1,0,25.0,Super_League_Greece,2021_2022
PAS Lamia,2,33,33,"2,970",33,,,,,,6,8,19,7,21,4,3,1,0,25.0,Super_League_Greece,2021_2022
Volos NFC,3,33,33,"2,970",33,,,,,,10,10,13,8,24,9,6,2,1,25.0,Super_League_Greece,2021_2022
Cracovia,2,34,34,"3,060",34,0.0,0.0,,,,12,10,12,12,35,8,7,1,0,12.0,Ekstraklasa,2022_2023
Górnik Zabrze,2,34,34,"3,054",34,0.0,0.0,,,,13,9,12,11,32,4,2,2,0,50.0,Ekstraklasa,2022_2023
Jagiellonia,2,34,34,"3,060",34,0.0,0.0,,,,9,14,11,5,14,5,3,1,1,25.0,Ekstraklasa,2022_2023
