squad,country,season,uefa_rating,confederation,overall_uefa_rating,uefa_season_ranking,overall_uefa_club_rank
Juventus,Italy,2022_2023,17,UEFA,37,23,33
Milan,Italy,2022_2023,24,UEFA,47,8,19
Club Brugge,Belgium,2022_2023,17,UEFA,45,23,23
Napoli,Italy,2022_2023,25,UEFA,51,6,15
Feyenoord,Netherlands,2022_2023,17,UEFA,49,23,18
Sevilla,Spain,2022_2023,21,UEFA,39,10,30
Ajax,Netherlands,2022_2023,8,UEFA,35,42,35
Eint Frankfurt,Germany,2022_2023,16,UEFA,51,27,15
Real Sociedad,Spain,2022_2023,16,UEFA,43,27,26
PSV Eindhoven,Netherlands,2022_2023,11,UEFA,38,36,32
Lazio,Italy,2022_2023,6,UEFA,33,50,37
Sporting CP,Portugal,2022_2023,14,UEFA,42,31,27
Marseille,France,2022_2023,8,UEFA,42,42,27
Lille,France,2022_2023,-1,UEFA,34,-1,36
RB Salzburg,Austria,2022_2023,9,UEFA,33,40,37
AZ Alkmaar,Netherlands,2022_2023,19,UEFA,36,13,34
Fiorentina,Italy,2022_2023,20,UEFA,42,12,27
Braga,Portugal,2022_2023,7,UEFA,30,48,41
Tottenham,England,2022_2023,18,UEFA,23,19,47
Olympiacos,Greece,2022_2023,3,UEFA,28,56,43
FC Copenhagen,France,2022_2023,11,UEFA,72,36,4
FC Copenhagen,Denmark,2022_2023,7,UEFA,72,48,4
Red Star,Serbia,2022_2023,4,UEFA,24,54,46
Gent,Belgium,2022_2023,11,UEFA,32,36,40
PAOK,Greece,2022_2023,1,UEFA,29,72,42
Betis,Spain,2022_2023,16,UEFA,33,27,37
Union SG,Belgium,2022_2023,19,UEFA,25,13,45
Freiburg,Germany,2022_2023,15,UEFA,28,30,43
LASK,Austria,2022_2023,-1,UEFA,18,-1,50
Midtjylland,Denmark,2022_2023,8,UEFA,17,42,51
Aston Villa,England,2022_2023,-1,UEFA,17,-1,53
Lyon,France,2022_2023,-1,UEFA,21,-1,49
Union Berlin,Germany,2022_2023,12,UEFA,23,34,47
Leicester City,England,2022_2023,-1,UEFA,13,-1,58
Ludogorets,Bulgaria,2022_2023,5,UEFA,17,53,53
FK IMT Novi Beograd,Serbia,2022_2023,8,UEFA,17,42,51
