squad,#_of_players,90s_played,goals,shots_total,shots_on_target,shots_on_target_%,shots_total/90,shots_on_target/90,goals/shot,goals/shot_on_target,average_shot_distance,penalty_kicks_made,penalty_kicks_attempted,league,season,shots_from_free_kicks,xg:_expected_goals,npxg:_non-penalty_xg,npxg/shot,goals_-_xg,non-penalty_goals_-_npxg
Hellas Verona,36,38,38,435.0,146.0,33.0,11.0,3.0,0.0,0.0,18.0,3,7,Serie_A,2023_2024,13.0,38.0,32.0,0.0,0.0,2.0
Inter,27,38,87,580.0,196.0,33.0,15.0,5.0,0.0,0.0,16.0,13,14,Serie_A,2023_2024,19.0,78.0,67.0,0.0,8.0,6.0
Juventus,31,38,52,531.0,146.0,27.0,13.0,3.0,0.0,0.0,16.0,3,5,Serie_A,2023_2024,19.0,54.0,50.0,0.0,-2.0,-1.0
Lazio,22,38,46,436.0,135.0,31.0,11.0,3.0,0.0,0.0,18.0,4,4,Serie_A,2023_2024,15.0,46.0,43.0,0.0,0.0,-1.0
Lecce,26,38,30,503.0,147.0,29.0,13.0,3.0,0.0,0.0,18.0,3,5,Serie_A,2023_2024,11.0,43.0,39.0,0.0,-13.0,-12.0
Milan,35,38,76,554.0,202.0,36.0,14.0,5.0,0.0,0.0,16.0,6,8,Serie_A,2023_2024,9.0,66.0,60.0,0.0,9.0,10.0
Monza,31,38,38,451.0,123.0,27.0,11.0,3.0,0.0,0.0,17.0,4,5,Serie_A,2023_2024,15.0,39.0,35.0,0.0,-1.0,-1.0
Napoli,29,38,54,638.0,196.0,30.0,16.0,5.0,0.0,0.0,17.0,6,10,Serie_A,2023_2024,18.0,61.0,53.0,0.0,-7.0,-5.0
Roma,30,38,64,464.0,142.0,30.0,12.0,3.0,0.0,0.0,17.0,11,12,Serie_A,2023_2024,16.0,51.0,42.0,0.0,12.0,10.0
Salernitana,39,38,32,398.0,118.0,29.0,10.0,3.0,0.0,0.0,19.0,2,2,Serie_A,2023_2024,11.0,30.0,28.0,0.0,1.0,1.0
Sassuolo,30,38,42,453.0,144.0,31.0,11.0,3.0,0.0,0.0,19.0,7,8,Serie_A,2023_2024,18.0,39.0,33.0,0.0,2.0,1.0
Torino,30,38,35,432.0,121.0,28.0,11.0,3.0,0.0,0.0,17.0,2,2,Serie_A,2023_2024,15.0,37.0,36.0,0.0,-2.0,-3.0
Udinese,32,38,36,457.0,134.0,29.0,12.0,3.0,0.0,0.0,18.0,3,4,Serie_A,2023_2024,21.0,39.0,36.0,0.0,-3.0,-3.0
AEK Athens,31,36,56,,,,,,,,,5,7,Super_League_Greece,2021_2022,,,,,,
Apollon Smyrnis,34,33,16,,,,,,,,,1,3,Super_League_Greece,2021_2022,,,,,,
Aris,29,36,39,,,,,,,,,7,8,Super_League_Greece,2021_2022,,,,,,
Asteras Tripoli,27,33,33,,,,,,,,,2,2,Super_League_Greece,2021_2022,,,,,,
Atromitos,31,33,33,,,,,,,,,4,5,Super_League_Greece,2021_2022,,,,,,
Ionikos,30,33,43,,,,,,,,,2,2,Super_League_Greece,2021_2022,,,,,,
OFI Crete,31,33,38,,,,,,,,,5,8,Super_League_Greece,2021_2022,,,,,,
Olympiacos,35,36,61,,,,,,,,,6,8,Super_League_Greece,2021_2022,,,,,,
Panathinaikos,28,36,50,,,,,,,,,8,10,Super_League_Greece,2021_2022,,,,,,
Panetolikos,29,33,32,,,,,,,,,2,3,Super_League_Greece,2021_2022,,,,,,
PAOK,33,36,56,,,,,,,,,13,15,Super_League_Greece,2021_2022,,,,,,
PAS Giannina,26,36,33,,,,,,,,,6,7,Super_League_Greece,2021_2022,,,,,,
PAS Lamia,30,33,22,,,,,,,,,3,3,Super_League_Greece,2021_2022,,,,,,
Volos NFC,28,33,47,,,,,,,,,4,6,Super_League_Greece,2021_2022,,,,,,
Alavés,33,38,29,373.0,111.0,29.0,9.0,2.0,0.0,0.0,18.0,6,7,La_Liga,2021_2022,15.0,37.0,31.0,0.0,-8.0,-8.0
Athletic Club,26,38,40,460.0,150.0,32.0,12.0,3.0,0.0,0.0,16.0,3,7,La_Liga,2021_2022,11.0,49.0,44.0,0.0,-9.0,-7.0
Atlético Madrid,26,38,63,458.0,152.0,33.0,12.0,4.0,0.0,0.0,17.0,4,5,La_Liga,2021_2022,8.0,54.0,50.0,0.0,8.0,8.0
Barcelona,38,38,68,511.0,177.0,34.0,13.0,4.0,0.0,0.0,17.0,6,7,La_Liga,2021_2022,15.0,63.0,57.0,0.0,4.0,4.0
Betis,31,38,60,509.0,182.0,35.0,13.0,4.0,0.0,0.0,18.0,6,6,La_Liga,2021_2022,21.0,53.0,48.0,0.0,6.0,5.0
Cádiz,33,38,35,405.0,118.0,29.0,10.0,3.0,0.0,0.0,17.0,3,6,La_Liga,2021_2022,14.0,39.0,34.0,0.0,-4.0,-2.0
Celta Vigo,25,38,43,405.0,135.0,33.0,10.0,3.0,0.0,0.0,18.0,3,6,La_Liga,2021_2022,14.0,43.0,38.0,0.0,0.0,1.0
Elche,28,38,39,334.0,106.0,31.0,8.0,2.0,0.0,0.0,18.0,1,1,La_Liga,2021_2022,8.0,33.0,32.0,0.0,5.0,5.0
Espanyol,34,38,39,403.0,128.0,31.0,10.0,3.0,0.0,0.0,19.0,5,5,La_Liga,2021_2022,24.0,36.0,32.0,0.0,2.0,1.0
Getafe,31,38,31,404.0,111.0,27.0,10.0,2.0,0.0,0.0,20.0,3,5,La_Liga,2021_2022,29.0,29.0,25.0,0.0,1.0,2.0
Granada,32,38,43,421.0,131.0,31.0,11.0,3.0,0.0,0.0,19.0,3,5,La_Liga,2021_2022,12.0,39.0,35.0,0.0,4.0,4.0
Levante,31,38,51,430.0,146.0,34.0,11.0,3.0,0.0,0.0,17.0,8,13,La_Liga,2021_2022,14.0,55.0,45.0,0.0,-4.0,-2.0
Mallorca,33,38,33,440.0,131.0,29.0,11.0,3.0,0.0,0.0,19.0,6,7,La_Liga,2021_2022,23.0,38.0,33.0,0.0,-5.0,-6.0
Osasuna,29,38,37,425.0,114.0,26.0,11.0,3.0,0.0,0.0,19.0,6,8,La_Liga,2021_2022,11.0,36.0,30.0,0.0,0.0,0.0
Rayo Vallecano,28,38,38,500.0,133.0,26.0,13.0,3.0,0.0,0.0,18.0,4,4,La_Liga,2021_2022,27.0,42.0,39.0,0.0,-4.0,-5.0
Real Madrid,31,38,80,645.0,243.0,37.0,16.0,6.0,0.0,0.0,18.0,8,12,La_Liga,2021_2022,21.0,71.0,62.0,0.0,8.0,9.0
Real Sociedad,32,38,40,430.0,143.0,33.0,11.0,3.0,0.0,0.0,17.0,9,10,La_Liga,2021_2022,18.0,51.0,43.0,0.0,-11.0,-12.0
Sevilla,33,38,51,430.0,139.0,32.0,11.0,3.0,0.0,0.0,17.0,2,3,La_Liga,2021_2022,10.0,42.0,40.0,0.0,8.0,9.0
Valencia,34,38,45,394.0,129.0,32.0,10.0,3.0,0.0,0.0,18.0,8,9,La_Liga,2021_2022,18.0,39.0,32.0,0.0,6.0,4.0
Villarreal,29,38,62,449.0,164.0,36.0,11.0,4.0,0.0,0.0,15.0,5,6,La_Liga,2021_2022,8.0,64.0,60.0,0.0,-2.0,-3.0
AGF,30,32,40,365.0,136.0,37.0,11.0,4.0,0.0,0.0,,4,5,Danish_Superliga,2023_2024,,,,,,
Brøndby,31,32,59,377.0,141.0,37.0,11.0,4.0,0.0,0.0,,4,4,Danish_Superliga,2023_2024,,,,,,
FC Copenhagen,28,32,63,502.0,195.0,38.0,15.0,6.0,0.0,0.0,,6,7,Danish_Superliga,2023_2024,,,,,,
Hvidovre IF,29,32,26,342.0,112.0,32.0,10.0,3.0,0.0,0.0,,2,3,Danish_Superliga,2023_2024,,,,,,
Lyngby,34,32,37,357.0,130.0,36.0,11.0,4.0,0.0,0.0,,3,4,Danish_Superliga,2023_2024,,,,,,
Midtjylland,35,32,61,473.0,172.0,36.0,14.0,5.0,0.0,0.0,,6,11,Danish_Superliga,2023_2024,,,,,,
Nordsjælland,28,32,58,468.0,178.0,38.0,14.0,5.0,0.0,0.0,,3,5,Danish_Superliga,2023_2024,,,,,,
Odense,30,32,37,372.0,131.0,35.0,11.0,4.0,0.0,0.0,,2,2,Danish_Superliga,2023_2024,,,,,,
Randers,31,32,39,420.0,129.0,30.0,13.0,4.0,0.0,0.0,,3,4,Danish_Superliga,2023_2024,,,,,,
Silkeborg,28,32,38,344.0,128.0,37.0,10.0,4.0,0.0,0.0,,2,3,Danish_Superliga,2023_2024,,,,,,
Vejle BK,30,32,31,323.0,123.0,38.0,10.0,3.0,0.0,0.0,,0,2,Danish_Superliga,2023_2024,,,,,,
Viborg,29,32,38,396.0,141.0,35.0,12.0,4.0,0.0,0.0,,0,1,Danish_Superliga,2023_2024,,,,,,
Aalborg,28,32,47,354.0,130.0,36.0,11.0,4.0,0.0,0.0,,4,4,Danish_Superliga,2021_2022,,,,,,
AGF,31,32,31,355.0,112.0,31.0,11.0,3.0,0.0,0.0,,2,2,Danish_Superliga,2021_2022,,,,,,
Brøndby,33,32,39,411.0,137.0,33.0,12.0,4.0,0.0,0.0,,2,2,Danish_Superliga,2021_2022,,,,,,
FC Copenhagen,35,32,55,447.0,178.0,39.0,13.0,5.0,0.0,0.0,,1,2,Danish_Superliga,2021_2022,,,,,,
Midtjylland,35,32,59,481.0,193.0,40.0,15.0,6.0,0.0,0.0,,5,5,Danish_Superliga,2021_2022,,,,,,
Nordsjælland,33,32,37,397.0,143.0,36.0,12.0,4.0,0.0,0.0,,3,3,Danish_Superliga,2021_2022,,,,,,
Odense,27,32,45,424.0,147.0,34.0,13.0,4.0,0.0,0.0,,4,6,Danish_Superliga,2021_2022,,,,,,
Randers,27,32,34,410.0,150.0,36.0,12.0,4.0,0.0,0.0,,4,6,Danish_Superliga,2021_2022,,,,,,
Silkeborg,26,32,54,459.0,173.0,37.0,14.0,5.0,0.0,0.0,,2,2,Danish_Superliga,2021_2022,,,,,,
SønderjyskE,33,32,28,395.0,122.0,30.0,12.0,3.0,0.0,0.0,,1,1,Danish_Superliga,2021_2022,,,,,,
Vejle BK,40,32,29,370.0,118.0,31.0,11.0,3.0,0.0,0.0,,2,2,Danish_Superliga,2021_2022,,,,,,
Viborg,29,32,44,478.0,146.0,30.0,14.0,4.0,0.0,0.0,,4,6,Danish_Superliga,2021_2022,,,,,,
Arouca,35,34,30,428.0,118.0,27.0,12.0,3.0,0.0,0.0,19.0,2,3,Primeira_Liga,2021_2022,18.0,35.0,32.0,0.0,-5.0,-4.0
B-SAD,37,34,22,323.0,88.0,27.0,9.0,2.0,0.0,0.0,19.0,3,3,Primeira_Liga,2021_2022,19.0,30.0,28.0,0.0,-8.0,-9.0
Benfica,35,34,77,514.0,190.0,37.0,15.0,5.0,0.0,0.0,16.0,5,5,Primeira_Liga,2021_2022,14.0,73.0,69.0,0.0,3.0,2.0
Boavista,28,34,39,386.0,118.0,30.0,11.0,3.0,0.0,0.0,20.0,3,4,Primeira_Liga,2021_2022,20.0,35.0,32.0,0.0,3.0,3.0
Braga,40,34,52,448.0,156.0,34.0,13.0,4.0,0.0,0.0,18.0,5,6,Primeira_Liga,2021_2022,13.0,53.0,48.0,0.0,-1.0,-1.0
Estoril,31,34,35,349.0,108.0,30.0,10.0,3.0,0.0,0.0,18.0,6,7,Primeira_Liga,2021_2022,20.0,35.0,30.0,0.0,0.0,-1.0
Famalicão,37,34,43,399.0,141.0,35.0,11.0,4.0,0.0,0.0,17.0,3,5,Primeira_Liga,2021_2022,18.0,47.0,44.0,0.0,-4.0,-4.0
Gil Vicente FC,29,34,47,422.0,153.0,36.0,12.0,4.0,0.0,0.0,18.0,3,5,Primeira_Liga,2021_2022,19.0,42.0,38.0,0.0,4.0,5.0
Marítimo,30,34,38,351.0,112.0,31.0,10.0,3.0,0.0,0.0,19.0,5,7,Primeira_Liga,2021_2022,21.0,34.0,29.0,0.0,3.0,3.0
Moreirense,29,34,32,400.0,123.0,30.0,11.0,3.0,0.0,0.0,19.0,4,7,Primeira_Liga,2021_2022,19.0,43.0,37.0,0.0,-11.0,-9.0
Paços,30,34,28,363.0,98.0,27.0,10.0,2.0,0.0,0.0,19.0,4,5,Primeira_Liga,2021_2022,29.0,33.0,30.0,0.0,-5.0,-6.0
Portimonense,35,34,28,394.0,125.0,31.0,11.0,3.0,0.0,0.0,19.0,2,4,Primeira_Liga,2021_2022,22.0,34.0,31.0,0.0,-6.0,-5.0
Porto,33,34,83,595.0,214.0,36.0,17.0,6.0,0.0,0.0,16.0,6,9,Primeira_Liga,2021_2022,23.0,83.0,76.0,0.0,0.0,0.0
Santa Clara,32,34,36,369.0,109.0,29.0,10.0,3.0,0.0,0.0,19.0,4,4,Primeira_Liga,2021_2022,19.0,38.0,35.0,0.0,-2.0,-3.0
Sporting CP,31,34,71,531.0,196.0,36.0,15.0,5.0,0.0,0.0,17.0,9,11,Primeira_Liga,2021_2022,8.0,71.0,62.0,0.0,0.0,0.0
Tondela,27,34,41,291.0,112.0,38.0,8.0,3.0,0.0,0.0,20.0,9,9,Primeira_Liga,2021_2022,19.0,35.0,28.0,0.0,5.0,3.0
Vitória,31,34,50,458.0,142.0,31.0,13.0,4.0,0.0,0.0,18.0,10,11,Primeira_Liga,2021_2022,16.0,49.0,42.0,0.0,0.0,-2.0
Vizela,31,34,36,445.0,112.0,25.0,13.0,3.0,0.0,0.0,18.0,3,3,Primeira_Liga,2021_2022,17.0,41.0,39.0,0.0,-5.0,-6.0
Arda,30,32,35,,,,,,,,,6,6,Bulgarian_First_League,2021_2022,,,,,,
Beroe,28,32,30,,,,,,,,,2,2,Bulgarian_First_League,2021_2022,,,,,,
Botev Plovdiv,30,31,36,,,,,,,,,3,3,Bulgarian_First_League,2021_2022,,,,,,
Botev Vratsa,37,32,29,,,,,,,,,3,3,Bulgarian_First_League,2021_2022,,,,,,
Cherno More,31,31,35,,,,,,,,,4,4,Bulgarian_First_League,2021_2022,,,,,,
CSKA 1948,41,32,50,,,,,,,,,7,7,Bulgarian_First_League,2021_2022,,,,,,
CSKA Sofia,31,31,41,,,,,,,,,1,1,Bulgarian_First_League,2021_2022,,,,,,
Levski Sofia,31,31,37,,,,,,,,,3,3,Bulgarian_First_League,2021_2022,,,,,,
Loko Plovdiv,28,32,36,,,,,,,,,8,8,Bulgarian_First_League,2021_2022,,,,,,
Lokomotiv Sofia,32,32,27,,,,,,,,,4,4,Bulgarian_First_League,2021_2022,,,,,,
Ludogorets,32,31,73,,,,,,,,,6,6,Bulgarian_First_League,2021_2022,,,,,,
Pirin Blagoevgrad,36,32,39,,,,,,,,,5,5,Bulgarian_First_League,2021_2022,,,,,,
Slavia Sofia,36,31,35,,,,,,,,,4,4,Bulgarian_First_League,2021_2022,,,,,,
Tsarsko Selo,46,32,22,,,,,,,,,2,2,Bulgarian_First_League,2021_2022,,,,,,
Augsburg,29,34,49,429.0,123.0,28.0,12.0,3.0,0.0,0.0,17.0,5,7,Bundesliga,2023_2024,12.0,46.0,40.0,0.0,2.0,3.0
Bayern Munich,30,34,93,633.0,229.0,36.0,18.0,6.0,0.0,0.0,15.0,5,5,Bundesliga,2023_2024,13.0,85.0,81.0,0.0,7.0,6.0
Bochum,25,34,41,524.0,145.0,27.0,15.0,4.0,0.0,0.0,18.0,4,4,Bundesliga,2023_2024,18.0,44.0,41.0,0.0,-3.0,-4.0
Darmstadt 98,32,34,28,404.0,110.0,27.0,11.0,3.0,0.0,0.0,19.0,3,3,Bundesliga,2023_2024,12.0,32.0,30.0,0.0,-4.0,-5.0
Dortmund,32,34,68,506.0,184.0,36.0,14.0,5.0,0.0,0.0,16.0,6,6,Bundesliga,2023_2024,17.0,63.0,58.0,0.0,4.0,3.0
Eint Frankfurt,34,34,48,402.0,139.0,34.0,11.0,4.0,0.0,0.0,16.0,2,3,Bundesliga,2023_2024,11.0,46.0,44.0,0.0,1.0,1.0
Freiburg,25,34,43,392.0,131.0,33.0,11.0,3.0,0.0,0.0,16.0,7,9,Bundesliga,2023_2024,7.0,49.0,42.0,0.0,-6.0,-6.0
Gladbach,27,34,55,451.0,144.0,31.0,13.0,4.0,0.0,0.0,17.0,5,6,Bundesliga,2023_2024,4.0,46.0,41.0,0.0,8.0,8.0
Heidenheim,22,34,46,392.0,114.0,29.0,11.0,3.0,0.0,0.0,17.0,2,3,Bundesliga,2023_2024,12.0,39.0,37.0,0.0,6.0,7.0
Hoffenheim,30,34,65,457.0,160.0,35.0,13.0,4.0,0.0,0.0,17.0,6,6,Bundesliga,2023_2024,16.0,53.0,49.0,0.0,11.0,10.0
Köln,26,34,28,441.0,142.0,32.0,12.0,4.0,0.0,0.0,17.0,5,6,Bundesliga,2023_2024,12.0,39.0,34.0,0.0,-11.0,-11.0
Leverkusen,24,34,87,611.0,232.0,38.0,17.0,6.0,0.0,0.0,17.0,8,8,Bundesliga,2023_2024,21.0,73.0,67.0,0.0,13.0,11.0
Mainz 05,30,34,38,476.0,134.0,28.0,14.0,3.0,0.0,0.0,17.0,1,5,Bundesliga,2023_2024,20.0,44.0,40.0,0.0,-6.0,-3.0
RB Leipzig,26,34,74,528.0,214.0,40.0,15.0,6.0,0.0,0.0,16.0,4,7,Bundesliga,2023_2024,17.0,65.0,60.0,0.0,8.0,9.0
Stuttgart,27,34,78,529.0,206.0,38.0,15.0,6.0,0.0,0.0,17.0,5,8,Bundesliga,2023_2024,8.0,70.0,64.0,0.0,7.0,8.0
Union Berlin,30,34,33,403.0,127.0,31.0,11.0,3.0,0.0,0.0,16.0,3,6,Bundesliga,2023_2024,7.0,40.0,35.0,0.0,-7.0,-5.0
Werder Bremen,30,34,45,407.0,125.0,30.0,11.0,3.0,0.0,0.0,17.0,5,6,Bundesliga,2023_2024,14.0,46.0,42.0,0.0,-1.0,-2.0
Wolfsburg,28,34,41,411.0,147.0,35.0,12.0,4.0,0.0,0.0,17.0,2,3,Bundesliga,2023_2024,17.0,39.0,36.0,0.0,1.0,2.0
Arouca,29,34,36,355.0,119.0,33.0,10.0,3.0,0.0,0.0,21.0,5,6,Primeira_Liga,2022_2023,9.0,39.0,35.0,0.0,-3.0,-4.0
Benfica,32,34,78,568.0,193.0,34.0,16.0,5.0,0.0,0.0,16.0,9,13,Primeira_Liga,2022_2023,26.0,87.0,77.0,0.0,-9.0,-8.0
Boavista,30,34,43,365.0,118.0,32.0,10.0,3.0,0.0,0.0,18.0,2,4,Primeira_Liga,2022_2023,13.0,40.0,37.0,0.0,2.0,3.0
Braga,31,34,72,552.0,217.0,39.0,16.0,6.0,0.0,0.0,18.0,4,6,Primeira_Liga,2022_2023,16.0,59.0,54.0,0.0,13.0,13.0
Casa Pia,31,34,29,378.0,112.0,29.0,11.0,3.0,0.0,0.0,18.0,3,4,Primeira_Liga,2022_2023,7.0,37.0,34.0,0.0,-8.0,-8.0
Chaves,31,34,34,443.0,140.0,31.0,13.0,4.0,0.0,0.0,20.0,7,10,Primeira_Liga,2022_2023,24.0,44.0,37.0,0.0,-10.0,-10.0
Estoril,33,34,33,351.0,111.0,31.0,10.0,3.0,0.0,0.0,18.0,3,4,Primeira_Liga,2022_2023,11.0,33.0,30.0,0.0,0.0,0.0
Famalicão,33,34,37,425.0,115.0,27.0,12.0,3.0,0.0,0.0,18.0,3,5,Primeira_Liga,2022_2023,19.0,37.0,33.0,0.0,0.0,0.0
Gil Vicente FC,32,34,31,436.0,136.0,31.0,12.0,4.0,0.0,0.0,18.0,5,8,Primeira_Liga,2022_2023,17.0,45.0,39.0,0.0,-14.0,-13.0
Marítimo,39,34,31,465.0,125.0,26.0,13.0,3.0,0.0,0.0,19.0,4,7,Primeira_Liga,2022_2023,17.0,43.0,37.0,0.0,-12.0,-10.0
Paços,36,34,25,394.0,121.0,30.0,11.0,3.0,0.0,0.0,19.0,3,3,Primeira_Liga,2022_2023,22.0,32.0,30.0,0.0,-7.0,-8.0
Portimonense,35,34,25,389.0,114.0,29.0,11.0,3.0,0.0,0.0,17.0,3,7,Primeira_Liga,2022_2023,9.0,39.0,34.0,0.0,-14.0,-12.0
Porto,28,34,71,509.0,180.0,35.0,14.0,5.0,0.0,0.0,16.0,10,12,Primeira_Liga,2022_2023,14.0,74.0,65.0,0.0,-3.0,-4.0
Rio Ave,30,34,35,380.0,116.0,30.0,11.0,3.0,0.0,0.0,20.0,3,6,Primeira_Liga,2022_2023,18.0,35.0,30.0,0.0,0.0,1.0
Santa Clara,34,34,26,353.0,111.0,31.0,10.0,3.0,0.0,0.0,19.0,6,7,Primeira_Liga,2022_2023,16.0,35.0,29.0,0.0,-9.0,-9.0
Sporting CP,32,34,66,544.0,185.0,34.0,16.0,5.0,0.0,0.0,17.0,7,10,Primeira_Liga,2022_2023,15.0,69.0,62.0,0.0,-3.0,-3.0
Vitória,34,34,34,396.0,115.0,29.0,11.0,3.0,0.0,0.0,19.0,5,5,Primeira_Liga,2022_2023,13.0,35.0,31.0,0.0,-1.0,-2.0
Vizela,30,34,30,406.0,148.0,36.0,11.0,4.0,0.0,0.0,18.0,1,3,Primeira_Liga,2022_2023,14.0,42.0,40.0,0.0,-12.0,-11.0
Ajax,30,34,94,673.0,234.0,34.0,19.0,6.0,0.0,0.0,16.0,6,9,Eredivisie,2021_2022,15.0,94.0,87.0,0.0,0.0,0.0
AZ Alkmaar,28,34,62,453.0,163.0,36.0,13.0,4.0,0.0,0.0,17.0,6,7,Eredivisie,2021_2022,12.0,57.0,52.0,0.0,4.0,3.0
Cambuur,27,34,51,332.0,125.0,37.0,9.0,3.0,0.0,0.0,19.0,4,5,Eredivisie,2021_2022,9.0,40.0,36.0,0.0,10.0,10.0
Feyenoord,31,34,75,649.0,223.0,34.0,19.0,6.0,0.0,0.0,17.0,3,4,Eredivisie,2021_2022,22.0,72.0,69.0,0.0,2.0,2.0
Fortuna Sittard,29,34,35,338.0,123.0,36.0,9.0,3.0,0.0,0.0,19.0,3,3,Eredivisie,2021_2022,19.0,35.0,33.0,0.0,0.0,-1.0
Go Ahead Eag,26,34,36,357.0,123.0,34.0,10.0,3.0,0.0,0.0,17.0,2,2,Eredivisie,2021_2022,10.0,36.0,34.0,0.0,0.0,0.0
Groningen,28,34,39,390.0,136.0,34.0,11.0,4.0,0.0,0.0,18.0,1,1,Eredivisie,2021_2022,19.0,39.0,38.0,0.0,0.0,0.0
Heerenveen,32,34,34,398.0,128.0,32.0,11.0,3.0,0.0,0.0,17.0,3,3,Eredivisie,2021_2022,9.0,44.0,42.0,0.0,-10.0,-11.0
Heracles Almelo,31,34,32,420.0,131.0,31.0,12.0,3.0,0.0,0.0,18.0,1,2,Eredivisie,2021_2022,19.0,41.0,40.0,0.0,-9.0,-9.0
NEC Nijmegen,25,34,38,410.0,153.0,37.0,12.0,4.0,0.0,0.0,18.0,2,3,Eredivisie,2021_2022,15.0,43.0,41.0,0.0,-5.0,-5.0
PSV Eindhoven,30,34,84,615.0,250.0,40.0,18.0,7.0,0.0,0.0,16.0,1,1,Eredivisie,2021_2022,17.0,74.0,74.0,0.0,9.0,9.0
RKC Waalwijk,26,34,39,367.0,116.0,31.0,10.0,3.0,0.0,0.0,18.0,1,2,Eredivisie,2021_2022,16.0,38.0,36.0,0.0,0.0,1.0
Sparta R'dam,32,34,30,328.0,104.0,31.0,9.0,3.0,0.0,0.0,18.0,1,2,Eredivisie,2021_2022,13.0,33.0,31.0,0.0,-3.0,-2.0
Twente,28,34,53,429.0,139.0,32.0,12.0,4.0,0.0,0.0,17.0,5,6,Eredivisie,2021_2022,11.0,53.0,49.0,0.0,0.0,-1.0
Utrecht,36,34,49,463.0,154.0,33.0,13.0,4.0,0.0,0.0,15.0,5,6,Eredivisie,2021_2022,6.0,61.0,57.0,0.0,-12.0,-13.0
Vitesse,29,34,42,509.0,165.0,32.0,14.0,4.0,0.0,0.0,19.0,3,4,Eredivisie,2021_2022,22.0,48.0,46.0,0.0,-6.0,-7.0
Willem II,33,34,30,351.0,102.0,29.0,10.0,3.0,0.0,0.0,18.0,0,0,Eredivisie,2021_2022,11.0,35.0,35.0,0.0,-5.0,-5.0
Zwolle,32,34,26,416.0,126.0,30.0,12.0,3.0,0.0,0.0,18.0,3,4,Eredivisie,2021_2022,17.0,39.0,36.0,0.0,-13.0,-13.0
Arsenal,27,38,60,581.0,186.0,32.0,15.0,4.0,0.0,0.0,17.0,5,8,Premier_League,2021_2022,21.0,60.0,55.0,0.0,0.0,0.0
Aston Villa,31,38,50,461.0,159.0,34.0,12.0,4.0,0.0,0.0,17.0,3,3,Premier_League,2021_2022,20.0,44.0,42.0,0.0,6.0,5.0
Brentford,29,38,46,436.0,141.0,32.0,11.0,3.0,0.0,0.0,16.0,6,6,Premier_League,2021_2022,11.0,45.0,41.0,0.0,0.0,-1.0
Brighton,26,38,40,482.0,141.0,29.0,12.0,3.0,0.0,0.0,17.0,4,7,Premier_League,2021_2022,15.0,46.0,40.0,0.0,-6.0,-4.0
Burnley,23,38,32,405.0,119.0,29.0,10.0,3.0,0.0,0.0,17.0,1,2,Premier_League,2021_2022,14.0,39.0,38.0,0.0,-7.0,-7.0
Chelsea,26,38,75,583.0,200.0,34.0,15.0,5.0,0.0,0.0,17.0,8,9,Premier_League,2021_2022,26.0,63.0,56.0,0.0,11.0,10.0
Crystal Palace,24,38,50,404.0,140.0,34.0,10.0,3.0,0.0,0.0,16.0,6,8,Premier_League,2021_2022,13.0,46.0,40.0,0.0,3.0,3.0
Everton,33,38,42,430.0,130.0,30.0,11.0,3.0,0.0,0.0,17.0,6,7,Premier_League,2021_2022,18.0,41.0,35.0,0.0,0.0,0.0
Leeds United,29,38,42,480.0,142.0,29.0,12.0,3.0,0.0,0.0,18.0,5,5,Premier_League,2021_2022,13.0,44.0,40.0,0.0,-2.0,-3.0
Leicester City,28,38,62,433.0,164.0,37.0,11.0,4.0,0.0,0.0,17.0,2,2,Premier_League,2021_2022,14.0,47.0,46.0,0.0,14.0,13.0
Liverpool,27,38,94,721.0,237.0,32.0,18.0,6.0,0.0,0.0,16.0,7,8,Premier_League,2021_2022,13.0,88.0,82.0,0.0,5.0,4.0
Manchester City,26,38,96,704.0,237.0,33.0,18.0,6.0,0.0,0.0,16.0,7,9,Premier_League,2021_2022,17.0,88.0,81.0,0.0,7.0,7.0
Manchester Utd,29,38,56,503.0,179.0,35.0,13.0,4.0,0.0,0.0,17.0,3,5,Premier_League,2021_2022,19.0,55.0,51.0,0.0,0.0,1.0
Newcastle Utd,29,38,41,446.0,142.0,31.0,11.0,3.0,0.0,0.0,18.0,3,3,Premier_League,2021_2022,15.0,38.0,35.0,0.0,2.0,2.0
Norwich City,28,38,21,370.0,104.0,28.0,9.0,2.0,0.0,0.0,19.0,3,3,Premier_League,2021_2022,18.0,32.0,30.0,0.0,-11.0,-12.0
Southampton,25,38,41,478.0,161.0,33.0,12.0,4.0,0.0,0.0,17.0,4,4,Premier_League,2021_2022,24.0,44.0,41.0,0.0,-3.0,-4.0
Tottenham,25,38,63,486.0,185.0,38.0,12.0,4.0,0.0,0.0,16.0,5,5,Premier_League,2021_2022,16.0,61.0,57.0,0.0,1.0,0.0
Watford,30,38,33,397.0,123.0,31.0,10.0,3.0,0.0,0.0,18.0,1,2,Premier_League,2021_2022,24.0,40.0,38.0,0.0,-7.0,-6.0
West Ham,25,38,58,443.0,142.0,32.0,11.0,3.0,0.0,0.0,16.0,4,6,Premier_League,2021_2022,13.0,51.0,46.0,0.0,6.0,7.0
Wolves,26,38,35,401.0,133.0,33.0,10.0,3.0,0.0,0.0,18.0,1,1,Premier_League,2021_2022,13.0,37.0,36.0,0.0,-2.0,-2.0
Čukarički,36,37,64,,,,,,,,,10,10,Serbian_SuperLiga,2022_2023,,,,,,
FK Kolubara,39,37,26,,,,,,,,,2,2,Serbian_SuperLiga,2022_2023,,,,,,
