squad,#_of_players,90s_played,goals,shots_total,shots_on_target,shots_on_target_%,shots_total/90,shots_on_target/90,goals/shot,goals/shot_on_target,average_shot_distance,penalty_kicks_made,penalty_kicks_attempted,league,season,shots_from_free_kicks,xg:_expected_goals,npxg:_non-penalty_xg,npxg/shot,goals_-_xg,non-penalty_goals_-_npxg
Real Sociedad,31,38,48,457.0,147.0,32.0,12.0,3.0,0.0,0.0,17.0,4,4,La_Liga,2023_2024,24.0,44.0,41.0,0.0,3.0,2.0
Sevilla,35,38,46,487.0,160.0,32.0,12.0,4.0,0.0,0.0,17.0,2,2,La_Liga,2023_2024,15.0,44.0,43.0,0.0,1.0,0.0
Valencia,29,38,39,368.0,123.0,33.0,9.0,3.0,0.0,0.0,18.0,8,9,La_Liga,2023_2024,16.0,43.0,36.0,0.0,-4.0,-5.0
Villarreal,32,38,64,462.0,163.0,35.0,12.0,4.0,0.0,0.0,16.0,5,7,La_Liga,2023_2024,8.0,55.0,50.0,0.0,8.0,8.0
Adana Demirspor,36,34,69,589.0,213.0,36.0,17.0,6.0,0.0,0.0,,7,10,Super_Lig,2022_2023,,,,,,
Alanyaspor,29,34,47,355.0,129.0,36.0,10.0,3.0,0.0,0.0,,5,6,Super_Lig,2022_2023,,,,,,
Ankaragücü,40,35,39,419.0,141.0,33.0,11.0,4.0,0.0,0.0,,3,5,Super_Lig,2022_2023,,,,,,
Antalyaspor,34,35,42,437.0,153.0,35.0,12.0,4.0,0.0,0.0,,3,4,Super_Lig,2022_2023,,,,,,
Başakşehir,38,34,47,381.0,142.0,37.0,11.0,4.0,0.0,0.0,,4,5,Super_Lig,2022_2023,,,,,,
Beşiktaş,35,34,70,513.0,186.0,36.0,15.0,5.0,0.0,0.0,,8,10,Super_Lig,2022_2023,,,,,,
Fatih Karagümrük,34,34,69,392.0,163.0,41.0,11.0,4.0,0.0,0.0,,8,8,Super_Lig,2022_2023,,,,,,
Fenerbahçe,29,34,80,516.0,190.0,36.0,15.0,5.0,0.0,0.0,,15,17,Super_Lig,2022_2023,,,,,,
Galatasaray,33,34,73,638.0,247.0,38.0,18.0,7.0,0.0,0.0,,8,12,Super_Lig,2022_2023,,,,,,
Gaziantep FK,24,22,31,255.0,94.0,36.0,11.0,4.0,0.0,0.0,,1,1,Super_Lig,2022_2023,,,,,,
Giresunspor,26,34,35,416.0,140.0,33.0,12.0,4.0,0.0,0.0,,5,7,Super_Lig,2022_2023,,,,,,
Hatayspor,28,21,19,207.0,59.0,28.0,9.0,2.0,0.0,0.0,,2,2,Super_Lig,2022_2023,,,,,,
İstanbulspor,36,34,39,350.0,123.0,35.0,10.0,3.0,0.0,0.0,,3,3,Super_Lig,2022_2023,,,,,,
Kasımpaşa,39,35,41,420.0,148.0,35.0,12.0,4.0,0.0,0.0,,6,6,Super_Lig,2022_2023,,,,,,
Kayserispor,28,34,49,400.0,121.0,30.0,11.0,3.0,0.0,0.0,,6,7,Super_Lig,2022_2023,,,,,,
Konyaspor,31,34,41,433.0,148.0,34.0,12.0,4.0,0.0,0.0,,6,7,Super_Lig,2022_2023,,,,,,
Sivasspor,29,35,42,426.0,150.0,35.0,12.0,4.0,0.0,0.0,,7,7,Super_Lig,2022_2023,,,,,,
Trabzonspor,37,35,59,546.0,194.0,35.0,15.0,5.0,0.0,0.0,,9,9,Super_Lig,2022_2023,,,,,,
Ümraniyespor,38,34,40,425.0,138.0,32.0,12.0,4.0,0.0,0.0,,9,10,Super_Lig,2022_2023,,,,,,
Cracovia,31,34,39,,,,,,,,,2,2,Ekstraklasa,2022_2023,,,,,,
Górnik Zabrze,33,34,45,,,,,,,,,5,5,Ekstraklasa,2022_2023,,,,,,
Jagiellonia,31,34,46,,,,,,,,,4,7,Ekstraklasa,2022_2023,,,,,,
Korona Kielce,34,34,38,,,,,,,,,6,7,Ekstraklasa,2022_2023,,,,,,
Lech Poznań,29,34,51,,,,,,,,,5,8,Ekstraklasa,2022_2023,,,,,,
Lechia Gdańsk,28,34,28,,,,,,,,,5,5,Ekstraklasa,2022_2023,,,,,,
Legia Warsaw,28,34,55,,,,,,,,,8,11,Ekstraklasa,2022_2023,,,,,,
Miedź Legnica,31,34,33,,,,,,,,,3,5,Ekstraklasa,2022_2023,,,,,,
