player,age,max_market_value,season
Evan Ferguson,18,65000000,2023_2024
Rasmus Højlund,20,65000000,2023_2024
Michael Olise,22,65000000,2024_2025
Jérémy Doku,21,65000000,2023_2024
Richarlison,22,65000000,2019_2020
Ollie Watkins,28,65000000,2023_2024
Marcus Thuram,26,65000000,2024_2025
Kingsley Coman,24,65000000,2020_2021
Anthony Martial,22,65000000,2017_2018
Álvaro Morata,25,65000000,2017_2018
Ángel Di María,26,65000000,2014_2015
Wayne Rooney,26,65000000,2011_2012
Endrick,17,60000000,2024_2025
Mykhaylo Mudryk,22,60000000,2022_2023
Jonathan David,23,60000000,2022_2023
Anthony Gordon,23,60000000,2023_2024
Cody Gakpo,23,60000000,2022_2023
Raphinha,26,60000000,2023_2024
Takefusa Kubo,22,60000000,2023_2024
Moussa Diaby,22,60000000,2022_2023
Loïs Openda,24,60000000,2023_2024
Diogo Jota,25,60000000,2021_2022
Christian Pulisic,20,60000000,2018_2019
Luka Jović,21,60000000,2019_2020
Riyad Mahrez,27,60000000,2018_2019
Edinson Cavani,26,60000000,2013_2014
Diego Costa,29,60000000,2017_2018
Radamel Falcao,26,60000000,2012_2013
Karim Benzema,28,60000000,2015_2016
Pedro Neto,24,55000000,2023_2024
Memphis Depay,25,55000000,2019_2020
Wilfried Zaha,26,55000000,2019_2020
Douglas Costa,27,55000000,2018_2019
Andriy Shevchenko,29,51000000,2006_2007
Alejandro Garnacho,20,50000000,2024_2025
Mathys Tel,18,50000000,2023_2024
Savinho,20,50000000,2024_2025
Benjamin Sesko,20,50000000,2023_2024
João Pedro,23,50000000,2024_2025
Santiago Gimenez,22,50000000,2023_2024
Gonçalo Ramos,21,50000000,2023_2024
Álex Baena,23,50000000,2024_2025
Mason Greenwood,19,50000000,2020_2021
Kaoru Mitoma,26,50000000,2023_2024
Joshua Zirkzee,23,50000000,2024_2025
Amine Gouiri,22,50000000,2021_2022
Ferran Torres,20,50000000,2019_2020
Arnaut Danjuma,25,50000000,2021_2022
Tammy Abraham,22,50000000,2019_2020
Jarrod Bowen,26,50000000,2023_2024
Iñaki Williams,24,50000000,2019_2020
Ivan Toney,27,50000000,2022_2023
Patrik Schick,26,50000000,2022_2023
Moussa Dembélé,23,50000000,2019_2020
Hakim Ziyech,26,50000000,2019_2020
Raúl Jiménez,28,50000000,2019_2020
Lucas Ocampos,26,50000000,2020_2021
Florian Thauvin,25,50000000,2018_2019
Wissam Ben Yedder,29,50000000,2019_2020
Rodrigo,27,50000000,2018_2019
Paco Alcácer,26,50000000,2019_2020
Suso,25,50000000,2018_2019
Ciro Immobile,28,50000000,2018_2019
Willian,30,50000000,2018_2019
Franck Ribéry,26,50000000,2009_2010
David Villa,28,50000000,2010_2011
Fernando Torres,25,50000000,2009_2010
Thierry Henry,28,50000000,2006_2007
Brennan Johnson,22,48000000,2023_2024
Hulk,27,48000000,2013_2014
Robin Van Persie,28,47500000,2012_2013
Zlatan Ibrahimović,28,46000000,2009_2010
Arda Güler,19,45000000,2024_2025
Victor Boniface,23,45000000,2024_2025
Johan Bakayoko,21,45000000,2023_2024
Matheus Cunha,25,45000000,2023_2024
David Neres,22,45000000,2019_2020
Leon Bailey,20,45000000,2017_2018
Malcom,21,45000000,2017_2018
Hirving Lozano,25,45000000,2020_2021
Dominic Calvert Lewin,23,45000000,2020_2021
Ángel Correa,27,45000000,2021_2022
Dominic Solanke,27,45000000,2024_2025
André Silva,25,45000000,2021_2022
Federico Bernardeschi,24,45000000,2018_2019
Sébastien Haller,25,45000000,2019_2020
Felipe Anderson,26,45000000,2019_2020
Thorgan Hazard,25,45000000,2018_2019
Duván Zapata,28,45000000,2019_2020
Ivan Perisic,28,45000000,2017_2018
Ronaldo,28,45000000,2004_2005
Mario Gómez,26,42000000,2011_2012
Samuel Eto'O,27,42000000,2008_2009
Estêvão,17,40000000,2024_2025
Samu Aghehowa,19,40000000,2023_2024
Vitor Roque,18,40000000,2023_2024
Désiré Doué,19,40000000,2024_2025
Nicolas Jackson,23,40000000,2024_2025
Elye Wahi,20,40000000,2023_2024
Yéremy Pino,19,40000000,2021_2022
Karim Adeyemi,21,40000000,2023_2024
Nico González,25,40000000,2023_2024
Omar Marmoush,25,40000000,2024_2025
Youssef En Nesyri,24,40000000,2021_2022
Bryan Mbeumo,24,40000000,2023_2024
Ademola Lookman,26,40000000,2024_2025
Maxi Gómez,22,40000000,2019_2020
Moise Kean,19,40000000,2019_2020
Krzysztof Piatek,23,40000000,2018_2019
Donyell Malen,25,40000000,2023_2024
Jonathan Ikoné,21,40000000,2019_2020
Everton,23,40000000,2019_2020
Allan Saint Maximin,25,40000000,2022_2023
Serhou Guirassy,27,40000000,2023_2024
Gonçalo Guedes,21,40000000,2017_2018
Adama Traoré,24,40000000,2020_2021
Arkadiusz Milik,25,40000000,2019_2020
Ante Rebić,25,40000000,2019_2020
Michy Batshuayi,24,40000000,2017_2018
Gerard Moreno,29,40000000,2020_2021
Andrea Belotti,24,40000000,2017_2018
Yannick Carrasco,23,40000000,2016_2017
Julian Draxler,24,40000000,2017_2018
Lucas Moura,26,40000000,2019_2020
Pablo Sarabia,26,40000000,2018_2019
