Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Farid El Melali,dz ALG,"DF,FW",Angers,25,1997,9.0,0,11,2,18.2,1.23,0.22,0.00,0.00,18.8,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Matches
Birger Meling,no NOR,DF,Rennes,27,1994,13.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nuno Mendes,pt POR,DF,Paris S-G,20,2002,17.2,1,10,7,70.0,0.58,0.41,0.10,0.14,13.7,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches
Pedro Mendes,pt POR,DF,Montpellier,31,1990,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thiago Mendes,br BRA,"MF,DF",Lyon,30,1992,22.9,1,14,4,28.6,0.61,0.17,0.07,0.25,25.1,2,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
Antoine Mendy,fr FRA,DF,Nice,18,2004,5.8,0,8,2,25.0,1.39,0.35,0.00,0.00,16.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Arial Mendy,sn SEN,DF,Clermont Foot,27,1994,2.5,0,2,0,0.0,0.81,0.00,0.00,,20.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Batista Mendy,fr FRA,"MF,DF",Angers,22,2000,31.8,0,15,2,13.3,0.47,0.06,0.00,0.00,24.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Gideon Mensah,gh GHA,DF,Auxerre,24,1998,25.1,0,5,1,20.0,0.20,0.04,0.00,0.00,25.3,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
Quentin Merlin,fr FRA,DF,Nantes,20,2002,19.9,1,15,4,26.7,0.75,0.20,0.07,0.25,22.8,1,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
Lionel Messi,ar ARG,"FW,MF",Paris S-G,35,1987,31.5,16,129,55,42.6,4.09,1.74,0.12,0.29,18.3,20,0,0,15.5,15.5,0.12,+0.5,+0.5,Matches
Amine Messoussa,fr FRA,FW,Lille,17,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Arkadiusz Milik,pl POL,FW,Marseille,28,1994,1.4,0,1,0,0.0,0.70,0.00,0.00,,7.8,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
Takumi Minamino,jp JPN,"MF,FW",Monaco,27,1995,8.0,1,22,8,36.4,2.73,0.99,0.05,0.13,16.4,1,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
Terem Moffi,ng NGA,FW,Nice,23,1999,14.8,6,44,18,40.9,2.98,1.22,0.14,0.33,14.9,0,0,0,8.3,8.3,0.19,-2.3,-2.3,Matches
Terem Moffi,ng NGA,FW,Lorient,23,1999,15.4,12,33,18,54.5,2.14,1.17,0.33,0.61,13.6,0,1,2,7.3,5.7,0.17,+4.7,+5.3,Matches
Mostafa Mohamed,eg EGY,FW,Nantes,24,1997,21.5,8,58,24,41.4,2.69,1.11,0.14,0.33,14.2,0,0,0,7.3,7.3,0.13,+0.7,+0.7,Matches
Florent Mollet,fr FRA,MF,Nantes,30,1991,12.1,1,22,9,40.9,1.82,0.74,0.05,0.11,23.2,5,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
Marlos Moreno,co COL,"MF,DF",Troyes,25,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lebo Mothiba,za RSA,"FW,MF",Strasbourg,26,1996,4.8,3,9,4,44.4,1.86,0.83,0.33,0.75,13.0,0,0,0,1.1,1.1,0.12,+1.9,+1.9,Matches
Steve Mounié,bj BEN,FW,Brest,27,1994,18.4,6,58,19,32.8,3.15,1.03,0.09,0.26,14.9,0,1,1,7.3,6.5,0.12,-1.3,-1.5,Matches
