Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Silvan Widmer,ch SUI,DF,Mainz 05,30,1993,13.8,1,14,3,21.4,1.01,0.22,0.07,0.33,15.4,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Matches
Patrick Wimmer,at AUT,"FW,MF",Wolfsburg,22,2001,6.5,2,10,4,40.0,1.53,0.61,0.20,0.50,16.2,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Matches
Jonas Wind,dk DEN,FW,Wolfsburg,24,1999,29.5,11,72,34,47.2,2.44,1.15,0.15,0.32,16.1,0,0,1,9.4,8.5,0.12,+1.6,+2.5,Matches
Florian Wirtz,de GER,MF,Leverkusen,20,2003,26.4,11,70,33,47.1,2.66,1.25,0.14,0.30,18.1,1,1,1,8.9,8.2,0.12,+2.1,+1.8,Matches
Maximilian Wittek,de GER,"DF,FW",Bochum,27,1995,11.9,3,26,8,30.8,2.19,0.67,0.12,0.38,25.5,3,0,0,1.3,1.3,0.05,+1.7,+1.7,Matches
Maximilian Wöber,at AUT,DF,Gladbach,25,1998,23.0,2,19,3,15.8,0.83,0.13,0.11,0.67,14.1,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches
Marius Wolf,de GER,DF,Dortmund,28,1995,13.0,0,9,1,11.1,0.69,0.08,0.00,0.00,17.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Nick Woltemade,de GER,"FW,MF",Werder Bremen,21,2002,13.2,2,22,6,27.3,1.67,0.45,0.09,0.33,14.2,0,0,0,2.4,2.4,0.11,-0.4,-0.4,Matches
Jeong Woo-yeong,kr KOR,"MF,FW",Stuttgart,23,1999,7.0,2,18,8,44.4,2.56,1.14,0.11,0.25,17.5,0,0,0,1.8,1.8,0.10,+0.2,+0.2,Matches
Granit Xhaka,ch SUI,MF,Leverkusen,30,1992,31.3,3,45,14,31.1,1.44,0.45,0.07,0.21,25.5,0,0,0,1.8,1.8,0.04,+1.2,+1.2,Matches
Dan-Axel Zagadou,fr FRA,DF,Stuttgart,24,1999,16.1,1,11,2,18.2,0.68,0.12,0.09,0.50,11.0,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches

Bryan Zaragoza,es ESP,"FW,MF",Bayern Munich,22,2001,2.0,0,7,4,57.1,3.44,1.97,0.00,0.00,15.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Robin Zentner,de GER,GK,Mainz 05,28,1994,30.0,0,1,0,0.0,0.03,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Cedric Zesiger,ch SUI,DF,Wolfsburg,25,1998,18.2,0,16,2,12.5,0.88,0.11,0.00,0.00,20.3,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
Michael Zetterer,de GER,GK,Werder Bremen,28,1995,27.0,0,1,0,0.0,0.04,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Christoph Zimmermann,de GER,DF,Darmstadt 98,30,1993,13.6,0,4,1,25.0,0.30,0.07,0.00,0.00,13.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Simon Zoller,de GER,"FW,MF",Bochum,32,1991,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lovro Zvonarek,hr CRO,"FW,MF",Bayern Munich,18,2005,1.8,1,1,1,100.0,0.55,0.55,1.00,1.00,16.8,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
