Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Cherif Ndiaye,sn SEN,FW,Adana Demirspor,27,1996,1.8,1,1,1,100.0,0.54,0.54,1.00,1.00,,0,0,Matches
Tanguy Ndombele,fr FRA,MF,Galatasaray,26,1996,5.2,0,7,1,14.3,1.35,0.19,0.00,0.00,,0,0,Matches
Victor Nelsson,dk DEN,DF,Galatasaray,24,1998,28.4,2,20,6,30.0,0.70,0.21,0.10,0.33,,0,0,Matches
Julien Ngoy,be BEL,"FW,MF",Kasımpaşa,25,1997,14.3,2,24,10,41.7,1.68,0.70,0.08,0.20,,0,0,Matches
M'Baye Niang,sn SEN,FW,Adana Demirspor,28,1994,11.0,8,30,15,50.0,2.74,1.37,0.13,0.27,,4,4,Matches
Đorđe Nikolić,rs SRB,GK,Sivasspor,26,1997,5.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Florin Niță,ro ROU,GK,Gaziantep FK,36,1987,34.0,0,1,0,0.0,0.03,0.00,0.00,,,0,0,Matches
Nicolas Nkoulou,cm CMR,"DF,MF",Gaziantep FK,33,1990,31.5,2,16,3,18.8,0.51,0.10,0.13,0.67,,0,0,Matches
Mootez Nourani,tn TUN,"MF,FW",Adana Demirspor,21,2002,1.8,0,0,0,,0.00,0.00,,,,0,0,Matches
João Novais,pt POR,MF,Alanyaspor,30,1993,22.7,5,46,17,37.0,2.02,0.75,0.07,0.18,,2,3,Matches
Olivier Ntcham,cm CMR,MF,Samsunspor,27,1996,20.7,6,50,15,30.0,2.42,0.73,0.04,0.13,,4,4,Matches
Steven Nzonzi,fr FRA,MF,Konyaspor,34,1988,25.8,4,20,11,55.0,0.77,0.43,0.20,0.36,,0,0,Matches
Burak Öğür,tr TUR,GK,Pendikspor,33,1989,4.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Ahmet Oğuz,tr TUR,DF,Konyaspor,30,1993,23.4,1,10,2,20.0,0.43,0.09,0.10,0.50,,0,0,Matches

Alaaddin Okumuş,tr TUR,DF,Sivasspor,27,1995,13.0,0,3,1,33.3,0.23,0.08,0.00,0.00,,0,0,Matches
