Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Stéphane Badji,sn SEN,MF,Ludogorets,31,1990,9.7,0,,,,,,,,,0,0,Matches
Yohan Bai,fr FRA,FW,CSKA Sofia,24,1996,13.2,3,,,,,,,,,0,0,Matches
Anton Bakalov,bg BUL,MF,CSKA 1948,18,2003,0.2,0,,,,,,,,,0,0,Matches
Dimo Bakalov,bg BUL,MF,Tsarsko Selo,32,1988,7.4,1,,,,,,,,,0,0,Matches
Jon Bakero,es ESP,"FW,MF",Slavia Sofia,25,1996,8.7,3,,,,,,,,,0,0,Matches
Nordin Bakker,nl NED,GK,Beroe,23,1997,8.0,0,,,,,,,,,0,0,Matches
Lachezar Baltanov,bg BUL,MF,Botev Plovdiv,33,1988,1.1,0,,,,,,,,,0,0,Matches
Lachezar Baltanov,bg BUL,MF,Tsarsko Selo,33,1988,15.0,2,,,,,,,,,0,0,Matches
Ivan Bandalovski,bg BUL,DF,Tsarsko Selo,34,1986,12.2,0,,,,,,,,,0,0,Matches
Bilal Bari,ma MAR,FW,Levski Sofia,23,1998,30.5,6,,,,,,,,,0,0,Matches
Antoine Baroan,fr FRA,FW,Botev Plovdiv,21,2000,17.0,5,,,,,,,,,0,0,Matches
Angel Bastunov,bg BUL,FW,CSKA 1948,22,1999,12.4,1,,,,,,,,,0,0,Matches
Yoan Baurenski,bg BUL,MF,Botev Vratsa,19,2001,22.7,1,,,,,,,,,0,0,Matches
Syam Ben Youssef,tn TUN,DF,Beroe,32,1989,12.0,0,,,,,,,,,0,0,Matches
Zakaria Benchaâ,dz ALG,FW,Cherno More,24,1997,2.6,0,,,,,,,,,0,0,Matches
Ventsislav Bengyuzov,bg BUL,MF,Pirin Blagoevgrad,30,1991,7.7,1,,,,,,,,,0,0,Matches
Mohamed Bentahar,fr FRA,FW,Botev Vratsa,27,1994,4.1,0,,,,,,,,,0,0,Matches
Ryan Bidounga,cg CGO,DF,Loko Plovdiv,24,1997,9.9,1,,,,,,,,,0,0,Matches
Amit Bitton,il ISR,DF,Beroe,25,1996,1.0,0,,,,,,,,,0,0,Matches
Nikolay Bodurov,bg BUL,DF,Pirin Blagoevgrad,35,1986,15.2,0,,,,,,,,,0,0,Matches
Valeri Bojinov,bg BUL,FW,Levski Sofia,35,1986,0.4,0,,,,,,,,,0,0,Matches

Preslav Borukov,bg BUL,MF,Loko Plovdiv,21,2000,7.2,1,,,,,,,,,0,0,Matches
Karim Bouhmidi,dz ALG,FW,Lokomotiv Sofia,23,1998,4.5,0,,,,,,,,,0,0,Matches
Rosen Bozhinov,bg BUL,DF,CSKA Sofia,16,2005,0.7,0,,,,,,,,,0,0,Matches
Mohamed Brahimi,fr FRA,FW,Pirin Blagoevgrad,22,1998,15.2,4,,,,,,,,,0,0,Matches
Mohamed Brahimi,fr FRA,FW,Botev Plovdiv,22,1998,7.3,1,,,,,,,,,0,0,Matches
Gustavo Busatto,br BRA,GK,CSKA Sofia,30,1990,23.4,0,,,,,,,,,0,0,Matches
