Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Dmytro Chygrynskiy,ua UKR,DF,Ionikos,35,1986,25.8,1,,,,,,,,,0,0,Matches
Enis Çokaj,al ALB,MF,Panathinaikos,23,1999,3.7,0,,,,,,,,,0,0,Matches
Derek Cornelius,ca CAN,DF,Panetolikos,24,1997,13.0,0,,,,,,,,,0,0,Matches
Julián Cuesta,es ESP,GK,Aris,31,1991,31.0,0,,,,,,,,,0,0,Matches
Abdoulaye Dabo,fr FRA,MF,Levadiakos,21,2001,5.2,0,,,,,,,,,0,0,Matches
Bryan Dabo,bf BFA,MF,Aris,30,1992,15.0,1,,,,,,,,,0,0,Matches
Nadrey Dago,ci CIV,"FW,MF",Panetolikos,25,1997,9.6,2,,,,,,,,,0,0,Matches
Tiago Dantas,pt POR,MF,PAOK,21,2000,21.7,4,,,,,,,,,0,0,Matches
Vladimír Darida,cz CZE,MF,Aris,31,1990,19.6,5,,,,,,,,,0,0,Matches
Laurens De Bock,be BEL,DF,Atromitos,29,1992,29.0,0,,,,,,,,,0,0,Matches
Konrad De La Fuente,us USA,MF,Olympiacos,21,2001,1.7,0,,,,,,,,,0,0,Matches
Tomas De Vincenti,ar ARG,"MF,FW",PAS Lamia,33,1989,14.4,4,,,,,,,,,0,1,Matches
Miloš Deletić,rs SRB,"MF,FW",Volos NFC,28,1993,29.5,6,,,,,,,,,0,0,Matches
Ivan Demydenko,ua UKR,FW,Asteras Tripoli,19,2003,0.3,0,,,,,,,,,0,0,Matches
Apostolos Diamantis,gr GRE,DF,OFI Crete,22,2000,28.0,2,,,,,,,,,0,0,Matches
Jorge Diaz,uy URU,MF,Panetolikos,33,1989,23.1,0,,,,,,,,,0,0,Matches

Nouha Dicko,ml MLI,FW,OFI Crete,30,1992,24.5,6,,,,,,,,,0,0,Matches
Assane Dioussé,sn SEN,MF,OFI Crete,24,1997,26.5,3,,,,,,,,,0,0,Matches
Mésaque Djú,pt POR,"MF,FW",OFI Crete,23,1999,5.0,0,,,,,,,,,0,0,Matches
Juan Domínguez,es ESP,MF,Asteras Tripoli,32,1990,4.0,0,,,,,,,,,0,0,Matches
Douglas,br BRA,MF,PAOK,25,1997,26.3,4,,,,,,,,,1,1,Matches
Cheick Doukouré,ci CIV,MF,Aris,29,1992,11.2,0,,,,,,,,,0,0,Matches
Konstantinos Doumtsios,gr GRE,"FW,MF",Levadiakos,24,1997,16.3,1,,,,,,,,,0,0,Matches
Fiorin Durmishaj,gr GRE,FW,OFI Crete,25,1996,5.1,1,,,,,,,,,0,0,Matches
Christos Eleftheriadis,gr GRE,"FW,MF",Ionikos,30,1991,8.4,2,,,,,,,,,0,0,Matches
Niclas Eliasson,se SWE,MF,AEK Athens,26,1995,13.1,0,,,,,,,,,0,0,Matches
Luis Enrique Palma,hn HON,"MF,FW",Aris,22,2000,18.7,11,,,,,,,,,1,1,Matches
August Erlingmark,se SWE,MF,Atromitos,24,1998,16.7,2,,,,,,,,,0,0,Matches
Rodrigo Erramuspe,ar ARG,DF,PAS Giannina,32,1990,30.8,9,,,,,,,,,4,5,Matches
João Escoval,pt POR,DF,Volos NFC,25,1997,28.8,0,,,,,,,,,0,0,Matches
Oghenekaro Etebo,ng NGA,MF,Aris,26,1995,22.4,0,,,,,,,,,0,0,Matches
Bandiougou Fadiga,fr FRA,"MF,FW",Ionikos,21,2001,22.4,1,,,,,,,,,0,0,Matches
Rayan Fallatah,sa KSA,FW,OFI Crete,18,2003,0.1,0,,,,,,,,,0,0,Matches
Paolo Fernandes,es ESP,MF,Volos NFC,23,1998,12.4,3,,,,,,,,,0,0,Matches
Paolo Fernandes,es ESP,MF,AEK Athens,23,1998,3.1,1,,,,,,,,,0,0,Matches
Víctor Fernández,es ESP,MF,Volos NFC,24,1998,3.1,0,,,,,,,,,0,0,Matches
Deybi Flores,hn HON,MF,Panetolikos,26,1996,9.7,0,,,,,,,,,0,0,Matches
Manssour Fofana,ci CIV,MF,PAS Giannina,20,2002,1.0,1,,,,,,,,,0,0,Matches
Kostas Fortounis,gr GRE,"MF,FW",Olympiacos,29,1992,17.2,4,,,,,,,,,0,0,Matches
Alexander Fransson,se SWE,MF,AEK Athens,28,1994,0.2,0,,,,,,,,,0,0,Matches
Samúel Friðjónsson,is ISL,MF,Atromitos,26,1996,13.5,2,,,,,,,,,0,0,Matches

Leandro Frroku,al ALB,MF,Panathinaikos,18,2003,0.0,0,,,,,,,,,0,0,Matches
Mijat Gaćinović,rs SRB,MF,AEK Athens,27,1995,22.3,9,,,,,,,,,0,0,Matches
Enzo Gaggi,ar ARG,"MF,FW",Volos NFC,24,1998,12.9,1,,,,,,,,,0,0,Matches
Konstantinos Galanopoulos,gr GRE,MF,AEK Athens,24,1997,2.0,0,,,,,,,,,0,0,Matches
Cristian Ganea,ro ROU,DF,Panathinaikos,30,1992,3.2,0,,,,,,,,,0,0,Matches
Athanasios Garavelis,gr GRE,GK,PAS Lamia,29,1992,9.4,0,,,,,,,,,0,0,Matches
Levi Garcia,tt TRI,FW,AEK Athens,24,1997,25.9,14,,,,,,,,,4,5,Matches
Manu García,es ESP,MF,Aris,24,1998,12.6,4,,,,,,,,,0,0,Matches
Mateo García,ar ARG,"MF,FW",Aris,25,1996,26.0,3,,,,,,,,,0,0,Matches
Rubén García,es ESP,DF,Asteras Tripoli,23,1998,7.7,0,,,,,,,,,0,0,Matches
Michael Gardawski,de GER,"MF,DF",Asteras Tripoli,31,1990,11.5,1,,,,,,,,,0,0,Matches
Savvas Gentsoglou,gr GRE,DF,PAS Lamia,31,1990,2.0,0,,,,,,,,,0,0,Matches
Gervinho,ci CIV,FW,Aris,35,1987,4.6,1,,,,,,,,,0,0,Matches
Petros Giakoumakis,gr GRE,"MF,FW",PAS Lamia,30,1992,6.1,0,,,,,,,,,0,0,Matches
Giannis Gianniotas,gr GRE,"MF,FW",Levadiakos,29,1993,11.0,2,,,,,,,,,0,0,Matches
Andreas Gianniotis,gr GRE,GK,Atromitos,29,1992,30.2,0,,,,,,,,,0,0,Matches
Kostas Giannoulis,gr GRE,DF,OFI Crete,34,1987,5.4,0,,,,,,,,,0,0,Matches
Federico Gino,uy URU,MF,PAS Giannina,29,1993,15.6,0,,,,,,,,,0,0,Matches
Adam Gnezda Čerin,si SVN,"MF,FW",Panathinaikos,23,1999,28.0,1,,,,,,,,,0,0,Matches
Eder González,es ESP,MF,Atromitos,25,1997,29.8,0,,,,,,,,,0,0,Matches
Ivan Goranov,bg BUL,DF,PAS Lamia,30,1992,15.8,0,,,,,,,,,0,0,Matches
Vasilios Gordeziani,gr GRE,FW,PAOK,20,2002,0.7,0,,,,,,,,,0,0,Matches
Joel Graterol,ve VEN,GK,Panetolikos,25,1997,5.0,0,,,,,,,,,0,0,Matches
Andre Gray,jm JAM,FW,Aris,31,1991,19.2,8,,,,,,,,,1,2,Matches
Dávid Gróf,hu HUN,GK,Levadiakos,33,1989,11.0,0,,,,,,,,,0,0,Matches

Sebastian Grønning,dk DEN,FW,OFI Crete,25,1997,1.9,1,,,,,,,,,0,0,Matches
Ehsan Hajsafi,ir IRN,DF,AEK Athens,32,1990,27.1,0,,,,,,,,,0,0,Matches
Stephen Hammond,gh GHA,MF,Levadiakos,25,1996,20.8,1,,,,,,,,,0,0,Matches
Juan Manuel Munafo Horta,ar ARG,MF,Asteras Tripoli,34,1988,19.8,1,,,,,,,,,0,0,Matches
Walter Iglesias,ar ARG,MF,Asteras Tripoli,37,1985,16.1,0,,,,,,,,,0,0,Matches
Ioannis Ikonomidis,gr GRE,MF,Atromitos,24,1998,5.3,0,,,,,,,,,0,0,Matches
Hwang In-beom,kr KOR,MF,Olympiacos,25,1996,29.7,3,,,,,,,,,0,0,Matches
Sverrir Ingi Ingason,is ISL,DF,PAOK,28,1993,29.7,3,,,,,,,,,0,0,Matches
Christos Ioannidis,gr GRE,MF,Ionikos,18,2004,0.1,0,,,,,,,,,0,0,Matches
Fotis Ioannidis,gr GRE,FW,Panathinaikos,22,2000,17.6,7,,,,,,,,,2,2,Matches
Nikolaos Ioannidis,gr GRE,FW,Ionikos,28,1994,4.3,0,,,,,,,,,0,0,Matches
Juan Iturbe,py PAR,"MF,FW",Aris,29,1993,17.2,4,,,,,,,,,0,0,Matches
Alexander Jeremejeff,se SWE,FW,Levadiakos,28,1993,6.5,1,,,,,,,,,0,0,Matches
Jonas,br BRA,MF,Levadiakos,23,1999,5.8,0,,,,,,,,,0,0,Matches
Juankar,es ESP,DF,Panathinaikos,32,1990,29.3,0,,,,,,,,,0,0,Matches
Juanpi,ve VEN,"FW,MF",Panetolikos,28,1994,6.7,1,,,,,,,,,0,0,Matches
Jens Jønsson,dk DEN,"MF,FW",AEK Athens,29,1993,25.6,0,,,,,,,,,0,0,Matches
Ergys Kaçe,al ALB,MF,Volos NFC,29,1993,5.9,0,,,,,,,,,0,0,Matches
Omar El Kaddouri,ma MAR,MF,PAOK,31,1990,9.2,0,,,,,,,,,0,0,Matches
Aboubakar Kamara,mr MTN,FW,Olympiacos,27,1995,0.2,0,,,,,,,,,0,0,Matches
Aboubakar Kamara,mr MTN,FW,Aris,27,1995,10.6,4,,,,,,,,,1,2,Matches
Bruce Kamau,au AUS,"FW,MF",OFI Crete,27,1995,0.7,0,,,,,,,,,0,0,Matches
Zisis Karahalios,gr GRE,MF,PAS Giannina,26,1996,20.4,0,,,,,,,,,0,0,Matches
