Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Fabrício Isidoro,br BRA,MF,Farense,31,1992,18.5,3,17,7,41.2,0.92,0.38,0.18,0.43,23.0,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches
Ismael,pt POR,MF,Moreirense,24,1999,6.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Franco Israel,uy URU,GK,Sporting CP,23,2000,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abass Issah,gh GHA,"MF,FW",Chaves,24,1998,3.4,0,6,3,50.0,1.75,0.88,0.00,0.00,17.1,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
Léo Jabá,br BRA,"FW,MF",Estrela,24,1998,24.7,5,43,15,34.9,1.74,0.61,0.09,0.27,19.0,0,1,1,3.7,2.9,0.07,+1.3,+1.1,Matches
Ivan Jaime Pajuelo,es ESP,"MF,FW",Porto,22,2000,6.3,1,14,6,42.9,2.23,0.95,0.07,0.17,19.6,2,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Jajá,br BRA,"FW,MF",Casa Pia,22,2001,4.8,0,7,3,42.9,1.47,0.63,0.00,0.00,17.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Jardel,gw GNB,"FW,MF",Vizela,25,1997,2.1,0,5,2,40.0,2.43,0.97,0.00,0.00,20.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Jason,es ESP,"FW,MF",Arouca,29,1994,28.5,6,66,22,33.3,2.32,0.77,0.09,0.27,22.3,8,0,0,7.1,7.1,0.11,-1.1,-1.1,Matches
Sylvester Jasper,bg BUL,"FW,MF",Portimonense,21,2001,18.6,2,31,8,25.8,1.67,0.43,0.06,0.25,19.0,1,0,0,3.0,3.0,0.10,-1.0,-1.0,Matches
Anderson Jesus,br BRA,DF,Vizela,28,1995,27.7,0,14,2,14.3,0.51,0.07,0.00,0.00,11.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches

Jhonatan,br BRA,GK,Rio Ave,32,1991,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jo,br BRA,"FW,MF",Chaves,28,1995,11.3,2,36,7,19.4,3.19,0.62,0.06,0.29,17.0,0,0,0,3.4,3.4,0.10,-1.4,-1.4,Matches
Joca,pt POR,"FW,MF",Rio Ave,27,1996,19.0,4,26,13,50.0,1.37,0.69,0.15,0.31,22.0,0,0,0,2.5,2.5,0.10,+1.5,+1.5,Matches
Nemanja Jović,rs SRB,MF,Estoril,20,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,22,2001,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
David Jurásek,cz CZE,DF,Benfica,22,2000,2.9,0,2,0,0.0,0.69,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Samuel Justo,pt POR,MF,Casa Pia,19,2004,6.7,1,5,2,40.0,0.75,0.30,0.20,0.50,23.9,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Matches
Kaio,br BRA,FW,Vitória,19,2004,4.7,0,7,3,42.9,1.49,0.64,0.00,0.00,20.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Kazu,br BRA,"DF,FW",Gil Vicente FC,23,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Keliano,ao ANG,MF,Estrela,20,2003,1.3,0,3,0,0.0,2.25,0.00,0.00,,18.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Kewin,br BRA,GK,Moreirense,27,1995,29.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kikas,pt POR,"FW,MF",Estrela,24,1998,17.3,8,44,20,45.5,2.54,1.15,0.18,0.40,14.0,0,0,0,6.9,6.9,0.16,+1.1,+1.1,Matches
Francisco Kiki,pt POR,MF,Casa Pia,25,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kobamelo Kodisang,za RSA,FW,Moreirense,23,1999,18.0,1,32,11,34.4,1.78,0.61,0.03,0.09,18.7,0,0,0,3.5,3.5,0.11,-2.5,-2.5,Matches
Koba Koindredi,fr FRA,MF,Estoril,21,2001,6.3,0,5,1,20.0,0.80,0.16,0.00,0.00,22.2,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Koba Koindredi,fr FRA,MF,Sporting CP,21,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
