Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Onurhan Babuscu,at AUT,MF,Admira,17,2003,5.1,2,8,6,75.0,1.56,1.17,0.25,0.33,,0,0,Matches
Felix Bacher,at AUT,DF,WSG Tirol,20,2000,11.5,0,1,1,100.0,0.09,0.09,0.00,0.00,,0,0,Matches
Ante Bajic,at AUT,"MF,FW",Ried,25,1995,22.3,9,42,15,35.7,1.89,0.67,0.21,0.60,,0,0,Matches
Husein Balic,at AUT,FW,LASK,25,1996,14.7,3,37,13,35.1,2.51,0.88,0.08,0.23,,0,0,Matches

Thierno Ballo,at AUT,MF,Rapid Wien,19,2002,4.5,0,9,2,22.2,2.01,0.45,0.00,0.00,,0,0,Matches
Tai Baribo,il ISR,FW,Wolfsberger AC,23,1998,21.7,11,55,23,41.8,2.53,1.06,0.20,0.48,,0,0,Matches
Sebastian Bauer,at AUT,"DF,MF",Admira,28,1992,22.1,0,4,1,25.0,0.18,0.05,0.00,0.00,,0,0,Matches
Dominik Baumgartner,at AUT,DF,Wolfsberger AC,25,1996,26.1,1,17,5,29.4,0.65,0.19,0.06,0.20,,0,0,Matches
Raffael Behounek,at AUT,DF,WSG Tirol,24,1997,28.8,2,9,2,22.2,0.31,0.07,0.22,1.00,,0,0,Matches
Esad Bejic,at AUT,DF,Austria Wien,20,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Nemanja Belaković,rs SRB,"MF,FW",Hartberg,24,1997,3.8,1,12,2,16.7,3.14,0.52,0.08,0.50,,0,0,Matches
Mergim Berisha,de GER,FW,RB Salzburg,23,1998,0.5,1,3,1,33.3,5.63,1.87,0.33,1.00,,0,0,Matches
Bernardo,br BRA,DF,RB Salzburg,26,1995,11.6,0,11,1,9.1,0.95,0.09,0.00,0.00,,0,0,Matches
Antoine Bernede,fr FRA,"MF,FW",RB Salzburg,22,1999,8.4,0,13,4,30.8,1.55,0.48,0.00,0.00,,0,0,Matches
Nicolas Binder,at AUT,FW,Rapid Wien,19,2002,0.7,0,1,0,0.0,1.50,0.00,0.00,,,0,0,Matches
Noah Bischof,at AUT,"FW,MF",SCR Altach,18,2002,13.2,2,27,13,48.1,2.04,0.98,0.07,0.15,,0,0,Matches
Noah Bitsche,at AUT,MF,SCR Altach,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
