Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Jordi Vanlerberghe,be BEL,DF,Brøndby,27,1996,11.2,1,5,2,40.0,0.45,0.18,0.20,0.50,,0,0,Matches

Denis Vavro,sk SVK,DF,FC Copenhagen,27,1996,23.2,2,30,7,23.3,1.29,0.30,0.07,0.29,,0,0,Matches
Igor Vekič,si SVN,GK,Vejle BK,25,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Stefan Velkov,bg BUL,DF,Vejle BK,26,1996,20.8,0,9,0,0.0,0.43,0.00,0.00,,,0,0,Matches
Jakob Vester,dk DEN,MF,Viborg,18,2004,3.1,2,4,3,75.0,1.30,0.97,0.50,0.67,,0,0,Matches
Daniel Wass,dk DEN,MF,Brøndby,34,1989,28.1,3,31,11,35.5,1.10,0.39,0.03,0.09,,2,2,Matches
Magnus Westergaard,dk DEN,MF,Viborg,25,1998,12.6,2,16,6,37.5,1.27,0.47,0.13,0.33,,0,0,Matches
Casper Winther,dk DEN,MF,Lyngby,20,2003,18.2,1,18,6,33.3,0.99,0.33,0.06,0.17,,0,0,Matches
Emmanuel Yeboah,gh GHA,FW,Brøndby,20,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Žan Zaletel,si SVN,DF,Viborg,23,1999,25.2,1,10,3,30.0,0.40,0.12,0.10,0.33,,0,0,Matches
Jan Žambůrek,cz CZE,MF,Viborg,22,2001,1.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Oliver Zandén,se SWE,DF,Randers,21,2001,4.6,0,3,0,0.0,0.65,0.00,0.00,,,0,0,Matches
Stefán Þórðarson,is ISL,"MF,FW",Silkeborg,24,1998,19.5,9,50,22,44.0,2.56,1.13,0.18,0.41,,0,0,Matches
Filip Đukić,me MNE,GK,Hvidovre IF,23,1999,25.0,0,0,0,,0.00,0.00,,,,0,0,Matches
