club_id,club,num_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
247,Salernitana,39.0,38.0,12124.0,15920.0,76.0,210672.0,79322.0,5624.0,6417.0,87.0,4851.0,5890.0,82.0,1233.0,2585.0,47.0,25.0,22.0,18.0,2.0,310.0,885.0,207.0,74.0,1119.0,Serie_A,2023_2024
247,Salernitana,42.0,38.0,10680.0,14461.0,73.0,195791.0,85345.0,4826.0,5745.0,84.0,4093.0,5155.0,79.0,1387.0,2552.0,54.0,19.0,24.0,25.0,-5.0,305.0,841.0,222.0,99.0,1031.0,Serie_A,2021_2022
248,Sampdoria,40.0,38.0,12606.0,16575.0,76.0,231539.0,88820.0,5369.0,6223.0,86.0,5427.0,6538.0,83.0,1489.0,2830.0,52.0,18.0,24.0,25.0,-6.0,272.0,886.0,241.0,74.0,1126.0,Serie_A,2022_2023
248,Sampdoria,34.0,38.0,12901.0,17022.0,75.0,235384.0,91587.0,5582.0,6565.0,85.0,5317.0,6436.0,82.0,1566.0,2904.0,53.0,29.0,26.0,27.0,2.0,295.0,921.0,266.0,89.0,1187.0,Serie_A,2021_2022
249,Samsunspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Santa Clara,32.0,34.0,10609.0,14029.0,75.0,206207.0,81040.0,4137.0,4877.0,84.0,4747.0,5605.0,84.0,1498.0,2822.0,53.0,22.0,26.0,23.0,-4.0,247.0,809.0,156.0,36.0,967.0,Primeira_Liga,2021_2022
250,Santa Clara,34.0,34.0,9314.0,12905.0,72.0,184185.0,77502.0,3691.0,4463.0,82.0,3939.0,4922.0,80.0,1446.0,2753.0,52.0,18.0,22.0,21.0,-4.0,245.0,737.0,168.0,53.0,919.0,Primeira_Liga,2022_2023
251,Sassuolo,31.0,38.0,14805.0,18306.0,80.0,269825.0,99100.0,6480.0,7323.0,88.0,6109.0,7036.0,86.0,1835.0,2980.0,61.0,30.0,36.0,31.0,-6.0,371.0,1092.0,328.0,82.0,1565.0,Serie_A,2022_2023
251,Sassuolo,30.0,38.0,11978.0,15683.0,76.0,221423.0,83557.0,4986.0,5788.0,86.0,5295.0,6301.0,84.0,1385.0,2776.0,49.0,28.0,25.0,25.0,2.0,340.0,995.0,248.0,60.0,1301.0,Serie_A,2023_2024
251,Sassuolo,29.0,38.0,17027.0,20327.0,83.0,290090.0,104090.0,8123.0,8959.0,90.0,6598.0,7443.0,88.0,1724.0,2681.0,64.0,39.0,39.0,33.0,0.0,431.0,1178.0,316.0,55.0,1507.0,Serie_A,2021_2022
252,Schalke 04,35.0,34.0,9234.0,13360.0,69.0,182759.0,80288.0,3511.0,4414.0,79.0,4162.0,5223.0,79.0,1331.0,2803.0,47.0,24.0,28.0,31.0,-4.0,282.0,698.0,250.0,110.0,934.0,Bundesliga,2022_2023
253,Septemvri Sofia,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Sevilla,33.0,38.0,18327.0,22234.0,82.0,341688.0,109518.0,7686.0,8529.0,90.0,7941.0,8940.0,88.0,2275.0,3745.0,60.0,40.0,32.0,34.0,7.0,342.0,1207.0,305.0,112.0,1596.0,La_Liga,2021_2022
254,Sevilla,35.0,38.0,15379.0,19193.0,80.0,273953.0,95369.0,7106.0,7918.0,89.0,6324.0,7354.0,86.0,1599.0,2958.0,54.0,31.0,32.0,34.0,-1.0,341.0,1230.0,302.0,95.0,1513.0,La_Liga,2022_2023
254,Sevilla,35.0,38.0,14628.0,18599.0,78.0,267530.0,97170.0,6501.0,7367.0,88.0,6128.0,7177.0,85.0,1667.0,3111.0,53.0,30.0,31.0,32.0,-1.0,363.0,1207.0,286.0,134.0,1416.0,La_Liga,2023_2024
255,Sheffield Utd,35.0,38.0,9521.0,13498.0,70.0,169803.0,71320.0,4486.0,5347.0,83.0,3733.0,4691.0,79.0,1044.0,2630.0,39.0,18.0,25.0,21.0,-7.0,257.0,701.0,198.0,48.0,884.0,Premier_League,2023_2024
256,Silkeborg,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Silkeborg,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Silkeborg,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Sint-Truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Sint-Truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Sint-Truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Sivasspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Sivasspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Sivasspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Slavia Sofia,,,,,,,,,,,,,,,,,,,,,,,,,,,
