club_id,club,num_of_players,avg_age,avg_possession,matches_played,league,season
24,Arouca,29,26,47,34,Primeira_Liga,2022_2023
25,Arsenal,25,25,58,38,Premier_League,2023_2024
25,Arsenal,26,24,59,38,Premier_League,2022_2023
25,Arsenal,27,24,52,38,Premier_League,2021_2022
26,Asteras Tripoli,33,27,,33,Super_League_Greece,2023_2024
26,Asteras Tripoli,27,26,,33,Super_League_Greece,2021_2022
26,Asteras Tripoli,33,29,,33,Super_League_Greece,2022_2023
27,Aston Villa,31,26,53,38,Premier_League,2023_2024
27,Aston Villa,26,27,49,38,Premier_League,2022_2023
27,Aston Villa,31,26,46,38,Premier_League,2021_2022
28,Atalanta,27,26,49,38,Serie_A,2022_2023
28,Atalanta,29,26,51,38,Serie_A,2023_2024
28,Atalanta,32,27,55,38,Serie_A,2021_2022
29,Athletic Club,26,26,48,38,La_Liga,2021_2022
29,Athletic Club,26,27,51,38,La_Liga,2022_2023
29,Athletic Club,27,27,49,38,La_Liga,2023_2024
30,Atlético Madrid,26,28,50,38,La_Liga,2021_2022
30,Atlético Madrid,27,28,50,38,La_Liga,2022_2023
30,Atlético Madrid,27,29,50,38,La_Liga,2023_2024
31,Atromitos,27,27,,33,Super_League_Greece,2023_2024
31,Atromitos,31,28,,33,Super_League_Greece,2021_2022
31,Atromitos,26,27,,33,Super_League_Greece,2022_2023
32,Augsburg,34,25,41,34,Bundesliga,2022_2023
32,Augsburg,26,26,41,34,Bundesliga,2021_2022
32,Augsburg,29,26,43,34,Bundesliga,2023_2024
33,Austria Wien,29,25,52,32,Austrian_Bundesliga,2022_2023
33,Austria Wien,26,24,48,32,Austrian_Bundesliga,2021_2022
33,Austria Wien,28,25,57,32,Austrian_Bundesliga,2023_2024
34,Auxerre,33,27,43,38,Ligue_1,2022_2023
35,B-SAD,37,25,43,34,Primeira_Liga,2021_2022
36,Barcelona,38,26,64,38,La_Liga,2021_2022
36,Barcelona,29,25,64,38,La_Liga,2022_2023
36,Barcelona,29,26,64,38,La_Liga,2023_2024
37,Bayern Munich,28,26,64,34,Bundesliga,2022_2023
37,Bayern Munich,30,26,64,34,Bundesliga,2021_2022
37,Bayern Munich,30,27,61,34,Bundesliga,2023_2024
38,Başakşehir,35,28,53,38,Super_Lig,2023_2024
38,Başakşehir,33,29,56,38,Super_Lig,2021_2022
38,Başakşehir,38,29,52,36,Super_Lig,2022_2023
39,Beerschot,33,26,44,34,Belgian_Pro_League,2021_2022
40,Benfica,34,26,59,34,Primeira_Liga,2023_2024
40,Benfica,35,27,60,34,Primeira_Liga,2021_2022
40,Benfica,32,26,63,34,Primeira_Liga,2022_2023
41,Beroe,38,27,,35,Bulgarian_First_League,2022_2023
41,Beroe,40,24,,35,Bulgarian_First_League,2023_2024
41,Beroe,28,28,,32,Bulgarian_First_League,2021_2022
42,Betis,31,28,53,38,La_Liga,2021_2022
42,Betis,30,28,50,38,La_Liga,2022_2023
42,Betis,35,27,50,38,La_Liga,2023_2024
43,Beşiktaş,37,27,55,38,Super_Lig,2023_2024
43,Beşiktaş,29,27,55,38,Super_Lig,2021_2022
43,Beşiktaş,35,28,52,36,Super_Lig,2022_2023
44,Blau-Weiß Linz,25,25,44,32,Austrian_Bundesliga,2023_2024
45,Boavista,23,26,48,34,Primeira_Liga,2023_2024
45,Boavista,28,26,44,34,Primeira_Liga,2021_2022
45,Boavista,30,27,48,34,Primeira_Liga,2022_2023
46,Bochum,26,29,46,34,Bundesliga,2022_2023
46,Bochum,28,28,44,34,Bundesliga,2021_2022
46,Bochum,25,29,46,34,Bundesliga,2023_2024
47,Bologna,27,26,54,38,Serie_A,2022_2023
47,Bologna,28,25,58,38,Serie_A,2023_2024
47,Bologna,36,26,50,38,Serie_A,2021_2022
48,Bordeaux,39,25,47,38,Ligue_1,2021_2022
49,Botev Plovdiv,44,25,,36,Bulgarian_First_League,2022_2023
49,Botev Plovdiv,46,25,,36,Bulgarian_First_League,2023_2024
49,Botev Plovdiv,30,26,,31,Bulgarian_First_League,2021_2022
50,Botev Vratsa,32,26,,35,Bulgarian_First_League,2022_2023
50,Botev Vratsa,31,27,,35,Bulgarian_First_League,2023_2024
50,Botev Vratsa,37,24,,32,Bulgarian_First_League,2021_2022
51,Bournemouth,30,25,44,38,Premier_League,2023_2024
51,Bournemouth,31,26,40,38,Premier_League,2022_2023
52,Braga,25,27,56,34,Primeira_Liga,2023_2024
52,Braga,40,25,53,34,Primeira_Liga,2021_2022
52,Braga,31,26,54,34,Primeira_Liga,2022_2023
53,Brentford,28,26,45,38,Premier_League,2023_2024
53,Brentford,25,26,43,38,Premier_League,2022_2023
53,Brentford,29,25,44,38,Premier_League,2021_2022
54,Brest,29,26,44,38,Ligue_1,2022_2023
54,Brest,25,27,53,34,Ligue_1,2023_2024
54,Brest,25,25,43,38,Ligue_1,2021_2022
55,Brighton,30,25,59,38,Premier_League,2023_2024
55,Brighton,29,26,60,38,Premier_League,2022_2023
55,Brighton,26,26,54,38,Premier_League,2021_2022
56,Bruk-Bet Termalica Nieciecza,38,26,,34,Ekstraklasa,2021_2022
57,Brøndby,30,25,51,32,Danish_Superliga,2022_2023
57,Brøndby,33,24,52,32,Danish_Superliga,2021_2022
57,Brøndby,31,26,54,32,Danish_Superliga,2023_2024
58,Burnley,31,24,47,38,Premier_League,2023_2024
58,Burnley,23,28,40,38,Premier_League,2021_2022
59,CSKA 1948,34,26,,35,Bulgarian_First_League,2022_2023
59,CSKA 1948,41,25,,36,Bulgarian_First_League,2023_2024
59,CSKA 1948,41,26,,32,Bulgarian_First_League,2021_2022
60,CSKA Sofia,30,26,,35,Bulgarian_First_League,2022_2023
60,CSKA Sofia,34,26,,35,Bulgarian_First_League,2023_2024
60,CSKA Sofia,31,26,,31,Bulgarian_First_League,2021_2022
61,Cagliari,29,26,42,38,Serie_A,2023_2024
61,Cagliari,33,26,44,38,Serie_A,2021_2022
62,Cambuur,31,25,47,34,Eredivisie,2022_2023
62,Cambuur,27,26,48,34,Eredivisie,2021_2022
63,Casa Pia,32,27,43,34,Primeira_Liga,2023_2024
63,Casa Pia,31,28,42,34,Primeira_Liga,2022_2023
64,Celta Vigo,25,28,55,38,La_Liga,2021_2022
64,Celta Vigo,26,26,50,38,La_Liga,2022_2023
64,Celta Vigo,31,26,46,38,La_Liga,2023_2024
65,Cercle Brugge,27,23,45,30,Belgian_Pro_League,2023_2024
65,Cercle Brugge,25,23,46,34,Belgian_Pro_League,2021_2022
65,Cercle Brugge,27,23,44,34,Belgian_Pro_League,2022_2023
66,Charleroi,30,25,47,30,Belgian_Pro_League,2023_2024
66,Charleroi,34,24,50,34,Belgian_Pro_League,2021_2022
66,Charleroi,29,24,51,34,Belgian_Pro_League,2022_2023
67,Chaves,31,27,43,34,Primeira_Liga,2023_2024
67,Chaves,31,27,46,34,Primeira_Liga,2022_2023
68,Chelsea,32,24,58,38,Premier_League,2023_2024
68,Chelsea,32,26,58,38,Premier_League,2022_2023
68,Chelsea,26,27,61,38,Premier_League,2021_2022
69,Cherno More,31,26,,35,Bulgarian_First_League,2022_2023
69,Cherno More,29,27,,35,Bulgarian_First_League,2023_2024
69,Cherno More,31,26,,31,Bulgarian_First_League,2021_2022
70,Clermont Foot,28,27,48,38,Ligue_1,2022_2023
70,Clermont Foot,31,26,48,34,Ligue_1,2023_2024
70,Clermont Foot,28,26,50,38,Ligue_1,2021_2022
71,Club Brugge,29,25,56,30,Belgian_Pro_League,2023_2024
71,Club Brugge,31,26,58,34,Belgian_Pro_League,2021_2022
71,Club Brugge,32,26,57,34,Belgian_Pro_League,2022_2023
72,Cracovia,33,26,,34,Ekstraklasa,2021_2022
72,Cracovia,31,25,,34,Ekstraklasa,2022_2023
72,Cracovia,29,26,,34,Ekstraklasa,2023_2024
73,Cremonese,33,26,42,38,Serie_A,2022_2023
74,Crystal Palace,26,26,42,38,Premier_League,2023_2024
74,Crystal Palace,26,26,46,38,Premier_League,2022_2023
74,Crystal Palace,24,27,51,38,Premier_League,2021_2022
75,Cádiz,33,28,41,38,La_Liga,2021_2022
75,Cádiz,38,29,41,38,La_Liga,2022_2023
75,Cádiz,34,28,43,38,La_Liga,2023_2024
76,Darmstadt 98,32,27,45,34,Bundesliga,2023_2024
77,Dortmund,30,25,58,34,Bundesliga,2022_2023
77,Dortmund,33,25,59,34,Bundesliga,2021_2022
77,Dortmund,32,26,57,34,Bundesliga,2023_2024
78,Eint Frankfurt,28,26,52,34,Bundesliga,2022_2023
78,Eint Frankfurt,27,26,49,34,Bundesliga,2021_2022
78,Eint Frankfurt,34,25,52,34,Bundesliga,2023_2024
79,Elche,28,29,48,38,La_Liga,2021_2022
79,Elche,32,28,45,38,La_Liga,2022_2023
80,Emmen,30,25,48,34,Eredivisie,2022_2023
81,Empoli,32,25,47,38,Serie_A,2022_2023
81,Empoli,34,26,44,38,Serie_A,2023_2024
81,Empoli,28,24,47,38,Serie_A,2021_2022
82,Espanyol,34,27,46,38,La_Liga,2021_2022
82,Espanyol,33,27,43,38,La_Liga,2022_2023
83,Estoril,31,24,48,34,Primeira_Liga,2023_2024
83,Estoril,31,25,47,34,Primeira_Liga,2021_2022
83,Estoril,33,24,47,34,Primeira_Liga,2022_2023
84,Estrela,34,27,47,34,Primeira_Liga,2023_2024
85,Etar,41,26,,35,Bulgarian_First_League,2023_2024
86,Eupen,26,25,44,30,Belgian_Pro_League,2023_2024
86,Eupen,34,26,49,34,Belgian_Pro_League,2021_2022
86,Eupen,30,24,47,34,Belgian_Pro_League,2022_2023
87,Everton,26,27,40,38,Premier_League,2023_2024
87,Everton,28,26,42,38,Premier_League,2022_2023
87,Everton,33,26,40,38,Premier_League,2021_2022
88,Excelsior,28,23,41,34,Eredivisie,2022_2023
88,Excelsior,27,23,45,34,Eredivisie,2023_2024
89,FC Copenhagen,32,24,56,32,Danish_Superliga,2022_2023
89,FC Copenhagen,35,25,50,32,Danish_Superliga,2021_2022
89,FC Copenhagen,28,26,53,32,Danish_Superliga,2023_2024
90,FC Spartak Varna,40,26,,35,Bulgarian_First_League,2022_2023
91,FK IMT Novi Beograd,38,23,,37,Serbian_SuperLiga,2023_2024
92,FK Kolubara,35,27,,37,Serbian_SuperLiga,2021_2022
92,FK Kolubara,39,26,,37,Serbian_SuperLiga,2022_2023
93,FK Levski 2005,32,26,,35,Bulgarian_First_League,2023_2024
94,FK Mladost Novi Sad,39,27,,37,Serbian_SuperLiga,2022_2023
95,FK Železničar Pančevo,36,27,,37,Serbian_SuperLiga,2023_2024
96,Famalicão,27,23,47,34,Primeira_Liga,2023_2024
96,Famalicão,37,23,47,34,Primeira_Liga,2021_2022
96,Famalicão,33,24,47,34,Primeira_Liga,2022_2023
97,Farense,25,28,42,34,Primeira_Liga,2023_2024
98,Fatih Karagümrük,35,28,50,38,Super_Lig,2023_2024
98,Fatih Karagümrük,34,29,52,38,Super_Lig,2021_2022
98,Fatih Karagümrük,34,27,48,36,Super_Lig,2022_2023
99,Fenerbahçe,33,28,57,38,Super_Lig,2023_2024
99,Fenerbahçe,31,26,55,38,Super_Lig,2021_2022
99,Fenerbahçe,29,26,59,36,Super_Lig,2022_2023
100,Feyenoord,30,23,58,34,Eredivisie,2022_2023
100,Feyenoord,31,24,58,34,Eredivisie,2021_2022
100,Feyenoord,25,24,61,34,Eredivisie,2023_2024
101,Fiorentina,30,26,56,38,Serie_A,2022_2023
101,Fiorentina,30,27,57,38,Serie_A,2023_2024
101,Fiorentina,28,26,57,38,Serie_A,2021_2022
102,Fortuna Sittard,28,26,44,34,Eredivisie,2022_2023
102,Fortuna Sittard,29,26,43,34,Eredivisie,2021_2022
102,Fortuna Sittard,32,26,43,34,Eredivisie,2023_2024
103,Freiburg,27,27,48,34,Bundesliga,2022_2023
103,Freiburg,26,26,49,34,Bundesliga,2021_2022
103,Freiburg,25,27,46,34,Bundesliga,2023_2024
104,Frosinone,34,24,49,38,Serie_A,2023_2024
105,Fulham,25,28,50,38,Premier_League,2023_2024
105,Fulham,29,28,48,38,Premier_League,2022_2023
106,Galatasaray,32,28,61,38,Super_Lig,2023_2024
106,Galatasaray,36,26,54,38,Super_Lig,2021_2022
106,Galatasaray,33,27,56,36,Super_Lig,2022_2023
107,Gaziantep FK,30,29,42,38,Super_Lig,2023_2024
107,Gaziantep FK,32,28,46,38,Super_Lig,2021_2022
107,Gaziantep FK,24,28,43,36,Super_Lig,2022_2023
108,Genk,26,24,53,30,Belgian_Pro_League,2023_2024
108,Genk,27,24,58,34,Belgian_Pro_League,2021_2022
108,Genk,28,24,53,34,Belgian_Pro_League,2022_2023
109,Genoa,34,26,44,38,Serie_A,2023_2024
109,Genoa,40,27,43,38,Serie_A,2021_2022
110,Gent,32,26,54,30,Belgian_Pro_League,2023_2024
110,Gent,28,27,54,34,Belgian_Pro_League,2021_2022
110,Gent,31,26,55,34,Belgian_Pro_League,2022_2023
111,Getafe,31,26,41,38,La_Liga,2021_2022
111,Getafe,25,27,39,38,La_Liga,2022_2023
111,Getafe,33,27,44,38,La_Liga,2023_2024
112,Gil Vicente FC,31,25,49,34,Primeira_Liga,2023_2024
112,Gil Vicente FC,29,25,54,34,Primeira_Liga,2021_2022
112,Gil Vicente FC,32,25,53,34,Primeira_Liga,2022_2023
113,Giresunspor,36,26,47,38,Super_Lig,2021_2022
113,Giresunspor,26,26,43,36,Super_Lig,2022_2023
114,Girona,29,26,51,38,La_Liga,2022_2023
114,Girona,25,26,56,38,La_Liga,2023_2024
115,Gladbach,27,26,53,34,Bundesliga,2022_2023
115,Gladbach,26,26,54,34,Bundesliga,2021_2022
115,Gladbach,27,25,46,34,Bundesliga,2023_2024
116,Go Ahead Eag,27,24,46,34,Eredivisie,2022_2023
116,Go Ahead Eag,26,24,47,34,Eredivisie,2021_2022
116,Go Ahead Eag,23,25,44,34,Eredivisie,2023_2024
117,Granada,32,28,44,38,La_Liga,2021_2022
117,Granada,40,26,45,38,La_Liga,2023_2024
118,Greuther Fürth,29,25,43,34,Bundesliga,2021_2022
119,Groningen,36,23,46,34,Eredivisie,2022_2023
119,Groningen,28,24,48,34,Eredivisie,2021_2022
120,Górnik Zabrze,30,26,,34,Ekstraklasa,2021_2022
120,Górnik Zabrze,33,27,,34,Ekstraklasa,2022_2023
120,Górnik Zabrze,26,26,,34,Ekstraklasa,2023_2024
121,Górnik Łęczna,33,28,,34,Ekstraklasa,2021_2022
122,Göztepe,36,27,49,38,Super_Lig,2021_2022
123,Hartberg,32,26,46,32,Austrian_Bundesliga,2022_2023
123,Hartberg,30,27,51,32,Austrian_Bundesliga,2021_2022
123,Hartberg,23,24,52,32,Austrian_Bundesliga,2023_2024
124,Hatayspor,33,25,47,38,Super_Lig,2023_2024
124,Hatayspor,31,28,48,38,Super_Lig,2021_2022
124,Hatayspor,28,28,49,36,Super_Lig,2022_2023
125,Heerenveen,26,24,50,34,Eredivisie,2022_2023
125,Heerenveen,32,24,47,34,Eredivisie,2021_2022
125,Heerenveen,26,25,49,34,Eredivisie,2023_2024
126,Heidenheim,22,26,42,34,Bundesliga,2023_2024
127,Hellas Verona,36,26,41,38,Serie_A,2022_2023
127,Hellas Verona,36,25,44,38,Serie_A,2023_2024
127,Hellas Verona,31,26,50,38,Serie_A,2021_2022
128,Heracles Almelo,31,23,46,34,Eredivisie,2021_2022
128,Heracles Almelo,27,25,46,34,Eredivisie,2023_2024
129,Hertha BSC,32,26,42,34,Bundesliga,2022_2023
129,Hertha BSC,36,26,43,34,Bundesliga,2021_2022
130,Hoffenheim,31,26,48,34,Bundesliga,2022_2023
130,Hoffenheim,32,26,53,34,Bundesliga,2021_2022
130,Hoffenheim,30,27,49,34,Bundesliga,2023_2024
131,Horsens,25,26,42,32,Danish_Superliga,2022_2023
132,Hvidovre IF,29,27,51,32,Danish_Superliga,2023_2024
133,Inter,25,28,55,38,Serie_A,2022_2023
133,Inter,27,29,57,38,Serie_A,2023_2024
133,Inter,27,28,56,38,Serie_A,2021_2022
134,Ionikos,30,29,,33,Super_League_Greece,2021_2022
134,Ionikos,30,30,,33,Super_League_Greece,2022_2023
135,Jagiellonia,38,27,,34,Ekstraklasa,2021_2022
135,Jagiellonia,31,27,,34,Ekstraklasa,2022_2023
135,Jagiellonia,27,26,,34,Ekstraklasa,2023_2024
136,Javor Ivanjica,34,24,,37,Serbian_SuperLiga,2022_2023
136,Javor Ivanjica,31,25,,37,Serbian_SuperLiga,2023_2024
137,Juventus,29,27,49,38,Serie_A,2022_2023
137,Juventus,31,26,48,38,Serie_A,2023_2024
137,Juventus,32,27,51,38,Serie_A,2021_2022
138,Kasımpaşa,32,27,47,38,Super_Lig,2023_2024
138,Kasımpaşa,32,27,51,38,Super_Lig,2021_2022
138,Kasımpaşa,39,28,45,36,Super_Lig,2022_2023
139,Kayserispor,33,28,52,38,Super_Lig,2023_2024
139,Kayserispor,38,28,44,38,Super_Lig,2021_2022
139,Kayserispor,28,28,51,36,Super_Lig,2022_2023
140,Konyaspor,36,28,46,38,Super_Lig,2023_2024
140,Konyaspor,27,28,51,38,Super_Lig,2021_2022
140,Konyaspor,31,28,50,36,Super_Lig,2022_2023
141,Korona Kielce,34,27,,34,Ekstraklasa,2022_2023
141,Korona Kielce,28,27,,34,Ekstraklasa,2023_2024
142,Kortrijk,36,24,43,30,Belgian_Pro_League,2023_2024
142,Kortrijk,32,25,47,34,Belgian_Pro_League,2021_2022
142,Kortrijk,32,25,49,34,Belgian_Pro_League,2022_2023
143,Köln,27,26,49,34,Bundesliga,2022_2023
143,Köln,26,27,54,34,Bundesliga,2021_2022
143,Köln,26,25,46,34,Bundesliga,2023_2024
144,LASK,31,26,54,32,Austrian_Bundesliga,2022_2023
144,LASK,32,25,56,32,Austrian_Bundesliga,2021_2022
144,LASK,30,25,54,32,Austrian_Bundesliga,2023_2024
145,Las Palmas,29,25,59,38,La_Liga,2023_2024
146,Lazio,24,28,52,38,Serie_A,2022_2023
146,Lazio,22,28,53,38,Serie_A,2023_2024
146,Lazio,27,29,55,38,Serie_A,2021_2022
147,Le Havre,27,26,44,34,Ligue_1,2023_2024
148,Lecce,29,24,41,38,Serie_A,2022_2023
148,Lecce,26,24,44,38,Serie_A,2023_2024
149,Lech Poznań,28,26,,34,Ekstraklasa,2021_2022
149,Lech Poznań,29,26,,34,Ekstraklasa,2022_2023
149,Lech Poznań,26,27,,34,Ekstraklasa,2023_2024
150,Lechia Gdańsk,31,27,,34,Ekstraklasa,2021_2022
150,Lechia Gdańsk,28,28,,34,Ekstraklasa,2022_2023
151,Leeds United,29,25,47,38,Premier_League,2022_2023
151,Leeds United,29,26,52,38,Premier_League,2021_2022
152,Legia Warsaw,39,26,,34,Ekstraklasa,2021_2022
152,Legia Warsaw,28,26,,34,Ekstraklasa,2022_2023
152,Legia Warsaw,30,27,,34,Ekstraklasa,2023_2024
153,Leicester City,28,26,47,38,Premier_League,2022_2023
153,Leicester City,28,26,52,38,Premier_League,2021_2022
154,Lens,29,26,55,38,Ligue_1,2022_2023
154,Lens,27,26,52,34,Ligue_1,2023_2024
154,Lens,28,26,50,38,Ligue_1,2021_2022
155,Levadiakos,34,26,,33,Super_League_Greece,2022_2023
156,Levante,31,28,47,38,La_Liga,2021_2022
157,Leverkusen,27,24,52,34,Bundesliga,2022_2023
157,Leverkusen,29,24,53,34,Bundesliga,2021_2022
157,Leverkusen,24,26,61,34,Bundesliga,2023_2024
158,Levski Sofia,28,23,,35,Bulgarian_First_League,2022_2023
158,Levski Sofia,32,23,,35,Bulgarian_First_League,2023_2024
158,Levski Sofia,31,24,,31,Bulgarian_First_League,2021_2022
159,Lille,26,26,60,38,Ligue_1,2022_2023
159,Lille,28,25,56,34,Ligue_1,2023_2024
159,Lille,26,26,50,38,Ligue_1,2021_2022
160,Liverpool,30,26,61,38,Premier_League,2023_2024
160,Liverpool,28,27,60,38,Premier_League,2022_2023
160,Liverpool,27,27,62,38,Premier_League,2021_2022
161,Loko Plovdiv,31,25,,35,Bulgarian_First_League,2022_2023
161,Loko Plovdiv,33,25,,35,Bulgarian_First_League,2023_2024
161,Loko Plovdiv,28,26,,32,Bulgarian_First_League,2021_2022
162,Lokomotiv Sofia,29,26,,36,Bulgarian_First_League,2022_2023
162,Lokomotiv Sofia,29,26,,35,Bulgarian_First_League,2023_2024
162,Lokomotiv Sofia,32,26,,32,Bulgarian_First_League,2021_2022
163,Lorient,30,25,46,38,Ligue_1,2022_2023
163,Lorient,38,24,46,34,Ligue_1,2023_2024
163,Lorient,29,26,44,38,Ligue_1,2021_2022
164,Ludogorets,32,26,,35,Bulgarian_First_League,2022_2023
164,Ludogorets,44,27,,35,Bulgarian_First_League,2023_2024
164,Ludogorets,32,27,,31,Bulgarian_First_League,2021_2022
165,Luton Town,28,26,42,38,Premier_League,2023_2024
166,Lyngby,31,25,45,32,Danish_Superliga,2022_2023
166,Lyngby,34,25,46,32,Danish_Superliga,2023_2024
167,Lyon,29,25,58,38,Ligue_1,2022_2023
167,Lyon,35,26,51,34,Ligue_1,2023_2024
167,Lyon,30,25,58,38,Ligue_1,2021_2022
168,Mainz 05,27,27,44,34,Bundesliga,2022_2023
168,Mainz 05,28,26,46,34,Bundesliga,2021_2022
168,Mainz 05,30,26,46,34,Bundesliga,2023_2024
169,Mallorca,33,27,45,38,La_Liga,2021_2022
169,Mallorca,31,27,41,38,La_Liga,2022_2023
169,Mallorca,25,28,45,38,La_Liga,2023_2024
170,Manchester City,25,26,65,38,Premier_League,2023_2024
170,Manchester City,24,27,64,38,Premier_League,2022_2023
170,Manchester City,26,27,67,38,Premier_League,2021_2022
171,Manchester Utd,31,26,50,38,Premier_League,2023_2024
171,Manchester Utd,26,26,53,38,Premier_League,2022_2023
171,Manchester Utd,29,27,52,38,Premier_League,2021_2022
172,Marseille,30,27,56,38,Ligue_1,2022_2023
172,Marseille,33,27,53,34,Ligue_1,2023_2024
172,Marseille,27,25,61,38,Ligue_1,2021_2022
173,Marítimo,30,27,48,34,Primeira_Liga,2021_2022
173,Marítimo,39,26,48,34,Primeira_Liga,2022_2023
174,Mechelen,30,26,50,30,Belgian_Pro_League,2023_2024
174,Mechelen,27,26,53,34,Belgian_Pro_League,2021_2022
174,Mechelen,31,26,51,34,Belgian_Pro_League,2022_2023
175,Metalac GM,33,23,,37,Serbian_SuperLiga,2021_2022
176,Metz,30,26,35,34,Ligue_1,2023_2024
176,Metz,36,25,42,38,Ligue_1,2021_2022
177,Midtjylland,33,25,50,32,Danish_Superliga,2022_2023
177,Midtjylland,35,25,49,32,Danish_Superliga,2021_2022
177,Midtjylland,35,25,47,32,Danish_Superliga,2023_2024
178,Miedź Legnica,31,27,,34,Ekstraklasa,2022_2023
179,Milan,30,26,55,38,Serie_A,2022_2023
179,Milan,35,26,56,38,Serie_A,2023_2024
179,Milan,28,25,54,38,Serie_A,2021_2022
180,Mladost Lučani,39,28,,37,Serbian_SuperLiga,2021_2022
180,Mladost Lučani,40,28,,37,Serbian_SuperLiga,2022_2023
180,Mladost Lučani,36,31,,37,Serbian_SuperLiga,2023_2024
181,Monaco,27,24,48,38,Ligue_1,2022_2023
181,Monaco,30,25,53,34,Ligue_1,2023_2024
181,Monaco,27,24,54,38,Ligue_1,2021_2022
182,Montpellier,31,26,45,38,Ligue_1,2022_2023
182,Montpellier,31,26,44,34,Ligue_1,2023_2024
182,Montpellier,27,25,48,38,Ligue_1,2021_2022
183,Monza,31,26,55,38,Serie_A,2022_2023
183,Monza,31,26,53,38,Serie_A,2023_2024
184,Moreirense,29,26,46,34,Primeira_Liga,2023_2024
184,Moreirense,29,27,44,34,Primeira_Liga,2021_2022
185,NEC Nijmegen,22,25,50,34,Eredivisie,2022_2023
185,NEC Nijmegen,25,24,47,34,Eredivisie,2021_2022
185,NEC Nijmegen,28,26,48,34,Eredivisie,2023_2024
186,Nantes,29,26,45,38,Ligue_1,2022_2023
186,Nantes,35,26,44,34,Ligue_1,2023_2024
186,Nantes,26,26,43,38,Ligue_1,2021_2022
187,Napoli,27,26,61,38,Serie_A,2022_2023
187,Napoli,29,27,60,38,Serie_A,2023_2024
187,Napoli,27,27,58,38,Serie_A,2021_2022
188,Napredak Kruš,35,26,,37,Serbian_SuperLiga,2021_2022
188,Napredak Kruš,30,27,,37,Serbian_SuperLiga,2022_2023
188,Napredak Kruš,36,27,,37,Serbian_SuperLiga,2023_2024
189,Newcastle Utd,32,27,52,38,Premier_League,2023_2024
189,Newcastle Utd,27,27,52,38,Premier_League,2022_2023
189,Newcastle Utd,29,27,40,38,Premier_League,2021_2022
190,Nice,34,26,51,38,Ligue_1,2022_2023
