player_id,player,nation,position,club,age,year_of_birth,league,season,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
2875,Edwin Ramos,COL,MF,Beroe,24,1999,Bulgarian_First_League,2023_2024,16.2,6,0,0,,,,,,,,,0,,,,
2876,Edwin Rodríguez,HON,MF,Aris,22,1999,Super_League_Greece,2022_2023,0.1,0,0,0,,,,,,,,,0,,,,
2877,Efe Akman,TUR,MF,Galatasaray,17,2006,Super_Lig,2023_2024,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,,,,
2878,Efe Ali,BUL,MF,Loko Plovdiv,20,2003,Bulgarian_First_League,2023_2024,12.8,5,0,0,,,,,,,,,0,,,,
2879,Efe Arda Koyuncu,TUR,DF,Başakşehir,16,2005,Super_Lig,2021_2022,1.0,0,0,0,1.0,0.0,0.0,0.0,2.0,1.0,,,0,,,,
2880,Efe Sarikaya,TUR,DF,Altay,15,2005,Super_Lig,2021_2022,1.0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,,,0,,,,
2881,Efe Tecimer,TUR,FW,Rizespor,18,2003,Super_Lig,2021_2022,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,,,0,,,,
2882,Efecan Karaca,TUR,"MF,FW",Alanyaspor,31,1989,Super_Lig,2021_2022,30.9,4,1,0,27.0,66.0,14.0,56.0,11.0,21.0,,,0,,,,
2882,Efecan Karaca,TUR,"MF,FW",Alanyaspor,32,1989,Super_Lig,2022_2023,25.9,4,0,0,28.0,74.0,12.0,78.0,11.0,16.0,,,0,,,,
2882,Efecan Karaca,TUR,"MF,FW",Alanyaspor,33,1989,Super_Lig,2023_2024,30.3,5,0,0,25.0,81.0,8.0,68.0,9.0,33.0,,,0,,,,
2883,Efstathios Tachatos,GRE,DF,Volos NFC,21,2001,Super_League_Greece,2023_2024,5.6,4,0,0,,,,,,,,,0,,,,
2883,Efstathios Tachatos,GRE,"DF,MF",Volos NFC,20,2001,Super_League_Greece,2022_2023,7.4,3,0,0,,,,,,,,,0,,,,
2884,Efthimis Koulouris,GRE,FW,Alanyaspor,26,1996,Super_Lig,2022_2023,5.3,1,0,0,9.0,3.0,5.0,1.0,2.0,3.0,,,0,,,,
2884,Efthimis Koulouris,GRE,FW,Atromitos,25,1996,Super_League_Greece,2021_2022,31.3,7,0,0,,,,,,,,,0,,,,
2884,Efthimis Koulouris,GRE,FW,LASK,26,1996,Austrian_Bundesliga,2022_2023,3.9,2,0,0,1.0,6.0,4.0,1.0,1.0,2.0,,,0,,,,
2884,Efthimis Koulouris,GRE,FW,Pogoń Szczecin,27,1996,Ekstraklasa,2023_2024,32.0,3,0,0,,,,,,,,,0,,,,
2885,Efthymios Christopoulos,GRE,FW,AEK Athens,21,2000,Super_League_Greece,2022_2023,0.0,0,0,0,,,,,,,,,0,,,,
2886,Ege Özkayimoglu,TUR,MF,Göztepe,20,2001,Super_Lig,2021_2022,2.5,1,0,0,3.0,1.0,3.0,6.0,1.0,0.0,,,0,,,,
2887,Egor Prutsev,RUS,MF,Red Star,19,2002,Serbian_SuperLiga,2022_2023,4.6,0,0,0,,,,,,,,,0,,,,
2888,Egzon Kryeziu,SVN,MF,Lechia Gdańsk,21,2000,Ekstraklasa,2021_2022,4.4,2,0,0,,,,,,,,,0,,,,
2889,Ehije Ukaki,NGA,DF,Botev Plovdiv,18,2004,Bulgarian_First_League,2023_2024,6.7,3,0,0,,,,,,,,,0,,,,
2890,Ehsan Hajsafi,IRN,DF,AEK Athens,32,1990,Super_League_Greece,2022_2023,27.1,3,0,0,,,,,,,,,0,,,,
2890,Ehsan Hajsafi,IRN,DF,AEK Athens,33,1990,Super_League_Greece,2023_2024,17.6,2,0,0,,,,,,,,,0,,,,
2890,Ehsan Hajsafi,IRN,"DF,MF",AEK Athens,31,1990,Super_League_Greece,2021_2022,18.7,3,0,0,,,,,,,,,0,,,,
2891,Eiji Kawashima,JPN,GK,Strasbourg,38,1983,Ligue_1,2021_2022,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,
2892,Ejaita Ifoni,NGA,FW,R.F.C. Seraing,21,2000,Belgian_Pro_League,2022_2023,2.0,0,0,0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0,5.0,5.0,7.0,41.7
2893,Ejike Opara,NGA,MF,Novi Pazar,18,2005,Serbian_SuperLiga,2023_2024,3.4,0,0,0,,,,,,,,,0,,,,
2894,El Bilal Touré,MLI,FW,Almería,20,2001,La_Liga,2022_2023,14.0,0,0,0,25.0,7.0,13.0,4.0,1.0,3.0,0.0,0.0,0,46.0,44.0,46.0,48.9
2894,El Bilal Touré,MLI,FW,Atalanta,21,2001,Serie_A,2023_2024,4.4,2,0,0,13.0,8.0,3.0,2.0,1.0,1.0,1.0,0.0,0,8.0,14.0,14.0,50.0
2894,El Bilal Touré,MLI,FW,Reims,19,2001,Ligue_1,2021_2022,13.3,2,0,0,20.0,14.0,6.0,4.0,6.0,6.0,0.0,0.0,0,37.0,59.0,58.0,50.4
2894,El Bilal Touré,MLI,FW,Reims,20,2001,Ligue_1,2022_2023,1.0,0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0,6.0,33.3
2895,El Chadaille Bitshiabu,FRA,DF,Paris S-G,16,2005,Ligue_1,2021_2022,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,100.0
2895,El Chadaille Bitshiabu,FRA,DF,Paris S-G,17,2005,Ligue_1,2022_2023,6.5,2,0,0,4.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0,41.0,6.0,4.0,60.0
2895,El Chadaille Bitshiabu,FRA,"DF,MF",RB Leipzig,18,2005,Bundesliga,2023_2024,0.4,0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,6.0,0.0,3.0,0.0
2896,El Mamy Tetah,MTN,FW,Alanyaspor,19,2001,Super_Lig,2021_2022,0.1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,,,,
2896,El Mamy Tetah,MTN,FW,Arda,19,2001,Bulgarian_First_League,2021_2022,3.3,1,0,0,,,,,,,,,0,,,,
2896,El Mamy Tetah,MTN,FW,Arda,20,2001,Bulgarian_First_League,2022_2023,10.0,4,0,0,,,,,,,,,0,,,,
2896,El Mamy Tetah,MTN,FW,Arda,21,2001,Bulgarian_First_League,2023_2024,12.7,7,0,0,,,,,,,,,0,,,,
2897,Elayis Tavsan,NED,FW,NEC Nijmegen,21,2001,Eredivisie,2022_2023,28.2,2,0,0,25.0,58.0,5.0,70.0,6.0,26.0,0.0,0.0,0,91.0,10.0,27.0,27.0
2897,Elayis Tavsan,NED,FW,NEC Nijmegen,22,2001,Eredivisie,2023_2024,3.8,3,1,1,6.0,10.0,2.0,8.0,0.0,3.0,0.0,0.0,0,15.0,2.0,2.0,50.0
2897,Elayis Tavsan,NED,"FW,MF",NEC Nijmegen,20,2001,Eredivisie,2021_2022,24.9,3,0,0,18.0,60.0,6.0,37.0,8.0,6.0,0.0,0.0,0,115.0,18.0,48.0,27.3
2897,Elayis Tavsan,NED,"MF,FW",Hellas Verona,22,2001,Serie_A,2023_2024,0.6,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,
2898,Elba Rashani,KVX,"FW,MF",Clermont Foot,28,1993,Ligue_1,2021_2022,19.5,3,0,0,39.0,30.0,5.0,38.0,11.0,21.0,0.0,0.0,0,117.0,20.0,44.0,31.3
2898,Elba Rashani,KVX,"MF,FW",Clermont Foot,29,1993,Ligue_1,2022_2023,24.0,3,0,0,36.0,29.0,4.0,58.0,21.0,26.0,1.0,0.0,0,101.0,16.0,42.0,27.6
2898,Elba Rashani,KVX,"MF,FW",Clermont Foot,30,1993,Ligue_1,2023_2024,13.1,4,2,0,27.0,29.0,3.0,28.0,12.0,18.0,1.0,0.0,0,58.0,24.0,18.0,57.1
2899,Elder Santana,BRA,"FW,MF",Gil Vicente FC,28,1993,Primeira_Liga,2021_2022,3.7,1,0,0,10.0,15.0,2.0,0.0,1.0,2.0,0.0,0.0,0,6.0,21.0,26.0,44.7
2899,Elder Santana,BRA,"MF,FW",Gil Vicente FC,29,1993,Primeira_Liga,2022_2023,0.5,1,0,0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,2.0,8.0,20.0
2900,Eldor Shomurodov,UZB,FW,Roma,27,1995,Serie_A,2022_2023,1.3,0,0,0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0,2.0,2.0,2.0,50.0
2900,Eldor Shomurodov,UZB,FW,Spezia,27,1995,Serie_A,2022_2023,9.0,2,0,0,9.0,7.0,2.0,3.0,3.0,5.0,0.0,0.0,0,30.0,20.0,35.0,36.4
2900,Eldor Shomurodov,UZB,"FW,MF",Cagliari,28,1995,Serie_A,2023_2024,10.4,1,0,0,11.0,11.0,2.0,7.0,4.0,4.0,0.0,0.0,0,38.0,21.0,44.0,32.3
2900,Eldor Shomurodov,UZB,"FW,MF",Roma,26,1995,Serie_A,2021_2022,8.7,2,0,0,16.0,6.0,4.0,11.0,2.0,4.0,0.0,0.0,0,28.0,22.0,33.0,40.0
2901,Elhadji Dieye,SEN,"FW,MF",Saint-Étienne,19,2002,Ligue_1,2021_2022,0.4,0,0,0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0,4.0,1.0,1.0,50.0
2902,Eli Dasa,ISR,"DF,MF",Vitesse,28,1992,Eredivisie,2021_2022,29.1,1,0,0,14.0,14.0,2.0,202.0,27.0,19.0,0.0,0.0,0,166.0,11.0,16.0,40.7
2903,Eli Junior Kroupi,FRA,"FW,MF",Lorient,16,2006,Ligue_1,2022_2023,0.1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
2903,Eli Junior Kroupi,FRA,"FW,MF",Lorient,17,2006,Ligue_1,2023_2024,12.0,1,0,0,16.0,8.0,8.0,14.0,10.0,4.0,0.0,0.0,0,35.0,8.0,21.0,27.6
2904,Eli Just,NZL,"FW,MF",Horsens,22,2000,Danish_Superliga,2022_2023,12.2,2,0,0,14.0,18.0,0.0,25.0,10.0,16.0,,,0,,,,
2905,Elia Caprile,ITA,GK,Empoli,21,2001,Serie_A,2023_2024,23.0,0,0,0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.0,10.0,2.0,83.3
2906,Eliano Reijnders,NED,"DF,MF",Zwolle,20,2000,Eredivisie,2021_2022,14.1,2,0,0,20.0,9.0,1.0,31.0,15.0,19.0,0.0,0.0,0,91.0,23.0,29.0,44.2
2906,Eliano Reijnders,NED,"FW,DF",Zwolle,22,2000,Eredivisie,2023_2024,23.1,2,0,0,14.0,18.0,4.0,46.0,22.0,24.0,0.0,0.0,0,98.0,13.0,37.0,26.0
2907,Eliaquim Mangala,FRA,DF,Estoril,32,1991,Primeira_Liga,2023_2024,11.6,3,0,0,13.0,0.0,0.0,0.0,21.0,7.0,0.0,0.0,0,38.0,16.0,13.0,55.2
2907,Eliaquim Mangala,FRA,DF,Saint-Étienne,30,1991,Ligue_1,2021_2022,13.1,9,0,0,19.0,11.0,0.0,0.0,17.0,12.0,0.0,1.0,0,66.0,36.0,21.0,63.2
2908,Elias Achouri,TUN,"FW,MF",FC Copenhagen,24,1999,Danish_Superliga,2023_2024,23.3,7,0,0,21.0,41.0,9.0,76.0,6.0,13.0,,,0,,,,
2908,Elias Achouri,TUN,"FW,MF",Viborg,23,1999,Danish_Superliga,2022_2023,16.1,5,0,0,25.0,32.0,2.0,41.0,5.0,16.0,,,0,,,,
2908,Elias Achouri,TUN,MF,Estoril,23,1999,Primeira_Liga,2022_2023,0.1,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,100.0
2909,Elias Andersson,SWE,DF,Lech Poznań,27,1996,Ekstraklasa,2023_2024,17.6,5,0,0,,,,,,,,,0,,,,
2910,Elias Baum,GER,"DF,MF",Eint Frankfurt,17,2005,Bundesliga,2023_2024,0.3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
2911,Elias Cobbaut,BEL,DF,Mechelen,25,1997,Belgian_Pro_League,2023_2024,24.0,3,0,0,11.0,12.0,3.0,10.0,17.0,10.0,0.0,0.0,0,113.0,38.0,26.0,59.4
2912,Elias Havel,AUT,FW,LASK,20,2003,Austrian_Bundesliga,2023_2024,6.4,3,0,0,14.0,11.0,10.0,4.0,2.0,10.0,,,0,,,,
2913,Elias Hoff Melkersen,NOR,FW,Sparta R'dam,19,2002,Eredivisie,2022_2023,0.1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,2.0,50.0
2914,Elias Jelert,DEN,DF,FC Copenhagen,18,2003,Danish_Superliga,2021_2022,4.9,0,0,0,2.0,5.0,1.0,6.0,6.0,7.0,,,0,,,,
2914,Elias Jelert,DEN,"DF,MF",FC Copenhagen,19,2003,Danish_Superliga,2022_2023,21.1,7,0,0,12.0,23.0,1.0,62.0,33.0,21.0,,,0,,,,
2914,Elias Jelert,DEN,"DF,MF",FC Copenhagen,20,2003,Danish_Superliga,2023_2024,24.3,5,0,0,17.0,35.0,0.0,78.0,16.0,35.0,,,0,,,,
2915,Elias Olsson,SWE,DF,Groningen,18,2003,Eredivisie,2021_2022,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
2916,Elias Sierra,BEL,"MF,FW",Heracles Almelo,19,2001,Eredivisie,2021_2022,4.3,0,0,0,3.0,2.0,0.0,21.0,1.0,4.0,0.0,0.0,0,22.0,0.0,5.0,0.0
2917,Elias Spago,BEL,DF,R.F.C. Seraing,19,2001,Belgian_Pro_League,2021_2022,2.5,0,0,0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,0.0,0,14.0,7.0,4.0,63.6
2917,Elias Spago,BEL,DF,R.F.C. Seraing,20,2001,Belgian_Pro_League,2022_2023,0.1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
2918,Elie Youan,FRA,FW,Mechelen,22,1999,Belgian_Pro_League,2021_2022,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0,1.0,66.7
2919,Eliel Peretz,ISR,MF,Wolfsberger AC,24,1996,Austrian_Bundesliga,2021_2022,18.8,4,1,0,35.0,28.0,3.0,36.0,12.0,28.0,,,0,,,,
2920,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,17,2005,Ligue_1,2022_2023,11.7,1,0,0,17.0,34.0,3.0,7.0,4.0,10.0,0.0,0.0,0,49.0,9.0,16.0,36.0
2920,Eliesse Ben Seghir,MAR,"MF,FW",Monaco,18,2005,Ligue_1,2023_2024,4.8,0,1,0,6.0,19.0,1.0,13.0,2.0,6.0,1.0,0.0,0,19.0,5.0,8.0,38.5
2921,Elif Elmas,MKD,"FW,MF",Napoli,21,1999,Serie_A,2021_2022,18.0,3,0,0,27.0,30.0,2.0,10.0,8.0,15.0,1.0,0.0,0,64.0,7.0,22.0,24.1
2921,Elif Elmas,MKD,"FW,MF",Napoli,22,1999,Serie_A,2022_2023,18.1,5,0,0,22.0,14.0,3.0,30.0,11.0,13.0,0.0,0.0,0,77.0,5.0,14.0,26.3
2921,Elif Elmas,MKD,"FW,MF",Napoli,23,1999,Serie_A,2023_2024,3.8,2,0,0,7.0,6.0,1.0,6.0,2.0,3.0,0.0,0.0,0,19.0,1.0,6.0,14.3
2921,Elif Elmas,MKD,"MF,FW",RB Leipzig,23,1999,Bundesliga,2023_2024,3.0,0,0,0,4.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,0,9.0,0.0,2.0,0.0
