club_id,club,num_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
30,Atlético Madrid,1,38,38,"3,420",38,43.0,1.0,144.0,101.0,70.0,24,4,10,13,34,2,1,0,1,0.0,La_Liga,2023_2024
31,Atromitos,2,33,33,"2,969",33,,,,,,7,13,13,5,15,9,7,2,0,22.0,Super_League_Greece,2023_2024
31,Atromitos,3,33,33,"2,970",33,,,,,,8,9,16,7,21,8,7,0,1,0.0,Super_League_Greece,2021_2022
31,Atromitos,3,33,33,"2,967",33,,,,,,9,11,13,8,24,7,4,2,1,33.0,Super_League_Greece,2022_2023
32,Augsburg,2,34,34,"3,060",34,63.0,1.0,201.0,138.0,69.0,9,7,18,6,17,4,1,2,1,66.0,Bundesliga,2022_2023
32,Augsburg,1,34,34,"3,060",34,56.0,1.0,156.0,102.0,67.0,10,8,16,9,26,5,5,0,0,0.0,Bundesliga,2021_2022
32,Augsburg,2,34,34,"3,060",34,60.0,1.0,183.0,123.0,71.0,10,9,15,3,8,10,7,2,1,22.0,Bundesliga,2023_2024
33,Austria Wien,2,32,32,"2,880",32,52.0,1.0,144.0,98.0,68.0,11,10,11,5,15,6,6,0,0,0.0,Austrian_Bundesliga,2022_2023
33,Austria Wien,1,32,32,"2,880",32,39.0,1.0,116.0,83.0,70.0,11,13,8,6,18,6,5,1,0,16.0,Austrian_Bundesliga,2021_2022
33,Austria Wien,2,32,32,"2,880",32,34.0,1.0,103.0,77.0,71.0,12,10,10,13,40,8,5,3,0,37.0,Austrian_Bundesliga,2023_2024
34,Auxerre,3,38,38,"3,420",38,63.0,1.0,181.0,117.0,67.0,8,11,19,7,18,6,4,2,0,33.0,Ligue_1,2022_2023
35,B-SAD,2,34,34,"3,060",34,55.0,1.0,166.0,110.0,69.0,5,11,18,8,23,7,5,2,0,28.0,Primeira_Liga,2021_2022
36,Barcelona,2,38,38,"3,420",38,38.0,1.0,123.0,84.0,70.0,21,10,7,11,28,3,2,1,0,33.0,La_Liga,2021_2022
36,Barcelona,2,38,38,"3,420",38,20.0,0.0,102.0,85.0,83.0,28,4,6,26,68,3,3,0,0,0.0,La_Liga,2022_2023
36,Barcelona,2,38,38,"3,420",38,44.0,1.0,141.0,97.0,70.0,26,7,5,17,44,2,2,0,0,0.0,La_Liga,2023_2024
37,Bayern Munich,3,34,34,"3,060",34,38.0,1.0,107.0,68.0,72.0,21,8,5,11,32,10,9,1,0,10.0,Bundesliga,2022_2023
37,Bayern Munich,3,34,34,"3,060",34,37.0,1.0,112.0,76.0,68.0,24,5,5,11,32,2,2,0,0,0.0,Bundesliga,2021_2022
37,Bayern Munich,3,34,34,"3,060",34,45.0,1.0,124.0,78.0,66.0,23,3,8,11,32,4,3,1,0,25.0,Bundesliga,2023_2024
38,Başakşehir,3,38,38,"3,420",38,43.0,1.0,138.0,99.0,71.0,18,7,13,13,34,6,4,2,0,33.0,Super_Lig,2023_2024
38,Başakşehir,2,38,38,"3,420",38,36.0,0.0,138.0,105.0,76.0,19,8,11,12,31,3,3,0,0,0.0,Super_Lig,2021_2022
38,Başakşehir,3,36,36,"3,060",34,34.0,1.0,127.0,100.0,78.0,16,8,10,11,30,8,6,1,1,14.0,Super_Lig,2022_2023
39,Beerschot,3,34,34,"3,060",34,71.0,2.0,196.0,126.0,66.0,4,4,26,3,8,7,5,1,1,16.0,Belgian_Pro_League,2021_2022
40,Benfica,3,34,34,"3,060",34,28.0,0.0,113.0,82.0,78.0,25,5,4,16,47,7,4,3,0,42.0,Primeira_Liga,2023_2024
40,Benfica,2,34,34,"3,060",34,30.0,0.0,109.0,79.0,73.0,23,5,6,12,35,2,1,1,0,50.0,Primeira_Liga,2021_2022
40,Benfica,2,34,34,"3,060",34,20.0,0.0,73.0,54.0,75.0,28,3,3,21,61,2,2,0,0,0.0,Primeira_Liga,2022_2023
41,Beroe,2,35,35,"3,150",35,,,,,,8,8,19,7,20,5,5,0,0,0.0,Bulgarian_First_League,2022_2023
41,Beroe,3,35,35,"3,145",35,,,,,,12,6,17,11,31,5,5,0,0,0.0,Bulgarian_First_League,2023_2024
41,Beroe,2,32,32,"2,880",32,,,,,,11,8,13,9,28,6,6,0,0,0.0,Bulgarian_First_League,2021_2022
42,Betis,2,38,38,"3,420",38,40.0,1.0,132.0,94.0,72.0,19,8,11,13,34,3,3,0,0,0.0,La_Liga,2021_2022
42,Betis,2,38,38,"3,420",38,41.0,1.0,146.0,106.0,74.0,17,9,12,13,34,3,3,0,0,0.0,La_Liga,2022_2023
42,Betis,3,38,38,"3,420",38,45.0,1.0,158.0,115.0,75.0,14,15,9,13,34,8,7,1,0,12.0,La_Liga,2023_2024
43,Beşiktaş,2,38,38,"3,418",38,47.0,1.0,142.0,100.0,69.0,16,8,14,14,36,5,4,1,0,20.0,Super_Lig,2023_2024
43,Beşiktaş,3,38,38,"3,420",38,48.0,1.0,124.0,83.0,65.0,15,14,9,10,26,7,5,2,0,28.0,Super_Lig,2021_2022
43,Beşiktaş,3,36,36,"3,060",34,36.0,1.0,101.0,67.0,66.0,21,9,4,10,27,3,2,0,1,0.0,Super_Lig,2022_2023
44,Blau-Weiß Linz,2,32,32,"2,880",32,48.0,1.0,138.0,95.0,68.0,7,11,14,9,28,6,5,1,0,16.0,Austrian_Bundesliga,2023_2024
45,Boavista,1,34,34,"3,060",34,62.0,1.0,172.0,111.0,66.0,7,11,16,3,8,6,4,0,2,0.0,Primeira_Liga,2023_2024
45,Boavista,2,34,34,"3,060",34,52.0,1.0,138.0,86.0,66.0,7,17,10,6,17,7,6,1,0,14.0,Primeira_Liga,2021_2022
45,Boavista,3,34,34,"3,060",34,54.0,1.0,143.0,90.0,65.0,12,8,14,6,17,7,5,1,1,16.0,Primeira_Liga,2022_2023
46,Bochum,1,34,34,"3,060",34,72.0,2.0,200.0,128.0,68.0,10,5,19,5,14,14,8,3,3,27.0,Bundesliga,2022_2023
46,Bochum,2,34,34,"3,060",34,52.0,1.0,176.0,126.0,73.0,12,6,16,7,20,8,5,2,1,28.0,Bundesliga,2021_2022
46,Bochum,2,34,34,"3,060",34,74.0,2.0,189.0,117.0,65.0,7,12,15,4,11,11,9,2,0,18.0,Bundesliga,2023_2024
47,Bologna,2,38,38,"3,420",38,49.0,1.0,165.0,117.0,74.0,14,12,12,8,21,9,7,2,0,22.0,Serie_A,2022_2023
47,Bologna,3,38,38,"3,420",38,32.0,0.0,125.0,91.0,76.0,18,14,6,17,44,7,3,2,2,40.0,Serie_A,2023_2024
47,Bologna,3,38,38,"3,420",38,55.0,1.0,184.0,130.0,74.0,12,10,16,13,34,9,8,1,0,11.0,Serie_A,2021_2022
48,Bordeaux,2,38,38,"3,420",38,91.0,2.0,194.0,104.0,56.0,6,13,19,2,5,9,7,2,0,22.0,Ligue_1,2021_2022
49,Botev Plovdiv,3,36,36,"3,240",36,,,,,,10,6,20,7,19,2,2,0,0,0.0,Bulgarian_First_League,2022_2023
49,Botev Plovdiv,4,36,36,"3,240",36,,,,,,12,9,15,12,33,6,6,0,0,0.0,Bulgarian_First_League,2023_2024
49,Botev Plovdiv,3,31,31,"2,790",31,,,,,,15,8,8,10,32,2,2,0,0,0.0,Bulgarian_First_League,2021_2022
50,Botev Vratsa,2,35,35,"3,150",35,,,,,,8,8,19,11,31,12,12,0,0,0.0,Bulgarian_First_League,2022_2023
50,Botev Vratsa,2,35,35,"3,150",35,,,,,,9,6,20,9,25,6,6,0,0,0.0,Bulgarian_First_League,2023_2024
