club_id,club,confederation,country,uefa_rating,uefa_season_ranking,overall_uefa_rating,overall_uefa_club_rank,season
64,Celta Vigo,UEFA,Spain,-1,-1,0,102,2021_2022
64,Celta Vigo,UEFA,Spain,-1,-1,0,102,2022_2023
64,Celta Vigo,UEFA,Spain,-1,-1,0,102,2023_2024
65,Cercle Brugge,UEFA,Belgium,-1,-1,0,102,2021_2022
65,Cercle Brugge,UEFA,Belgium,-1,-1,0,102,2022_2023
65,Cercle Brugge,UEFA,Belgium,-1,-1,0,102,2023_2024
66,Charleroi,UEFA,Belgium,-1,-1,0,102,2021_2022
66,Charleroi,UEFA,Belgium,-1,-1,0,102,2022_2023
66,Charleroi,UEFA,Belgium,-1,-1,0,102,2023_2024
67,Chaves,,,-1,-1,-1,-1,
67,Chaves,,,-1,-1,-1,-1,
68,Chelsea,UEFA,England,25,6,46,22,2021_2022
68,Chelsea,UEFA,England,21,10,46,22,2022_2023
68,Chelsea,UEFA,England,-1,-1,46,22,2023_2024
69,Cherno More,UEFA,Bulgaria,-1,-1,0,102,2021_2022
69,Cherno More,UEFA,Bulgaria,-1,-1,0,102,2022_2023
69,Cherno More,UEFA,Bulgaria,-1,-1,0,102,2023_2024
70,Clermont Foot,,,-1,-1,-1,-1,
70,Clermont Foot,,,-1,-1,-1,-1,
70,Clermont Foot,,,-1,-1,-1,-1,
71,Club Brugge,UEFA,Belgium,7,47,45,23,2021_2022
71,Club Brugge,UEFA,Belgium,17,23,45,23,2022_2023
71,Club Brugge,UEFA,Belgium,21,12,45,23,2023_2024
72,Cracovia,UEFA,Poland,-1,-1,0,102,2021_2022
72,Cracovia,UEFA,Poland,-1,-1,0,102,2022_2023
72,Cracovia,UEFA,Poland,-1,-1,0,102,2023_2024
73,Cremonese,,,-1,-1,-1,-1,
74,Crystal Palace,,,-1,-1,-1,-1,
74,Crystal Palace,,,-1,-1,-1,-1,
74,Crystal Palace,,,-1,-1,-1,-1,
75,Cádiz,,,-1,-1,-1,-1,
75,Cádiz,,,-1,-1,-1,-1,
75,Cádiz,,,-1,-1,-1,-1,
76,Darmstadt 98,,,-1,-1,-1,-1,
77,Dortmund,UEFA,Germany,10,38,57,12,2021_2022
77,Dortmund,UEFA,Germany,18,19,57,12,2022_2023
77,Dortmund,UEFA,Germany,29,2,57,12,2023_2024
78,Eint Frankfurt,UEFA,Germany,28,3,51,15,2021_2022
78,Eint Frankfurt,UEFA,Germany,16,27,51,15,2022_2023
78,Eint Frankfurt,UEFA,Germany,7,43,51,15,2023_2024
79,Elche,,,-1,-1,-1,-1,
79,Elche,,,-1,-1,-1,-1,
80,Emmen,,,-1,-1,-1,-1,
81,Empoli,,,-1,-1,-1,-1,
81,Empoli,,,-1,-1,-1,-1,
81,Empoli,,,-1,-1,-1,-1,
82,Espanyol,,,-1,-1,-1,-1,
82,Espanyol,,,-1,-1,-1,-1,
83,Estoril,,,-1,-1,-1,-1,
83,Estoril,,,-1,-1,-1,-1,
83,Estoril,,,-1,-1,-1,-1,
84,Estrela,,,-1,-1,-1,-1,
85,Etar,,,-1,-1,-1,-1,
86,Eupen,,,-1,-1,-1,-1,
86,Eupen,,,-1,-1,-1,-1,
86,Eupen,,,-1,-1,-1,-1,
87,Everton,UEFA,England,-1,-1,0,102,2021_2022
87,Everton,UEFA,England,-1,-1,0,102,2022_2023
87,Everton,UEFA,England,-1,-1,0,102,2023_2024
88,Excelsior,,,-1,-1,-1,-1,
88,Excelsior,,,-1,-1,-1,-1,
89,FC Copenhagen,UEFA,Denmark,13,31,72,4,2021_2022
89,FC Copenhagen,UEFA,France,14,29,72,4,2021_2022
89,FC Copenhagen,UEFA,Portugal,2,61,72,4,2021_2022
89,FC Copenhagen,UEFA,Denmark,7,48,72,4,2022_2023
89,FC Copenhagen,UEFA,France,11,36,72,4,2022_2023
89,FC Copenhagen,UEFA,Portugal,-1,-1,72,4,2022_2023
89,FC Copenhagen,UEFA,Denmark,15,29,72,4,2023_2024
89,FC Copenhagen,UEFA,France,10,35,72,4,2023_2024
89,FC Copenhagen,UEFA,Portugal,-1,-1,72,4,2023_2024
90,FC Spartak Varna,,,-1,-1,-1,-1,
91,FK IMT Novi Beograd,UEFA,Serbia,2,63,17,51,2023_2024
92,FK Kolubara,,,-1,-1,-1,-1,
92,FK Kolubara,,,-1,-1,-1,-1,
93,FK Levski 2005,,,-1,-1,-1,-1,
94,FK Mladost Novi Sad,UEFA,Serbia,-1,-1,3,86,2022_2023
95,FK Železničar Pančevo,,,-1,-1,-1,-1,
96,Famalicão,,,-1,-1,-1,-1,
96,Famalicão,,,-1,-1,-1,-1,
96,Famalicão,,,-1,-1,-1,-1,
97,Farense,,,-1,-1,-1,-1,
98,Fatih Karagümrük,,,-1,-1,-1,-1,
98,Fatih Karagümrük,,,-1,-1,-1,-1,
98,Fatih Karagümrük,,,-1,-1,-1,-1,
99,Fenerbahçe,,,-1,-1,-1,-1,
99,Fenerbahçe,,,-1,-1,-1,-1,
99,Fenerbahçe,,,-1,-1,-1,-1,
100,Feyenoord,UEFA,Netherlands,24,7,49,18,2021_2022
100,Feyenoord,UEFA,Netherlands,17,23,49,18,2022_2023
100,Feyenoord,UEFA,Netherlands,8,41,49,18,2023_2024
101,Fiorentina,UEFA,Italy,-1,-1,42,27,2021_2022
101,Fiorentina,UEFA,Italy,20,12,42,27,2022_2023
101,Fiorentina,UEFA,Italy,22,10,42,27,2023_2024
102,Fortuna Sittard,,,-1,-1,-1,-1,
102,Fortuna Sittard,,,-1,-1,-1,-1,
102,Fortuna Sittard,,,-1,-1,-1,-1,
103,Freiburg,UEFA,Germany,-1,-1,28,43,2021_2022
103,Freiburg,UEFA,Germany,15,30,28,43,2022_2023
103,Freiburg,UEFA,Germany,13,33,28,43,2023_2024
104,Frosinone,,,-1,-1,-1,-1,
105,Fulham,,,-1,-1,-1,-1,
105,Fulham,,,-1,-1,-1,-1,
