player_id,player,nation,position,club,age,year_of_birth,league,season,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks)
62,Abdoulie Sanyang,GAM,"FW,MF",Beerschot,22,1999,Belgian_Pro_League,2021_2022,,,,,,,,,,,,,,,,,,,
63,Abdourahmane Barry,GUI,DF,Greuther Fürth,21,2000,Bundesliga,2021_2022,,,,,,,,,,,,,,,,,,,
64,Abdu Conté,POR,DF,Troyes,23,1998,Ligue_1,2021_2022,,,,,,,,,,,,,,,,,,,
64,Abdu Conté,POR,DF,Troyes,24,1998,Ligue_1,2022_2023,,,,,,,,,,,,,,,,,,,
65,Abdu Conté,POR,"DF,MF",Moreirense,23,1998,Primeira_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
66,Abdukodir Khusanov,UZB,DF,Lens,19,2004,Ligue_1,2023_2024,,,,,,,,,,,,,,,,,,,
67,Abdul Awudu,GHA,"FW,MF",Vizela,22,2001,Primeira_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
68,Abdul Fatawu Issahaku,GHA,"DF,MF",Sporting CP,18,2004,Primeira_Liga,2022_2023,,,,,,,,,,,,,,,,,,,
69,Abdul Majeed Waris,GHA,"FW,MF",Strasbourg,29,1991,Ligue_1,2021_2022,,,,,,,,,,,,,,,,,,,
70,Abdul Mumin,GHA,DF,Rayo Vallecano,24,1998,La_Liga,2022_2023,,,,,,,,,,,,,,,,,,,
70,Abdul Mumin,GHA,DF,Rayo Vallecano,25,1998,La_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
71,Abdul Mumin,GHA,DF,Vitória,23,1998,Primeira_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
72,Abdul Zubairu,NGA,MF,FK Kolubara,23,1998,Serbian_SuperLiga,2022_2023,,,,,,,,,,,,,,,,,,,
73,Abdul-Aziz Yakubu,GHA,FW,Rio Ave,23,1998,Primeira_Liga,2022_2023,,,,,,,,,,,,,,,,,,,
73,Abdul-Aziz Yakubu,GHA,FW,Rio Ave,24,1998,Primeira_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
74,Abdullah Aydın,,MF,İstanbulspor,22,2000,Super_Lig,2022_2023,,,,,,,,,,,,,,,,,,,
75,Abdullah Durak,TUR,MF,Ankaragücü,35,1987,Super_Lig,2022_2023,,,,,,,,,,,,,,,,,,,
76,Abdullah Yiğiter,,GK,Hatayspor,21,2000,Super_Lig,2021_2022,4.0,4.0,360,4.0,11.0,2.75,22.0,12.0,50.0,1.0,1.0,2.0,1.0,25.0,1.0,0.0,1.0,0.0,100.0
77,Abdulrahman Taiwo,NGA,FW,SønderjyskE,22,1998,Danish_Superliga,2021_2022,,,,,,,,,,,,,,,,,,,
78,Abdulrazaq Ishaq,NGA,"DF,MF",Anderlecht,20,2002,Belgian_Pro_League,2022_2023,,,,,,,,,,,,,,,,,,,
79,Abdulsamed Damlu,TUR,GK,Yeni Mal'spor,22,1999,Super_Lig,2021_2022,9.0,8.0,710,7.9,22.0,2.79,67.0,45.0,67.2,1.0,0.0,7.0,2.0,25.0,0.0,0.0,0.0,0.0,
80,Abdulsamet Burak,,DF,Adana Demirspor,27,1996,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
81,Abdulwahab Ibrahim,GHA,MF,Famalicão,22,1999,Primeira_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
82,Abdurrahim Dursun,TUR,DF,Adana Demirspor,23,1998,Super_Lig,2022_2023,,,,,,,,,,,,,,,,,,,
82,Abdurrahim Dursun,TUR,DF,Adana Demirspor,24,1998,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
83,Abdón Prats,ESP,FW,Mallorca,28,1992,La_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
83,Abdón Prats,ESP,"FW,MF",Mallorca,29,1992,La_Liga,2022_2023,,,,,,,,,,,,,,,,,,,
83,Abdón Prats,ESP,"FW,MF",Mallorca,30,1992,La_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
84,Abdülkadir Parmak,TUR,MF,Gaziantep FK,27,1994,Super_Lig,2022_2023,,,,,,,,,,,,,,,,,,,
84,Abdülkadir Parmak,TUR,MF,Hatayspor,28,1994,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
84,Abdülkadir Parmak,TUR,MF,Kayserispor,26,1994,Super_Lig,2021_2022,,,,,,,,,,,,,,,,,,,
84,Abdülkadir Parmak,TUR,MF,Sivasspor,28,1994,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
84,Abdülkadir Parmak,TUR,MF,Trabzonspor,26,1994,Super_Lig,2021_2022,,,,,,,,,,,,,,,,,,,
85,Abdülkadir Ömür,TUR,MF,Trabzonspor,22,1999,Super_Lig,2021_2022,,,,,,,,,,,,,,,,,,,
85,Abdülkadir Ömür,TUR,MF,Trabzonspor,23,1999,Super_Lig,2022_2023,,,,,,,,,,,,,,,,,,,
85,Abdülkadir Ömür,TUR,MF,Trabzonspor,24,1999,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
86,Abdülkerim Bardakcı,TUR,DF,Galatasaray,27,1994,Super_Lig,2022_2023,,,,,,,,,,,,,,,,,,,
86,Abdülkerim Bardakcı,TUR,DF,Galatasaray,28,1994,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
86,Abdülkerim Bardakcı,TUR,DF,Konyaspor,26,1994,Super_Lig,2021_2022,,,,,,,,,,,,,,,,,,,
87,Abel Camará,GNB,FW,B-SAD,31,1990,Primeira_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
88,Abel Ruiz,ESP,FW,Braga,22,2000,Primeira_Liga,2022_2023,,,,,,,,,,,,,,,,,,,
88,Abel Ruiz,ESP,"FW,MF",Braga,21,2000,Primeira_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
88,Abel Ruiz,ESP,"FW,MF",Braga,23,2000,Primeira_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
89,Abiola Dauda,NGA,"FW,MF",Apollon Smyrnis,33,1988,Super_League_Greece,2021_2022,,,,,,,,,,,,,,,,,,,
90,Ablie Jallow,GAM,"MF,FW",R.F.C. Seraing,22,1998,Belgian_Pro_League,2021_2022,,,,,,,,,,,,,,,,,,,
91,Ablie Jallow,GAM,"MF,FW",Metz,24,1998,Ligue_1,2023_2024,,,,,,,,,,,,,,,,,,,
92,Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,Belgian_Pro_League,2023_2024,,,,,,,,,,,,,,,,,,,
93,Abner,BRA,DF,Betis,22,2000,La_Liga,2022_2023,,,,,,,,,,,,,,,,,,,
93,Abner,BRA,DF,Betis,23,2000,La_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
