player_id,player,nation,position,club,age,year_of_birth,league,season,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
2590,Daniel Muñoz,COL,"DF,MF",Crystal Palace,27,1996,Premier_League,2023_2024,16.0,4,0,0,30.0,8.0,8.0,11.0,24.0,35.0,0.0,0.0,0,76.0,26.0,28.0,48.1
2591,Daniel Muñoz,COL,DF,Genk,25,1996,Belgian_Pro_League,2021_2022,21.2,6,0,0,39.0,17.0,4.0,39.0,40.0,52.0,0.0,1.0,0,130.0,16.0,16.0,50.0
2591,Daniel Muñoz,COL,DF,Genk,26,1996,Belgian_Pro_League,2022_2023,29.0,9,0,0,43.0,24.0,6.0,39.0,52.0,46.0,2.0,0.0,0,157.0,29.0,17.0,63.0
2591,Daniel Muñoz,COL,DF,Genk,27,1996,Belgian_Pro_League,2023_2024,16.0,5,0,0,26.0,22.0,2.0,26.0,26.0,28.0,0.0,0.0,0,94.0,22.0,19.0,53.7
2592,Daniel Nachev,BUL,MF,FC Spartak Varna,18,2003,Bulgarian_First_League,2022_2023,2.4,0,0,0,,,,,,,,,0,,,,
2593,Daniel Naumov,BUL,GK,CSKA 1948,23,1998,Bulgarian_First_League,2021_2022,26.5,1,0,0,,,,,,,,,0,,,,
2593,Daniel Naumov,BUL,GK,CSKA 1948,24,1998,Bulgarian_First_League,2022_2023,32.7,2,0,0,,,,,,,,,0,,,,
2593,Daniel Naumov,BUL,GK,CSKA 1948,25,1998,Bulgarian_First_League,2023_2024,17.3,1,0,0,,,,,,,,,0,,,,
2594,Daniel Nussbaumer,AUT,MF,SCR Altach,21,1999,Austrian_Bundesliga,2021_2022,2.1,1,0,0,4.0,2.0,1.0,1.0,3.0,3.0,,,0,,,,
2595,Daniel Offenbacher,AUT,MF,Ried,29,1992,Austrian_Bundesliga,2021_2022,13.2,6,0,0,18.0,12.0,0.0,37.0,26.0,8.0,,,0,,,,
