Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked,Matches
Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5.0,214,197,16,12,0,1,1,0,0,0,0,0,172,1,0,Matches
Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,3.5,143,136,6,4,0,2,0,1,0,0,0,0,125,1,2,Matches
Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,3.6,176,166,10,3,0,2,3,7,0,0,0,0,151,0,2,Matches
Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2002,0.5,15,15,0,0,1,0,0,0,0,0,0,0,11,0,0,Matches
Felipe Anderson,br BRA,FW,it Lazio,30,1993,6.0,242,239,3,1,2,1,8,2,0,0,0,0,189,0,13,Matches

Angeliño,es ESP,DF,tr Galatasaray,26,1997,4.7,282,231,48,6,0,1,15,40,2,2,0,0,200,3,6,Matches
Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32,1990,5.2,249,213,35,2,0,0,22,33,0,0,0,0,186,1,4,Matches
Antony,br BRA,FW,eng Manchester Utd,23,2000,2.6,82,76,6,0,0,0,2,4,2,0,0,0,64,0,4,Matches
Jon Aramburu,ve VEN,DF,es Real Sociedad,21,2002,0.0,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
Ronald Araújo,uy URU,DF,es Barcelona,24,1999,7.3,438,404,31,17,1,5,0,8,0,0,0,0,377,3,2,Matches
Tomás Araújo,pt POR,DF,pt Benfica,21,2002,1.8,89,81,8,4,0,0,1,4,0,0,0,0,70,0,0,Matches
Marko Arnautović,at AUT,FW,it Inter,34,1989,2.1,35,32,3,0,0,0,4,0,0,0,0,0,23,0,2,Matches
Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4.0,142,116,26,7,0,0,0,0,0,0,0,0,128,0,0,Matches
Marco Asensio,es ESP,"FW,MF",fr Paris S-G,27,1996,1.4,59,57,2,0,1,1,1,0,0,0,0,0,50,0,2,Matches
Kristjan Asllani,al ALB,MF,it Inter,21,2002,2.3,156,145,10,7,0,5,3,0,3,1,2,0,141,1,2,Matches
Otavio Ataide,br BRA,DF,pt Porto,21,2002,2.3,102,97,5,4,0,1,0,0,0,0,0,0,72,0,2,Matches
Emil Audero,it ITA,GK,it Inter,26,1997,1.0,37,30,7,0,0,0,0,0,0,0,0,0,35,0,0,Matches
