Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked,Matches
Alessandro Florenzi,it ITA,DF,it Milan,32,1991,1.8,108,84,24,6,0,1,10,16,2,1,1,0,89,0,1,Matches
Phil Foden,eng ENG,"FW,MF",eng Manchester City,23,2000,7.6,455,443,12,2,6,1,18,0,5,2,3,0,398,0,11,Matches
Diogo Fonseca,pt POR,DF,pt Braga,21,2002,0.2,25,21,4,0,0,0,5,4,0,0,0,0,12,0,2,Matches
José Fonte,pt POR,DF,pt Braga,39,1983,4.0,214,207,6,6,0,0,1,0,0,0,0,0,187,1,1,Matches
James Forrest,sct SCO,FW,sct Celtic,32,1991,1.0,35,35,0,0,0,0,4,0,0,0,0,0,26,0,2,Matches
Emil Forsberg,se SWE,"MF,FW",de RB Leipzig,31,1991,4.5,101,97,3,1,1,3,2,1,1,1,0,0,74,1,2,Matches

Amankwah Forson,gh GHA,"MF,FW",at RB Salzburg,20,2002,0.8,29,28,1,0,0,0,3,0,1,1,0,0,21,0,2,Matches
Héctor Fort,es ESP,DF,es Barcelona,16,2006,0.7,36,31,5,0,0,0,0,5,0,0,0,0,35,0,0,Matches
Mitchel Frame,sct SCO,FW,sct Celtic,17,2006,0.2,5,5,0,0,0,0,2,0,0,0,0,0,2,0,1,Matches
André Franco,pt POR,"MF,FW",pt Porto,25,1998,2.6,119,114,4,2,1,0,4,1,1,0,0,0,101,1,2,Matches
Przemysław Frankowski,pl POL,DF,fr Lens,28,1995,5.9,310,243,66,2,2,3,27,64,0,0,0,0,226,1,12,Matches
Davide Frattesi,it ITA,MF,it Inter,23,1999,5.0,131,127,4,3,1,0,4,1,0,0,0,0,101,0,7,Matches
Victor Froholdt,dk DEN,MF,dk FC Copenhagen,17,2006,0.6,9,9,0,0,1,0,0,0,0,0,0,0,6,0,0,Matches
Angelo Fulgini,fr FRA,MF,fr Lens,26,1996,3.2,131,111,18,6,3,1,16,1,11,2,8,0,95,2,2,Matches
Niclas Füllkrug,de GER,FW,de Dortmund,30,1993,11.5,276,274,1,0,1,2,1,0,0,0,0,0,185,1,4,Matches
Kyogo Furuhashi,jp JPN,FW,sct Celtic,28,1995,5.0,42,42,0,0,0,0,1,0,0,0,0,0,29,0,2,Matches
Gianluca Gaetano,it ITA,MF,it Napoli,23,2000,0.2,16,16,0,0,0,0,0,0,0,0,0,0,12,0,2,Matches
Javi Galán,es ESP,DF,es Atlético Madrid,28,1994,0.8,33,26,7,0,0,0,2,7,0,0,0,0,26,0,0,Matches
Javi Galán,es ESP,DF,es Real Sociedad,28,1994,2.0,77,57,18,2,0,0,3,16,0,0,0,0,59,2,4,Matches
Galeno,br BRA,"MF,FW",pt Porto,25,1997,7.2,177,155,22,0,1,1,9,20,2,0,0,0,120,0,12,Matches
Silvère Ganvoula M'Boussy,cg CGO,FW,ch Young Boys,27,1996,1.3,38,34,2,0,0,0,1,0,0,0,0,0,23,2,2,Matches
Fran Garcia,es ESP,DF,es Real Madrid,23,1999,2.1,184,167,16,0,0,1,10,16,0,0,0,0,165,1,6,Matches
Ulisses Garcia,ch SUI,DF,ch Young Boys,27,1996,5.6,347,282,64,7,0,4,38,51,6,3,2,0,260,1,16,Matches
Alejandro Garnacho,ar ARG,"FW,MF",eng Manchester Utd,19,2004,3.3,78,77,1,0,0,1,5,0,0,0,0,0,61,0,4,Matches
Gavi,es ESP,MF,es Barcelona,18,2004,2.5,129,122,7,1,0,0,1,4,0,0,0,0,119,0,2,Matches
Lutsharel Geertruida,nl NED,DF,nl Feyenoord,23,2000,6.0,469,428,39,5,0,1,3,34,0,0,0,0,430,2,1,Matches
Mario Gila,es ESP,DF,it Lazio,22,2000,3.9,220,207,13,8,0,1,0,0,0,0,0,0,201,0,0,Matches
Santiago Giménez,mx MEX,FW,nl Feyenoord,22,2001,3.9,49,43,6,0,0,0,1,1,0,0,0,0,34,0,2,Matches
Olivier Giroud,fr FRA,FW,it Milan,36,1986,5.7,104,88,15,1,0,0,0,0,0,0,0,0,66,1,1,Matches
Jamie Gittens,eng ENG,FW,de Dortmund,18,2004,2.3,56,55,1,0,0,0,1,1,0,0,0,0,36,0,4,Matches
Omri Glazer,il ISR,GK,rs Red Star,27,1996,6.0,177,116,61,8,0,0,0,0,0,0,0,0,136,0,0,Matches

Oscar Gloukh,il ISR,"MF,FW",at RB Salzburg,19,2004,5.3,190,171,18,2,2,1,13,2,6,4,0,0,148,1,5,Matches
Serge Gnabry,de GER,FW,de Bayern Munich,28,1995,2.2,63,62,1,0,1,0,2,0,0,0,0,0,48,0,1,Matches
Giorgi Gocholeishvili,ge GEO,DF,ua Shakhtar,22,2001,3.2,142,110,31,2,1,1,2,29,0,0,0,0,103,1,2,Matches
Sergio Gómez,es ESP,"DF,FW",eng Manchester City,22,2000,2.2,192,177,14,2,0,0,12,10,2,0,2,0,170,1,5,Matches
Victor Gomez,es ESP,DF,pt Braga,23,2000,3.5,224,203,21,3,0,1,17,18,0,0,0,0,188,0,2,Matches
Diogo Gonçalves,pt POR,MF,dk FC Copenhagen,26,1997,5.9,206,179,26,5,1,1,19,0,14,8,4,1,159,1,4,Matches
Nicolás González,es ESP,MF,pt Porto,21,2002,2.5,87,84,3,3,0,0,0,0,0,0,0,0,67,0,3,Matches
Anthony Gordon,eng ENG,FW,eng Newcastle Utd,22,2001,4.9,114,113,1,0,1,3,3,0,0,0,0,0,89,0,3,Matches
Leon Goretzka,de GER,"MF,DF",de Bayern Munich,28,1995,8.5,534,516,17,13,3,3,0,1,0,0,0,0,496,1,7,Matches
Robin Gosens,de GER,"DF,MF",de Union Berlin,29,1994,4.9,186,160,23,2,1,0,13,21,0,0,0,0,133,3,4,Matches
Lucas Gourna-Douath,fr FRA,MF,at RB Salzburg,19,2003,4.4,220,211,6,6,1,1,2,0,0,0,0,0,185,3,0,Matches
Tiago Gouveia,pt POR,FW,pt Benfica,22,2001,0.3,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Kamil Grabara,pl POL,GK,dk FC Copenhagen,24,1999,8.0,288,206,82,18,0,1,0,0,0,0,0,0,195,0,0,Matches
Jonathan Gradit,fr FRA,DF,fr Lens,30,1992,5.7,261,243,18,12,0,3,1,1,0,0,0,0,206,0,5,Matches
Jack Grealish,eng ENG,"FW,MF",eng Manchester City,27,1995,5.9,295,270,23,10,1,1,17,3,10,4,1,1,251,2,13,Matches
Antoine Griezmann,fr FRA,"FW,MF",es Atlético Madrid,32,1991,9.1,512,450,61,13,4,8,49,0,34,12,14,1,413,1,11,Matches
Marko Grujić,rs SRB,MF,pt Porto,27,1996,0.6,25,25,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches
Nemanja Gudelj,rs SRB,DF,es Sevilla,31,1991,6.0,316,307,9,8,0,3,0,1,0,0,0,0,278,0,1,Matches
Gonçalo Guedes,pt POR,FW,pt Benfica,26,1996,0.3,10,10,0,0,0,0,0,0,0,0,0,0,9,0,1,Matches
Mattéo Guendouzi,fr FRA,MF,it Lazio,24,1999,5.5,230,224,6,3,1,3,6,3,0,0,0,0,196,0,8,Matches
Raphaël Guerreiro,pt POR,"DF,FW",de Bayern Munich,29,1993,4.3,277,263,13,4,1,0,10,8,1,0,1,0,236,1,8,Matches
Morgan Guilavogui,gn GUI,"FW,MF",fr Lens,25,1998,0.8,31,29,1,0,0,0,2,0,0,0,0,0,20,1,1,Matches
Bruno Guimarães,br BRA,MF,eng Newcastle Utd,25,1997,6.0,293,276,16,14,2,1,3,2,0,0,0,0,240,1,3,Matches
Marc Guiu,es ESP,FW,es Barcelona,17,2006,0.4,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Péter Gulácsi,hu HUN,GK,de RB Leipzig,33,1990,3.0,102,76,26,4,0,0,0,0,0,0,0,0,87,0,0,Matches

İlkay Gündoğan,de GER,MF,es Barcelona,32,1990,9.3,601,531,69,17,6,5,42,0,40,16,13,0,521,1,9,Matches
Joško Gvardiol,hr CRO,DF,eng Manchester City,21,2002,6.3,621,582,39,3,0,3,2,36,0,0,0,0,582,0,5,Matches
Erling Haaland,no NOR,FW,eng Manchester City,23,2000,8.6,89,85,4,0,2,0,1,0,0,0,0,0,70,0,2,Matches
Janik Haberer,de GER,MF,de Union Berlin,29,1994,4.0,110,106,2,0,0,3,2,2,0,0,0,0,81,2,4,Matches
Amadou Haidara,ml MLI,"MF,DF",de RB Leipzig,25,1998,3.0,153,147,6,1,1,3,1,5,0,0,0,0,134,0,1,Matches
Massadio Haïdara,ml MLI,DF,fr Lens,30,1992,1.3,70,60,9,2,0,0,5,7,0,0,0,0,53,1,0,Matches
Achraf Hakimi,ma MAR,DF,fr Paris S-G,24,1998,10.9,974,833,134,14,0,3,34,118,2,0,0,0,821,7,24,Matches
Lewis Hall,eng ENG,DF,eng Newcastle Utd,18,2004,0.5,24,18,6,2,0,0,1,4,0,0,0,0,16,0,1,Matches
Sébastien Haller,ci CIV,"FW,MF",de Dortmund,29,1994,0.7,17,17,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches
Micah Hamilton,eng ENG,FW,eng Manchester City,19,2003,1.2,33,33,0,0,0,0,0,0,0,0,0,0,30,0,0,Matches
Dávid Hancko,sk SVK,DF,nl Feyenoord,25,1997,6.0,565,539,25,7,2,3,0,3,0,0,0,0,516,1,6,Matches
Joe Hart,eng ENG,GK,sct Celtic,36,1987,6.0,244,177,67,15,0,1,0,0,0,0,0,0,224,0,0,Matches
Quilindschy Hartman,nl NED,DF,nl Feyenoord,21,2001,6.0,410,362,46,5,1,5,15,41,0,0,0,0,327,2,13,Matches
Reo Hatate,jp JPN,MF,sct Celtic,25,1997,1.5,69,69,0,0,1,0,0,0,0,0,0,0,50,0,3,Matches
Kai Havertz,de GER,"MF,FW",eng Arsenal,24,1999,9.2,245,240,5,0,0,0,4,3,0,0,0,0,205,0,4,Matches
Benjamin Henrichs,de GER,"DF,MF",de RB Leipzig,26,1997,5.5,336,287,49,5,3,3,10,44,0,0,0,0,257,0,13,Matches
Mario Hermoso,es ESP,DF,es Atlético Madrid,28,1995,9.1,732,666,64,13,1,17,17,51,0,0,0,0,622,2,4,Matches
Lucas Hernández,fr FRA,DF,fr Paris S-G,27,1996,9.3,683,621,58,12,0,5,8,46,0,0,0,0,605,4,9,Matches
Theo Hernández,fr FRA,DF,it Milan,25,1997,6.0,301,257,44,12,1,0,16,27,5,0,5,0,239,0,8,Matches
André Horta,pt POR,MF,pt Braga,26,1996,0.4,43,38,5,1,0,0,7,0,4,0,3,0,36,0,1,Matches
Ricardo Horta,pt POR,"FW,MF",pt Braga,28,1994,5.6,234,212,21,1,2,4,14,11,6,4,2,0,195,1,6,Matches
Mats Hummels,de GER,DF,de Dortmund,34,1988,13.0,714,677,35,23,1,11,1,3,0,0,0,0,617,2,14,Matches
Oh Hyeon-gyu,kr KOR,"FW,MF",sct Celtic,22,2001,1.2,18,15,2,0,0,0,1,0,1,0,0,0,12,1,0,Matches
Elseid Hysaj,al ALB,DF,it Lazio,29,1994,3.8,209,185,24,4,0,2,1,20,0,0,0,0,175,0,4,Matches
Yang Hyunjun,kr KOR,FW,sct Celtic,21,2002,2.3,60,56,4,0,0,0,2,0,0,0,0,0,42,0,1,Matches

Oscar Højlund,dk DEN,MF,dk FC Copenhagen,18,2005,0.5,20,19,1,0,0,0,0,0,0,0,0,0,16,0,1,Matches
Rasmus Højlund,dk DEN,FW,eng Manchester Utd,20,2003,5.4,74,62,11,0,0,2,2,0,0,0,0,0,49,1,2,Matches
Mauro Icardi,ar ARG,FW,tr Galatasaray,30,1993,5.8,95,81,14,0,0,0,2,1,0,0,0,0,60,0,5,Matches
George Ilenikhena,fr FRA,FW,be Antwerp,16,2006,1.7,16,11,5,0,0,0,0,0,0,0,0,0,12,0,0,Matches
Ciro Immobile,it ITA,FW,it Lazio,33,1990,5.6,118,107,10,0,0,0,2,0,0,0,0,0,91,1,7,Matches
Hwang In-beom,kr KOR,MF,rs Red Star,26,1996,5.9,273,237,32,8,2,1,28,3,21,5,9,0,203,4,5,Matches
Alexander Isak,se SWE,FW,eng Newcastle Utd,23,1999,3.5,67,62,5,0,0,1,0,0,0,0,0,0,53,0,2,Matches
Gustav Isaksen,dk DEN,FW,it Lazio,22,2001,2.7,93,91,2,1,2,0,6,1,0,0,0,0,70,0,2,Matches
Cedric Itten,ch SUI,FW,ch Young Boys,26,1996,3.1,48,37,10,0,0,0,0,0,0,0,0,0,30,1,4,Matches
Mirko Ivanić,me MNE,MF,rs Red Star,29,1993,4.1,103,91,11,1,5,0,8,7,0,0,0,0,71,1,2,Matches
Luka Ivanušec,hr CRO,"FW,MF",nl Feyenoord,24,1998,2.3,87,78,7,2,1,1,5,2,3,2,1,0,69,2,3,Matches
Tomoki Iwata,jp JPN,"MF,FW",sct Celtic,26,1997,0.7,23,22,1,1,0,0,0,0,0,0,0,0,18,0,1,Matches
Paul Jaeckel,de GER,DF,de Union Berlin,25,1998,1.9,51,49,2,2,0,0,0,0,0,0,0,0,37,0,1,Matches
Alireza Jahanbakhsh,ir IRN,"FW,DF",nl Feyenoord,29,1993,0.8,65,63,2,0,0,0,7,2,0,0,0,0,50,0,4,Matches
Ivan Jaime Pajuelo,es ESP,MF,pt Porto,22,2000,1.0,35,34,1,1,0,0,4,0,0,0,0,0,28,0,1,Matches
Saidy Janko,gm GAM,DF,ch Young Boys,27,1995,3.6,153,104,49,2,0,0,9,47,0,0,0,0,113,0,5,Matches
Vincent Janssen,nl NED,FW,be Antwerp,29,1994,4.5,105,87,18,0,0,3,2,1,0,0,0,0,93,0,1,Matches
Elias Jelert,dk DEN,DF,dk FC Copenhagen,20,2003,6.5,306,238,67,1,0,1,7,66,0,0,0,0,242,1,6,Matches
Gabriel Jesus,br BRA,FW,eng Arsenal,26,1997,4.5,130,122,8,0,1,0,1,1,0,0,0,0,105,0,3,Matches
Juan Jesus,br BRA,DF,it Napoli,32,1991,4.8,277,250,25,12,0,1,0,9,0,0,0,0,235,2,4,Matches
Joelinton,br BRA,"MF,FW",eng Newcastle Utd,26,1996,3.7,152,147,5,2,0,1,4,3,0,0,0,0,126,0,5,Matches
Alistair Johnston,ca CAN,DF,sct Celtic,24,1998,6.0,404,348,55,10,3,0,6,45,0,0,0,0,327,1,8,Matches
Michael Johnston,ie IRL,FW,sct Celtic,24,1999,1.1,33,32,1,0,0,0,2,1,0,0,0,0,27,0,1,Matches
Frenkie de Jong,nl NED,MF,es Barcelona,26,1997,4.4,268,259,8,8,0,1,1,0,0,0,0,0,243,1,1,Matches
Luuk de Jong,nl NED,FW,nl PSV Eindhoven,32,1990,7.0,155,142,11,0,1,0,0,0,0,0,0,0,100,2,2,Matches

Joan Jordán,es ESP,MF,es Sevilla,29,1994,0.9,31,27,4,4,0,0,0,0,0,0,0,0,23,0,1,Matches
Jorginho,it ITA,MF,eng Arsenal,31,1991,5.9,342,325,15,15,1,1,1,0,0,0,0,0,301,2,3,Matches
Joselu,es ESP,FW,es Real Madrid,33,1990,3.1,82,79,3,0,0,0,2,0,0,0,0,0,61,0,1,Matches
Luka Jović,rs SRB,"FW,MF",it Milan,25,1997,0.4,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Mauro Júnior,br BRA,"MF,DF",nl PSV Eindhoven,24,1999,2.0,98,88,10,0,0,1,3,10,0,0,0,0,79,0,3,Matches
Hamed Junior Traorè,ci CIV,MF,it Napoli,23,2000,1.1,49,48,1,0,1,1,1,1,0,0,0,0,35,0,4,Matches
Vinicius Júnior,br BRA,FW,es Real Madrid,23,2000,10.0,302,292,10,2,2,4,24,4,2,0,0,0,225,0,19,Matches
Josip Juranović,hr CRO,DF,de Union Berlin,27,1995,4.6,186,132,53,7,0,1,23,34,12,7,2,1,129,1,5,Matches
David Jurásek,cz CZE,"MF,DF",pt Benfica,22,2000,1.4,92,67,25,0,0,0,8,25,0,0,0,0,48,0,7,Matches
Uroš Kabić,rs SRB,DF,rs Red Star,19,2004,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Pierre Kalulu,fr FRA,DF,it Milan,23,2000,1.0,39,32,7,4,0,0,0,3,0,0,0,0,32,0,0,Matches
Daichi Kamada,jp JPN,MF,it Lazio,26,1996,2.9,125,124,0,0,0,0,1,0,0,0,0,0,105,1,4,Matches
Dijon Kameri,at AUT,MF,at RB Salzburg,19,2004,0.1,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Kevin Kampl,si SVN,MF,de RB Leipzig,32,1990,3.1,198,188,10,7,0,0,0,3,0,0,0,0,183,0,2,Matches
Harry Kane,eng ENG,FW,de Bayern Munich,30,1993,11.8,225,217,6,1,8,3,4,2,0,0,0,0,153,2,8,Matches
Lee Kang-in,kr KOR,"MF,FW",fr Paris S-G,22,2001,3.8,272,243,27,5,0,0,26,4,16,5,6,0,230,2,0,Matches
Guélor Kanga,ga GAB,MF,rs Red Star,32,1990,1.6,98,84,13,7,1,2,7,1,5,1,1,0,75,1,2,Matches
Kings Kangwa,zm ZAM,MF,rs Red Star,24,1999,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Kazımcan Karataş,tr TUR,DF,tr Galatasaray,20,2003,0.8,32,22,10,0,0,0,0,10,0,0,0,0,24,0,1,Matches
Oleksii Kashchuk,ua UKR,FW,ua Shakhtar,23,2000,0.3,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Aleksandar Katai,rs SRB,"MF,FW",rs Red Star,32,1991,0.9,24,24,0,0,0,0,3,0,0,0,0,0,16,0,3,Matches
Mandela Keita,be BEL,MF,be Antwerp,21,2002,2.9,106,103,2,2,0,0,0,0,0,0,0,0,92,1,2,Matches
Kevin Kelsy,ve VEN,FW,ua Shakhtar,19,2004,1.5,18,13,5,0,0,0,0,0,0,0,0,0,12,0,0,Matches
Aljoscha Kemlein,de GER,MF,de Union Berlin,18,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Gyrano Kerk,sr SUR,FW,be Antwerp,27,1995,2.3,51,50,1,0,0,0,5,1,0,0,0,0,29,0,3,Matches

Rani Khedira,de GER,MF,de Union Berlin,29,1994,3.2,118,110,8,0,0,0,0,0,0,0,0,0,96,0,0,Matches
Abdukodir Khusanov,uz UZB,DF,fr Lens,19,2004,0.3,18,17,1,0,0,0,0,0,0,0,0,0,12,0,0,Matches
Joshua Kimmich,de GER,"MF,DF",de Bayern Munich,28,1995,12.0,951,827,118,35,6,7,70,31,52,21,25,2,818,6,10,Matches
Jakub Kiwior,pl POL,DF,eng Arsenal,23,2000,4.2,201,165,36,5,0,0,1,31,0,0,0,0,165,0,2,Matches
Simon Kjær,dk DEN,DF,it Milan,34,1989,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Maurits Kjærgaard,dk DEN,"MF,FW",at RB Salzburg,20,2003,2.3,88,84,4,0,0,1,3,2,2,2,0,0,67,0,3,Matches
Davy Klaassen,nl NED,"MF,FW",it Inter,30,1993,0.9,35,34,1,0,0,0,0,1,0,0,0,0,29,0,1,Matches
Lukas Klostermann,de GER,DF,de RB Leipzig,27,1996,4.0,201,192,7,7,0,2,0,0,0,0,0,0,190,2,1,Matches
Robin Knoche,de GER,DF,de Union Berlin,31,1992,3.0,176,169,6,6,1,2,0,0,0,0,0,0,150,1,2,Matches
Gregor Kobel,ch SUI,GK,de Dortmund,25,1997,12.0,465,364,98,17,0,1,0,0,0,0,0,0,377,3,0,Matches
Sekou Koita,ml MLI,FW,at RB Salzburg,23,1999,0.8,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Orkun Kökçü,tr TUR,MF,pt Benfica,22,2000,2.9,152,131,19,14,0,4,8,1,4,2,2,0,116,2,1,Matches
Koke,es ESP,MF,es Atlético Madrid,31,1992,8.6,672,653,18,14,4,5,5,0,4,0,0,0,599,1,6,Matches
Randal Kolo Muani,fr FRA,"FW,MF",fr Paris S-G,24,1998,5.2,114,114,0,0,2,0,1,0,0,0,0,0,80,0,11,Matches
Karim Konaté,ci CIV,"FW,MF",at RB Salzburg,19,2004,2.6,54,49,4,0,0,0,2,1,0,0,0,0,39,1,2,Matches
Yukhym Konoplia,ua UKR,DF,ua Shakhtar,23,1999,2.8,125,112,13,2,0,1,6,11,0,0,0,0,99,0,5,Matches
Ilias Kostis,gr GRE,FW,es Atlético Madrid,20,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jules Koundé,fr FRA,DF,es Barcelona,24,1998,8.0,542,494,48,19,0,8,5,25,0,0,0,0,476,0,7,Matches
Mateo Kovačić,hr CRO,MF,eng Manchester City,29,1994,4.8,352,341,11,5,2,1,0,1,0,0,0,0,325,0,5,Matches
Alex Král,cz CZE,MF,de Union Berlin,25,1998,2.8,107,100,7,2,0,1,2,0,0,0,0,0,86,0,3,Matches
Jean-Philippe Krasso,ci CIV,"FW,MF",rs Red Star,26,1997,1.2,35,31,3,1,0,0,1,0,0,0,0,0,16,1,2,Matches
Frans Krätzig,de GER,DF,de Bayern Munich,20,2003,0.1,9,8,1,0,0,0,0,1,0,0,0,0,8,0,0,Matches
Toni Kroos,de GER,MF,es Real Madrid,33,1990,9.5,931,844,84,38,1,25,45,1,45,13,20,0,854,3,7,Matches
Rade Krunić,ba BIH,"MF,DF",it Milan,29,1993,2.3,136,122,14,9,0,2,6,1,4,2,2,0,122,0,1,Matches
Dmytro Kryskiv,ua UKR,"MF,FW",ua Shakhtar,22,2000,4.3,115,113,1,0,1,1,0,1,0,0,0,0,91,1,4,Matches

Takefusa Kubo,jp JPN,"FW,MF",es Real Sociedad,22,2001,6.2,232,195,37,2,0,1,41,2,33,12,11,1,165,0,12,Matches
Khvicha Kvaratskhelia,ge GEO,FW,it Napoli,22,2001,7.4,301,285,15,4,2,7,25,2,9,5,2,0,236,1,8,Matches
Gustaf Lagerbielke,se SWE,DF,sct Celtic,23,2000,0.9,68,66,2,2,0,0,0,0,0,0,0,0,62,0,0,Matches
Aïssa Laïdouni,tn TUN,MF,de Union Berlin,26,1996,3.1,108,105,3,0,1,0,8,2,0,0,0,0,82,0,6,Matches
Konrad Laimer,at AUT,"MF,DF",de Bayern Munich,26,1997,8.6,458,415,42,8,3,0,6,33,0,0,0,0,393,1,8,Matches
Érik Lamela,ar ARG,"FW,MF",es Sevilla,31,1992,2.1,55,52,3,1,1,0,4,1,1,0,0,0,41,0,3,Matches
Senne Lammens,be BEL,GK,be Antwerp,21,2002,1.0,57,40,16,4,0,0,0,0,0,0,0,0,25,1,1,Matches
Noa Lang,nl NED,FW,nl PSV Eindhoven,24,1999,1.8,68,61,7,1,0,1,8,5,1,1,0,0,52,0,2,Matches
Jordan Larsson,se SWE,"FW,MF",dk FC Copenhagen,26,1997,1.2,26,26,0,0,0,0,0,0,0,0,0,0,20,0,0,Matches
Jamaal Lascelles,eng ENG,DF,eng Newcastle Utd,29,1993,5.0,203,195,8,8,0,3,0,0,0,0,0,0,168,0,2,Matches
Sandro Lauper,ch SUI,MF,ch Young Boys,26,1996,3.1,113,108,4,3,0,0,0,0,0,0,0,0,92,1,2,Matches
Manuel Lazzari,it ITA,DF,it Lazio,29,1993,4.7,270,211,59,8,0,1,10,51,0,0,0,0,220,0,9,Matches
Robin Le Normand,es ESP,DF,es Real Sociedad,26,1996,6.4,320,309,11,5,0,2,0,0,0,0,0,0,286,0,2,Matches
Rafael Leão,pt POR,FW,it Milan,24,1999,4.9,127,121,6,1,0,0,9,5,0,0,0,0,91,0,5,Matches
Diogo Leite,pt POR,DF,de Union Berlin,24,1999,6.0,308,291,17,11,0,1,3,2,0,0,0,0,251,0,4,Matches
Stav Lemkin,il ISR,DF,ua Shakhtar,20,2003,0.7,56,55,1,1,0,0,0,0,0,0,0,0,52,0,0,Matches
Christopher Lenz,de GER,DF,de RB Leipzig,28,1994,1.0,67,52,15,0,0,0,2,15,0,0,0,0,51,0,5,Matches
Lukas Lerager,dk DEN,MF,dk FC Copenhagen,30,1993,6.0,177,175,2,0,0,0,2,1,0,0,0,0,125,0,4,Matches
Robert Lewandowski,pl POL,FW,es Barcelona,34,1988,8.2,169,166,3,0,0,0,1,0,0,0,0,0,121,0,7,Matches
Rico Lewis,eng ENG,"MF,DF",eng Manchester City,18,2004,6.1,367,344,23,4,3,2,2,18,0,0,0,0,341,0,5,Matches
Matthijs de Ligt,nl NED,DF,de Bayern Munich,23,1999,5.2,310,303,6,4,0,1,1,1,0,0,0,0,280,1,3,Matches
Victor Lindelöf,se SWE,DF,eng Manchester Utd,29,1994,3.3,160,142,18,1,0,0,0,6,0,0,0,0,140,0,1,Matches
Jesper Lindstrøm,dk DEN,FW,it Napoli,23,2000,0.7,34,34,0,0,0,0,2,0,0,0,0,0,25,0,1,Matches
Ondřej Lingr,cz CZE,"FW,MF",nl Feyenoord,24,1998,0.8,29,29,0,0,0,0,1,0,0,0,0,0,24,0,1,Matches
Samuel Lino,br BRA,DF,es Atlético Madrid,23,1999,5.6,256,243,13,2,0,2,7,10,1,0,0,0,225,0,6,Matches

Valentino Livramento,eng ENG,"DF,FW",eng Newcastle Utd,20,2002,3.0,131,113,18,1,0,0,2,17,0,0,0,0,112,0,3,Matches
Marcos Llorente,es ESP,"MF,DF",es Atlético Madrid,28,1995,7.2,329,314,15,0,2,1,19,15,0,0,0,0,268,0,6,Matches
Danny Loader,eng ENG,"MF,FW",pt Porto,22,2000,0.2,10,10,0,0,0,0,2,0,0,0,0,0,8,0,0,Matches
Stanislav Lobotka,sk SVK,MF,it Napoli,28,1994,7.5,413,404,9,5,3,2,0,0,0,0,0,0,380,0,3,Matches
Ruben Loftus-Cheek,eng ENG,MF,it Milan,27,1996,3.6,86,83,2,1,0,0,6,1,0,0,0,0,60,1,5,Matches
Sean Longstaff,eng ENG,MF,eng Newcastle Utd,25,1997,3.9,143,132,10,5,0,0,4,1,1,1,0,0,115,1,6,Matches
Rony Lopes,pt POR,FW,pt Braga,27,1995,0.0,7,6,1,0,0,0,1,1,0,0,0,0,5,0,0,Matches
Fermin López,es ESP,MF,es Barcelona,20,2003,3.1,136,132,4,2,0,2,2,0,1,0,0,0,114,0,1,Matches
Marcos López,pe PER,DF,nl Feyenoord,23,1999,0.5,25,21,4,0,0,0,0,4,0,0,0,0,19,0,1,Matches
Hirving Lozano,mx MEX,FW,nl PSV Eindhoven,28,1995,4.2,125,122,3,2,0,2,19,0,0,0,0,0,90,0,7,Matches
Vladimir Lučić,rs SRB,"DF,FW",rs Red Star,21,2002,2.3,118,105,12,0,1,0,5,11,1,0,0,0,90,1,3,Matches
Florentino Luís,pt POR,MF,pt Benfica,23,1999,1.2,61,61,0,0,0,1,0,0,0,0,0,0,50,0,2,Matches
Castello Lukeba,fr FRA,DF,de RB Leipzig,20,2002,6.9,402,390,11,10,0,1,0,0,0,0,0,0,362,1,5,Matches
Dodi Lukebakio,be BEL,FW,es Sevilla,25,1997,2.7,72,66,5,1,0,0,7,1,2,0,2,0,55,1,2,Matches
Valdemar Lund,dk DEN,DF,dk FC Copenhagen,20,2003,0.3,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches
Andriy Lunin,ua UKR,GK,es Real Madrid,24,1999,8.3,258,191,67,13,0,1,0,0,0,0,0,0,199,0,1,Matches
Fabian Lustenberger,ch SUI,DF,ch Young Boys,35,1988,1.0,58,54,4,2,0,3,0,0,0,0,0,0,50,0,2,Matches
