Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,3.1,3,2,0,2,1,2,5,40.0,3,1,1,0,0,3,2,0,Matches
Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5.0,8,4,6,2,0,3,6,50.0,3,12,9,3,6,14,24,0,Matches
Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,3.5,7,4,4,3,0,3,9,33.3,6,5,1,4,6,13,10,0,Matches
Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,3.6,8,5,5,2,1,6,8,75.0,2,10,1,9,3,11,3,0,Matches
Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2002,0.5,2,1,1,1,0,0,2,0.0,2,1,1,0,2,4,0,0,Matches
Felipe Anderson,br BRA,FW,it Lazio,30,1993,6.0,17,7,5,10,2,5,21,23.8,16,7,0,7,12,29,5,0,Matches

Angeliño,es ESP,DF,tr Galatasaray,26,1997,4.7,7,5,3,2,2,4,9,44.4,5,6,3,3,6,13,9,0,Matches
Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32,1990,5.2,12,8,7,4,1,8,17,47.1,9,5,4,1,10,22,11,0,Matches
Antony,br BRA,FW,eng Manchester Utd,23,2000,2.6,7,6,5,1,1,5,9,55.6,4,5,1,4,5,12,2,0,Matches
Jon Aramburu,ve VEN,DF,es Real Sociedad,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Ronald Araújo,uy URU,DF,es Barcelona,24,1999,7.3,12,10,4,7,1,4,5,80.0,1,14,10,4,8,20,20,0,Matches
Tomás Araújo,pt POR,DF,pt Benfica,21,2002,1.8,3,2,1,2,0,1,1,100.0,0,5,4,1,4,7,5,0,Matches
Marko Arnautović,at AUT,FW,it Inter,34,1989,2.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,Matches
Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Marco Asensio,es ESP,"FW,MF",fr Paris S-G,27,1996,1.4,2,1,2,0,0,0,1,0.0,1,2,2,0,0,2,0,0,Matches
Kristjan Asllani,al ALB,MF,it Inter,21,2002,2.3,2,1,1,1,0,0,2,0.0,2,3,1,2,1,3,3,0,Matches
