Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,7,3,384,4.3,0,0,0,0,0,0,0,0,0.9,0.9,0.4,1.3,10,32,6,0.00,0.00,0.00,0.00,0.00,0.22,0.08,0.30,0.22,0.30,Matches
Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,6,5,440,4.9,2,0,2,2,0,0,0,0,2.1,2.1,0.9,3.0,11,13,33,0.41,0.00,0.41,0.41,0.41,0.43,0.19,0.62,0.43,0.62,Matches
David Alaba,at AUT,DF,es Real Madrid,31,1992,3,3,250,2.8,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.8,2,6,9,0.00,0.36,0.36,0.00,0.36,0.14,0.13,0.27,0.14,0.27,Matches
Luis Alberto,es ESP,MF,it Lazio,30,1992,8,8,642,7.1,0,1,1,0,0,0,1,0,0.9,0.9,2.2,3.1,18,71,32,0.00,0.14,0.14,0.00,0.14,0.12,0.31,0.44,0.12,0.44,Matches
Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5,5,450,5.0,0,0,0,0,0,1,2,0,1.5,0.8,0.1,0.9,2,18,2,0.00,0.00,0.00,0.00,0.00,0.30,0.02,0.33,0.15,0.18,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,8,2,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,6,4,413,4.6,1,1,2,1,0,0,1,0,1.4,1.4,0.6,2.0,18,23,30,0.22,0.22,0.44,0.22,0.44,0.30,0.13,0.43,0.30,0.43,Matches
Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,3,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,9,14,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,6,0,127,1.4,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,4,1,14,0.00,0.71,0.71,0.00,0.71,0.05,0.37,0.42,0.05,0.42,Matches
Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,7,2,282,3.1,5,2,7,5,0,0,0,0,1.7,1.7,1.3,3.1,16,19,26,1.60,0.64,2.23,1.60,2.23,0.62,0.48,1.10,0.62,1.10,Matches
