Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches
Luis Alberto,es ESP,MF,it Lazio,30,1992,7.1,396,497,79.7,6671,2102,200,222,90.1,155,187,82.9,34,69,49.3,1,2.2,2.2,-1.2,21,57,12,1,71,Matches
Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5.0,263,319,82.4,5980,2204,68,76,89.5,141,151,93.4,51,85,60.0,0,0.1,0.4,-0.1,3,29,1,1,18,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,1.5,22,31,71.0,301,51,12,14,85.7,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,1,1,1,1,2,Matches
Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,4.6,117,156,75.0,1732,522,69,85,81.2,40,49,81.6,5,11,45.5,1,0.6,0.7,+0.4,4,6,5,0,23,Matches
Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,1.5,79,94,84.0,1399,316,42,45,93.3,29,33,87.9,8,13,61.5,0,0.0,0.1,0.0,1,5,1,1,9,Matches
Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,1.4,31,39,79.5,403,74,23,28,82.1,7,7,100.0,1,3,33.3,1,0.5,0.1,+0.5,1,0,1,0,1,Matches
Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,3.1,157,184,85.3,2294,534,106,112,94.6,35,47,74.5,12,18,66.7,2,1.3,0.9,+0.7,16,11,3,0,19,Matches
Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5.0,172,214,80.4,3530,1060,41,47,87.2,110,123,89.4,19,41,46.3,1,0.0,0.1,+1.0,2,10,1,0,13,Matches
Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,3.5,125,143,87.4,2926,759,24,28,85.7,71,76,93.4,30,35,85.7,0,0.0,0.0,0.0,1,7,0,0,6,Matches
Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,3.6,151,176,85.8,2690,723,57,64,89.1,82,95,86.3,10,13,76.9,0,0.1,0.3,-0.1,1,9,1,1,12,Matches
