Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,3.1,0,0,0,1,0,0,20,0,2,0,0,0,7,1,2,33.3,Matches
Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5.0,2,0,0,12,3,1,1,6,4,0,1,0,24,7,10,41.2,Matches
Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,3.5,1,0,0,9,1,0,0,6,4,0,0,0,16,8,2,80.0,Matches
Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,3.6,2,0,0,4,5,0,3,3,5,0,0,0,21,2,2,50.0,Matches
Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2002,0.5,0,0,0,1,1,0,0,2,1,0,0,0,3,0,0,,Matches
Felipe Anderson,br BRA,FW,it Lazio,30,1993,6.0,0,0,0,5,9,0,8,12,7,0,0,0,30,1,3,25.0,Matches

Angeliño,es ESP,DF,tr Galatasaray,26,1997,4.7,0,0,0,10,5,0,15,6,5,0,0,0,21,6,8,42.9,Matches
Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32,1990,5.2,0,0,0,2,2,0,22,10,8,0,0,0,39,3,6,33.3,Matches
Antony,br BRA,FW,eng Manchester Utd,23,2000,2.6,1,0,0,2,5,0,2,5,6,0,0,0,8,1,2,33.3,Matches
Jon Aramburu,ve VEN,DF,es Real Sociedad,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Ronald Araújo,uy URU,DF,es Barcelona,24,1999,7.3,2,1,0,5,3,0,0,8,10,0,0,0,28,13,5,72.2,Matches
Tomás Araújo,pt POR,DF,pt Benfica,21,2002,1.8,0,0,0,0,1,0,1,4,2,0,0,0,11,3,6,33.3,Matches
Marko Arnautović,at AUT,FW,it Inter,34,1989,2.1,0,0,0,1,4,2,4,1,0,0,0,0,4,4,5,44.4,Matches
Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4.0,1,0,0,0,1,0,0,0,0,0,0,0,6,2,0,100.0,Matches
Marco Asensio,es ESP,"FW,MF",fr Paris S-G,27,1996,1.4,0,0,0,1,1,0,1,0,1,0,0,0,6,0,2,0.0,Matches
Kristjan Asllani,al ALB,MF,it Inter,21,2002,2.3,2,0,0,3,2,0,3,1,1,0,0,0,13,0,1,0.0,Matches
