Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Nacer Chadli,be BEL,MF,Başakşehir,32,1989,0.7,0,0,0,1,0,0,0,0,1,,,0,Matches

Charis Charisis,gr GRE,MF,Sivasspor,27,1995,19.3,3,0,0,28,41,0,16,24,49,,,0,Matches
Anastasios Chatzigiovannis,gr GRE,"MF,FW",Ankaragücü,25,1997,9.3,2,0,0,9,10,8,40,4,3,,,0,Matches
Mounir Chouiar,fr FRA,"FW,MF",Başakşehir,23,1999,10.5,1,0,0,15,12,4,18,12,12,,,0,Matches
Mounir Chouiar,fr FRA,"MF,FW",Kasımpaşa,23,1999,10.6,1,0,0,11,13,2,47,11,7,,,0,Matches
Alexandru Cicâldău,ro ROU,MF,Galatasaray,25,1997,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Ibrahim Cicek,,MF,Ankaragücü,15,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Uğur Çiftçi,tr TUR,DF,Sivasspor,30,1992,19.9,5,1,1,29,15,3,69,24,29,,,0,Matches
Sadık Çiftpınar,tr TUR,DF,Kasımpaşa,29,1993,11.3,4,0,0,16,20,0,0,23,11,,,0,Matches
Tolga Ciğerci,tr TUR,MF,Ankaragücü,30,1992,15.9,5,0,0,35,24,0,30,33,18,,,0,Matches
Mirza Cihan,,MF,Gaziantep FK,21,2000,1.6,0,0,0,1,1,1,0,0,4,,,0,Matches
Sokol Cikalleshi,al ALB,FW,Konyaspor,32,1990,1.1,0,0,0,1,1,0,0,0,4,,,0,Matches
Ramazan Civelek,tr TUR,MF,Kayserispor,26,1996,12.8,2,0,0,11,8,1,38,8,12,,,0,Matches
Isaac Cofie,gh GHA,MF,Sivasspor,30,1991,9.6,2,0,0,9,8,0,0,13,13,,,0,Matches
İsmail Çokçalış,tr TUR,DF,Adana Demirspor,22,2000,4.5,1,0,0,3,1,0,4,3,5,,,0,Matches
Ebrima Colley,gm GAM,"FW,MF",Fatih Karagümrük,22,2000,16.4,5,1,1,23,25,5,55,20,11,,,0,Matches
Omar Colley,gm GAM,DF,Beşiktaş,29,1992,10.0,4,0,0,11,14,0,0,16,5,,,0,Matches
Kamil Çörekçi,tr TUR,DF,Hatayspor,30,1992,15.9,5,0,0,11,5,0,42,14,21,,,0,Matches
Andreas Cornelius,dk DEN,FW,Trabzonspor,29,1993,3.8,0,0,0,9,4,1,0,0,0,,,0,Matches
Crespo,pt POR,MF,Fenerbahçe,25,1996,12.9,6,1,1,38,52,0,12,9,22,,,0,Matches
Enzo Crivelli,fr FRA,FW,Başakşehir,27,1995,0.2,1,0,0,1,0,0,1,0,0,,,0,Matches
Mehmet Dadakdeniz,tr TUR,GK,Antalyaspor,22,1999,1.0,0,0,0,1,1,0,0,0,0,,,0,Matches
Brahim Darri,nl NED,"FW,MF",Fatih Karagümrük,27,1994,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Doğan Davas,,MF,Giresunspor,24,1997,5.7,1,0,0,9,7,1,1,6,4,,,0,Matches
Sergio Antonio De Luiz Junior,br BRA,MF,Giresunspor,27,1995,26.1,6,1,0,35,38,6,57,16,33,,,0,Matches
