Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Massimo Bruno,be BEL,"MF,DF",Kortrijk,28,1993,13.4,3,0,0,15,13,2,26,7,19,0,1,0,107,7,6,53.8,Matches
Tajon Buchanan,ca CAN,"DF,FW",Club Brugge,23,1999,18.0,6,0,0,22,43,6,53,10,14,2,0,0,86,4,19,17.4,Matches
Denys Bunchukov,ua UKR,MF,R.F.C. Seraing,19,2003,3.3,0,0,0,8,0,0,1,3,4,0,1,0,18,2,11,15.4,Matches
Christian Burgess,eng ENG,DF,Union SG,30,1991,30.3,10,0,0,25,14,0,1,51,26,0,0,0,196,105,56,65.2,Matches

Jean Butez,fr FRA,GK,Antwerp,27,1995,34.0,1,0,0,1,4,0,0,1,0,0,1,0,55,9,1,90.0,Matches
Mathieu Cachbach,be BEL,MF,R.F.C. Seraing,21,2001,18.9,6,0,0,28,36,0,15,23,18,0,0,0,105,10,19,34.5,Matches
Alexandro Calut,be BEL,"DF,MF",Standard Liège,19,2003,0.3,2,1,1,2,0,0,0,0,0,0,0,0,2,0,0,,Matches
Cihan Çanak,tr TUR,"MF,FW",Standard Liège,17,2005,10.0,4,0,0,25,21,1,27,6,21,0,0,0,54,5,16,23.8,Matches
Brecht Capon,be BEL,"DF,MF",Oostende,34,1988,12.4,0,0,0,15,15,0,16,17,17,0,1,0,69,14,19,42.4,Matches
Rasmus Carstensen,dk DEN,DF,Genk,21,2000,0.6,0,0,0,1,0,0,3,1,1,0,0,0,9,0,0,,Matches
Nicolás Castro,ar ARG,"MF,FW",Genk,21,2000,6.5,0,0,0,6,8,2,15,7,13,0,0,0,41,1,1,50.0,Matches
Alessio Castro-Montes,be BEL,"DF,MF",Gent,25,1997,20.3,6,0,0,25,28,3,86,37,39,0,0,0,135,16,11,59.3,Matches
Nacer Chadli,be BEL,"MF,FW",Westerlo,32,1989,14.4,0,0,0,9,10,6,13,6,6,0,0,0,58,22,26,45.8,Matches
Youssef Challouk,be BEL,"DF,FW",Kortrijk,26,1995,0.1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,,Matches
Regan Charles-Cook,gd GRN,"FW,DF",Eupen,25,1997,24.5,4,0,0,33,54,11,50,12,26,0,2,0,133,15,37,28.8,Matches
Isaac Christie-Davies,wls WAL,MF,Eupen,24,1997,14.8,3,0,0,35,4,3,14,13,20,0,0,0,105,13,19,40.6,Matches
Gojko Cimirot,ba BIH,"MF,DF",Standard Liège,29,1992,23.4,6,1,1,19,12,0,14,25,22,0,0,0,156,1,6,14.3,Matches
Alessandro Ciranni,be BEL,DF,Zulte Waregem,26,1996,22.8,5,0,0,35,13,4,109,28,38,0,1,0,100,9,21,30.0,Matches
Valentin Cojocaru,ro ROU,GK,OH Leuven,26,1995,34.0,1,0,0,0,8,0,0,3,1,0,0,0,45,7,0,100.0,Matches
