Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Anders Dahl,dk DEN,MF,Silkeborg,21,2002,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
Mathias Dahl Sauer,dk DEN,MF,AGF,19,2004,0.4,0,0,0,0,0,0,2,0,0,,,0,Matches
Robin Dahl Østrøm,no NOR,DF,Silkeborg,20,2002,13.1,0,0,0,10,4,3,7,3,15,,,0,Matches
Henrik Dalsgaard,dk DEN,DF,Midtjylland,34,1989,17.8,5,0,0,17,8,1,43,17,19,,,0,Matches
Zean Dalügge,dk DEN,MF,Lyngby,20,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Wessel Dammers,nl NED,DF,Randers,28,1995,27.6,5,1,0,15,11,1,0,36,18,,,0,Matches
Don Deedson Louicius,ht HAI,"MF,FW",Odense,22,2001,20.4,5,0,0,29,15,10,28,9,14,,,0,Matches
Kevin Diks,nl NED,DF,FC Copenhagen,26,1996,29.5,4,1,1,18,26,0,9,34,28,,,0,Matches
Mohamed Diomandé,ci CIV,MF,Nordsjælland,21,2001,10.5,5,0,0,15,19,1,15,10,13,,,0,Matches
Marko Divkovic,hr CRO,MF,Brøndby,24,1999,24.1,2,0,0,13,25,1,123,16,38,,,0,Matches
Franculino Djú,gw GNB,FW,Midtjylland,19,2004,16.3,1,0,0,11,12,13,5,11,6,,,0,Matches
Mario Dorgeless,ci CIV,"MF,DF",Nordsjælland,18,2004,6.8,0,0,0,6,5,2,8,9,6,,,0,Matches
Mouhamadou Drammeh,fr FRA,MF,Vejle BK,24,1999,0.6,0,0,0,1,0,0,0,0,0,,,0,Matches
Mikkel Duelund,dk DEN,"MF,FW",AGF,26,1997,7.3,0,0,0,10,16,2,30,2,3,,,0,Matches
