Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Marco Bizot,nl NED,GK,Brest,32,1991,32.0,3,1,0,1,0,0,0,0,0,0,1,0,35,3,1,75.0,Matches
Rubén Blanco,es ESP,GK,Marseille,28,1995,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Ludovic Blas,fr FRA,"FW,MF",Rennes,25,1997,17.4,3,0,0,44,34,3,53,6,14,0,0,0,85,5,17,22.7,Matches
Myron Boadu,nl NED,FW,Monaco,22,2001,0.9,0,0,0,3,2,1,0,0,2,0,0,0,3,1,6,14.3,Matches
Jeremie Boga,ci CIV,FW,Nice,26,1997,22.2,1,0,0,7,24,9,88,8,7,0,0,0,73,3,4,42.9,Matches
Adama Bojang,gm GAM,FW,Reims,19,2004,0.9,1,0,0,4,1,1,1,1,1,0,0,0,3,1,3,25.0,Matches
Neto Borges,br BRA,DF,Clermont Foot,26,1996,28.0,3,1,0,21,24,8,79,57,24,2,0,0,156,37,45,45.1,Matches

Saïmon Bouabré,fr FRA,MF,Monaco,17,2006,0.5,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,,Matches
Ayyoub Bouaddi,fr FRA,MF,Lille,15,2007,1.5,3,1,1,8,0,0,2,1,2,0,0,0,17,1,2,33.3,Matches
Badredine Bouanani,dz ALG,FW,Nice,18,2004,1.8,0,0,0,4,5,1,8,3,2,0,0,0,8,0,1,0.0,Matches
Badredine Bouanani,dz ALG,MF,Lorient,18,2004,4.9,0,0,0,1,10,0,10,2,2,0,0,0,18,0,3,0.0,Matches
Mohamed Bouchenna,fr FRA,"MF,FW",Clermont Foot,17,2006,0.3,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,,Matches
Hicham Boudaoui,dz ALG,MF,Nice,23,1999,17.9,5,0,0,25,29,1,23,11,19,1,0,0,88,22,27,44.9,Matches
Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,29,1994,26.9,1,0,0,16,13,2,165,22,18,0,0,0,102,11,20,35.5,Matches
Bilal Boutobba,fr FRA,"FW,MF",Clermont Foot,24,1998,10.3,1,0,0,7,26,2,57,8,12,0,0,0,54,11,11,50.0,Matches
Hugo Boutsingkham,fr FRA,"MF,FW",Nantes,20,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Bilal Brahimi,dz ALG,FW,Nice,23,2000,0.1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,Matches
Bilal Brahimi,dz ALG,"FW,MF",Brest,23,2000,2.5,1,1,0,3,4,2,32,0,0,0,0,0,14,1,1,50.0,Matches
Lilian Brassier,fr FRA,DF,Brest,23,1999,29.7,11,1,1,34,23,1,5,41,18,0,1,0,180,55,35,61.1,Matches
Maxime Busi,be BEL,"FW,DF",Reims,23,1999,1.8,1,0,0,1,0,0,4,4,0,0,0,0,13,2,1,66.7,Matches
Marcin Bułka,pl POL,GK,Nice,23,1999,34.0,2,0,0,0,4,0,0,0,0,0,0,0,52,8,2,80.0,Matches
Rémy Cabella,fr FRA,"FW,MF",Lille,33,1990,16.4,0,0,0,16,38,3,51,5,36,0,0,0,87,7,17,29.2,Matches
Duje Ćaleta-Car,hr CRO,DF,Lyon,26,1996,22.1,2,1,0,16,5,0,0,18,11,0,0,0,86,57,15,79.2,Matches
Lamine Camara,sn SEN,MF,Metz,19,2004,25.1,3,0,0,45,45,1,119,28,42,0,0,0,180,11,26,29.7,Matches
Mahdi Camara,fr FRA,MF,Brest,25,1998,22.4,7,0,0,37,38,3,45,27,39,1,0,0,77,32,30,51.6,Matches
Mohamed Camara,ml MLI,MF,Monaco,23,2000,11.5,4,0,0,25,23,0,1,11,21,0,0,0,85,7,8,46.7,Matches
Axel Camblan,fr FRA,FW,Brest,19,2003,1.0,2,0,0,3,1,0,1,0,1,0,0,0,4,1,6,14.3,Matches
Fali Candé,gw GNB,DF,Metz,25,1998,20.5,4,0,0,14,16,0,8,20,19,1,2,0,93,30,22,57.7,Matches
Gino Caoki,fr FRA,MF,Lorient,19,2004,0.1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,Matches
Maxence Caqueret,fr FRA,MF,Lyon,23,2000,33.6,1,0,0,34,30,1,86,48,64,0,1,0,236,9,12,42.9,Matches
Igor Carioca,br BRA,"DF,MF",Lorient,26,1996,2.9,2,0,0,7,4,0,10,3,6,0,2,0,18,4,5,44.4,Matches
Antonin Cartillier,fr FRA,DF,Monaco,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches

Josué Casimir,fr FRA,"FW,DF",Le Havre,21,2001,22.4,6,0,0,25,28,7,52,13,18,1,0,0,107,21,25,45.7,Matches
Cristian Cásseres Jr.,ve VEN,MF,Toulouse,23,2000,21.6,1,0,0,42,35,0,22,27,34,0,1,0,136,15,26,36.6,Matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,28,1995,27.4,5,0,0,33,18,2,20,32,26,0,2,0,138,51,32,61.4,Matches
Maximiliano Caufriez,be BEL,DF,Clermont Foot,26,1997,18.4,6,3,1,39,18,0,4,18,28,0,1,0,72,19,17,52.8,Matches
Ivan Cavaleiro,pt POR,FW,Lille,29,1993,8.6,1,0,0,10,7,2,29,5,6,0,0,0,31,15,22,40.5,Matches
