Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,27.6,6,0,0,16,18,1,54,35,34,0,0,0,263,45,34,57.0,Matches
Aventis Aventisian,am ARM,DF,Go Ahead Eag,18,2002,0.0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,Matches
Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,18.6,1,0,0,22,2,2,5,18,21,0,0,0,115,15,24,38.5,Matches
Ismail Azzaoui,be BEL,"FW,MF",Heracles Almelo,23,1998,4.8,0,0,0,4,8,2,5,2,8,0,0,0,30,3,4,42.9,Matches
Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,21,2000,14.5,2,0,0,19,16,5,9,2,6,0,0,0,35,14,34,29.2,Matches
Samy Baghdadi,fr FRA,"FW,MF",Fortuna Sittard,24,1997,4.8,2,0,0,9,3,2,11,4,5,0,0,0,28,7,13,35.0,Matches

Saïd Bakari,km COM,"DF,MF",RKC Waalwijk,26,1994,26.3,1,0,0,4,12,2,78,24,21,0,0,0,162,20,25,44.4,Matches
Johan Bakayoko,be BEL,FW,PSV Eindhoven,18,2003,0.4,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,100.0,Matches
Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,5.4,3,0,0,14,10,0,4,9,8,0,0,0,39,2,6,25.0,Matches
Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,17.0,2,1,1,22,16,19,0,8,5,0,0,0,38,46,63,42.2,Matches
Justin Bakker,nl NED,DF,Go Ahead Eag,23,1998,8.2,0,0,0,2,0,0,25,5,3,0,0,0,48,8,8,50.0,Matches
Nick Bakker,nl NED,DF,Heerenveen,29,1992,18.2,1,0,0,12,3,0,0,22,13,0,0,0,86,27,35,43.5,Matches
Aliou Baldé,gn GUI,FW,Feyenoord,18,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Remco Balk,nl NED,"FW,MF",Utrecht,20,2001,5.0,0,0,0,4,13,0,7,2,3,1,0,0,19,2,6,25.0,Matches
Alex Bangura,sl SLE,DF,Cambuur,22,1999,26.8,8,1,1,39,54,1,26,29,34,1,0,0,188,12,16,42.9,Matches
Naoufal Bannis,nl NED,"MF,FW",Feyenoord,19,2002,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches
