Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Denílson,br BRA,FW,Famalicão,27,1995,4.0,0,0,0,3,6,4,3,1,2,0,0,0,11,13,15,46.4,Matches
Depú,ao ANG,"FW,MF",Gil Vicente FC,22,2000,0.9,1,0,0,1,3,0,0,1,0,0,0,0,1,3,3,50.0,Matches

Derick,br BRA,"MF,DF",Casa Pia,28,1993,16.0,0,0,0,14,21,1,60,16,18,0,0,0,93,10,17,37.0,Matches
Lamine Diaby,fr FRA,MF,Portimonense,25,1996,15.7,4,0,0,34,22,3,5,21,17,0,1,0,114,40,23,63.5,Matches
Ousmane Diomande,ci CIV,DF,Sporting CP,18,2003,9.8,3,0,0,14,3,0,1,11,13,0,0,0,52,13,17,43.3,Matches
Álvaro djaló,es ESP,"FW,MF",Braga,22,1999,7.1,7,1,1,26,11,2,21,5,7,0,0,0,47,17,24,41.5,Matches
Matchoi Djaló,pt POR,"MF,FW",Paços,19,2003,14.5,11,1,0,30,67,4,69,7,13,0,0,0,77,11,15,42.3,Matches
Mihai Dobre,ro ROU,"FW,DF",Famalicão,23,1998,10.4,1,1,0,10,10,1,15,3,16,0,1,0,45,9,22,29.0,Matches
Julian Draxler,de GER,"MF,FW",Benfica,28,1993,4.5,0,0,0,1,1,2,4,1,2,0,0,0,17,2,1,66.7,Matches
Edu,pt POR,MF,Chaves,20,2002,0.4,0,0,0,0,1,0,0,2,0,0,0,0,4,1,0,100.0,Matches
Carlos Eduardo,br BRA,"FW,MF",Estoril,25,1996,8.0,2,0,0,11,14,2,8,8,7,0,0,0,43,8,4,66.7,Matches
Paulo Eduardo,br BRA,DF,Santa Clara,20,2002,5.3,2,0,0,8,4,0,0,6,5,0,1,1,20,10,10,50.0,Matches
Marcus Edwards,eng ENG,"FW,MF",Sporting CP,23,1998,25.0,4,0,0,15,49,1,99,5,10,1,0,0,103,2,15,11.8,Matches
