Player,Market Value
kristijan-jakic,€6.50m
,
,
amir-hadziahmetovic,€6.50m
,
,
renato-sanches,€6.50m
,
,
enis-bardhi,€6.50m
,
,
florian-grillitsch,€6.50m
,
,
filip-kostic,€6.50m
,
,
remo-freuler,€6.50m
,
,
ayyoub-bouaddi,€6.00m
,
,
unai-gomez,€6.00m
,
,
isaac-babadi,€6.00m
,
,
artem-karpukas,€6.00m
,
,
jacopo-fazzini,€6.00m
,
,
antoni-milambo,€6.00m
,
,
warren-bondo,€6.00m
,
,
ardon-jashari,€6.00m
,
,
eric-martel,€6.00m
,
,
johann-lepenant,€6.00m
,
,
lucien-agoume,€6.00m
,
,
robert-navarro,€6.00m
,
,
filip-marchwinski,€6.00m
,
,
nicolai-vallys,€6.00m
,
,
sivert-mannsverk,€6.00m
,
,
pavel-sulc,€6.00m
,
,
dirk-proper,€6.00m
,
,
berat-ozdemir,€6.00m
,
,
fran-beltran,€6.00m
,
,
muhammed-cham,€6.00m
,
,
mohammed-abu-fani,€6.00m
,
,
ibrahima-diallo,€6.00m
,
,
santi-comesana,€6.00m
,
,
gianluca-gaetano,€6.00m
,
,
alessio-castro-montes,€6.00m
,
,
jean-victor-makengo,€6.00m
,
,
dani-ceballos,€6.00m
,
,
rade-krunic,€6.00m
,
,
anton-miranchuk,€6.00m
,
,
glen-kamara,€6.00m
,
,
marko-grujic,€6.00m
,
,
oliver-torres,€6.00m
,
,
branco-van-den-boomen,€6.00m
,
,
julian-weigl,€6.00m
,
,
davide-zappacosta,€6.00m
,
,
sergi-darder,€6.00m
,
,
henrikh-mkhitaryan,€6.00m
,
,
luka-modric,€6.00m
,
,
jack-rudoni,€5.50m
,
,
lukas-provod,€5.50m
,
,
nemanja-maksimovic,€5.50m
,
,
eduard-lowen,€5.50m
,
,
danilo-cataldi,€5.50m
,
,
mario-gotze,€5.50m
,
,
senny-mayulu,€5.00m
,
,
myles-lewis-skelly,€5.00m
,
,
pascal-klemens,€5.00m
,
,
benjamin-tahirovic,€5.00m
,
,
williot-swedberg,€5.00m
,
,
mathias-delorge,€5.00m
,
,
aleksey-batrakov,€5.00m
,
,
iker-munoz,€5.00m
,
,
felix-lemarechal,€5.00m
,
,
olivier-deman,€5.00m
,
,
dan-neil,€5.00m
,
,
lewis-obrien,€5.00m
,
,
kacper-kozlowski,€5.00m
,
,
eliot-matazo,€5.00m
,
,
luke-cundle,€5.00m
,
,
jason-knight,€5.00m
,
,
mathias-kjolo,€5.00m
,
,
ruslan-litvinov,€5.00m
,
,
kristijan-belic,€5.00m
,
,
finn-azaz,€5.00m
,
,
zaydou-youssouf,€5.00m
,
,
ander-guevara,€5.00m
,
,
andras-schafer,€5.00m
,
,
will-smallbone,€5.00m
,
,
toni-fruk,€5.00m
,
,
aleksandr-chernikov,€5.00m
,
,
theo-leoni,€5.00m
,
,
joel-monteiro,€5.00m
,
,
niko-jankovic,€5.00m
,
,
bartosz-slisz,€5.00m
,
,
ilia-gruev,€5.00m
,
,
jakub-piotrowski,€5.00m
,
,
daniil-utkin,€5.00m
,
,
otar-kiteishvili,€5.00m
,
,
bakhtiyor-zaynutdinov,€5.00m
,
,
yannik-keitel,€5.00m
,
,
dani-de-wit,€5.00m
,
,
tomi-horvat,€5.00m
,
,
alex-kral,€5.00m
,
,
andre-horta,€5.00m
,
,
nikola-moro,€5.00m
,
,
tom-davies,€5.00m
,
,
arne-maier,€5.00m
,
,
oleksandr-pikhalyonok,€5.00m
,
,
donny-van-de-beek,€5.00m
,
,
dejan-ljubicic,€5.00m
,
,
monchu,€5.00m
,
,
robert-skov,€5.00m
,
,
suat-serdar,€5.00m
,
,
alvaro-medran,€5.00m
,
,
laszlo-benes,€5.00m
,
,
mirko-ivanic,€5.00m
,
,
adrien-thomasson,€5.00m
,
,
dele-alli,€5.00m
,
,
corentin-tolisso,€5.00m
,
,
vitaliy-buyalskyi,€5.00m
,
,
anastasios-bakasetas,€5.00m
,
,
adrien-tameze,€5.00m
,
,
john-lundstram,€5.00m
,
,
jesse-lingard,€5.00m
,
,
inigo-ruiz-de-galarreta,€5.00m
,
,
rani-khedira,€5.00m
,
,
kevin-stoger,€5.00m
,
,
iker-muniain,€5.00m
,
