Player,Market Value
jamie-leweling,€9.00m
,
,
michel-ange-balikwisha,€9.00m
,
,
veljko-birmancevic,€9.00m
,
,
ruben-vargas,€9.00m
,
,
jota,€9.00m
,
,
adama-traore,€9.00m
,
,
vincenzo-grifo,€9.00m
,
,
anthony-martial,€9.00m
,
,
marvin-ducksch,€9.00m
,
,
alexandre-lacazette,€9.00m
,
,
julien-duranville,€8.50m
,
,
michy-batshuayi,€8.50m
,
,
marin-ljubicic,€8.00m
,
,
ange-yoan-bonny,€8.00m
,
,
carlos-forbs,€8.00m
,
,
matej-jurasek,€8.00m
,
,
samuel-edozie,€8.00m
,
,
fran-perez,€8.00m
,
,
loum-tchaouna,€8.00m
,
,
ante-crnac,€8.00m
,
,
tomas-cvancara,€8.00m
,
,
sergey-pinyaev,€8.00m
,
,
javi-puado,€8.00m
,
,
chiedozie-ogbene,€8.00m
,
,
petar-musa,€8.00m
,
,
jesper-karlsson,€8.00m
,
,
isi-palazon,€8.00m
,
,
rafa-mujica,€8.00m
,
,
arnaud-nordin,€8.00m
,
,
myrto-uzuni,€8.00m
,
,
jacob-bruun-larsen,€8.00m
,
,
fran-navarro,€8.00m
,
,
robin-hack,€8.00m
,
,
david-brooks,€8.00m
,
,
georgios-giakoumakis,€8.00m
,
,
vincent-janssen,€8.00m
,
,
andrija-zivkovic,€8.00m
,
,
wissam-ben-yedder,€8.00m
,
,
danny-ings,€8.00m
,
,
michael-gregoritsch,€8.00m
,
,
pablo-sarabia,€8.00m
,
,
thomas-muller,€8.00m
,
,
jean-matteo-bahoya,€7.50m
,
,
marc-guiu,€7.50m
,
,
ferran-jutgla,€7.50m
,
,
aleksandr-sobolev,€7.50m
,
,
milot-rashica,€7.50m
,
,
viktor-djukanovic,€7.00m
,
,
william-osula,€7.00m
,
,
daan-rots,€7.00m
,
,
mika-biereth,€7.00m
,
,
liel-abada,€7.00m
,
,
ellis-simms,€7.00m
,
,
nicolo-cambiaghi,€7.00m
,
,
danylo-sikan,€7.00m
,
,
conor-chaplin,€7.00m
,
,
florinel-coman,€7.00m
,
,
oleksandr-zubkov,€7.00m
,
,
luka-jovic,€7.00m
,
,
ayoze-perez,€7.00m
,
,
vaclav-cerny,€7.00m
,
,
kiril-despodov,€7.00m
,
,
paulinho,€7.00m
,
,
alassane-plea,€7.00m
,
,
bruma,€7.00m
,
,
lucas-da-cunha,€6.50m
,
,
mojmir-chytil,€6.50m
,
,
marcus-ingvartsen,€6.50m
,
,
sondre-orjasaeter,€6.00m
,
,
jaidon-anthony,€6.00m
,
,
jovan-mijatovic,€6.00m
,
,
matthis-abline,€6.00m
,
,
roko-simic,€6.00m
,
,
tiago-tomas,€6.00m
,
,
sekou-mara,€6.00m
,
,
anastasios-douvikas,€6.00m
,
,
mirlind-daku,€6.00m
,
,
largie-ramazani,€6.00m
,
,
kristoffer-velde,€6.00m
,
,
lorenzo-colombo,€6.00m
,
,
adrian-benedyczak,€6.00m
,
,
nikola-krstovic,€6.00m
,
,
jakub-kaminski,€6.00m
,
,
riccardo-sottil,€6.00m
,
,
tahith-chong,€6.00m
,
,
cristo,€6.00m
,
,
krzysztof-piatek,€6.00m
,
,
gustaf-nilsson,€6.00m
,
,
adam-buksa,€6.00m
,
,
lukas-haraslin,€6.00m
,
,
wout-weghorst,€6.00m
,
,
andre-silva,€6.00m
,
,
tim-kleindienst,€6.00m
,
,
arkadiusz-milik,€6.00m
,
,
mohamed-elyounoussi,€6.00m
,
,
yussuf-poulsen,€6.00m
,
,
steven-berghuis,€6.00m
,
,
juanmi,€6.00m
,
,
yusuf-sari,€5.50m
,
,
joel-pohjanpalo,€5.50m
,
,
anan-khalaili,€5.00m
,
,
joel-ndala,€5.00m
,
,
tyler-dibling,€5.00m
,
,
jusef-erabi,€5.00m
,
,
petar-ratkov,€5.00m
,
,
milos-lukovic,€5.00m
,
,
nelson-weiper,€5.00m
,
,
jeremy-le-douaron,€5.00m
,
,
ruben-van-bommel,€5.00m
,
,
nicolo-tresoldi,€5.00m
,
,
leo-sauer,€5.00m
,
,
orri-oskarsson,€5.00m
,
,
tyrhys-dolan,€5.00m
,
,
nathan-ngoumou,€5.00m
,
,
igor-matanovic,€5.00m
,
,
mathias-kvistgaarden,€5.00m
,
,
sebastiano-esposito,€5.00m
,
,
tiago-gouveia,€5.00m
,
,
casper-tengstedt,€5.00m
,
,
robert-bozenik,€5.00m
,
,
francis-amuzu,€5.00m
,
,
myron-boadu,€5.00m
,
,
yorbe-vertessen,€5.00m
,
,
sam-surridge,€5.00m
,
,
yunus-akgun,€5.00m
,
,
michal-skoras,€5.00m
,
,
danny-namaso,€5.00m
,
,
noah-weisshaupt,€5.00m
,
,
sam-lammers,€5.00m
,
,
sasa-kalajdzic,€5.00m
,
,
dany-mota,€5.00m
,
,
nathan-broadhead,€5.00m
,
,
dejan-joveljic,€5.00m
,
,
jan-kuchta,€5.00m
,
,
karol-swiderski,€5.00m
,
,
lukas-nmecha,€5.00m
,
,
lewis-morgan,€5.00m
,
,
rey-manaj,€5.00m
,
,
toni-martinez,€5.00m
,
,
phillip-tietz,€5.00m
,
,
borja-iglesias,€5.00m
,
,
tobias-lauritsen,€5.00m
,
,
patrick-cutrone,€5.00m
,
,
bruno-petkovic,€5.00m
,
,
fabian-reese,€5.00m
,
,
iuri-medeiros,€5.00m
,
,
andrea-belotti,€5.00m
,
,
divock-origi,€5.00m
,
,
nathan-redmond,€5.00m
,
,
paco-alcacer,€5.00m
,
,
emil-forsberg,€5.00m
,
,
thorgan-hazard,€5.00m
,
,
marko-livaja,€5.00m
,
,
stephan-el-shaarawy,€5.00m
,
,
joselu,€5.00m
,
,
danny-welbeck,€5.00m
,
,
andrej-kramaric,€5.00m
,
,
ante-budimir,€5.00m
,
,
tommy-conway,€4.80m
,
,
enis-destan,€4.80m
,
,
matteo-cancellieri,€4.80m
,
,
albion-rrahmani,€4.50m
,
,
antonio-raimondo,€4.50m
,
,
arbnor-muja,€4.50m
,
,
troy-parrott,€4.50m
,
,
ephron-mason-clark,€4.50m
,
,
ross-stewart,€4.50m
,
,
jens-odgaard,€4.50m
,
,
zan-celar,€4.50m
,
,
oli-mcburnie,€4.50m
,
,
federico-bernardeschi,€4.50m
,
,
rodrigo,€4.50m
,
,
oguz-aydin,€4.30m
,
,
sorba-thomas,€4.20m
,
,
anton-matkovic,€4.00m
,
,
thierno-barry,€4.00m
,
,
momodou-lamin-sonko,€4.00m
,
,
mika-godts,€4.00m
,
,
amin-sarr,€4.00m
,
,
arijon-ibrahimovic,€4.00m
,
,
nino-marcelli,€4.00m
,
,
nazar-voloshyn,€4.00m
,
,
samed-bazdar,€4.00m
,
,
jarne-steuckers,€4.00m
,
,
abu-kamara,€4.00m
,
,
tom-cannon,€4.00m
,
,
jacob-ondrejka,€4.00m
,
,
raul-garcia,€4.00m
,
,
dion-beljo,€4.00m
,
,
kelvin-yeboah,€4.00m
,
,
stipe-biuk,€4.00m
