Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Chidozie Awaziem,ng NGA,DF,Boavista,24,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdoulaye Ba,sn SEN,DF,Arouca,30,1991,14.9,0,6,1,16.7,0.40,0.07,0.00,0.00,16.3,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
Abdoulaye Ba,sn SEN,DF,Moreirense,30,1991,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,23.4,1,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
Marco Baixinho,pt POR,DF,Paços,32,1989,24.3,0,7,1,14.3,0.29,0.04,0.00,0.00,12.6,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Ibrahima Bamba,ci CIV,MF,Vitória,19,2002,3.3,0,2,0,0.0,0.61,0.00,0.00,,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Daniel Bandeira,pt POR,MF,Vitória,21,2000,0.2,0,1,0,0.0,4.09,0.00,0.00,,28.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Simon Banza,cd COD,FW,Famalicão,24,1996,25.9,14,77,41,53.2,2.98,1.58,0.17,0.32,13.2,1,1,2,13.6,12.0,0.16,+0.4,+1.0,Matches

Yves Baraye,sn SEN,"FW,MF",B-SAD,29,1992,11.8,2,15,5,33.3,1.27,0.42,0.13,0.40,16.5,1,0,0,2.0,2.0,0.13,0.0,0.0,Matches
Rafael Barbosa,pt POR,"MF,FW",Tondela,25,1996,19.2,2,30,17,56.7,1.56,0.88,0.07,0.12,20.3,1,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches
Romário Baró,pt POR,MF,Estoril,21,2000,4.3,0,7,1,14.3,1.64,0.23,0.00,0.00,21.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Oscar Barreto,co COL,"FW,MF",Santa Clara,28,1993,3.9,0,8,2,25.0,2.06,0.51,0.00,0.00,17.7,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
Gil Bastião Dias,pt POR,"DF,FW",Benfica,24,1996,7.3,1,14,5,35.7,1.93,0.69,0.07,0.20,20.7,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
Luís Bastos,pt POR,DF,Paços,19,2001,3.4,0,4,0,0.0,1.17,0.00,0.00,,29.3,2,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Dylan Batubinsika,cd COD,DF,Famalicão,25,1996,16.7,1,8,1,12.5,0.48,0.06,0.13,1.00,7.8,0,0,0,1.8,1.8,0.22,-0.8,-0.8,Matches
Clésio Baúque,mz MOZ,"DF,FW",Marítimo,26,1994,5.3,0,5,2,40.0,0.95,0.38,0.00,0.00,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Bebeto,br BRA,"DF,MF",Tondela,31,1990,15.4,0,3,0,0.0,0.20,0.00,0.00,,22.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Alireza Beiranvand,ir IRN,GK,Boavista,28,1992,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Stefano Beltrame,it ITA,MF,Marítimo,28,1993,15.4,1,18,5,27.8,1.17,0.32,0.06,0.20,25.2,4,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
Gilson Benchimol,cv CPV,FW,Estoril,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Berna,pt POR,MF,Braga,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Paulo Bernardo,pt POR,MF,Benfica,19,2002,8.7,0,18,5,27.8,2.08,0.58,0.00,0.00,19.1,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Matches
Beto,gw GNB,FW,Portimonense,23,1998,3.0,2,7,4,57.1,2.36,1.35,0.29,0.50,10.9,0,0,0,1.3,1.3,0.19,+0.7,+0.7,Matches
Aylton Boa Morte,pt POR,"FW,MF",Portimonense,27,1993,12.3,3,15,5,33.3,1.22,0.41,0.13,0.40,18.5,0,1,1,1.6,0.8,0.05,+1.4,+1.2,Matches
Kennedy Boateng,tg TOG,DF,Santa Clara,24,1996,23.3,0,13,1,7.7,0.56,0.04,0.00,0.00,8.7,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches
Kiko Bondoso,pt POR,FW,Vizela,25,1995,30.2,6,45,15,33.3,1.49,0.50,0.13,0.40,16.4,0,0,0,4.7,4.7,0.11,+1.3,+1.3,Matches
Trova Boni,bf BFA,MF,B-SAD,21,1999,4.9,0,1,0,0.0,0.20,0.00,0.00,,31.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Toni Borevkovic,hr CRO,DF,Vitória,24,1997,22.1,0,9,2,22.2,0.41,0.09,0.00,0.00,11.2,0,0,0,1.3,1.3,0.15,-1.3,-1.3,Matches
Gonçalo Borges,pt POR,MF,Porto,20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Neto Borges,br BRA,"DF,MF",Tondela,24,1996,23.7,1,14,4,28.6,0.59,0.17,0.07,0.25,20.2,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
Pedro Borges,br BRA,MF,Tondela,24,1997,22.1,2,12,6,50.0,0.54,0.27,0.17,0.33,17.6,0,0,0,1.5,1.5,0.13,+0.5,+0.5,Matches
Mohamed Bouldini,ma MAR,FW,Santa Clara,25,1995,1.7,0,9,2,22.2,5.33,1.18,0.00,0.00,10.2,0,0,0,1.6,1.6,0.18,-1.6,-1.6,Matches
Rafael Bracalli,br BRA,GK,Boavista,40,1981,26.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches

Victor Braga,br BRA,GK,Arouca,29,1992,23.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Bragança,pt POR,MF,Sporting CP,22,1999,8.7,2,14,5,35.7,1.62,0.58,0.14,0.40,23.0,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Matches
Pedro Brazão,pt POR,"MF,FW",Famalicão,18,2002,4.2,1,4,2,50.0,0.96,0.48,0.25,0.50,15.2,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
Brunão,br BRA,MF,Arouca,24,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bruninho,br BRA,FW,Arouca,22,1999,3.3,1,27,8,29.6,8.21,2.43,0.04,0.13,15.5,0,0,0,2.3,2.3,0.09,-1.3,-1.3,Matches
David Bruno,pt POR,DF,Estoril,29,1992,13.5,0,2,1,50.0,0.15,0.07,0.00,0.00,26.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
