Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Marcelino Carreazo,co COL,MF,CSKA Sofia,24,1999,26.7,3,,,,,,,,,0,0,Matches
Gustavo Cascardo,br BRA,DF,Arda,26,1997,2.4,0,,,,,,,,,0,0,Matches
Gustavo Cascardo,br BRA,DF,Beroe,26,1997,16.8,0,,,,,,,,,0,0,Matches
Thiago Ceijas,ar ARG,MF,Beroe,22,2001,14.6,0,,,,,,,,,0,0,Matches
Francesco Celeste,ar ARG,MF,Beroe,29,1994,6.7,1,,,,,,,,,0,0,Matches
Ronaldo Cesar,br BRA,FW,Levski Sofia,22,2000,16.4,4,,,,,,,,,0,0,Matches
João Cesco,pt POR,DF,PFC Hebar Pazardzhik,22,2001,20.7,1,,,,,,,,,0,0,Matches
Mike Cevallos,ec ECU,FW,Beroe,22,2001,11.1,2,,,,,,,,,0,0,Matches
Asen Chandarov,bg BUL,"FW,MF",Levski Sofia,24,1998,7.2,0,,,,,,,,,0,0,Matches
Atanas Chernev,bg BUL,DF,Botev Plovdiv,21,2002,17.4,1,,,,,,,,,0,0,Matches
Ivaylo Chochev,bg BUL,MF,Ludogorets,30,1993,5.6,1,,,,,,,,,0,0,Matches
Ivaylo Chochev,bg BUL,MF,CSKA 1948,30,1993,16.5,6,,,,,,,,,3,3,Matches
Georgi Chorbadzhiyski,bg BUL,MF,CSKA Sofia,18,2004,1.4,0,,,,,,,,,0,0,Matches
Mounir Chouiar,fr FRA,"FW,MF",Ludogorets,24,1999,2.9,0,,,,,,,,,0,0,Matches
Jaisen Clifford,za RSA,MF,Etar,27,1996,0.6,0,,,,,,,,,0,0,Matches
Antoine Conte,gn GUI,DF,Botev Plovdiv,29,1994,14.2,0,,,,,,,,,0,0,Matches
Brayan Córdoba,co COL,DF,CSKA Sofia,23,1999,18.8,0,,,,,,,,,0,0,Matches
José Cordoba,pa PAN,DF,Levski Sofia,22,2001,28.4,0,,,,,,,,,0,0,Matches
Luis Cordova,ec ECU,DF,Etar,20,2003,5.1,0,,,,,,,,,0,0,Matches
Jean-Pierre Da Sylva,fr FRA,MF,Botev Vratsa,26,1997,6.9,1,,,,,,,,,0,0,Matches
Arlind Dakaj,ch SUI,MF,Cherno More,21,2001,2.1,0,,,,,,,,,0,0,Matches
Nikolay Danailov,bg BUL,MF,FK Levski 2005,15,2007,0.0,0,,,,,,,,,0,0,Matches
Reyan Daskalov,bg BUL,MF,CSKA 1948,28,1995,14.4,0,,,,,,,,,0,0,Matches
Petar Debarliev,bg BUL,GK,PFC Hebar Pazardzhik,32,1991,20.0,0,,,,,,,,,0,0,Matches
Spas Delev,bg BUL,"FW,MF",Ludogorets,33,1989,10.1,3,,,,,,,,,0,0,Matches

Kellian van der Kaap,nl NED,DF,Levski Sofia,24,1998,23.5,0,,,,,,,,,0,0,Matches
Kiril Despodov,bg BUL,"FW,MF",Ludogorets,26,1996,1.8,2,,,,,,,,,1,1,Matches
Modou Diagne,sn SEN,DF,Pirin Blagoevgrad,29,1994,9.1,0,,,,,,,,,0,0,Matches
Moussa Diallo,mr MTN,"DF,MF",Beroe,26,1997,0.8,0,,,,,,,,,0,0,Matches
Cheikh Diamanka,es ESP,DF,PFC Hebar Pazardzhik,22,2001,7.5,3,,,,,,,,,0,0,Matches
Alan Dias,br BRA,DF,Lokomotiv Sofia,24,1998,9.4,0,,,,,,,,,0,0,Matches
Martin Dichev,bg BUL,DF,Cherno More,22,2000,1.1,0,,,,,,,,,0,0,Matches
Ivan Dichevski,bg BUL,GK,Arda,22,2001,3.0,0,,,,,,,,,0,0,Matches
Dimitar Dikliev,bg BUL,FW,Botev Plovdiv,17,2006,0.1,0,,,,,,,,,0,0,Matches
Ivaylo Dimitrov,bg BUL,MF,Etar,34,1989,10.1,2,,,,,,,,,1,1,Matches
Kristian Dimitrov,bg BUL,DF,Levski Sofia,26,1997,17.6,2,,,,,,,,,0,0,Matches
Simeon Dimitrov,bg BUL,FW,CSKA 1948,23,2000,3.2,0,,,,,,,,,0,0,Matches
Daniel Dimov,bg BUL,"DF,MF",Cherno More,34,1989,18.4,3,,,,,,,,,0,0,Matches
Dime Dimov,mk MKD,DF,Lokomotiv Sofia,29,1994,33.9,0,,,,,,,,,0,0,Matches
Plamen Dimov,bg BUL,"DF,MF",Etar,32,1990,13.2,0,,,,,,,,,0,0,Matches
Babacar Dione,be BEL,FW,Loko Plovdiv,26,1997,26.2,5,,,,,,,,,0,0,Matches
Ivan Dishkov,bg BUL,DF,PFC Hebar Pazardzhik,20,2003,0.2,0,,,,,,,,,0,0,Matches
Junior Djile,it ITA,FW,Botev Vratsa,21,2001,0.2,0,,,,,,,,,0,0,Matches
Trung Thanh Nguyen Do,bg BUL,MF,Slavia Sofia,18,2005,1.0,0,,,,,,,,,0,0,Matches
Kristian Dobrev,bg BUL,FW,Slavia Sofia,22,2001,3.1,0,,,,,,,,,0,0,Matches
Asen Donchev,bg BUL,FW,Pirin Blagoevgrad,21,2001,9.2,0,,,,,,,,,0,0,Matches
Asen Donchev,bg BUL,FW,CSKA Sofia,21,2001,2.0,0,,,,,,,,,0,0,Matches
Erol Dost,bg BUL,MF,Slavia Sofia,24,1999,18.1,0,,,,,,,,,0,0,Matches
Amadou Doumbouya,gn GUI,FW,Botev Plovdiv,20,2002,0.8,0,,,,,,,,,0,0,Matches
Vlatko Drobarov,mk MKD,DF,Cherno More,30,1992,26.2,2,,,,,,,,,0,0,Matches

Kwadwo Duah,ch SUI,"FW,MF",Ludogorets,26,1997,16.3,13,,,,,,,,,2,2,Matches
Aleksandar Dyulgerov,bg BUL,DF,Pirin Blagoevgrad,33,1990,23.9,0,,,,,,,,,0,0,Matches
Ivan Dyulgerov,bg BUL,GK,Cherno More,24,1999,34.9,0,,,,,,,,,0,0,Matches
