Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Michael Cheukoua,cm CMR,"MF,FW",SC Austria Lustenau,25,1997,6.4,3,11,5,45.5,1.72,0.78,0.27,0.60,,0,0,Matches
Denizcan Cosgun,at AUT,"MF,FW",Ried,20,2002,4.3,0,9,1,11.1,2.09,0.23,0.00,0.00,,0,0,Matches
Christopher Cvetko,at AUT,MF,SK Austria Klagenfurt,25,1997,28.4,1,45,9,20.0,1.58,0.32,0.02,0.11,,0,0,Matches
Amadou Dante,ml MLI,DF,Sturm Graz,21,2000,12.7,0,11,3,27.3,0.87,0.24,0.00,0.00,,0,0,Matches
Amar Dedić,ba BIH,DF,RB Salzburg,19,2002,25.9,1,12,4,33.3,0.46,0.15,0.08,0.25,,0,0,Matches
Vesel Demaku,at AUT,MF,Sturm Graz,22,2000,1.4,0,1,0,0.0,0.73,0.00,0.00,,,0,0,Matches
Vesel Demaku,at AUT,"MF,FW",SK Austria Klagenfurt,22,2000,7.3,0,12,0,0.0,1.64,0.00,0.00,,,0,0,Matches
Yusuf Demir,at AUT,MF,Rapid Wien,19,2003,1.0,1,4,2,50.0,4.04,2.02,0.25,0.50,,0,0,Matches
Yadaly Diaby,gn GUI,"FW,MF",SC Austria Lustenau,21,2000,12.8,4,23,9,39.1,1.80,0.71,0.13,0.33,,1,1,Matches
Ousmane Diakité,ml MLI,MF,Hartberg,22,2000,7.6,0,2,0,0.0,0.26,0.00,0.00,,,0,0,Matches
Mamady Diambou,ml MLI,MF,RB Salzburg,19,2002,0.8,0,3,0,0.0,3.70,0.00,0.00,,,0,0,Matches
Youba Diarra,ml MLI,MF,RB Salzburg,24,1998,3.3,1,4,2,50.0,1.21,0.61,0.25,0.50,,0,0,Matches
Agyemang Diawusie,de GER,"FW,MF",Ried,24,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Christopher Dibon,at AUT,DF,Rapid Wien,31,1990,1.8,0,2,0,0.0,1.10,0.00,0.00,,,0,0,Matches
Gontie Diomande,ci CIV,"MF,FW",Ried,19,2003,2.2,1,10,4,40.0,4.50,1.80,0.10,0.25,,0,0,Matches
Marco Djuricin,at AUT,FW,Austria Wien,29,1992,0.5,1,2,2,100.0,3.75,3.75,0.50,0.50,,0,0,Matches
Nikola Dovedan,at AUT,"FW,MF",Austria Wien,28,1994,9.2,1,20,5,25.0,2.17,0.54,0.05,0.20,,0,0,Matches
Ibrahima Dramé,sn SEN,FW,Austria Wien,20,2001,0.8,0,1,0,0.0,1.20,0.00,0.00,,,0,0,Matches
Ferdy Druijf,nl NED,"MF,FW",Rapid Wien,24,1998,11.2,3,26,11,42.3,2.32,0.98,0.12,0.27,,0,1,Matches
Albert Ejupi,se SWE,"MF,DF",Hartberg,29,1992,4.4,0,4,0,0.0,0.91,0.00,0.00,,,0,0,Matches
Emanuel Emegha,nl NED,FW,Sturm Graz,19,2003,17.2,9,40,20,50.0,2.32,1.16,0.23,0.45,,0,0,Matches
Julius Ertlthaler,at AUT,MF,WSG Tirol,25,1997,11.2,2,23,7,30.4,2.05,0.62,0.09,0.29,,0,0,Matches
Lukas Fadinger,at AUT,MF,Hartberg,21,2000,19.3,2,23,7,30.4,1.19,0.36,0.09,0.29,,0,0,Matches
Florian Faist,at AUT,GK,Hartberg,33,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Patrick Farkas,at AUT,"DF,MF",Hartberg,29,1992,10.6,0,6,1,16.7,0.57,0.09,0.00,0.00,,0,0,Matches

Fernando,br BRA,"FW,MF",RB Salzburg,23,1999,6.4,6,33,18,54.5,5.18,2.83,0.15,0.28,,1,1,Matches
Manfred Fischer,at AUT,"MF,FW",Austria Wien,26,1995,31.4,2,61,13,21.3,1.94,0.41,0.03,0.15,,0,0,Matches
Dominik Fitz,at AUT,"MF,FW",Austria Wien,23,1999,21.8,7,54,15,27.8,2.48,0.69,0.09,0.33,,2,2,Matches
Florian Flecker,at AUT,"MF,DF",LASK,26,1995,7.1,2,16,6,37.5,2.25,0.84,0.13,0.33,,0,0,Matches
Amankwah Forson,gh GHA,"MF,FW",RB Salzburg,19,2002,4.5,0,5,1,20.0,1.10,0.22,0.00,0.00,,0,0,Matches
Amankwah Forson,gh GHA,"MF,DF",SCR Altach,19,2002,10.6,1,22,8,36.4,2.07,0.75,0.05,0.13,,0,0,Matches
Justin Forst,at AUT,FW,WSG Tirol,19,2003,9.2,1,22,8,36.4,2.38,0.87,0.05,0.13,,0,0,Matches
Lukas Fridrikas,at AUT,"FW,MF",SC Austria Lustenau,24,1997,21.2,13,42,21,50.0,1.98,0.99,0.24,0.48,,3,3,Matches
Dominik Frieser,at AUT,"MF,FW",Hartberg,28,1993,24.6,1,28,8,28.6,1.14,0.33,0.04,0.13,,0,0,Matches
Christian Früchtl,de GER,GK,Austria Wien,22,2000,31.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Mohammed Fuseini,gh GHA,FW,Sturm Graz,20,2002,1.4,2,12,3,25.0,8.44,2.11,0.17,0.67,,0,0,Matches
Lucas Galvão,br BRA,DF,Austria Wien,31,1991,13.2,0,11,2,18.2,0.83,0.15,0.00,0.00,,0,0,Matches
Paul Gartler,at AUT,GK,Rapid Wien,25,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Jusuf Gazibegović,ba BIH,DF,Sturm Graz,22,2000,27.8,2,32,12,37.5,1.15,0.43,0.06,0.17,,0,0,Matches
Emrehan Gedikli,de GER,FW,SC Austria Lustenau,19,2003,0.9,1,3,2,66.7,3.29,2.20,0.33,0.50,,0,0,Matches
Thomas Geris,at AUT,FW,WSG Tirol,19,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Niklas Geyrhofer,at AUT,DF,Sturm Graz,22,2000,2.1,0,1,0,0.0,0.48,0.00,0.00,,,0,0,Matches
Kosmas Gezos,gr GRE,"MF,DF",SK Austria Klagenfurt,29,1992,23.2,4,21,7,33.3,0.90,0.30,0.14,0.43,,1,1,Matches
Oscar Gloukh,il ISR,FW,RB Salzburg,18,2004,8.6,2,21,5,23.8,2.43,0.58,0.10,0.40,,0,0,Matches
Fabian Gmeiner,at AUT,"DF,MF",SC Austria Lustenau,25,1997,16.3,0,6,1,16.7,0.37,0.06,0.00,0.00,,0,0,Matches
Thomas Goiginger,at AUT,MF,LASK,29,1993,15.6,4,23,11,47.8,1.47,0.70,0.17,0.36,,0,0,Matches
Manfred Gollner,at AUT,DF,Hartberg,31,1990,3.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Jon Gorenc Stanković,si SVN,MF,Sturm Graz,26,1996,29.4,2,42,12,28.6,1.43,0.41,0.05,0.17,,0,0,Matches
Lucas Gourna-Douath,fr FRA,MF,RB Salzburg,18,2003,15.9,0,3,2,66.7,0.19,0.13,0.00,0.00,,0,0,Matches
Pius Grabher,at AUT,MF,SC Austria Lustenau,28,1993,28.6,1,8,2,25.0,0.28,0.07,0.13,0.50,,0,0,Matches

Marvin da Graça,lu LUX,DF,Austria Wien,27,1995,28.8,1,11,7,63.6,0.38,0.24,0.09,0.14,,0,0,Matches
Matthias Gragger,at AUT,"DF,MF",Ried,20,2001,11.9,2,6,2,33.3,0.51,0.17,0.33,1.00,,0,0,Matches
Patrick Greil,at AUT,MF,Rapid Wien,25,1996,17.4,1,25,10,40.0,1.44,0.57,0.04,0.10,,0,0,Matches
Leon Grgic,at AUT,FW,Sturm Graz,16,2006,0.2,0,1,0,0.0,4.74,0.00,0.00,,,0,0,Matches
