Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Mohammed Daramy,dk DEN,"FW,MF",FC Copenhagen,20,2002,23.6,2,0,0,13,38,14,53,24,10,,,0,Matches
Matej Delač,hr CRO,GK,Horsens,29,1992,26.3,2,0,0,0,2,0,0,0,1,,,0,Matches
Kevin Diks,nl NED,DF,FC Copenhagen,25,1996,15.0,7,1,1,16,18,1,20,24,26,,,0,Matches
Mohamed Diomandé,ci CIV,"MF,FW",Nordsjælland,20,2001,27.8,4,0,0,26,34,2,31,29,19,,,0,Matches
Marko Divkovic,hr CRO,FW,Brøndby,23,1999,4.9,1,0,0,3,7,0,4,1,1,,,0,Matches
Mario Dorgeless,ci CIV,MF,Nordsjælland,17,2004,6.4,2,0,0,6,9,1,22,3,8,,,0,Matches
Janus Drachmann,dk DEN,MF,Horsens,34,1988,13.4,3,0,0,21,8,0,65,29,18,,,0,Matches
Anders Dreyer,dk DEN,"FW,MF",Midtjylland,24,1998,15.3,1,0,0,5,4,5,55,3,8,,,0,Matches
Mikkel Duelund,dk DEN,"MF,FW",AGF,25,1997,6.9,3,0,0,8,17,1,29,4,5,,,0,Matches
Jelle Duin,nl NED,FW,AGF,23,1999,4.6,1,0,0,6,4,3,6,1,0,,,0,Matches
Nikolas Dyhr,dk DEN,"MF,DF",Midtjylland,21,2001,7.6,1,0,0,3,7,0,16,4,10,,,0,Matches
Mads Døhr Thychosen,dk DEN,DF,Midtjylland,25,1997,14.7,7,0,0,18,22,0,33,14,17,,,0,Matches
Marvin Egho,at AUT,FW,Randers,28,1994,19.6,4,0,0,23,25,8,4,6,4,,,0,Matches
Max Ejdum,dk DEN,MF,Odense,17,2004,0.3,0,0,0,1,0,0,0,0,0,,,0,Matches
Anosike Ementa,dk DEN,FW,Aalborg,20,2002,7.7,3,0,0,17,17,2,3,2,1,,,0,Matches
Mads Emil Madsen,dk DEN,MF,AGF,24,1998,23.8,4,0,0,24,15,0,58,24,35,,,0,Matches
Lukas Engel,dk DEN,DF,Silkeborg,23,1998,24.1,3,0,0,12,24,1,75,29,34,,,0,Matches

Mads Enggaard,dk DEN,MF,Randers,18,2004,11.9,4,0,0,22,5,0,8,11,12,,,0,Matches
Evander,br BRA,MF,Midtjylland,24,1998,9.9,4,0,0,16,9,0,63,7,16,,,0,Matches
