Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Valentin Cojocaru,ro ROU,GK,Pogoń Szczecin,27,1995,27.0,2,0,0,,,,,,,,,0,Matches
Rui Filipe Cunha Correia,pt POR,MF,Jagiellonia,28,1995,30.2,6,0,0,,,,,,,,,0,Matches
Artur Crăciun,md MDA,DF,Puszcza Niepołomice,25,1998,28.0,12,1,1,,,,,,,,,1,Matches
Ante Crnac,hr CRO,FW,RKS Raków,19,2003,20.6,3,0,0,,,,,,,,,0,Matches
Kamil Cybulski,pl POL,"MF,FW",Widzew Łódź,17,2005,3.4,1,0,0,,,,,,,,,0,Matches
Alan Czerwiński,pl POL,"DF,MF",Lech Poznań,30,1993,16.3,2,0,0,,,,,,,,,0,Matches
Jakub Czerwiński,pl POL,DF,Piast Gliwice,31,1991,28.2,6,0,0,,,,,,,,,0,Matches
Szymon Czyż,pl POL,MF,Górnik Zabrze,22,2001,12.0,0,0,0,,,,,,,,,0,Matches
Mateusz Czyżycki,pl POL,"MF,FW",Korona Kielce,25,1998,8.3,1,0,0,,,,,,,,,0,Matches
Damian Dąbrowski,pl POL,MF,Zagłębie Lubin,30,1992,31.9,2,0,0,,,,,,,,,0,Matches
Robert Dadok,pl POL,"MF,DF",Ruch Chorzów,26,1996,9.7,2,1,0,,,,,,,,,1,Matches
Robert Dadok,pl POL,"MF,DF",Górnik Zabrze,26,1996,6.5,3,0,0,,,,,,,,,0,Matches

Filip Dagerstål,se SWE,DF,Lech Poznań,26,1997,5.8,1,0,0,,,,,,,,,0,Matches
Adrián Dalmau,es ESP,FW,Korona Kielce,29,1994,11.1,2,0,0,,,,,,,,,0,Matches
Kamil Dankowski,pl POL,"DF,MF",Łódzki KS,27,1996,25.9,3,0,0,,,,,,,,,0,Matches
Ignacy Dawid,pl POL,MF,Widzew Łódź,20,2003,0.3,0,0,0,,,,,,,,,0,Matches
Ronaldo Deaconu,ro ROU,MF,Korona Kielce,26,1997,7.5,2,0,0,,,,,,,,,0,Matches
Adrián Diéguez,es ESP,DF,Jagiellonia,27,1996,29.2,8,1,0,,,,,,,,,0,Matches
Noah Diliberto,fr FRA,"MF,FW",Widzew Łódź,21,2001,3.8,1,0,0,,,,,,,,,0,Matches
Sokratis Dioudis,gr GRE,GK,Zagłębie Lubin,30,1993,21.0,2,1,0,,,,,,,,,0,Matches
Maciej Domański,pl POL,"FW,MF",Stal Mielec,32,1990,31.8,1,0,0,,,,,,,,,0,Matches
Christos Donis,gr GRE,MF,Radomiak Radom,28,1994,17.6,5,0,0,,,,,,,,,0,Matches
Barry Douglas,sct SCO,DF,Lech Poznań,33,1989,9.6,3,0,0,,,,,,,,,0,Matches
Dawid Drachal,pl POL,"MF,FW",RKS Raków,18,2005,14.5,2,0,0,,,,,,,,,0,Matches
Riza Durmisi,dk DEN,DF,Łódzki KS,29,1994,10.3,4,0,0,,,,,,,,,0,Matches
Patryk Dziczek,pl POL,MF,Piast Gliwice,25,1998,27.9,11,0,0,,,,,,,,,0,Matches
Xavier Dziekonski,pl POL,GK,Korona Kielce,19,2003,29.0,0,0,0,,,,,,,,,0,Matches
Maksymilian Dziuba,pl POL,MF,Lech Poznań,18,2005,0.3,0,0,0,,,,,,,,,0,Matches
Wiktor Długosz,pl POL,MF,Ruch Chorzów,23,2000,2.6,1,0,0,,,,,,,,,0,Matches
Marco Ehmann,ro ROU,DF,Stal Mielec,22,2000,16.1,8,1,0,,,,,,,,,0,Matches
Juergen Elitim,co COL,MF,Legia Warsaw,24,1999,27.8,7,0,0,,,,,,,,,0,Matches
Lawrence Ennali,de GER,MF,Górnik Zabrze,21,2002,18.5,4,1,1,,,,,,,,,0,Matches
Márton Eppel,hu HUN,FW,Warta Poznań,31,1991,12.6,1,0,0,,,,,,,,,0,Matches
Bert Esselink,nl NED,DF,Stal Mielec,23,1999,24.6,4,1,0,,,,,,,,,0,Matches
Erik Expósito,es ESP,FW,Śląsk Wrocław,27,1996,32.0,6,0,0,,,,,,,,,0,Matches
Anton Fase,nl NED,FW,Łódzki KS,23,2000,0.6,0,0,0,,,,,,,,,0,Matches
Michał Feliks,pl POL,"FW,MF",Ruch Chorzów,24,1999,7.5,5,0,0,,,,,,,,,0,Matches

Jorge Félix,es ESP,"FW,MF",Piast Gliwice,31,1991,23.8,2,0,0,,,,,,,,,0,Matches
Maciej Firlej,pl POL,FW,Ruch Chorzów,26,1996,1.2,0,0,0,,,,,,,,,0,Matches
Maciej Firlej,pl POL,FW,Puszcza Niepołomice,26,1996,2.7,1,0,0,,,,,,,,,0,Matches
Marcin Flis,pl POL,DF,Łódzki KS,29,1994,17.0,3,0,0,,,,,,,,,1,Matches
Konrad Forenc,pl POL,GK,Korona Kielce,31,1992,5.0,0,0,0,,,,,,,,,0,Matches
Mariusz Fornalczyk,pl POL,MF,Pogoń Szczecin,20,2003,2.8,1,0,0,,,,,,,,,0,Matches
Mariusz Fornalczyk,pl POL,MF,Korona Kielce,20,2003,4.5,2,0,0,,,,,,,,,0,Matches
Petteri Forsell,fi FIN,"FW,MF",Korona Kielce,32,1990,0.8,0,0,0,,,,,,,,,0,Matches
Tomasz Foszmańczyk,pl POL,"MF,FW",Ruch Chorzów,37,1986,2.7,2,0,0,,,,,,,,,0,Matches
João Gamboa,pt POR,MF,Pogoń Szczecin,26,1996,17.3,4,0,0,,,,,,,,,0,Matches
Tornike Gaprindashvili,ge GEO,MF,Zagłębie Lubin,26,1997,0.9,0,0,0,,,,,,,,,0,Matches
Lukasz Gerstenstein,pl POL,MF,Stal Mielec,18,2004,14.6,2,0,0,,,,,,,,,0,Matches
Krystian Getinger,pl POL,MF,Stal Mielec,34,1988,29.8,5,0,0,,,,,,,,,0,Matches
Ion Gheorghe,ro ROU,"FW,MF",Stal Mielec,23,1999,1.7,1,0,0,,,,,,,,,0,Matches
Virgil Ghiță,ro ROU,DF,Cracovia,25,1998,27.0,5,0,0,,,,,,,,,1,Matches
Ali Gholizadeh,ir IRN,MF,Lech Poznań,27,1996,7.0,2,0,0,,,,,,,,,0,Matches
Rafał Gikiewicz,pl POL,GK,Widzew Łódź,35,1987,14.0,2,0,0,,,,,,,,,0,Matches
Filip Gil,pl POL,DF,Puszcza Niepołomice,16,2007,0.1,0,0,0,,,,,,,,,0,Matches
Grzegorz Glapka,pl POL,DF,Łódzki KS,20,2002,0.9,0,0,0,,,,,,,,,0,Matches
Kamil Glik,pl POL,DF,Cracovia,35,1988,12.3,3,0,0,,,,,,,,,0,Matches
Marcus Godinho,ca CAN,"DF,MF",Korona Kielce,26,1997,18.1,5,0,0,,,,,,,,,0,Matches
Vagner Gonçalves,cv CPV,"MF,FW",Radomiak Radom,27,1996,6.6,1,1,0,,,,,,,,,0,Matches
Alexander Gorgon,at AUT,MF,Pogoń Szczecin,34,1988,24.2,8,0,0,,,,,,,,,0,Matches
Jędrzej Grobelny,pl POL,GK,Warta Poznań,22,2001,24.6,3,0,0,,,,,,,,,0,Matches
Kamil Grosicki,pl POL,MF,Pogoń Szczecin,35,1988,32.4,3,0,0,,,,,,,,,0,Matches

Jan Grzesik,pl POL,DF,Radomiak Radom,28,1994,25.7,5,0,0,,,,,,,,,0,Matches
Mateusz Grzybek,pl POL,DF,Zagłębie Lubin,27,1996,22.5,7,1,1,,,,,,,,,0,Matches
Marc Gual,es ESP,"FW,MF",Legia Warsaw,27,1996,21.8,2,0,0,,,,,,,,,0,Matches
Tomasso Guercio,pl POL,MF,Śląsk Wrocław,18,2005,1.8,0,0,0,,,,,,,,,0,Matches
Matthew Guillaumier,mt MLT,MF,Stal Mielec,25,1998,22.0,3,0,0,,,,,,,,,0,Matches
Levent Gülen,ch SUI,DF,Łódzki KS,29,1994,16.0,3,0,0,,,,,,,,,0,Matches
Michał Gurgul,pl POL,"DF,MF",Lech Poznań,17,2006,6.3,1,0,0,,,,,,,,,0,Matches
Valerian Gvilia,ge GEO,MF,Piast Gliwice,29,1994,0.1,0,0,0,,,,,,,,,0,Matches
Piotr Głowacki,pl POL,"DF,MF",Łódzki KS,31,1991,20.1,1,0,0,,,,,,,,,0,Matches
Wojciech Hajda,pl POL,MF,Puszcza Niepołomice,23,2000,22.9,6,0,0,,,,,,,,,0,Matches
Jetmir Haliti,xk KVX,DF,Jagiellonia,26,1996,3.1,0,0,0,,,,,,,,,0,Matches
Marek Hanousek,cz CZE,MF,Widzew Łódź,31,1991,26.5,6,1,0,,,,,,,,,0,Matches
Tom Hateley,eng ENG,MF,Piast Gliwice,33,1989,2.2,1,0,0,,,,,,,,,0,Matches
Koki Hinokio,jp JPN,"FW,MF",Stal Mielec,22,2001,20.5,4,0,0,,,,,,,,,0,Matches
Yoav Hofmeister,il ISR,"MF,DF",Korona Kielce,22,2000,26.8,11,1,1,,,,,,,,,0,Matches
Jakub Holúbek,sk SVK,DF,Piast Gliwice,32,1991,9.1,2,0,0,,,,,,,,,0,Matches
Arttu Hoskonen,fi FIN,DF,Cracovia,26,1997,23.9,2,0,0,,,,,,,,,0,Matches
Engjëll Hoti,xk KVX,MF,Łódzki KS,26,1997,17.4,6,1,1,,,,,,,,,0,Matches
Dino Hotić,ba BIH,MF,Lech Poznań,28,1995,7.9,2,0,0,,,,,,,,,0,Matches
Lukáš Hroššo,sk SVK,GK,Cracovia,36,1987,7.0,2,0,0,,,,,,,,,0,Matches
Tomáš Huk,sk SVK,DF,Piast Gliwice,28,1994,13.9,5,0,0,,,,,,,,,0,Matches
Mike Huras,pl POL,FW,Ruch Chorzów,17,2006,0.3,0,0,0,,,,,,,,,0,Matches
Dominik Hładun,pl POL,GK,Legia Warsaw,27,1995,11.0,0,0,0,,,,,,,,,0,Matches
Kelechukwu Ibe-Torti,pl POL,FW,Łódzki KS,21,2002,0.3,0,0,0,,,,,,,,,0,Matches
Juan Ibiza,es ESP,DF,Widzew Łódź,27,1995,17.6,2,0,0,,,,,,,,,0,Matches

Jesús Imaz,es ESP,"MF,FW",Jagiellonia,32,1990,28.6,2,0,0,,,,,,,,,0,Matches
Burak İnce,tr TUR,MF,Śląsk Wrocław,19,2004,4.6,1,0,0,,,,,,,,,0,Matches
Mikael Ishak,se SWE,FW,Lech Poznań,30,1993,20.0,6,0,0,,,,,,,,,0,Matches
Ivi,es ESP,"FW,MF",RKS Raków,29,1994,0.9,0,0,0,,,,,,,,,0,Matches
Aleksander Iwanczyk,pl POL,MF,Łódzki KS,16,2007,0.7,0,0,0,,,,,,,,,0,Matches
Damian Jakubik,pl POL,"DF,MF",Radomiak Radom,33,1990,9.1,5,1,1,,,,,,,,,0,Matches
Patryk Janasik,pl POL,DF,Śląsk Wrocław,25,1997,22.5,1,0,0,,,,,,,,,0,Matches
Piotr Janczukowicz,pl POL,"FW,MF",Łódzki KS,23,2000,16.4,3,0,0,,,,,,,,,0,Matches
Rafał Janicki,pl POL,DF,Górnik Zabrze,31,1992,31.9,7,1,1,,,,,,,,,1,Matches
Erik Janža,si SVN,DF,Górnik Zabrze,30,1993,19.1,6,1,0,,,,,,,,,0,Matches
Jardel,gw GNB,FW,Radomiak Radom,25,1997,0.8,0,0,0,,,,,,,,,0,Matches
Paweł Jaroszyński,pl POL,"MF,DF",Cracovia,28,1994,15.9,4,0,0,,,,,,,,,0,Matches
Dennis Jastrzembski,pl POL,MF,Śląsk Wrocław,23,2000,2.7,0,0,0,,,,,,,,,0,Matches
Alvis Jaunzems,lv LVA,MF,Stal Mielec,24,1999,16.0,0,0,0,,,,,,,,,0,Matches
Konrad Jałocha,pl POL,GK,Stal Mielec,32,1991,1.0,0,0,0,,,,,,,,,0,Matches
Artur Jędrzejczyk,pl POL,DF,Legia Warsaw,35,1987,14.9,9,2,1,,,,,,,,,0,Matches
Richard Jensen,fi FIN,DF,Górnik Zabrze,27,1996,4.6,1,0,0,,,,,,,,,0,Matches
Jakub Jezierski,pl POL,MF,Śląsk Wrocław,19,2004,0.9,0,0,0,,,,,,,,,0,Matches
Lee Jin-hyun,kr KOR,MF,Puszcza Niepołomice,25,1997,8.3,1,0,0,,,,,,,,,0,Matches
Kacper Jodlowski,pl POL,MF,Cracovia,24,1999,0.0,0,0,0,,,,,,,,,0,Matches
Bruno Jordão,pt POR,MF,Radomiak Radom,24,1998,9.0,6,1,1,,,,,,,,,0,Matches
Josema,es ESP,DF,Ruch Chorzów,27,1996,12.4,1,0,0,,,,,,,,,0,Matches
Jakub Jugas,cz CZE,DF,Cracovia,31,1992,11.3,1,0,0,,,,,,,,,1,Matches
Stipe Juric,ba BIH,FW,Łódzki KS,24,1998,7.7,1,1,0,,,,,,,,,0,Matches
Damian Kądzior,pl POL,MF,Piast Gliwice,31,1992,13.7,3,0,0,,,,,,,,,0,Matches

Otar Kakabadze,ge GEO,"MF,DF",Cracovia,28,1995,17.6,6,1,0,,,,,,,,,0,Matches
Benjamin Källman,fi FIN,FW,Cracovia,25,1998,29.0,0,0,0,,,,,,,,,0,Matches
Krzysztof Kamiński,pl POL,GK,Ruch Chorzów,32,1990,8.0,0,0,0,,,,,,,,,0,Matches
Wiktor Kamiński,pl POL,FW,Warta Poznań,19,2004,0.7,0,0,0,,,,,,,,,0,Matches
Adrián Kaprálik,sk SVK,"MF,FW",Górnik Zabrze,21,2002,22.8,3,0,0,,,,,,,,,0,Matches
Steve Kapuadi,fr FRA,DF,Legia Warsaw,25,1998,19.9,7,0,0,,,,,,,,,0,Matches
Bartosz Kapustka,pl POL,"MF,FW",Legia Warsaw,26,1996,10.1,2,1,0,,,,,,,,,0,Matches
Michał Kaput,pl POL,MF,Radomiak Radom,25,1998,16.1,6,1,0,,,,,,,,,0,Matches
Filip Karbowy,pl POL,MF,Piast Gliwice,25,1997,0.1,0,0,0,,,,,,,,,0,Matches
Jesper Karlström,se SWE,MF,Lech Poznań,28,1995,26.4,8,1,1,,,,,,,,,0,Matches
Konrad Kasolik,pl POL,DF,Ruch Chorzów,25,1997,7.1,0,2,0,,,,,,,,,0,Matches
Lirim Kastrati,xk KVX,DF,Widzew Łódź,24,1999,3.5,1,0,0,,,,,,,,,0,Matches
Alexandros Katranis,gr GRE,DF,Piast Gliwice,25,1998,13.4,3,1,0,,,,,,,,,0,Matches
Sebastian Kerk,de GER,MF,Widzew Łódź,29,1994,1.7,0,0,0,,,,,,,,,0,Matches
Rok Kidrič,si SVN,FW,Puszcza Niepołomice,28,1995,2.9,1,0,0,,,,,,,,,0,Matches
Jakub Kiełb,pl POL,"DF,MF",Warta Poznań,30,1993,10.7,0,0,0,,,,,,,,,0,Matches
Gabriel Kirejczyk,pl POL,FW,Piast Gliwice,20,2003,3.7,1,0,0,,,,,,,,,0,Matches
Mikkel Kirkeskov,dk DEN,DF,Zagłębie Lubin,31,1991,8.5,1,0,0,,,,,,,,,0,Matches
Sonny Kittel,de GER,"MF,FW",RKS Raków,30,1993,5.8,0,0,0,,,,,,,,,0,Matches
Bartosz Klebaniuk,pl POL,GK,Pogoń Szczecin,21,2002,5.0,0,0,0,,,,,,,,,0,Matches
Patryk Klimala,pl POL,FW,Śląsk Wrocław,24,1998,6.2,1,0,0,,,,,,,,,0,Matches
Antoni Klimek,pl POL,"FW,MF",Widzew Łódź,20,2002,17.6,0,0,0,,,,,,,,,0,Matches
Karol Knap,pl POL,MF,Cracovia,21,2001,16.2,4,1,1,,,,,,,,,0,Matches
Gabriel Kobylak,pl POL,GK,Radomiak Radom,21,2002,10.3,2,1,0,,,,,,,,,0,Matches
Filip Kocaba,pl POL,MF,Zagłębie Lubin,18,2004,0.2,1,0,0,,,,,,,,,0,Matches

Mateusz Kochalski,pl POL,GK,Stal Mielec,23,2000,33.0,1,0,0,,,,,,,,,0,Matches
Vladyslav Kocherhin,ua UKR,MF,RKS Raków,27,1996,25.1,3,0,0,,,,,,,,,0,Matches
Michał Koj,pl POL,DF,Puszcza Niepołomice,30,1993,13.9,4,0,0,,,,,,,,,0,Matches
Bartlomiej Kolec,pl POL,MF,Cracovia,19,2004,0.1,0,0,0,,,,,,,,,0,Matches
Kewin Komar,pl POL,GK,Puszcza Niepołomice,20,2003,6.0,0,0,0,,,,,,,,,0,Matches
Martin Konczkowski,pl POL,DF,Śląsk Wrocław,29,1993,18.1,3,0,0,,,,,,,,,0,Matches
Jakub Konstantyn,pl POL,"FW,MF",Korona Kielce,21,2002,5.7,0,0,0,,,,,,,,,0,Matches
Bartosz Kopacz,pl POL,DF,Zagłębie Lubin,31,1992,30.9,8,1,1,,,,,,,,,0,Matches
Michał Kopczyński,pl POL,MF,Warta Poznań,31,1992,2.0,1,0,0,,,,,,,,,0,Matches
Oskar Koprowski,pl POL,MF,Łódzki KS,24,1999,1.3,1,0,0,,,,,,,,,0,Matches
Olaf Korczakowski,pl POL,MF,Pogoń Szczecin,19,2003,1.1,0,0,0,,,,,,,,,0,Matches
Tihomir Kostadinov,mk MKD,MF,Piast Gliwice,27,1996,7.6,2,0,0,,,,,,,,,0,Matches
Efthimis Koulouris,gr GRE,FW,Pogoń Szczecin,27,1996,32.0,3,0,0,,,,,,,,,0,Matches
Leonardo Koutris,gr GRE,DF,Pogoń Szczecin,28,1995,30.2,5,1,1,,,,,,,,,0,Matches
Adnan Kovačević,ba BIH,DF,RKS Raków,29,1993,10.1,4,0,0,,,,,,,,,0,Matches
Vladen Kovačević,ba BIH,GK,RKS Raków,25,1998,29.0,2,0,0,,,,,,,,,0,Matches
Sebastian Kowalczyk,pl POL,"FW,MF",Pogoń Szczecin,24,1998,0.2,0,0,0,,,,,,,,,0,Matches
Miłosz Kozak,pl POL,"MF,FW",Ruch Chorzów,26,1997,19.7,4,0,0,,,,,,,,,0,Matches
Soichiro Kozuki,jp JPN,FW,Górnik Zabrze,22,2000,4.7,0,0,0,,,,,,,,,0,Matches
Adam Kramarz,pl POL,MF,Puszcza Niepołomice,20,2002,0.3,0,0,0,,,,,,,,,0,Matches
Blaž Kramer,si SVN,FW,Legia Warsaw,27,1996,8.2,4,0,0,,,,,,,,,0,Matches
Piotr Krawczyk,pl POL,FW,Górnik Zabrze,28,1994,7.7,0,0,0,,,,,,,,,0,Matches
Fredrik Krogstad,no NOR,MF,Korona Kielce,28,1995,5.6,2,0,0,,,,,,,,,0,Matches
Kamil Kruk,pl POL,DF,Zagłębie Lubin,23,2000,2.7,1,0,0,,,,,,,,,0,Matches
Serhij Krykun,ua UKR,MF,Piast Gliwice,26,1996,11.3,0,0,0,,,,,,,,,0,Matches

Jan Krzywański,pl POL,GK,Widzew Łódź,20,2003,2.0,0,0,0,,,,,,,,,0,Matches
Oskar Krzyzak,pl POL,DF,Warta Poznań,21,2002,0.3,0,0,0,,,,,,,,,0,Matches
Jarosław Kubicki,pl POL,MF,Jagiellonia,27,1995,12.6,2,0,0,,,,,,,,,0,Matches
Dušan Kuciak,sk SVK,GK,RKS Raków,38,1985,1.0,0,0,0,,,,,,,,,0,Matches
Dominik Kun,pl POL,MF,Widzew Łódź,30,1993,18.6,3,0,0,,,,,,,,,0,Matches
Patryk Kun,pl POL,MF,Legia Warsaw,28,1995,19.1,1,0,0,,,,,,,,,0,Matches
Mateusz Kupczak,pl POL,MF,Warta Poznań,31,1992,27.9,6,0,0,,,,,,,,,0,Matches
Tomasz Kupisz,pl POL,"DF,MF",Jagiellonia,33,1990,3.1,3,0,0,,,,,,,,,0,Matches
Dawid Kurminowski,pl POL,FW,Zagłębie Lubin,24,1999,25.6,3,0,0,,,,,,,,,0,Matches
Krzysztof Kurowski,pl POL,MF,Śląsk Wrocław,16,2006,0.3,0,0,0,,,,,,,,,0,Matches
Rafał Kurzawa,pl POL,MF,Pogoń Szczecin,30,1993,19.2,6,0,0,,,,,,,,,0,Matches
Patryk Kusztal,pl POL,DF,Zagłębie Lubin,20,2003,0.2,0,0,0,,,,,,,,,0,Matches
Nika Kvekveskiri,ge GEO,MF,Lech Poznań,31,1992,9.7,1,0,0,,,,,,,,,0,Matches
Pawel Kwiatkowski,pl POL,DF,Widzew Łódź,16,2006,0.9,1,0,0,,,,,,,,,0,Matches
