Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Toni Leistner,de GER,DF,Sint-Truiden,31,1990,23.9,1,12,2,16.7,0.50,0.08,0.08,0.50,13.6,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
Darko Lemajić,rs SRB,"FW,MF",Gent,28,1993,2.3,2,10,3,30.0,4.33,1.30,0.20,0.67,11.6,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Matches
Theo Leoni,be BEL,MF,Anderlecht,22,2000,1.0,0,1,1,100.0,1.03,1.03,0.00,0.00,25.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Christophe Lepoint,be BEL,"DF,MF",R.F.C. Seraing,37,1984,21.6,1,9,1,11.1,0.42,0.05,0.11,1.00,10.3,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
Andrea Librici,be BEL,FW,Sint-Truiden,17,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Lissens,be BEL,DF,Anderlecht,21,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Stjepan Lončar,ba BIH,MF,Kortrijk,25,1996,13.1,0,9,1,11.1,0.69,0.08,0.00,0.00,22.7,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Borja López,es ESP,DF,Zulte Waregem,28,1994,15.8,1,9,1,11.1,0.57,0.06,0.11,1.00,13.9,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
Jhon Lucumí,co COL,DF,Genk,24,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Senne Lynen,be BEL,MF,Union SG,23,1999,29.6,0,23,4,17.4,0.78,0.13,0.00,0.00,24.6,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Koki Machida,jp JPN,DF,Union SG,24,1997,6.5,0,3,1,33.3,0.46,0.15,0.00,0.00,14.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches

Nicolas Madsen,dk DEN,MF,Westerlo,22,2000,25.7,2,24,6,25.0,0.93,0.23,0.08,0.33,21.5,0,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
Mathieu Maertens,be BEL,"FW,MF",OH Leuven,27,1995,22.4,5,40,15,37.5,1.78,0.67,0.13,0.33,19.7,0,0,0,3.3,3.3,0.08,+1.7,+1.7,Matches
Tyreek Magee,jm JAM,"FW,MF",Eupen,22,1999,1.0,0,3,1,33.3,2.90,0.97,0.00,0.00,28.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Gary Magnée,be BEL,"MF,DF",Eupen,22,1999,24.4,3,30,12,40.0,1.23,0.49,0.10,0.25,21.4,0,0,0,2.1,2.1,0.07,+0.9,+0.9,Matches
Radosław Majecki,pl POL,GK,Cercle Brugge,22,1999,27.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yonas Malede,il ISR,"FW,MF",Mechelen,22,1999,12.8,0,20,5,25.0,1.56,0.39,0.00,0.00,17.4,0,0,1,2.3,1.6,0.08,-2.3,-1.6,Matches
Kristiyan Malinov,bg BUL,MF,OH Leuven,28,1994,14.7,0,4,0,0.0,0.27,0.00,0.00,,21.0,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
Benson Manuel,ao ANG,FW,Antwerp,25,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jean Marcelin,fr FRA,DF,Cercle Brugge,22,2000,8.3,0,7,0,0.0,0.84,0.00,0.00,,8.3,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
Damien Marcq,fr FRA,DF,Charleroi,33,1988,16.3,2,5,2,40.0,0.31,0.12,0.40,1.00,12.7,0,0,0,0.3,0.3,0.07,+1.7,+1.7,Matches
Sulayman Marreh,gm GAM,MF,Gent,26,1996,4.4,1,5,1,20.0,1.14,0.23,0.20,1.00,23.0,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
Timothy Martin,lu LUX,GK,R.F.C. Seraing,21,2001,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Clinton Mata,ao ANG,DF,Club Brugge,29,1992,17.3,0,3,1,33.3,0.17,0.06,0.00,0.00,27.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Yusuke Matsuo,jp JPN,"FW,MF",Westerlo,25,1997,5.1,0,9,4,44.4,1.75,0.78,0.00,0.00,16.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Nekadio Mayanga,,DF,R.F.C. Seraing,20,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Noah Mbamba,be BEL,MF,Club Brugge,17,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dylan Mbayo,be BEL,"FW,MF",Kortrijk,20,2001,7.6,1,8,3,37.5,1.06,0.40,0.13,0.33,20.0,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
Isaac Mbenza,be BEL,"FW,DF",Charleroi,26,1996,24.8,4,42,16,38.1,1.69,0.65,0.10,0.25,19.4,1,0,0,4.8,4.8,0.12,-0.8,-0.8,Matches
Moustapha Mbow,sn SEN,DF,R.F.C. Seraing,22,2000,24.6,1,5,1,20.0,0.20,0.04,0.20,1.00,14.3,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
Cameron McGeehan,nir NIR,MF,Oostende,27,1995,18.0,4,54,19,35.2,3.00,1.06,0.07,0.21,17.3,0,0,0,5.1,5.1,0.10,-1.1,-1.1,Matches
Mark McKenzie,us USA,DF,Genk,23,1999,30.0,1,11,2,18.2,0.37,0.07,0.09,0.50,8.2,0,0,0,1.8,1.8,0.16,-0.8,-0.8,Matches
Dapo Mebude,sct SCO,"FW,MF",Oostende,21,2001,2.5,0,2,0,0.0,0.80,0.00,0.00,,17.8,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
Brandon Mechele,be BEL,DF,Club Brugge,29,1993,28.6,2,9,2,22.2,0.31,0.07,0.22,1.00,8.4,0,0,0,1.0,1.0,0.11,+1.0,+1.0,Matches
Zech Medley,eng ENG,DF,Oostende,22,2000,10.3,1,5,3,60.0,0.48,0.29,0.20,0.33,14.2,0,0,0,0.6,0.6,0.13,+0.4,+0.4,Matches
Nayel Mehssatou,cl CHI,"DF,MF",Kortrijk,20,2002,20.6,0,4,1,25.0,0.19,0.05,0.00,0.00,28.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches

