Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
François D'Onofrio,be BEL,"MF,DF",R.F.C. Seraing,30,1990,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches
Kouadio-Yves Dabila,ci CIV,DF,R.F.C. Seraing,24,1997,11.4,0,1,0,4,3,0,2,16,12,0,0,0,68,12,21,36.4,Matches
Ameen Al-Dakhil,be BEL,DF,Standard Liège,19,2002,10.3,4,1,0,10,2,0,0,14,5,0,0,0,35,16,20,44.4,Matches

Ameen Al-Dakhil,be BEL,DF,Sint-Truiden,19,2002,6.2,2,0,0,5,2,1,0,12,6,0,0,0,35,12,8,60.0,Matches
Jesper Daland,no NOR,DF,Cercle Brugge,21,2000,30.3,6,0,0,19,16,1,4,30,24,2,0,1,198,77,48,61.6,Matches
Laurens De Bock,be BEL,DF,Zulte Waregem,28,1992,27.3,7,0,0,31,9,0,78,49,42,0,0,1,124,23,21,52.3,Matches
Wout De Buyser,be BEL,DF,Zulte Waregem,20,2001,0.7,0,0,0,1,0,0,3,0,0,0,0,0,12,1,0,100.0,Matches
Charles De Ketelaere,be BEL,"FW,MF",Club Brugge,20,2001,30.3,4,0,0,16,41,15,89,15,23,0,0,0,99,34,33,50.7,Matches
Ritchie De Laet,be BEL,DF,Antwerp,32,1988,26.8,8,1,1,21,15,0,46,52,23,0,0,1,153,30,32,48.4,Matches
Dion De Neve,be BEL,"DF,FW",Zulte Waregem,19,2002,8.2,1,0,0,6,3,0,22,10,16,0,0,0,45,4,15,21.1,Matches
Nill De Pauw,cd COD,FW,Antwerp,31,1990,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,Matches
Rousseau De Poorter,ht HAI,MF,Zulte Waregem,19,2001,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Steve De Ridder,be BEL,MF,Sint-Truiden,34,1987,8.0,2,0,0,19,10,1,19,4,5,0,0,0,44,7,5,58.3,Matches
Alexis De Sart,be BEL,MF,OH Leuven,24,1996,9.9,3,0,0,10,10,1,10,15,12,0,0,0,55,16,10,61.5,Matches
Alexis De Sart,be BEL,MF,Antwerp,24,1996,0.4,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0.0,Matches
Julien De Sart,be BEL,MF,Gent,26,1994,29.4,11,0,0,46,44,1,45,61,53,0,1,0,238,75,38,66.4,Matches
Thibault De Smet,be BEL,"DF,MF",Beerschot,23,1998,16.6,8,3,1,30,11,5,29,23,26,1,2,0,78,24,23,51.1,Matches
Zeno Debast,be BEL,"DF,FW",Anderlecht,17,2003,4.3,1,0,0,10,1,0,0,5,5,0,0,0,16,1,4,20.0,Matches
Robbe Decostere,be BEL,"DF,MF",Cercle Brugge,23,1998,13.7,4,0,0,9,6,0,29,11,18,0,0,0,55,7,15,31.8,Matches
Dario Del Fabro,it ITA,DF,R.F.C. Seraing,26,1995,9.3,2,0,0,11,7,2,0,15,4,0,0,0,27,31,30,50.8,Matches
Hannes Delcroix,be BEL,DF,Anderlecht,22,1999,3.3,0,0,0,0,0,0,0,2,1,0,0,0,29,7,7,50.0,Matches
Joris Delle,fr FRA,GK,Kortrijk,31,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Mathias Delorge,be BEL,MF,Sint-Truiden,17,2004,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Maxim Deman,be BEL,GK,Kortrijk,19,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Olivier Deman,be BEL,"FW,MF",Cercle Brugge,21,2000,20.9,7,0,0,43,46,11,29,18,33,1,0,0,98,34,65,34.3,Matches
Bas van den Eynden,be BEL,"MF,DF",Mechelen,19,2002,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,50.0,Matches
Kévin Denkey,tg TOG,FW,Cercle Brugge,20,2000,14.3,2,0,0,20,24,13,7,6,11,0,0,0,58,35,71,33.0,Matches
Jerome Deom,be BEL,"MF,FW",Eupen,22,1999,12.3,6,0,0,20,12,3,26,13,11,0,0,0,46,2,7,22.2,Matches

Laurent Depoitre,be BEL,FW,Gent,32,1988,19.9,1,0,0,29,21,11,3,6,12,0,0,0,52,71,51,58.2,Matches
Timothy Derijck,be BEL,DF,Kortrijk,34,1987,4.2,2,0,0,1,0,0,0,7,3,0,0,0,10,5,7,41.7,Matches
Timothy Derijck,be BEL,DF,Zulte Waregem,34,1987,11.3,4,0,0,9,5,0,2,18,8,0,0,0,64,18,6,75.0,Matches
Anthony Descotte,be BEL,"FW,DF",Charleroi,17,2003,1.9,0,0,0,2,0,2,2,0,3,0,0,0,3,1,1,50.0,Matches
Cyriel Dessers,ng NGA,FW,Genk,26,1994,1.4,0,0,0,2,1,0,0,0,0,0,0,0,2,3,5,37.5,Matches
Dorian Dessoleil,be BEL,DF,Charleroi,28,1992,5.0,0,0,0,4,2,0,0,5,3,0,0,0,19,13,8,61.9,Matches
Dorian Dessoleil,be BEL,DF,Antwerp,28,1992,18.5,1,0,0,12,12,0,0,24,18,0,0,0,80,34,43,44.2,Matches
Gilles Dewaele,be BEL,DF,Standard Liège,25,1996,7.8,2,0,0,12,5,0,13,15,12,0,0,0,34,17,7,70.8,Matches
Gilles Dewaele,be BEL,DF,Kortrijk,25,1996,16.7,3,0,0,18,10,1,35,11,17,0,1,0,80,33,19,63.5,Matches
Sébastien Dewaest,be BEL,DF,OH Leuven,30,1991,27.6,7,1,1,39,9,3,2,53,26,0,0,0,177,58,29,66.7,Matches
Thomas Didillon,fr FRA,GK,Cercle Brugge,25,1995,29.0,1,0,0,0,3,0,0,1,0,0,0,0,24,11,1,91.7,Matches
Guillaume Dietsch,fr FRA,GK,R.F.C. Seraing,20,2001,32.9,2,1,0,1,6,0,0,3,0,0,1,2,48,12,1,92.3,Matches
Rayan Djédjé,fr FRA,"DF,MF",R.F.C. Seraing,20,2001,2.2,0,0,0,6,0,0,0,6,3,0,0,0,10,1,4,20.0,Matches
Joren Dom,be BEL,"DF,MF",Beerschot,31,1989,24.9,4,0,0,31,32,4,54,50,34,0,0,0,119,35,66,34.7,Matches
Jean-Luc Dompé,fr FRA,"MF,FW",Zulte Waregem,25,1995,29.3,3,0,0,7,47,9,243,10,9,1,0,0,138,7,14,33.3,Matches
Romain Donnez,be BEL,MF,Charleroi,18,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Arnaud Dony,be BEL,"DF,MF",Sint-Truiden,17,2004,1.9,0,0,0,1,5,0,3,3,1,0,0,0,9,4,2,66.7,Matches
Bas Dost,nl NED,FW,Club Brugge,32,1989,12.3,1,0,0,13,4,7,1,3,5,0,0,0,17,69,46,60.0,Matches
Maidine Douane,fr FRA,"MF,FW",R.F.C. Seraing,18,2002,0.8,0,0,0,1,0,0,2,0,1,0,0,0,7,0,2,0.0,Matches
Idrissa Doumbia,ci CIV,MF,Zulte Waregem,23,1998,13.2,5,0,0,22,6,0,6,13,13,0,0,0,109,6,13,31.6,Matches
Denis Drăguș,ro ROU,FW,Standard Liège,22,1999,13.0,3,0,0,26,16,14,11,7,18,0,0,0,70,10,23,30.3,Matches
Rick van Drongelen,nl NED,DF,Mechelen,22,1998,5.4,2,0,0,7,3,1,1,4,3,1,0,0,37,12,10,54.5,Matches
Ferdy Druijf,nl NED,FW,Mechelen,23,1998,6.4,1,0,0,10,17,4,4,0,2,0,0,0,19,21,12,63.6,Matches
Olivier Dumont,be BEL,MF,Standard Liège,19,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches
Kyle Duncan,us USA,"MF,DF",Oostende,23,1997,5.9,3,1,1,17,10,0,8,12,8,0,0,0,46,7,7,50.0,Matches

Chris Durkin,us USA,MF,Sint-Truiden,21,2000,16.7,5,0,0,28,14,0,18,18,19,0,1,0,93,24,13,64.9,Matches
Noë Dussenne,be BEL,DF,Standard Liège,29,1992,19.2,7,1,0,25,18,0,2,37,29,0,0,0,149,61,36,62.9,Matches
Pierre Dwomoh,be BEL,MF,Antwerp,17,2004,2.3,1,0,0,1,3,0,0,3,4,0,0,0,14,3,4,42.9,Matches
Mikael Dyrestam,gn GUI,DF,R.F.C. Seraing,29,1991,6.0,1,0,0,4,1,0,0,5,0,0,0,1,27,14,9,60.9,Matches
Aron Dønnum,no NOR,"MF,FW",Standard Liège,23,1998,15.9,5,0,0,26,38,4,49,12,8,1,0,0,65,12,15,44.4,Matches
Johannes Eggestein,de GER,"FW,MF",Antwerp,23,1998,2.9,0,0,0,4,4,0,12,2,3,0,0,0,14,7,14,33.3,Matches
Carel Eiting,nl NED,"MF,DF",Genk,23,1998,8.6,3,0,0,7,2,0,14,6,15,0,0,0,46,1,8,11.1,Matches
Blessing Eleke,ng NGA,FW,Beerschot,25,1996,0.9,0,0,0,1,2,1,1,0,0,0,0,0,3,3,3,50.0,Matches
Emanuel Emegha,nl NED,FW,Antwerp,18,2003,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,100.0,Matches
Renaud Emond,be BEL,FW,Standard Liège,29,1991,9.3,4,0,0,12,7,7,1,5,3,0,0,0,18,20,37,35.1,Matches
Björn Engels,be BEL,DF,Antwerp,26,1994,14.8,2,1,0,12,0,0,0,22,8,0,0,0,58,63,19,76.8,Matches
Gustav Engvall,se SWE,"MF,FW",Mechelen,25,1996,2.7,1,0,0,5,7,2,4,3,1,0,0,0,15,1,5,16.7,Matches
Alieu Fadera,gm GAM,"MF,DF",Zulte Waregem,19,2001,7.2,4,0,0,17,22,3,8,6,22,0,0,0,46,10,7,58.8,Matches
Collins Fai,cm CMR,DF,Standard Liège,28,1992,4.9,3,2,1,9,4,0,16,8,7,0,0,0,26,6,7,46.2,Matches
Mamadou Fall,sn SEN,FW,Charleroi,29,1991,3.2,0,0,0,3,3,4,4,0,1,0,0,0,10,5,12,29.4,Matches
Wagane Faye,sn SEN,DF,R.F.C. Seraing,27,1993,11.6,3,0,0,17,13,0,6,20,26,0,0,0,76,22,28,44.0,Matches
