Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Hamza Bronja,rs SRB,FW,Novi Pazar,17,2004,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ensar Brunčević,rs SRB,DF,Novi Pazar,23,1999,4,0,18,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Bugarin,me MNE,MF,Spartak Subotic,22,1999,12,9,815,9.1,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,Matches
Osman Bukari,gh GHA,"FW,MF",Red Star,23,1998,29,25,"1,961",21.8,12,3,15,12,0,0,3,0,0.55,0.14,0.69,0.55,0.69,Matches
Dženan Bureković,ba BIH,MF,Spartak Subotic,27,1995,3,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Borisav Burmaz,rs SRB,FW,Voždovac,21,2001,31,24,"1,977",22.0,6,2,8,5,1,1,3,1,0.27,0.09,0.36,0.23,0.32,Matches
Aleksandar Busnić,rs SRB,MF,Vojvodina,24,1997,22,10,952,10.6,2,2,4,2,0,0,4,0,0.19,0.19,0.38,0.19,0.38,Matches
Josip Čalušić,hr CRO,DF,TSC Bačka Top,28,1993,31,29,"2,550",28.3,2,1,3,2,0,0,6,1,0.07,0.04,0.11,0.07,0.11,Matches
Norman Campbell,jm JAM,FW,Javor Ivanjica,22,1999,35,29,"2,427",27.0,7,4,11,7,0,0,7,0,0.26,0.15,0.41,0.26,0.41,Matches
Lazar Carević,me MNE,GK,Vojvodina,23,1999,35,35,"3,114",34.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Bojan Čečarić,rs SRB,FW,Napredak Kruš,28,1993,32,17,"1,664",18.5,2,1,3,2,0,0,4,0,0.11,0.05,0.16,0.11,0.16,Matches
Sanele Chauke,rs SRB,FW,FK Kolubara,,,8,2,281,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Geoffrey Chinedu,ng NGA,FW,Radnički Kragujevac,24,1997,10,6,549,6.1,2,0,2,2,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches
Aleksandar Ćirković,rs SRB,MF,Voždovac,20,2001,5,5,378,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Ćirković,rs SRB,FW,Mladost Lučani,30,1991,32,32,"2,864",31.8,0,2,2,0,0,0,7,0,0.00,0.06,0.06,0.00,0.06,Matches
Leandro Climaco Pinto,br BRA,"DF,MF",Radnik Surdulica,28,1994,6,5,368,4.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Colic,rs SRB,MF,TSC Bačka Top,19,2002,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrés Colorado,co COL,MF,Partizan,23,1998,14,12,948,10.5,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
Stefan Čolović,rs SRB,DF,Čukarički,28,1994,2,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Stefan Čolović,rs SRB,DF,Radnički Kragujevac,28,1994,24,22,"1,966",21.8,2,4,6,2,0,0,1,0,0.09,0.18,0.27,0.09,0.27,Matches
Ivan Ćorković,rs SRB,DF,FK Kolubara,21,2001,13,4,458,5.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Mehmed Ćosić,ba BIH,MF,FK Kolubara,25,1997,15,9,713,7.9,1,0,1,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches
Đorđe Ćosić,ba BIH,DF,FK Mladost Novi Sad,26,1995,17,17,"1,447",16.1,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches

Kalifa Coulibaly,ml MLI,FW,Red Star,30,1991,4,0,81,0.9,1,0,1,1,0,0,0,0,1.11,0.00,1.11,1.11,1.11,Matches
Nikola Čumić,rs SRB,"FW,MF",Vojvodina,23,1998,29,25,"2,175",24.2,13,3,16,12,1,1,3,0,0.54,0.12,0.66,0.50,0.62,Matches
Dusan Cvetinovic,rs SRB,DF,TSC Bačka Top,33,1988,9,7,602,6.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Dusan Cvetinovic,rs SRB,DF,Radnički Kragujevac,33,1988,15,15,"1,350",15.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Miloš Cvetković,rs SRB,"DF,GK",TSC Bačka Top,32,1990,32,31,"2,719",30.2,2,3,5,2,0,0,9,0,0.07,0.10,0.17,0.07,0.17,Matches
Stefan Cvetkovic,rs SRB,FW,Radnički Niš,24,1998,25,12,"1,131",12.6,2,0,2,2,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
Igor Cvetojević,rs SRB,DF,FK Kolubara,21,2001,2,2,135,1.5,1,0,1,1,0,0,0,0,0.67,0.00,0.67,0.67,0.67,Matches
Cristian Dal Bello,br BRA,MF,FK Mladost Novi Sad,22,1999,14,10,848,9.4,1,1,2,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,Matches
Filip Damjanovic,rs SRB,DF,Voždovac,24,1998,35,35,"3,122",34.7,0,1,1,0,0,0,8,1,0.00,0.03,0.03,0.00,0.03,Matches
Slavko Damjanović,me MNE,"DF,GK",Novi Pazar,29,1992,4,3,235,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Damjan Daničić,rs SRB,DF,Voždovac,22,2000,10,4,406,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Zoran Danoski,mk MKD,MF,Novi Pazar,31,1990,7,4,391,4.3,2,0,2,2,0,0,2,0,0.46,0.00,0.46,0.46,0.46,Matches
Zoran Danoski,mk MKD,MF,Radnik Surdulica,31,1990,20,18,"1,422",15.8,2,2,4,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matches
Đorđe Denić,rs SRB,MF,FK Mladost Novi Sad,26,1996,25,23,"2,020",22.4,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches
Fousseni Diabaté,ml MLI,"FW,MF",Partizan,26,1995,32,26,"2,349",26.1,2,7,9,2,0,0,0,0,0.08,0.27,0.34,0.08,0.34,Matches
Stefan Dimić,rs SRB,MF,Radnički Niš,29,1993,15,13,961,10.7,2,0,2,2,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches
