Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Altay Bayındır,tr TUR,GK,Fenerbahçe,23,1998,23.8,2,0,0,1,3,0,0,1,0,,,0,Matches
Furkan Bayır,tr TUR,DF,Alanyaspor,21,2000,12.4,2,0,0,18,6,0,0,18,8,,,0,Matches
Emircan Bayrakdar,,DF,Yeni Mal'spor,18,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Gökdeniz Bayrakdar,tr TUR,"MF,FW",Antalyaspor,19,2001,10.6,2,0,0,17,9,12,6,4,7,,,0,Matches
Ömer Bayram,tr TUR,DF,Galatasaray,30,1991,10.5,4,0,0,11,15,0,100,14,8,,,0,Matches
Aziz Behich,au AUS,DF,Giresunspor,30,1990,30.9,4,0,0,10,28,3,89,14,18,,,0,Matches
Burak Bekaroğlu,,DF,Fatih Karagümrük,24,1997,24.4,6,1,0,20,9,1,0,36,19,,,0,Matches
Efkan Bekiroglu,,MF,Alanyaspor,25,1995,16.7,4,0,0,16,13,4,6,6,10,,,0,Matches
Younès Belhanda,ma MAR,MF,Adana Demirspor,31,1990,13.4,2,0,0,13,9,1,32,9,4,,,0,Matches
Mortadha Ben Ouannes,tn TUN,"MF,DF",Kasımpaşa,27,1994,16.6,4,0,0,26,24,2,50,26,25,,,0,Matches
Medhi Benatia,ma MAR,DF,Fatih Karagümrük,34,1987,3.6,0,0,0,7,2,0,0,7,1,,,0,Matches
Yassine Benzia,dz ALG,MF,Hatayspor,26,1994,8.4,1,0,0,16,22,1,59,6,7,,,0,Matches
Mergim Berisha,de GER,"FW,MF",Fenerbahçe,23,1998,11.1,2,0,0,32,14,10,17,2,3,,,0,Matches
Andrea Bertolacci,it ITA,"MF,FW",Kayserispor,30,1991,6.9,3,0,0,14,19,3,19,1,9,,,0,Matches
Andrea Bertolacci,it ITA,MF,Fatih Karagümrük,30,1991,11.2,2,0,0,17,23,0,6,8,18,,,0,Matches
Lucas Biglia,ar ARG,MF,Fatih Karagümrük,35,1986,31.1,9,1,1,47,47,0,45,44,56,,,0,Matches
Hayrullah Bilazer,,DF,Giresunspor,26,1995,15.4,2,0,0,20,24,0,36,27,27,,,0,Matches
