Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Taylor Booth,us USA,FW,Utrecht,22,2001,9.6,0,0,0,8,12,5,57,7,5,0,0,0,41,7,5,58.3,Matches
Zach Booth,us USA,"MF,FW",Volendam,19,2004,17.3,0,0,0,9,12,8,22,8,8,0,0,0,53,13,45,22.4,Matches
Yvandro Borges Sanches,lu LUX,"FW,MF",NEC Nijmegen,19,2004,2.4,0,0,0,0,3,0,4,0,1,0,0,0,9,0,0,,Matches
Olivier Boscagli,fr FRA,DF,PSV Eindhoven,25,1997,31.5,3,0,0,20,24,1,18,66,26,0,1,1,249,82,50,62.1,Matches
Othman Boussaid,be BEL,FW,Utrecht,23,2000,21.9,2,0,0,5,14,1,94,19,12,0,0,0,131,1,8,11.1,Matches
Amine Boutrah,fr FRA,FW,Vitesse,22,2000,20.2,3,0,0,15,31,5,37,15,11,0,1,0,109,3,20,13.0,Matches
Can Bozdogan,de GER,MF,Utrecht,22,2001,21.8,4,0,0,28,43,1,61,25,36,0,1,0,160,29,30,49.2,Matches
Jayden Braaf,nl NED,"FW,MF",Fortuna Sittard,20,2002,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0.0,Matches
Mattijs Branderhorst,nl NED,GK,Utrecht,29,1993,5.0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,100.0,Matches
Oliver Braude,no NOR,DF,Heerenveen,19,2004,23.5,6,1,1,29,24,2,39,18,52,0,0,0,124,22,18,55.0,Matches
Myron van Brederode,nl NED,FW,AZ Alkmaar,20,2003,14.6,1,0,0,2,20,5,28,9,19,0,0,0,82,3,6,33.3,Matches
Joshua Brenet,cw CUW,DF,Twente,29,1994,12.0,1,0,0,17,8,2,16,12,19,0,0,0,86,13,14,48.1,Matches
Jakob Breum,dk DEN,FW,Go Ahead Eag,19,2003,16.1,2,0,0,11,21,2,72,10,17,1,0,0,84,4,16,20.0,Matches
Brian Brobbey,nl NED,FW,Ajax,21,2002,26.7,4,0,0,26,53,24,7,0,4,2,0,0,38,65,39,62.5,Matches
Michael Brouwer,nl NED,GK,Heracles Almelo,30,1993,34.0,0,0,0,0,1,0,0,1,0,0,0,0,25,11,3,78.6,Matches
Luuk Brouwers,nl NED,MF,Heerenveen,25,1998,22.5,4,0,0,19,19,9,10,17,11,1,0,0,81,27,28,49.1,Matches
Damian van Bruggen,nl NED,DF,Almere City,27,1996,27.8,8,1,1,44,3,0,0,56,17,0,0,0,114,89,88,50.3,Matches
Jordy Bruijn,nl NED,MF,Heracles Almelo,27,1996,7.6,1,0,0,10,7,0,24,4,5,0,0,0,31,5,10,33.3,Matches
Jeffrey Bruma,nl NED,DF,RKC Waalwijk,31,1991,4.4,2,1,1,9,2,0,0,4,4,0,1,0,24,12,8,60.0,Matches
Max Bruns,nl NED,DF,Twente,20,2002,6.3,0,1,0,6,2,0,0,7,6,0,0,0,34,18,21,46.2,Matches
Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,31,1992,12.0,10,0,0,24,33,3,51,6,16,0,0,0,65,16,31,34.0,Matches

Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,24,1998,15.3,1,0,0,15,26,4,41,4,12,0,0,0,75,23,50,31.5,Matches
Thomas Buitink,nl NED,FW,Vitesse,23,2000,5.3,0,0,0,8,0,4,8,0,1,0,0,0,16,1,13,7.1,Matches
Stijn Bultman,nl NED,DF,Heracles Almelo,18,2005,12.4,1,0,0,4,1,0,0,17,22,0,0,0,53,18,22,45.0,Matches
Oskar Buur,dk DEN,DF,Volendam,25,1998,18.3,3,0,0,10,15,1,31,13,28,0,0,0,91,4,11,26.7,Matches
Zico Buurmeester,nl NED,MF,Zwolle,21,2002,15.1,1,1,0,15,9,2,16,25,15,1,0,1,96,16,38,29.6,Matches
Yoann Cathline,fr FRA,"DF,FW",Almere City,21,2002,19.1,2,0,0,6,33,6,69,9,23,0,0,0,129,2,12,14.3,Matches
Sava Cestic,rs SRB,DF,Heracles Almelo,22,2001,2.3,1,0,0,2,0,0,0,6,2,0,0,0,8,8,4,66.7,Matches
Tjaronn Chery,sr SUR,"MF,FW",NEC Nijmegen,35,1988,11.5,0,0,0,2,15,2,75,4,6,0,0,0,48,1,3,25.0,Matches
Jasper Cillessen,nl NED,GK,NEC Nijmegen,34,1989,29.3,1,0,0,0,4,0,0,0,0,0,0,0,37,9,0,100.0,Matches
Jordy Clasie,nl NED,MF,AZ Alkmaar,32,1991,27.4,4,0,0,21,11,0,6,43,32,0,0,1,201,10,17,37.0,Matches
Pelle Clement,nl NED,"MF,FW",Sparta R'dam,27,1996,21.1,4,0,0,18,27,0,69,18,17,1,0,0,116,30,29,50.8,Matches
Denilho Cleonise,nl NED,"FW,MF",RKC Waalwijk,21,2001,20.0,0,0,0,14,40,6,86,12,9,1,0,0,84,5,11,31.3,Matches
Iñigo Córdoba,es ESP,"FW,MF",Fortuna Sittard,26,1997,29.2,2,0,0,23,58,16,95,42,62,1,0,0,199,57,52,52.3,Matches
Enzo Cornelisse,nl NED,"DF,MF",Vitesse,20,2003,17.1,2,0,0,12,5,0,57,17,16,0,0,0,54,13,16,44.8,Matches
Milan Corryn,be BEL,"MF,FW",Almere City,24,1999,1.8,0,0,0,3,2,0,4,3,3,0,0,0,13,3,3,50.0,Matches
George Cox,eng ENG,"DF,MF",Volendam,25,1998,21.3,3,0,0,11,15,0,67,36,29,0,0,0,110,19,17,52.8,Matches
