Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,0.5,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,50.0,Matches
Tiago Araújo,pt POR,"DF,FW",Arouca,20,2001,5.3,5,0,0,11,4,0,34,2,8,0,0,0,35,6,5,54.5,Matches
Tomás Araújo,pt POR,DF,Benfica,19,2002,1.1,0,0,0,3,0,0,0,0,0,0,0,0,6,2,4,33.3,Matches
Telmo Arcanjo,cv CPV,"MF,FW",Tondela,20,2001,1.4,2,0,0,6,1,0,8,0,3,0,0,0,7,3,1,75.0,Matches
Arthur,br BRA,"FW,MF",Estoril,23,1998,24.4,5,1,1,29,34,13,97,15,19,1,0,0,102,9,12,42.9,Matches
Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,6.7,6,0,0,20,7,0,1,5,13,0,0,0,44,5,8,38.5,Matches
Javier Avilés,es ESP,"MF,FW",Tondela,23,1997,1.7,3,0,0,6,4,0,9,1,2,0,0,0,9,3,5,37.5,Matches
Chidozie Awaziem,ng NGA,DF,Boavista,24,1997,3.0,1,0,0,1,1,0,0,2,2,0,0,0,16,4,3,57.1,Matches
Abdoulaye Ba,sn SEN,DF,Arouca,30,1991,14.9,4,0,0,17,4,1,0,29,11,0,0,2,104,33,14,70.2,Matches
Abdoulaye Ba,sn SEN,DF,Moreirense,30,1991,1.0,0,0,0,1,1,0,0,1,2,0,0,0,11,3,0,100.0,Matches
Marco Baixinho,pt POR,DF,Paços,32,1989,24.3,6,0,0,27,9,1,1,45,12,0,0,0,99,48,54,47.1,Matches
Ibrahima Bamba,ci CIV,MF,Vitória,19,2002,3.3,2,0,0,11,8,0,0,9,4,0,0,0,22,5,1,83.3,Matches
Daniel Bandeira,pt POR,MF,Vitória,21,2000,0.2,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,66.7,Matches
Simon Banza,cd COD,FW,Famalicão,24,1996,25.9,7,1,1,52,96,15,17,9,10,1,0,0,56,91,79,53.5,Matches

Yves Baraye,sn SEN,"FW,MF",B-SAD,29,1992,11.8,4,0,0,19,34,1,26,13,5,1,0,0,75,10,23,30.3,Matches
Rafael Barbosa,pt POR,"MF,FW",Tondela,25,1996,19.2,6,0,0,31,34,1,51,9,8,0,0,0,91,0,14,0.0,Matches
Romário Baró,pt POR,MF,Estoril,21,2000,4.3,3,1,0,8,18,1,1,2,2,0,0,0,19,7,4,63.6,Matches
Oscar Barreto,co COL,"FW,MF",Santa Clara,28,1993,3.9,1,0,0,5,12,1,6,4,8,0,0,0,24,1,7,12.5,Matches
Gil Bastião Dias,pt POR,"DF,FW",Benfica,24,1996,7.3,1,0,0,10,9,1,14,12,11,0,0,0,41,9,11,45.0,Matches
Luís Bastos,pt POR,DF,Paços,19,2001,3.4,2,0,0,4,1,0,17,6,6,0,0,0,26,2,2,50.0,Matches
Dylan Batubinsika,cd COD,DF,Famalicão,25,1996,16.7,4,0,0,28,6,0,1,41,14,0,1,0,102,47,22,68.1,Matches
Clésio Baúque,mz MOZ,"DF,FW",Marítimo,26,1994,5.3,0,0,0,3,10,0,15,8,7,0,0,0,31,4,8,33.3,Matches
Bebeto,br BRA,"DF,MF",Tondela,31,1990,15.4,5,0,0,29,23,3,45,31,49,1,0,0,90,17,23,42.5,Matches
