Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches

Zhivko Atanasov,bg BUL,DF,Cherno More,31,1991,31.0,3,0,0,,,,,,,,,0,Matches
Hugo Azzi,fr FRA,DF,Botev Plovdiv,18,2003,0.2,1,0,0,,,,,,,,,0,Matches
Georgi Babaliev,bg BUL,FW,FC Spartak Varna,21,2001,4.0,0,0,0,,,,,,,,,0,Matches
Martin Bachev,bg BUL,DF,Pirin Blagoevgrad,18,2004,4.9,1,0,0,,,,,,,,,0,Matches
Monir Al Badarin,ps PLE,MF,Botev Plovdiv,17,2005,0.2,0,0,0,,,,,,,,,0,Matches
Dimo Bakalov,bg BUL,MF,Lokomotiv Sofia,33,1988,14.5,2,0,0,,,,,,,,,0,Matches
Jon Bakero,es ESP,"FW,MF",Slavia Sofia,26,1996,4.7,0,0,0,,,,,,,,,0,Matches
Denys Balanyuk,ua UKR,MF,FC Spartak Varna,25,1997,12.6,2,0,0,,,,,,,,,0,Matches
Dimitar Balinov,bg BUL,DF,Botev Plovdiv,21,2001,1.0,0,0,0,,,,,,,,,0,Matches
Lachezar Baltanov,bg BUL,MF,Botev Plovdiv,34,1988,3.2,1,0,0,,,,,,,,,0,Matches
Daouda Bamba,ci CIV,FW,CSKA Sofia,27,1995,4.4,0,0,0,,,,,,,,,0,Matches
Diogo Barbosa,pt POR,MF,Botev Vratsa,26,1996,8.2,4,0,0,,,,,,,,,0,Matches
Tiago Barbosa,br BRA,DF,CSKA 1948,21,2001,1.0,0,0,0,,,,,,,,,0,Matches
Bilal Bari,ma MAR,FW,Levski Sofia,24,1998,3.6,1,0,0,,,,,,,,,0,Matches
Antoine Baroan,fr FRA,FW,Botev Plovdiv,22,2000,27.4,8,0,0,,,,,,,,,0,Matches
Federico Barrios,co COL,GK,Botev Vratsa,25,1996,1.0,0,0,0,,,,,,,,,0,Matches
Angel Bastunov,bg BUL,FW,CSKA 1948,23,1999,9.7,4,0,0,,,,,,,,,0,Matches
Yoan Baurenski,bg BUL,MF,Beroe,20,2001,5.2,5,0,0,,,,,,,,,0,Matches
Yoan Baurenski,bg BUL,MF,CSKA Sofia,20,2001,1.3,0,0,0,,,,,,,,,0,Matches
Alexandr Belousov,md MDA,MF,FC Spartak Varna,24,1998,9.9,3,0,0,,,,,,,,,0,Matches
Zakaria Benchaâ,dz ALG,FW,Cherno More,25,1997,8.8,3,1,0,,,,,,,,,0,Matches
Ventsislav Bengyuzov,bg BUL,MF,Pirin Blagoevgrad,31,1991,21.4,12,1,1,,,,,,,,,0,Matches
Berk Beyhan,bg BUL,FW,Cherno More,17,2004,0.1,0,0,0,,,,,,,,,0,Matches
Mimito Biai,gw GNB,MF,Cherno More,24,1997,10.2,1,0,0,,,,,,,,,0,Matches
Messie Biatoumoussoka,cg CGO,DF,Botev Vratsa,24,1998,19.8,10,0,0,,,,,,,,,0,Matches

Marsel Bibishkov,bg BUL,MF,Pirin Blagoevgrad,15,2007,0.2,0,0,0,,,,,,,,,0,Matches
Ryan Bidounga,cg CGO,DF,Loko Plovdiv,25,1997,13.0,3,0,0,,,,,,,,,0,Matches
Ryan Bidounga,cg CGO,DF,CSKA 1948,25,1997,3.0,2,0,0,,,,,,,,,0,Matches
