Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Michel-Ange Balikwisha,be BEL,"FW,MF",Antwerp,20,2001,26,20,"1,755",19.5,4,3,7,4,0,0,3,0,3.3,3.3,5.0,8.4,69,91,157,0.21,0.15,0.36,0.21,0.36,0.17,0.26,0.43,0.17,0.43,Matches
Nelson Balongo,,"FW,MF",Sint-Truiden,22,1999,10,1,240,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,2,7,23,0.37,0.00,0.37,0.37,0.37,0.19,0.06,0.25,0.19,0.25,Matches
Samuel Bastien,cd COD,MF,Standard Liège,24,1996,28,19,"1,806",20.1,1,0,1,1,0,0,5,0,1.4,1.4,1.0,2.4,45,84,61,0.05,0.00,0.05,0.05,0.05,0.07,0.05,0.12,0.07,0.12,Matches
Jelle Bataille,be BEL,DF,Antwerp,22,1999,26,17,"1,623",18.0,0,0,0,0,0,0,3,1,0.4,0.4,3.8,4.2,70,84,87,0.00,0.00,0.00,0.00,0.00,0.02,0.21,0.23,0.02,0.23,Matches
Sheldon Bateau,tt TRI,DF,Mechelen,30,1991,17,15,"1,356",15.1,0,1,1,0,0,0,4,0,0.2,0.2,0.4,0.6,5,45,2,0.00,0.07,0.07,0.00,0.07,0.01,0.02,0.04,0.01,0.04,Matches
Nick Bätzner,de GER,MF,Oostende,21,2000,30,20,"1,925",21.4,2,4,6,2,0,0,4,0,3.0,3.0,2.6,5.6,22,115,112,0.09,0.19,0.28,0.09,0.28,0.14,0.12,0.26,0.14,0.26,Matches
Robert Bauer,de GER,"DF,MF",Sint-Truiden,26,1995,22,21,"1,862",20.7,1,0,1,1,0,0,4,1,0.9,0.9,0.5,1.4,28,63,25,0.05,0.00,0.05,0.05,0.05,0.04,0.02,0.07,0.04,0.07,Matches
Andreas Beck,de GER,"DF,FW",Eupen,34,1987,31,29,"2,410",26.8,1,0,1,1,0,0,6,0,1.2,1.2,1.8,3.0,35,117,147,0.04,0.00,0.04,0.04,0.04,0.04,0.07,0.11,0.04,0.11,Matches
Chris Bedia,ci CIV,FW,Charleroi,25,1996,9,3,285,3.2,1,0,1,1,0,0,0,0,1.5,1.5,0.1,1.5,3,6,15,0.32,0.00,0.32,0.32,0.32,0.47,0.02,0.49,0.47,0.49,Matches
Yassine Ben Hamed,fr FRA,DF,Antwerp,18,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
