Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Amit Bitton,il ISR,DF,Beroe,25,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikolay Bodurov,bg BUL,DF,Pirin Blagoevgrad,35,1986,18,16,"1,365",15.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Valeri Bojinov,bg BUL,FW,Levski Sofia,35,1986,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Preslav Borukov,bg BUL,MF,Loko Plovdiv,21,2000,12,9,648,7.2,1,0,1,1,0,0,0,1,0.14,0.00,0.14,0.14,0.14,Matches
Karim Bouhmidi,dz ALG,FW,Lokomotiv Sofia,23,1998,12,5,405,4.5,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
Rosen Bozhinov,bg BUL,DF,CSKA Sofia,16,2005,2,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohamed Brahimi,fr FRA,FW,Pirin Blagoevgrad,22,1998,17,16,"1,368",15.2,4,0,4,4,0,0,7,0,0.26,0.00,0.26,0.26,0.26,Matches
Mohamed Brahimi,fr FRA,FW,Botev Plovdiv,22,1998,11,7,655,7.3,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
Gustavo Busatto,br BRA,GK,CSKA Sofia,30,1990,24,23,"2,102",23.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Oleksii Bykov,ua UKR,DF,Loko Plovdiv,23,1998,15,14,"1,090",12.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Bismark C. Kwarena,gh GHA,FW,CSKA Sofia,20,2001,11,1,260,2.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Jordy Caicedo,ec ECU,FW,CSKA Sofia,23,1997,28,27,"2,259",25.1,16,0,16,16,0,0,3,0,0.64,0.00,0.64,0.64,0.64,Matches
Oumar Camara,mr MTN,FW,Beroe,28,1992,22,12,"1,162",12.9,3,0,3,2,1,1,5,0,0.23,0.00,0.23,0.15,0.15,Matches
Graham Carey,ie IRL,"DF,FW",CSKA Sofia,32,1989,23,18,"1,546",17.2,1,0,1,1,0,0,6,1,0.06,0.00,0.06,0.06,0.06,Matches
Johnathan Carlos Pereira,br BRA,DF,Beroe,26,1995,18,17,"1,533",17.0,2,0,2,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches
Matheus Cassini,br BRA,MF,Botev Vratsa,25,1996,11,7,588,6.5,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches
Hamza Čataković,ba BIH,FW,CSKA Sofia,24,1997,6,4,294,3.3,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches
Atanas Chernev,bg BUL,DF,Botev Plovdiv,19,2002,2,1,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hritiyan Chipev,bg BUL,FW,Lokomotiv Sofia,20,2001,3,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ivaylo Chochev,bg BUL,MF,CSKA 1948,28,1993,30,29,"2,655",29.5,13,0,13,9,4,4,2,0,0.44,0.00,0.44,0.31,0.31,Matches
Cicinho,bg BUL,"DF,MF",Ludogorets,32,1988,24,21,"1,734",19.3,1,0,1,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches
Mite Cikarski,mk MKD,"DF,MF",Botev Plovdiv,28,1993,2,1,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Frane Čirjak,hr CRO,MF,Lokomotiv Sofia,26,1995,6,2,262,2.9,1,0,1,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches
Alessandro Coppola,it ITA,MF,Tsarsko Selo,21,2000,8,5,514,5.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
José Cordoba,pa PAN,DF,Levski Sofia,20,2001,20,19,"1,712",19.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Mathias Coureur,mq MTQ,MF,Cherno More,33,1988,12,10,877,9.7,3,0,3,3,0,0,2,0,0.31,0.00,0.31,0.31,0.31,Matches
Artur Crăciun,md MDA,DF,Loko Plovdiv,23,1998,13,6,583,6.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Artur Crăciun,md MDA,DF,Tsarsko Selo,23,1998,6,2,224,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches

Damyan Damyanov,bg BUL,GK,Lokomotiv Sofia,21,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Reyan Daskalov,bg BUL,MF,Beroe,26,1995,16,14,"1,123",12.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Reyan Daskalov,bg BUL,MF,CSKA 1948,26,1995,12,11,"1,024",11.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Spas Delev,bg BUL,"FW,MF",Ludogorets,31,1989,11,9,662,7.4,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
