Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Oliver Jensen,dk DEN,MF,Midtjylland,19,2002,4,0,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Victor Jensen,dk DEN,DF,Midtjylland,17,2003,1,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Milan Jevtović,rs SRB,"FW,MF",AGF,28,1993,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ísak Jóhannesson,is ISL,"MF,FW",FC Copenhagen,18,2003,16,5,531,5.9,4,1,5,4,0,0,2,0,0.68,0.17,0.85,0.68,0.85,Matches
Alexander Juel Andersen,dk DEN,DF,Odense,30,1991,18,14,"1,329",14.8,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches
Jesper Juelsgård,dk DEN,DF,AGF,32,1989,5,0,69,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Juninho,br BRA,DF,Midtjylland,25,1995,18,13,"1,246",13.8,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches
Nicolai Jørgensen,dk DEN,FW,FC Copenhagen,30,1991,9,4,342,3.8,1,0,1,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches
Sebastian Jørgensen,dk DEN,"FW,MF",Silkeborg,21,2000,32,28,"2,373",26.4,11,9,20,11,0,0,1,0,0.42,0.34,0.76,0.42,0.76,Matches
Anders K. Jacobsen,dk DEN,FW,SønderjyskE,31,1989,6,6,433,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mads Kaalund,dk DEN,MF,Silkeborg,24,1996,7,4,431,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Joel Kabongo,dk DEN,DF,Randers,23,1998,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Bashkim Kadrii,dk DEN,FW,Odense,30,1991,28,16,"1,430",15.9,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches
Eric Kahl,se SWE,"DF,MF",AGF,19,2001,24,22,"1,884",20.9,2,3,5,2,0,0,3,0,0.10,0.14,0.24,0.10,0.24,Matches
Mikkel Kallesøe,dk DEN,DF,Randers,24,1997,17,15,"1,265",14.1,1,2,3,1,0,0,4,0,0.07,0.14,0.21,0.07,0.21,Matches
Alhaji Kamara,sl SLE,FW,Randers,27,1994,14,8,744,8.3,6,0,6,6,0,0,3,0,0.73,0.00,0.73,0.73,0.73,Matches
Pierre Kanstrup,dk DEN,DF,SønderjyskE,32,1989,4,1,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mamoudou Karamoko,fr FRA,MF,FC Copenhagen,21,1999,2,0,26,0.3,0,1,1,0,0,0,0,0,0.00,3.46,3.46,0.00,3.46,Matches
Tosin Kehinde,ng NGA,"MF,FW",Randers,23,1998,28,23,"2,098",23.3,5,3,8,5,0,0,4,0,0.21,0.13,0.34,0.21,0.34,Matches
Davit Khocholava,ge GEO,DF,FC Copenhagen,28,1993,22,21,"1,822",20.2,1,1,2,1,0,0,10,0,0.05,0.05,0.10,0.05,0.10,Matches
Joel King,au AUS,DF,Odense,20,2000,11,11,926,10.3,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
Anders Klynge,dk DEN,"MF,FW",Silkeborg,20,2000,31,20,"1,854",20.6,2,4,6,2,0,0,0,0,0.10,0.19,0.29,0.10,0.29,Matches
Tobias Klysner,dk DEN,"MF,DF",Randers,20,2001,25,7,835,9.3,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
Troels Kløve,dk DEN,"MF,FW",Odense,30,1990,26,10,980,10.9,1,2,3,1,0,0,2,0,0.09,0.18,0.28,0.09,0.28,Matches
