Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Juan Jesus,br BRA,DF,Napoli,30,1991,14.2,1,4,1,25.0,0.28,0.07,0.25,1.00,10.0,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
Dennis Johnsen,no NOR,"FW,MF",Venezia,23,1998,16.1,1,14,5,35.7,0.87,0.31,0.07,0.20,16.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Matches
Kaio Jorge,br BRA,"MF,FW",Juventus,19,2002,1.3,0,5,1,20.0,3.72,0.74,0.00,0.00,11.9,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
Flavio Junior Bianchi,it ITA,"FW,MF",Genoa,21,2000,3.5,1,10,3,30.0,2.87,0.86,0.10,0.33,18.2,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
Hamed Junior Traorè,ci CIV,"FW,MF",Sassuolo,21,2000,19.7,7,51,22,43.1,2.59,1.12,0.14,0.32,16.4,0,0,0,5.7,5.7,0.11,+1.3,+1.3,Matches
Nikola Kalinić,hr CRO,FW,Hellas Verona,33,1988,4.5,4,13,4,30.8,2.88,0.89,0.31,1.00,9.2,0,0,0,3.2,3.2,0.25,+0.8,+0.8,Matches
Yayah Kallon,sl SLE,"FW,MF",Genoa,20,2001,7.1,0,11,1,9.1,1.56,0.14,0.00,0.00,17.2,0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches
Pierre Kalulu,fr FRA,DF,Milan,21,2000,21.6,1,5,2,40.0,0.23,0.09,0.20,0.50,21.8,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
Dimitrije Kamenović,rs SRB,DF,Lazio,21,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,3.9,0,0,0,0.7,0.7,0.66,-0.7,-0.7,Matches
Rick Karsdorp,nl NED,"DF,FW",Roma,26,1995,32.0,0,2,1,50.0,0.06,0.03,0.00,0.00,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Denso Kasius,nl NED,"DF,FW",Bologna,18,2002,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,22.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Grigoris Kastanos,cy CYP,"MF,FW",Salernitana,23,1998,15.0,1,28,8,28.6,1.87,0.53,0.04,0.13,22.7,3,0,0,1.2,1.2,0.04,-0.2,-0.2,Matches
Moise Kean,it ITA,FW,Juventus,21,2000,12.2,5,28,10,35.7,2.30,0.82,0.18,0.50,11.3,0,0,0,4.9,4.9,0.17,+0.1,+0.1,Matches

Wajdi Kechrida,tn TUN,"DF,MF",Salernitana,25,1995,10.6,0,6,1,16.7,0.57,0.09,0.00,0.00,18.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Dimitrios Keramitsis,gr GRE,MF,Roma,17,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Franck Kessié,ci CIV,MF,Milan,24,1996,25.6,6,31,8,25.8,1.21,0.31,0.13,0.50,19.2,0,2,3,4.4,2.0,0.07,+1.6,+2.0,Matches
