Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Randal Kolo Muani,fr FRA,"FW,MF",Nantes,22,1998,32.8,12,54,26,48.1,1.65,0.79,0.22,0.46,11.7,0,0,0,10.7,10.7,0.20,+1.3,+1.3,Matches
Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,29,1991,28.5,2,15,6,40.0,0.53,0.21,0.13,0.33,12.7,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches
Ghislain Konan,ci CIV,DF,Reims,25,1995,26.9,1,19,5,26.3,0.71,0.19,0.05,0.20,24.1,1,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
Ibrahima Koné,ml MLI,FW,Lorient,22,1999,8.1,5,15,8,53.3,1.84,0.98,0.33,0.63,14.9,0,0,0,2.7,2.7,0.18,+2.3,+2.3,Matches
Youssouf Koné,ml MLI,DF,Troyes,26,1995,10.9,0,9,3,33.3,0.83,0.28,0.00,0.00,26.8,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Laurent Koscielny,fr FRA,DF,Bordeaux,35,1985,10.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rominigue Kouamé,ml MLI,MF,Troyes,24,1996,33.0,1,37,11,29.7,1.12,0.33,0.03,0.09,22.7,1,0,0,2.4,2.4,0.06,-1.4,-1.4,Matches
Boubakar Kouyaté,ml MLI,DF,Metz,24,1997,29.6,1,22,6,27.3,0.74,0.20,0.05,0.17,14.3,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches

Jean-Philippe Krasso,ci CIV,FW,Saint-Étienne,24,1997,5.0,1,12,2,16.7,2.38,0.40,0.08,0.50,11.2,0,0,0,1.6,1.6,0.13,-0.6,-0.6,Matches
Mykola Kukharevych,ua UKR,FW,Troyes,20,2001,0.2,0,1,0,0.0,6.00,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Enock Kwateng,fr FRA,DF,Bordeaux,24,1997,22.2,1,7,3,42.9,0.31,0.13,0.14,0.33,16.7,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Grejohn Kyei,fr FRA,FW,Clermont Foot,25,1995,4.4,0,11,3,27.3,2.50,0.68,0.00,0.00,9.5,0,0,0,1.9,1.9,0.17,-1.9,-1.9,Matches
Gaëtan Laborde,fr FRA,FW,Montpellier,27,1994,3.8,3,14,4,28.6,3.70,1.06,0.21,0.75,15.5,0,0,0,1.6,1.6,0.13,+1.4,+1.4,Matches
Gaëtan Laborde,fr FRA,FW,Rennes,27,1994,30.3,12,84,32,38.1,2.77,1.06,0.12,0.31,12.4,0,2,2,14.9,13.3,0.16,-2.9,-3.3,Matches
Tom Lacoux,fr FRA,"DF,MF",Bordeaux,19,2002,10.1,0,2,0,0.0,0.20,0.00,0.00,,29.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Lenny Lacroix,fr FRA,DF,Metz,18,2003,2.2,0,2,0,0.0,0.90,0.00,0.00,,8.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Alban Lafont,fr FRA,GK,Nantes,22,1999,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mohamed Lamine Bayo,gn GUI,FW,Clermont Foot,23,1998,26.8,14,63,26,41.3,2.35,0.97,0.19,0.46,13.1,0,2,3,14.4,11.9,0.19,-0.4,+0.1,Matches
Didier Lamkel Zé,cm CMR,FW,Metz,24,1996,6.7,3,14,7,50.0,2.08,1.04,0.21,0.43,12.9,0,0,0,2.3,2.3,0.17,+0.7,+0.7,Matches
Julien Laporte,fr FRA,DF,Lorient,27,1993,32.1,2,17,3,17.6,0.53,0.09,0.12,0.67,13.5,0,0,0,1.9,1.9,0.11,+0.1,+0.1,Matches
Yasser Larouci,dz ALG,DF,Troyes,20,2001,3.8,0,3,1,33.3,0.79,0.26,0.00,0.00,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Paul Lasne,fr FRA,MF,Brest,32,1989,9.4,0,8,1,12.5,0.85,0.11,0.00,0.00,21.9,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Armand Lauriente,fr FRA,"FW,MF",Lorient,22,1998,27.5,6,84,36,42.9,3.05,1.31,0.06,0.14,21.0,22,1,1,7.5,6.7,0.08,-1.5,-1.7,Matches
Théo Le Bris,fr FRA,MF,Lorient,18,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jérémy Le Douaron,fr FRA,"FW,MF",Brest,23,1998,16.1,5,35,16,45.7,2.18,1.00,0.14,0.31,14.6,0,0,0,3.7,3.7,0.11,+1.3,+1.3,Matches
Enzo Le Fée,fr FRA,"MF,FW",Lorient,21,2000,24.4,2,33,9,27.3,1.35,0.37,0.06,0.22,23.9,5,0,0,1.9,1.9,0.06,+0.1,+0.1,Matches
Vincent Le Goff,fr FRA,DF,Lorient,31,1989,34.0,1,27,4,14.8,0.79,0.12,0.04,0.25,16.8,0,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
Maxime Le Marchand,fr FRA,DF,Strasbourg,31,1989,9.6,1,3,2,66.7,0.31,0.21,0.33,0.50,12.6,0,0,0,0.3,0.3,0.11,+0.7,+0.7,Matches
Jean-Louis Leca,fr FRA,GK,Lens,35,1985,25.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Félix Lemaréchal,fr FRA,MF,Monaco,17,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mario Lemina,ga GAB,MF,Nice,27,1993,21.9,2,16,4,25.0,0.73,0.18,0.13,0.50,15.5,0,0,0,2.0,2.0,0.12,0.0,0.0,Matches
Fabien Lemoine,fr FRA,MF,Lorient,34,1987,12.4,0,4,0,0.0,0.32,0.00,0.00,,19.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Léo Leroy,fr FRA,MF,Montpellier,21,2000,7.0,0,8,3,37.5,1.15,0.43,0.00,0.00,26.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches

Alexandre Letellier,fr FRA,GK,Paris S-G,30,1990,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yanis Lhery,fr FRA,"FW,MF",Saint-Étienne,18,2003,0.8,0,2,1,50.0,2.50,1.25,0.00,0.00,16.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Dimitri Liénard,fr FRA,"DF,MF",Strasbourg,33,1988,22.7,2,23,3,13.0,1.01,0.13,0.09,0.67,21.2,4,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
Isaac Lihadji,fr FRA,"MF,FW",Lille,19,2002,2.6,1,3,2,66.7,1.13,0.76,0.33,0.50,19.0,0,0,0,0.9,0.9,0.31,+0.1,+0.1,Matches
Pol Lirola,es ESP,"DF,FW",Marseille,23,1997,19.7,1,13,2,15.4,0.66,0.10,0.08,0.50,20.9,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Matches
Bradley Locko,fr FRA,"MF,DF",Reims,19,2002,11.2,1,7,2,28.6,0.62,0.18,0.14,0.50,24.1,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
Anthony Lopes,pt POR,GK,Lyon,30,1990,33.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pau López,es ESP,GK,Marseille,26,1994,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dion Lopy,sn SEN,MF,Reims,19,2002,18.2,0,16,2,12.5,0.88,0.11,0.00,0.00,23.8,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Samuel Loric,fr FRA,DF,Lorient,21,2000,3.0,0,1,0,0.0,0.33,0.00,0.00,,16.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Jordan Lotomba,ch SUI,DF,Nice,22,1998,19.8,0,9,2,22.2,0.45,0.10,0.00,0.00,17.1,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Johaneko Louisjean,fr FRA,DF,Bordeaux,17,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
