Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Eric Larsson,se SWE,"MF,DF",OFI Crete,31,1991,31,31,"2,752",30.6,2,6,8,2,0,0,10,1,0.07,0.20,0.26,0.07,0.26,Matches
Fabiano Leismann,br BRA,DF,Aris,30,1991,32,30,"2,746",30.5,3,0,3,2,1,1,9,0,0.10,0.00,0.10,0.07,0.07,Matches
Jean-Baptiste Leo,fr FRA,FW,PAS Giannina,26,1996,4,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Panagiotis Liagas,gr GRE,DF,Levadiakos,22,1999,20,17,"1,525",16.9,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
Angelos Liasos,gr GRE,MF,PAS Giannina,22,2000,23,14,"1,217",13.5,2,0,2,2,0,0,4,0,0.15,0.00,0.15,0.15,0.15,Matches
Georgios Liavas,gr GRE,"DF,MF",Panetolikos,21,2001,15,10,972,10.8,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
Yuri Lodygin,ru RUS,GK,Panathinaikos,32,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alexandros Lolis,gr GRE,"MF,FW",PAS Giannina,19,2002,11,4,414,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikolaos Lolis,gr GRE,MF,PAS Giannina,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Maximiliano Lovera,ar ARG,MF,Ionikos,23,1999,24,19,"1,429",15.9,2,1,3,1,1,1,2,0,0.13,0.06,0.19,0.06,0.13,Matches
Kazenga LuaLua,cd COD,"MF,FW",Levadiakos,31,1990,18,8,802,8.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
José Luis Valiente,es ESP,MF,Asteras Tripoli,31,1991,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Antonio Luna,es ESP,"DF,MF",Volos NFC,31,1991,33,30,"2,642",29.4,2,1,3,2,0,0,6,0,0.07,0.03,0.10,0.07,0.10,Matches
Odysseas Lymperakis,gr GRE,DF,Volos NFC,24,1998,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Leftheris Lyratzis,gr GRE,DF,PAOK,22,2000,14,12,974,10.8,0,2,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
Salem M'bakata,cd COD,"DF,MF",Aris,24,1998,23,18,"1,563",17.4,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches
Yann M'Vila,fr FRA,MF,Olympiacos,32,1990,31,28,"2,533",28.1,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches

Zinédine Machach,fr FRA,MF,Ionikos,26,1996,23,11,"1,009",11.2,2,2,4,2,0,0,4,1,0.18,0.18,0.36,0.18,0.36,Matches
Theodosios Machairas,gr GRE,FW,AEK Athens,22,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hörður Magnússon,is ISL,DF,Panathinaikos,29,1993,24,21,"1,912",21.2,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
Alexandros Malis,gr GRE,DF,Panetolikos,25,1997,11,9,772,8.6,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches
Daniel Mancini,ar ARG,"MF,FW",Aris,25,1996,17,16,"1,331",14.8,3,6,9,3,0,0,2,0,0.20,0.41,0.61,0.20,0.61,Matches
Daniel Mancini,ar ARG,MF,Panathinaikos,25,1996,17,11,"1,052",11.7,3,2,5,3,0,0,3,0,0.26,0.17,0.43,0.26,0.43,Matches
Christos Mandas,gr GRE,GK,OFI Crete,20,2001,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Kostas Manolas,gr GRE,DF,Olympiacos,31,1991,3,3,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dimitrios Manos,gr GRE,FW,Ionikos,27,1994,10,0,146,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Georgios Manousos,gr GRE,FW,PAS Lamia,34,1987,27,11,"1,102",12.2,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches
