Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,2,180,2.0,6,3.00,13,8,53.8,0,0,2,0,0.0,0,0,0,0,,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,2,180,2.0,2,1.00,8,6,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,1,0,36,0.4,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,,Matches
Tim Krul,nl NED,GK,Norwich City,33,1988,29,29,"2,610",29.0,62,2.14,165,105,66.7,4,5,20,5,17.2,8,7,0,1,0.0,Matches
Bernd Leno,de GER,GK,Arsenal,29,1992,4,4,360,4.0,9,2.25,19,10,52.6,1,0,3,1,25.0,0,0,0,0,,Matches
Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,38,"3,420",38.0,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,0.0,Matches
Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,2,180,2.0,5,2.50,7,2,28.6,0,0,2,0,0.0,0,0,0,0,,Matches
Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,36,"3,240",36.0,48,1.33,140,93,68.6,13,6,17,11,30.6,6,4,1,1,20.0,Matches

Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,17,"1,530",17.0,27,1.59,71,44,62.0,3,7,7,5,29.4,0,0,0,0,,Matches
Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,34,"3,060",34.0,31,0.91,102,72,75.5,19,10,5,14,41.2,6,6,0,0,0.0,Matches
Illan Meslier,fr FRA,GK,Leeds United,21,2000,38,38,"3,384",37.6,79,2.10,220,142,66.4,9,11,18,5,13.2,5,5,0,0,0.0,Matches
Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
Jordan Pickford,eng ENG,GK,Everton,27,1994,35,35,"3,150",35.0,58,1.66,170,116,66.5,10,6,19,7,20.0,1,1,0,0,0.0,Matches
Nick Pope,eng ENG,GK,Burnley,29,1992,36,36,"3,240",36.0,47,1.31,165,119,74.5,7,14,15,9,25.0,5,5,0,0,0.0,Matches
