Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches
Allano,br BRA,"FW,MF",Santa Clara,27,1995,12.6,327,493,66.3,5248,1419,175,220,79.5,118,164,72.0,24,67,35.8,0,0.9,1.3,-0.9,11,32,15,7,41,Matches
Domingos André Ribeiro Almeida,pt POR,MF,Vitória,22,2000,2.6,93,108,86.1,1460,448,49,52,94.2,33,39,84.6,6,8,75.0,2,0.8,0.7,+1.2,3,12,1,0,13,Matches
Jordi Almeida,br BRA,GK,Paços,28,1993,6.0,116,194,59.8,2967,1958,22,24,91.7,62,63,98.4,31,104,29.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Alejandro Alvarado Jr.,us USA,"FW,MF",Vizela,19,2003,0.8,10,19,52.6,152,57,4,8,50.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Pedro Álvaro,pt POR,DF,Estoril,22,2000,28.6,1308,1533,85.3,28998,9874,299,323,92.6,802,852,94.1,202,332,60.8,0,0.3,0.2,-0.3,5,64,3,0,81,Matches
Pedro Amaral,pt POR,DF,Rio Ave,24,1997,11.0,504,678,74.3,10164,3695,175,208,84.1,253,305,83.0,72,136,52.9,2,0.6,0.9,+1.4,12,42,10,6,44,Matches
André Amaro,pt POR,DF,Vitória,19,2002,26.2,1001,1158,86.4,20004,7212,317,356,89.0,545,593,91.9,134,185,72.4,1,0.2,0.3,+0.8,5,61,2,1,77,Matches
Anderson,br BRA,FW,Vitória,24,1997,15.0,112,185,60.5,1410,304,78,113,69.0,20,34,58.8,6,6,100.0,0,0.4,0.2,-0.4,6,11,2,0,15,Matches
Anderson,br BRA,"FW,MF",Portimonense,24,1998,4.2,111,140,79.3,1540,459,64,71,90.1,30,38,78.9,7,10,70.0,0,1.0,0.3,-1.0,8,10,6,3,16,Matches
Anderson,br BRA,"MF,FW",Casa Pia,23,1998,0.3,3,5,60.0,50,12,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
Léo Andrade,br BRA,DF,Marítimo,24,1998,11.8,415,516,80.4,8055,3783,154,172,89.5,201,229,87.8,54,96,56.3,0,0.0,0.1,0.0,1,19,1,0,22,Matches
André André,pt POR,MF,Vitória,32,1989,15.0,635,733,86.6,10579,3001,311,341,91.2,253,282,89.7,56,78,71.8,0,1.5,1.7,-1.5,15,73,14,4,97,Matches

Andrew,br BRA,GK,Gil Vicente FC,21,2001,23.7,760,948,80.2,19400,12781,152,152,100.0,391,397,98.5,213,393,54.2,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Andrezinho,pt POR,"FW,MF",Santa Clara,25,1996,6.0,160,208,76.9,2433,856,83,100,83.0,54,68,79.4,13,28,46.4,0,1.1,1.1,-1.1,12,11,9,2,24,Matches
Paulo Vítor Fagundes dos Anjos,br BRA,GK,Chaves,33,1988,30.0,751,1024,73.3,21757,16718,126,126,100.0,354,369,95.9,268,524,51.1,0,0.0,0.1,0.0,2,17,1,0,0,Matches
Carnejy Antoine,ht HAI,"FW,MF",Casa Pia,31,1991,1.4,26,39,66.7,373,104,16,23,69.6,7,11,63.6,2,2,100.0,0,0.1,0.2,-0.1,2,2,3,1,5,Matches
Antony,br BRA,"FW,MF",Arouca,20,2001,26.4,479,651,73.6,6738,1644,268,337,79.5,164,205,80.0,21,39,53.8,1,2.6,2.5,-1.6,29,31,16,3,57,Matches
Vitorino Antunes,pt POR,DF,Paços,35,1987,29.6,1248,1738,71.8,23039,10469,574,644,89.1,496,641,77.4,159,368,43.2,2,2.9,2.8,-0.9,32,113,22,14,147,Matches
Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,28,1994,8.3,151,220,68.6,2060,623,85,99,85.9,47,70,67.1,5,16,31.3,1,0.7,0.6,+0.3,5,13,7,2,22,Matches
Wilinton Aponzá,co COL,MF,Portimonense,22,2000,0.0,1,1,100.0,6,6,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
Mizuki Arai,jp JPN,"FW,MF",Gil Vicente FC,25,1997,3.3,67,111,60.4,978,267,43,51,84.3,17,31,54.8,3,14,21.4,0,0.3,0.6,-0.3,4,3,5,3,7,Matches
Henrique Araújo,pt POR,"MF,FW",Benfica,20,2002,0.8,15,19,78.9,265,58,6,9,66.7,8,8,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,2,1,0,4,Matches
Tiago Araújo,pt POR,"DF,FW",Estoril,21,2001,9.8,283,431,65.7,5678,2128,121,153,79.1,119,158,75.3,40,95,42.1,0,0.4,0.5,-0.4,7,17,9,8,26,Matches
Tomás Araújo,pt POR,DF,Gil Vicente FC,20,2002,20.8,1127,1315,85.7,22860,8935,332,374,88.8,644,706,91.2,141,207,68.1,2,1.3,1.1,+0.7,15,92,6,0,88,Matches
Arthur,br BRA,"FW,MF",Estoril,24,1998,3.1,48,71,67.6,868,169,25,32,78.1,17,21,81.0,6,12,50.0,1,0.1,0.5,+0.9,2,5,4,0,7,Matches
Arthur,br BRA,"MF,DF",Sporting CP,24,1998,8.9,414,516,80.2,6572,1217,223,244,91.4,153,192,79.7,29,51,56.9,2,2.1,1.9,-0.1,13,12,16,6,40,Matches
Gustavo Assuncao,pt POR,MF,Famalicão,22,2000,10.6,422,523,80.7,7688,1901,178,207,86.0,181,207,87.4,50,81,61.7,1,0.8,0.6,+0.2,8,36,3,1,42,Matches
Otavio Ataide,br BRA,DF,Famalicão,20,2002,7.9,325,390,83.3,7175,2714,91,103,88.3,173,192,90.1,57,76,75.0,0,0.1,0.1,-0.1,3,22,1,1,21,Matches
Leo Augusto Pereira,br BRA,"MF,FW",Marítimo,22,2000,5.9,73,124,58.9,1074,226,43,54,79.6,24,42,57.1,4,9,44.4,0,0.2,0.3,-0.2,5,3,3,1,9,Matches
Fredrik Aursnes,no NOR,"FW,MF",Benfica,26,1995,23.9,1410,1657,85.1,23290,6684,686,748,91.7,522,594,87.9,137,200,68.5,4,3.1,3.6,+0.9,27,161,34,5,202,Matches
Matheus Babi,br BRA,FW,Santa Clara,25,1997,15.1,167,271,61.6,1983,384,102,143,71.3,42,62,67.7,4,11,36.4,1,1.2,0.8,-0.2,8,12,2,0,16,Matches
Miguel Baeza,es ESP,"MF,FW",Rio Ave,22,2000,12.0,333,424,78.5,5245,1208,179,206,86.9,109,133,82.0,30,55,54.5,1,1.1,1.0,-0.1,12,34,7,3,42,Matches
Alexander Bah,dk DEN,DF,Benfica,24,1997,20.9,1230,1561,78.8,20497,7421,578,668,86.5,517,627,82.5,97,172,56.4,4,5.4,4.2,-1.4,32,107,47,22,118,Matches
Jason Bahamboula,cg CGO,MF,Vitória,21,2001,0.1,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ibrahima Bamba,ci CIV,"DF,MF",Vitória,20,2002,25.8,809,975,83.0,16214,5511,246,279,88.2,451,491,91.9,99,163,60.7,0,0.2,0.2,-0.2,4,51,1,1,48,Matches
Daniel Bandeira,pt POR,MF,Vitória,22,2000,18.3,796,936,85.0,13168,3652,364,413,88.1,331,368,89.9,64,93,68.8,0,0.9,0.8,-0.9,12,85,12,1,105,Matches
Simon Banza,cd COD,FW,Braga,25,1996,16.1,190,284,66.9,2611,471,115,158,72.8,50,76,65.8,10,13,76.9,2,1.2,1.1,+0.8,15,13,6,0,21,Matches

Romário Baró,pt POR,"MF,FW",Casa Pia,22,2000,10.4,239,291,82.1,3806,1107,124,138,89.9,92,108,85.2,16,23,69.6,1,1.7,1.6,-0.7,12,23,6,0,38,Matches
Luís Bastos,pt POR,DF,Paços,20,2001,4.1,134,176,76.1,2305,869,60,65,92.3,58,69,84.1,11,29,37.9,0,0.0,0.5,0.0,1,11,3,0,11,Matches
Gabriel Batista,br BRA,GK,Santa Clara,24,1998,26.0,560,897,62.4,20379,16495,57,57,100.0,197,202,97.5,304,628,48.4,0,0.1,0.1,-0.1,1,28,1,0,0,Matches
Ricardo Batista,pt POR,GK,Casa Pia,35,1986,31.0,649,1007,64.4,19333,13921,98,99,99.0,325,329,98.8,223,571,39.1,0,0.0,0.0,0.0,0,15,0,0,0,Matches
Dylan Batubinsika,cd COD,DF,Famalicão,26,1996,2.0,95,103,92.2,2174,642,20,21,95.2,54,59,91.5,20,22,90.9,0,0.0,0.0,0.0,0,7,0,0,9,Matches
Batxi,ao ANG,"FW,MF",Chaves,24,1998,3.6,63,90,70.0,1132,385,31,38,81.6,22,31,71.0,9,14,64.3,1,1.0,0.8,0.0,13,5,5,2,10,Matches
Clésio Baúque,mz MOZ,"MF,DF",Marítimo,27,1994,0.7,6,13,46.2,102,46,2,2,100.0,4,9,44.4,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Héctor Bellerín,es ESP,"DF,MF",Sporting CP,27,1995,4.9,253,311,81.4,3795,1273,146,161,90.7,86,104,82.7,12,19,63.2,0,0.8,0.6,-0.8,6,20,8,1,31,Matches
Stefano Beltrame,it ITA,MF,Marítimo,29,1993,11.7,288,394,73.1,4931,1255,142,167,85.0,99,129,76.7,33,64,51.6,0,0.8,0.5,-0.8,17,29,6,2,49,Matches
Gilson Benchimol,cv CPV,FW,Estoril,20,2001,3.4,43,66,65.2,608,94,27,37,73.0,11,17,64.7,2,5,40.0,1,0.1,0.0,+0.9,3,1,1,0,3,Matches
Beni,ao ANG,MF,Casa Pia,20,2002,10.4,342,397,86.1,5644,1508,160,178,89.9,144,153,94.1,23,38,60.5,1,0.9,0.7,+0.1,15,32,2,1,41,Matches
Benny,pt POR,"FW,MF",Chaves,22,2000,13.6,270,399,67.7,3971,1470,159,189,84.1,86,124,69.4,17,50,34.0,4,3.2,2.7,+0.8,25,23,26,10,42,Matches
Berna,ao ANG,MF,Boavista,18,2003,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Paulo Bernardo,pt POR,MF,Paços,20,2002,8.4,221,277,79.8,3762,1065,110,132,83.3,75,93,80.6,26,31,83.9,2,0.3,0.2,+1.7,7,23,2,2,27,Matches
Celton Biai,pt POR,GK,Vitória,21,2000,5.0,100,155,64.5,3006,2225,14,15,93.3,48,50,96.0,38,89,42.7,0,0.0,0.0,0.0,0,3,1,0,0,Matches
Pedro Bicalho,br BRA,"MF,FW",Santa Clara,21,2001,2.1,45,74,60.8,781,187,17,24,70.8,21,26,80.8,5,18,27.8,0,0.0,0.1,0.0,1,9,1,1,3,Matches
Emmanuel Boateng,gh GHA,"FW,MF",Rio Ave,26,1996,20.7,197,279,70.6,2599,474,121,148,81.8,51,72,70.8,8,15,53.3,0,1.5,0.7,-1.5,14,9,6,1,16,Matches
Kennedy Boateng,tg TOG,DF,Santa Clara,25,1996,25.7,851,1065,79.9,18004,6217,245,293,83.6,473,548,86.3,129,198,65.2,0,0.2,0.3,-0.2,3,29,0,0,41,Matches
Victor Bobsin,br BRA,MF,Santa Clara,22,2000,17.9,578,747,77.4,11484,3962,238,288,82.6,227,263,86.3,98,153,64.1,1,0.8,0.8,+0.2,11,80,9,1,98,Matches
Bolgado,br BRA,DF,Casa Pia,23,1998,5.4,158,191,82.7,3295,1002,46,54,85.2,88,98,89.8,23,36,63.9,0,0.0,0.1,0.0,1,9,0,0,11,Matches
Kiko Bondoso,pt POR,"FW,MF",Vizela,26,1995,31.6,703,963,73.0,10207,3091,424,506,83.8,199,268,74.3,44,77,57.1,3,4.6,4.3,-1.6,50,75,37,6,117,Matches
Gonçalo Borges,pt POR,"FW,MF",Porto,21,2001,1.3,28,49,57.1,392,158,17,23,73.9,9,16,56.3,1,5,20.0,0,0.3,0.3,-0.3,2,2,1,1,6,Matches
Cristian Borja,co COL,DF,Braga,29,1993,7.6,345,436,79.1,5559,1957,170,195,87.2,145,172,84.3,21,40,52.5,0,1.1,0.4,-1.1,9,35,9,4,35,Matches
Róbert Boženík,sk SVK,FW,Boavista,22,1999,10.8,130,175,74.3,2196,264,62,78,79.5,42,54,77.8,18,21,85.7,1,0.4,0.2,+0.6,12,7,1,0,13,Matches
Rafael Bracalli,br BRA,GK,Boavista,41,1981,28.0,537,805,66.7,16632,12587,88,88,100.0,211,215,98.1,237,497,47.7,0,0.0,0.0,0.0,0,3,0,0,0,Matches

Pedro Brazão,pt POR,"MF,FW",Famalicão,19,2002,3.4,80,106,75.5,1278,435,41,48,85.4,28,35,80.0,6,12,50.0,0,0.4,0.3,-0.4,4,9,7,0,18,Matches
Yan Brice Eteki,cm CMR,MF,Casa Pia,24,1997,6.6,221,267,82.8,3947,1185,98,108,90.7,94,112,83.9,22,31,71.0,0,0.5,0.4,-0.5,5,27,5,1,42,Matches
Rafael Brito,pt POR,"MF,DF",Marítimo,20,2002,7.1,237,303,78.2,4724,1444,74,87,85.1,130,153,85.0,30,46,65.2,0,0.5,0.4,-0.5,6,20,7,2,41,Matches
John Brooks,us USA,"MF,DF",Benfica,29,1993,0.0,1,3,33.3,4,0,0,0,,0,1,0.0,0,0,,0,0.1,0.1,-0.1,1,0,0,0,0,Matches
Bruma,pt POR,"MF,FW",Braga,27,1994,11.3,362,460,78.7,5214,1308,220,258,85.3,109,131,83.2,21,32,65.6,6,2.7,3.1,+3.3,18,30,17,0,58,Matches
Bruninho,br BRA,FW,Arouca,23,1999,2.5,49,78,62.8,671,72,34,43,79.1,12,22,54.5,2,7,28.6,0,0.1,0.0,-0.1,2,2,0,0,4,Matches
Matheus Bueno,br BRA,MF,Gil Vicente FC,24,1998,6.2,274,339,80.8,4997,1434,107,120,89.2,111,133,83.5,35,54,64.8,1,0.4,0.6,+0.6,6,40,3,0,44,Matches
André Bukia,cd COD,"FW,MF",Arouca,27,1995,11.4,220,284,77.5,3363,913,122,134,91.0,73,93,78.5,15,33,45.5,0,0.5,1.0,-0.5,7,11,10,0,32,Matches
Fabijan Buntić,hr CRO,GK,Vizela,25,1997,33.0,637,888,71.7,17607,12832,157,158,99.4,276,282,97.9,198,438,45.2,0,0.0,0.3,0.0,0,15,0,0,0,Matches
Oriol Busquets,es ESP,MF,Arouca,23,1999,12.9,574,662,86.7,10170,2800,249,279,89.2,241,272,88.6,68,81,84.0,0,0.1,0.2,-0.1,5,49,4,0,38,Matches
Adrián Butzke,es ESP,FW,Paços,23,1999,14.8,254,344,73.8,3474,576,157,195,80.5,70,98,71.4,11,18,61.1,1,1.6,0.6,-0.6,21,23,10,1,28,Matches
Jovane Cabral,cv CPV,MF,Sporting CP,24,1998,0.6,29,41,70.7,600,126,8,14,57.1,18,21,85.7,2,4,50.0,0,0.0,0.0,0.0,1,7,1,1,6,Matches
Paulo Henrique Rodrigues Cabral,pt POR,DF,Santa Clara,25,1996,15.9,581,806,72.1,10733,5184,266,320,83.1,238,306,77.8,72,141,51.1,1,1.0,0.9,0.0,10,50,11,8,61,Matches
Jhonder Cádiz,ve VEN,FW,Famalicão,27,1995,14.7,189,285,66.3,2663,574,108,155,69.7,52,75,69.3,12,22,54.5,3,1.4,1.2,+1.6,19,16,7,1,24,Matches
Diogo Calila,pt POR,"DF,MF",Santa Clara,23,1998,7.2,255,337,75.7,4177,1652,130,150,86.7,102,131,77.9,18,37,48.6,0,0.2,0.2,-0.2,3,13,2,1,14,Matches
Ibrahima Camará,gn GUI,MF,Boavista,23,1999,11.5,342,456,75.0,6083,2041,163,190,85.8,134,166,80.7,40,73,54.8,2,1.1,1.0,+0.9,15,52,6,2,59,Matches
Francis Cann,gh GHA,FW,Vizela,24,1998,0.4,12,14,85.7,200,89,5,5,100.0,4,5,80.0,2,3,66.7,0,0.0,0.1,0.0,0,1,1,0,2,Matches
Reggie Cannon,us USA,DF,Boavista,24,1998,25.7,1030,1205,85.5,19459,6055,332,360,92.2,618,668,92.5,71,148,48.0,0,0.2,0.2,-0.2,3,29,3,1,30,Matches
Fábio Cardoso,pt POR,DF,Porto,28,1994,13.7,824,905,91.0,16494,5221,260,284,91.5,460,483,95.2,98,125,78.4,0,0.1,0.7,-0.1,2,41,4,0,36,Matches
Felippe Cardoso,br BRA,FW,Casa Pia,23,1998,5.6,73,98,74.5,1126,254,37,49,75.5,32,37,86.5,3,5,60.0,0,1.2,1.0,-1.2,8,6,1,0,11,Matches
Yago Cariello,br BRA,FW,Portimonense,23,1999,15.2,172,279,61.6,2123,299,112,156,71.8,40,70,57.1,5,10,50.0,1,1.1,0.6,-0.1,17,12,2,0,9,Matches
Carlinhos,br BRA,MF,Portimonense,28,1994,7.6,344,411,83.7,6230,2197,153,170,90.0,144,160,90.0,38,59,64.4,0,0.9,1.0,-0.9,10,50,7,0,58,Matches
João Carlos,br BRA,FW,Estoril,27,1995,7.9,87,148,58.8,1473,299,48,70,68.6,23,42,54.8,13,17,76.5,1,0.9,0.6,+0.1,5,12,2,1,13,Matches
Luíz Carlos,br BRA,MF,Paços,37,1985,12.6,453,540,83.9,8477,2013,179,206,86.9,202,237,85.2,62,76,81.6,1,0.5,0.7,+0.5,8,43,5,2,59,Matches
José Carlos Marafona,pt POR,GK,Paços,35,1987,15.8,313,474,66.0,10015,7774,50,50,100.0,122,124,98.4,141,298,47.3,0,0.0,0.0,0.0,1,9,1,0,0,Matches

Zé Carlos,pt POR,"MF,DF",Vitória,20,2001,9.5,323,443,72.9,5354,2157,151,183,82.5,134,179,74.9,25,48,52.1,2,0.5,0.7,+1.5,11,21,5,3,31,Matches
Zé Carlos,pt POR,DF,Gil Vicente FC,24,1998,4.4,229,287,79.8,3917,1319,109,123,88.6,97,113,85.8,19,35,54.3,1,1.4,0.9,-0.4,5,10,3,1,9,Matches
David Carmo,ao ANG,DF,Porto,23,1999,7.1,344,417,82.5,7427,2557,94,100,94.0,197,216,91.2,53,91,58.2,0,0.0,0.1,0.0,0,27,1,0,18,Matches
Marcelo Carné,br BRA,GK,Marítimo,32,1990,14.0,329,452,72.8,8502,6295,60,61,98.4,182,185,98.4,86,203,42.4,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Carraça,pt POR,DF,Gil Vicente FC,29,1993,20.6,1134,1455,77.9,19503,7888,589,644,91.5,399,490,81.4,120,256,46.9,2,2.6,2.6,-0.6,29,67,20,17,91,Matches
Anderson Carvalho,br BRA,MF,Santa Clara,32,1990,5.5,139,190,73.2,2756,878,57,65,87.7,60,74,81.1,20,38,52.6,0,0.1,0.3,-0.1,5,12,2,0,17,Matches
João Carvalho,pt POR,MF,Estoril,25,1997,25.6,845,1061,79.6,16731,5109,328,379,86.5,356,407,87.5,145,231,62.8,2,2.7,3.5,-0.7,29,100,19,1,127,Matches
Vitor Carvalho,br BRA,MF,Gil Vicente FC,25,1997,30.0,1539,1813,84.9,27333,6957,620,696,89.1,722,808,89.4,147,204,72.1,0,1.8,2.0,-1.8,22,141,15,1,192,Matches
Cassiano,br BRA,FW,Estoril,33,1989,10.0,66,120,55.0,853,124,48,70,68.6,13,30,43.3,2,5,40.0,0,0.2,0.5,-0.2,4,2,2,0,8,Matches
Moises Castillo,co COL,DF,Marítimo,21,2001,17.5,624,762,81.9,13544,4813,153,180,85.0,375,415,90.4,93,143,65.0,1,0.6,0.3,+0.4,4,37,2,0,39,Matches
André Castro,pt POR,MF,Braga,34,1988,6.9,355,415,85.5,6143,1444,162,176,92.0,152,172,88.4,29,41,70.7,1,0.1,0.3,+0.9,1,31,1,0,40,Matches
Geny Catamo,mz MOZ,"FW,MF",Marítimo,21,2001,3.8,98,134,73.1,1373,384,55,71,77.5,33,38,86.8,3,5,60.0,0,0.5,0.3,-0.5,10,15,3,2,20,Matches
César,br BRA,GK,Boavista,30,1992,5.0,88,125,70.4,2403,1632,17,17,100.0,41,41,100.0,30,66,45.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Kayky Chagas,br BRA,"MF,FW",Paços,19,2003,3.0,48,63,76.2,745,165,26,29,89.7,16,18,88.9,4,7,57.1,0,0.1,0.1,-0.1,3,4,1,0,6,Matches
Youssef Chermiti,pt POR,FW,Sporting CP,18,2004,9.4,95,139,68.3,1196,227,55,71,77.5,23,32,71.9,5,10,50.0,2,0.7,0.3,+1.3,5,7,1,0,9,Matches
Fábio China,pt POR,"DF,MF",Marítimo,30,1992,4.4,165,221,74.7,2847,1392,86,99,86.9,56,69,81.2,22,48,45.8,0,0.4,0.5,-0.4,5,17,6,3,21,Matches
Chiquinho,pt POR,MF,Benfica,27,1995,15.2,982,1126,87.2,17327,5619,450,477,94.3,387,422,91.7,111,168,66.1,0,2.1,2.3,-2.1,17,131,14,2,134,Matches
Clayton,br BRA,FW,Casa Pia,23,1999,13.2,163,222,73.4,2406,349,91,113,80.5,54,68,79.4,8,14,57.1,0,0.4,0.3,-0.4,9,16,3,0,18,Matches
Sebastián Coates,uy URU,DF,Sporting CP,31,1990,28.4,1886,2107,89.5,35856,13501,625,658,95.0,1097,1163,94.3,158,265,59.6,0,1.4,1.6,-1.4,8,134,8,0,106,Matches
Dylan Collard,mu MRI,DF,Marítimo,22,2000,0.0,2,3,66.7,51,37,0,0,,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Santiago Colombatto,ar ARG,MF,Famalicão,25,1997,29.0,1149,1388,82.8,21955,6910,440,476,92.4,539,608,88.7,151,256,59.0,6,5.4,4.4,+0.6,63,88,14,2,115,Matches
Fábio Conceição,pt POR,"DF,MF",Rio Ave,21,2001,22.0,604,763,79.2,9323,2937,349,402,86.8,208,250,83.2,34,67,50.7,3,2.2,2.3,+0.8,21,38,23,7,55,Matches
Rodrigo Conceição,pt POR,DF,Porto,22,2000,6.1,278,350,79.4,4301,1170,164,181,90.6,88,116,75.9,21,36,58.3,0,1.5,1.1,-1.5,9,9,14,10,15,Matches
Sérgio Conceição,pt POR,"DF,FW",Portimonense,25,1996,1.3,59,85,69.4,909,321,33,39,84.6,22,28,78.6,2,9,22.2,0,0.0,0.0,0.0,0,2,0,0,6,Matches
Félix Correia,pt POR,FW,Marítimo,21,2001,8.4,206,262,78.6,3916,1014,95,110,86.4,71,88,80.7,31,43,72.1,3,2.0,1.3,+1.0,23,30,14,0,45,Matches

João Pedro Araújo Correia,cv CPV,"DF,FW",Chaves,25,1996,19.9,659,895,73.6,12737,4356,259,296,87.5,300,384,78.1,92,168,54.8,2,2.3,2.7,-0.3,23,39,29,21,61,Matches
Antonio Cortés,es ESP,FW,Vitória,22,2000,0.6,12,17,70.6,164,58,6,10,60.0,5,5,100.0,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,2,Matches
Bruno Xavier Almeida Costa,pt POR,MF,Porto,25,1997,2.9,116,153,75.8,2043,812,60,63,95.2,40,56,71.4,15,25,60.0,1,1.3,1.4,-0.3,8,15,4,1,15,Matches
Diogo Costa,pt POR,GK,Porto,22,1999,33.0,1008,1274,79.1,28135,19303,143,144,99.3,535,543,98.5,330,583,56.6,0,0.2,0.2,-0.2,2,26,0,0,2,Matches
Edgar Costa,pt POR,"FW,MF",Marítimo,35,1987,5.3,156,277,56.3,2963,1234,60,84,71.4,60,87,69.0,28,85,32.9,1,1.6,0.8,-0.6,10,25,4,1,32,Matches
Gonçalo Costa,pt POR,"DF,FW",Portimonense,22,2000,2.6,75,116,64.7,1188,556,39,47,83.0,26,41,63.4,7,15,46.7,0,0.4,0.2,-0.4,5,9,3,3,12,Matches
Matheus Costa,br BRA,DF,Marítimo,27,1995,12.0,448,539,83.1,8963,3243,138,155,89.0,255,274,93.1,49,93,52.7,0,0.1,0.1,-0.1,4,24,0,0,23,Matches
Murilo Costa,br BRA,FW,Gil Vicente FC,27,1994,24.2,639,872,73.3,10011,2695,351,400,87.8,205,274,74.8,59,127,46.5,1,3.9,3.9,-2.9,42,43,33,11,82,Matches
Rui Costa,pt POR,MF,Santa Clara,26,1996,0.5,4,12,33.3,43,1,2,4,50.0,1,4,25.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Tomás Costa Silva,pt POR,DF,Vizela,22,1999,13.1,424,615,68.9,6761,3025,240,274,87.6,140,209,67.0,34,92,37.0,2,1.5,1.2,+0.5,17,38,23,8,52,Matches
