Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Bozhidar Chorbadzhiyski,bg BUL,DF,Stal Mielec,25,1995,22,13,"1,228",13.6,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
Michał Chrapek,pl POL,MF,Piast Gliwice,29,1992,31,31,"2,626",29.2,4,2,6,4,0,0,5,0,0.14,0.07,0.21,0.14,0.21,Matches
Adam Chrzanowski,pl POL,DF,Wisła Płock,22,1999,9,8,681,7.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mateusz Cichocki,pl POL,DF,Radomiak Radom,29,1992,33,33,"2,970",33.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Radosław Cielemęcki,pl POL,MF,Wisła Płock,18,2003,17,8,663,7.4,1,0,1,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches
Bartłomiej Ciepiela,pl POL,MF,Legia Warsaw,20,2001,7,1,171,1.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Adrian Cierpka,pl POL,MF,Górnik Łęczna,26,1995,3,1,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Christian Clemens,de GER,"MF,FW",Lechia Gdańsk,29,1991,12,5,438,4.9,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches
Joseph Colley,se SWE,DF,Wisła Kraków,22,1999,11,11,990,11.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Conrado,it ITA,"DF,MF",Lechia Gdańsk,24,1997,33,24,"2,066",23.0,1,3,4,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,Matches
Milan Corryn,be BEL,"MF,FW",Warta Poznań,22,1999,21,14,"1,019",11.3,2,1,3,2,0,0,0,0,0.18,0.09,0.26,0.18,0.26,Matches

Jordan Courtney-Perkins,au AUS,DF,RKS Raków,18,2002,2,1,92,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jordan Courtney-Perkins,au AUS,DF,Warta Poznań,18,2002,5,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Patryk Czarnowski,pl POL,FW,Bruk-Bet Termalica Nieciecza,23,1998,6,1,124,1.4,1,0,1,1,0,0,0,0,0.73,0.00,0.73,0.73,0.73,Matches
Patryk Czerech,pl POL,DF,Jagiellonia,20,2001,2,2,176,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Alan Czerwiński,pl POL,DF,Lech Poznań,28,1993,11,6,472,5.2,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches
Jakub Czerwiński,pl POL,DF,Piast Gliwice,29,1991,27,27,"2,430",27.0,3,1,4,3,0,0,3,0,0.11,0.04,0.15,0.11,0.15,Matches
Szymon Czyż,pl POL,MF,RKS Raków,20,2001,8,1,161,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Szymon Czyż,pl POL,MF,Warta Poznań,20,2001,15,13,997,11.1,0,2,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
Mateusz Czyżycki,pl POL,"MF,FW",Warta Poznań,23,1998,17,5,586,6.5,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches
Damian Dąbrowski,pl POL,MF,Pogoń Szczecin,28,1992,29,28,"2,530",28.1,1,4,5,0,1,1,7,0,0.04,0.14,0.18,0.00,0.14,Matches
Robert Dadok,pl POL,MF,Górnik Zabrze,24,1996,32,28,"2,344",26.0,3,4,7,3,0,0,5,0,0.12,0.15,0.27,0.12,0.27,Matches
Erik Daniel,cz CZE,"MF,FW",Zagłębie Lubin,29,1992,31,26,"2,163",24.0,3,3,6,3,0,0,3,0,0.12,0.12,0.25,0.12,0.25,Matches
Mickey van der Hart,nl NED,GK,Lech Poznań,27,1994,16,16,"1,338",14.9,0,1,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matches
Bassekou Diabaté,ml MLI,"FW,MF",Lechia Gdańsk,21,2000,18,3,496,5.5,0,1,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches
Cheikhou Dieng,sn SEN,"MF,FW",Zagłębie Lubin,27,1993,11,5,473,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Martin Doležal,cz CZE,FW,Zagłębie Lubin,31,1990,15,8,866,9.6,4,1,5,4,0,0,1,0,0.42,0.10,0.52,0.42,0.52,Matches
Maciej Domański,pl POL,MF,Stal Mielec,30,1990,15,11,"1,013",11.3,1,4,5,0,1,1,3,0,0.09,0.36,0.44,0.00,0.36,Matches
Andrii Dombrovskyi,ua UKR,MF,Bruk-Bet Termalica Nieciecza,25,1995,8,8,713,7.9,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
David Domgjoni,xk KVX,DF,Bruk-Bet Termalica Nieciecza,24,1997,8,6,523,5.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Barry Douglas,sct SCO,DF,Lech Poznań,31,1989,15,13,"1,194",13.3,1,2,3,1,0,0,5,0,0.08,0.15,0.23,0.08,0.23,Matches
Igor Drapinski,pl POL,DF,Wisła Płock,17,2004,2,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Szymon Drewniak,pl POL,MF,Górnik Łęczna,28,1993,26,14,"1,482",16.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Kamil Drygas,pl POL,MF,Pogoń Szczecin,29,1991,24,13,"1,118",12.4,7,0,7,3,4,4,7,0,0.56,0.00,0.56,0.24,0.24,Matches
Daniel Dudziński,pl POL,FW,Zagłębie Lubin,19,2002,8,0,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
İlkay Durmuş,tr TUR,"MF,FW",Lechia Gdańsk,27,1994,33,32,"2,760",30.7,6,3,9,6,0,0,2,0,0.20,0.10,0.29,0.20,0.29,Matches
