Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Manuel Ugarte Ribeiro,uy URU,MF,Sporting CP,20,2001,25,10,"1,107",12.3,0,1,1,0,0,0,4,0,0.3,0.3,0.8,1.1,17,55,5,0.00,0.08,0.08,0.00,0.08,0.02,0.06,0.09,0.02,0.09,Matches
Zé Uilton,br BRA,"FW,DF",Paços,29,1992,33,20,"1,889",21.0,1,2,3,1,0,0,5,0,2.4,2.4,1.3,3.6,55,32,93,0.05,0.10,0.14,0.05,0.14,0.11,0.06,0.17,0.11,0.17,Matches
Iker Undabarrena,es ESP,MF,Tondela,26,1995,28,24,"2,006",22.3,2,1,3,2,0,0,6,1,0.4,0.4,0.7,1.0,11,127,13,0.09,0.04,0.13,0.09,0.13,0.02,0.03,0.05,0.02,0.05,Matches
Mateus Uribe,co COL,MF,Porto,30,1991,25,23,"1,990",22.1,1,2,3,1,0,0,6,1,1.8,1.8,2.1,3.9,9,141,23,0.05,0.09,0.14,0.05,0.14,0.08,0.09,0.18,0.08,0.18,Matches
Eugeni Valderrama,es ESP,MF,Arouca,27,1994,11,7,528,5.9,0,0,0,0,0,0,2,0,0.6,0.6,0.5,1.1,2,22,11,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,Matches
Rodrigo Valente,pt POR,"MF,FW",Estoril,20,2001,4,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Bruno Varela,cv CPV,GK,Vitória,26,1994,25,25,"2,250",25.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nilton Varela,pt POR,"DF,MF",B-SAD,20,2001,17,10,781,8.7,1,1,2,1,0,0,4,0,0.4,0.4,0.6,1.0,10,13,26,0.12,0.12,0.23,0.12,0.23,0.04,0.07,0.11,0.04,0.11,Matches
Luciano Vega,ar ARG,MF,Estoril,22,1999,5,1,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches

Igor Vekič,si SVN,GK,Paços,23,1998,1,1,4,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Calvin Verdonk,id IDN,FW,Famalicão,24,1997,1,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.73,0.00,0.73,Matches
Lucas Veríssimo,br BRA,DF,Benfica,26,1995,10,10,837,9.3,3,1,4,3,0,0,3,0,1.5,1.5,0.2,1.7,9,36,1,0.32,0.11,0.43,0.32,0.43,0.16,0.02,0.19,0.16,0.19,Matches
Jan Vertonghen,be BEL,DF,Benfica,34,1987,28,28,"2,480",27.6,0,2,2,0,0,0,6,0,1.5,1.5,0.7,2.2,24,155,3,0.00,0.07,0.07,0.00,0.07,0.06,0.03,0.08,0.06,0.08,Matches
Paulo Victor Vidotti,br BRA,GK,Marítimo,34,1987,30,30,"2,699",30.0,0,1,1,0,0,0,2,1,0.0,0.0,0.1,0.1,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
André Vidigal,pt POR,"FW,MF",Marítimo,22,1998,33,25,"2,150",23.9,1,3,4,1,0,0,6,1,3.0,3.0,1.9,4.9,59,38,150,0.04,0.13,0.17,0.04,0.17,0.13,0.08,0.21,0.12,0.20,Matches
