Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Simon Olsson,se SWE,"MF,FW",Heerenveen,24,1997,33,27,"2,161",24.0,0,2,2,0,0,0,2,0,1.8,1.8,2.1,3.9,31,84,76,0.00,0.08,0.08,0.00,0.08,0.07,0.09,0.16,0.07,0.16,Matches
Fredrik Oppegard,no NOR,DF,PSV Eindhoven,19,2002,3,1,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,9,3,17,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
Fredrik Oppegard,no NOR,DF,Go Ahead Eag,19,2002,8,4,397,4.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,11,12,14,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
Ragnar Oratmangoen,id IDN,"MF,FW",Groningen,24,1998,19,13,"1,106",12.3,0,1,1,0,0,0,1,0,0.8,0.8,0.7,1.6,23,51,43,0.00,0.08,0.08,0.00,0.08,0.07,0.06,0.13,0.07,0.13,Matches
Gaetano Oristanio,it ITA,"MF,FW",Volendam,19,2002,27,24,"1,947",21.6,1,3,4,1,0,0,4,1,4.8,4.8,2.7,7.5,72,54,132,0.05,0.14,0.18,0.05,0.18,0.22,0.13,0.35,0.22,0.35,Matches
Alois Oroz,hr CRO,DF,Vitesse,21,2000,16,11,"1,018",11.3,1,0,1,1,0,0,3,0,1.0,1.0,0.0,1.0,2,19,1,0.09,0.00,0.09,0.09,0.09,0.09,0.00,0.09,0.09,0.09,Matches
Yanick van Osch,nl NED,GK,Fortuna Sittard,25,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Yassin Oukili,nl NED,MF,RKC Waalwijk,21,2001,31,20,"1,847",20.5,3,2,5,3,0,0,9,0,2.2,2.2,0.8,3.0,24,61,65,0.15,0.10,0.24,0.15,0.24,0.11,0.04,0.14,0.11,0.14,Matches
Bilal Ould-Chikh,ma MAR,"FW,MF",Volendam,25,1997,17,10,943,10.5,2,0,2,2,0,0,2,1,1.2,1.2,1.2,2.4,48,17,74,0.19,0.00,0.19,0.19,0.19,0.12,0.11,0.23,0.12,0.23,Matches
Walid Ould-Chikh,ma MAR,"MF,FW",Volendam,22,1999,27,4,696,7.7,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,23,31,31,0.13,0.13,0.26,0.13,0.26,0.15,0.08,0.23,0.15,0.23,Matches
Sékou Oumar Sylla,gn GUI,DF,Cambuur,23,1999,5,2,224,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.5,8,11,8,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.18,0.01,0.18,Matches

Oğuzhan Özyakup,tr TUR,MF,Fortuna Sittard,29,1992,22,18,"1,572",17.5,3,0,3,3,0,0,3,0,0.7,0.7,2.1,2.8,16,89,55,0.17,0.00,0.17,0.17,0.17,0.04,0.12,0.16,0.04,0.16,Matches
Fernando Pacheco Rivas,pe PER,"FW,MF",Emmen,23,1999,9,0,84,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,3,3,5,0.00,0.00,0.00,0.00,0.00,0.26,0.29,0.55,0.26,0.55,Matches
Igor Paixão,br BRA,FW,Feyenoord,22,2000,28,15,"1,261",14.0,7,5,12,7,0,0,2,0,4.0,4.0,4.2,8.2,64,36,174,0.50,0.36,0.86,0.50,0.86,0.29,0.30,0.58,0.29,0.58,Matches
Ivor Pandur,hr CRO,GK,Fortuna Sittard,22,2000,31,31,"2,790",31.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Remko Pasveer,nl NED,GK,Ajax,38,1983,15,15,"1,350",15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mitchell Paulissen,nl NED,MF,Cambuur,29,1993,29,23,"1,953",21.7,2,1,3,2,0,0,5,0,2.1,2.1,2.6,4.7,45,94,63,0.09,0.05,0.14,0.09,0.14,0.10,0.12,0.22,0.10,0.22,Matches
Vangelis Pavlidis,gr GRE,FW,AZ Alkmaar,23,1998,25,22,"1,869",20.8,12,8,20,11,1,1,2,0,10.9,10.1,5.3,15.5,40,56,169,0.58,0.39,0.96,0.53,0.91,0.53,0.26,0.78,0.49,0.74,Matches
Deron Payne,nl NED,DF,Volendam,19,2002,3,1,111,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marcus Pedersen,no NOR,DF,Feyenoord,22,2000,29,25,"2,117",23.5,1,2,3,1,0,0,3,0,1.5,1.5,2.3,3.9,114,54,141,0.04,0.09,0.13,0.04,0.13,0.07,0.10,0.16,0.07,0.16,Matches
Joey Pelupessy,nl NED,MF,Groningen,29,1993,19,14,"1,329",14.8,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,4,33,8,0.07,0.00,0.07,0.07,0.07,0.05,0.01,0.05,0.05,0.05,Matches
Ricardo Pepi,us USA,FW,Groningen,19,2003,29,28,"2,453",27.3,12,3,15,11,1,1,2,0,7.2,6.4,2.8,9.3,26,30,128,0.44,0.11,0.55,0.40,0.51,0.27,0.10,0.37,0.24,0.34,Matches
Vincent Pichel,nl NED,"MF,FW",Cambuur,20,2001,4,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,2,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
Kik Pierie,nl NED,DF,Excelsior,22,2000,7,7,583,6.5,1,1,2,1,0,0,0,0,1.0,1.0,1.1,2.1,3,13,1,0.15,0.15,0.31,0.15,0.31,0.16,0.17,0.33,0.16,0.33,Matches
Ivo Pinto,pt POR,DF,Fortuna Sittard,32,1990,29,26,"2,309",25.7,0,4,4,0,0,0,1,0,0.4,0.4,1.5,1.9,70,106,69,0.00,0.16,0.16,0.00,0.16,0.02,0.06,0.07,0.02,0.07,Matches
Michael Pinto,lu LUX,DF,Sparta R'dam,29,1993,33,33,"2,766",30.7,3,4,7,3,0,0,2,0,0.5,0.5,2.7,3.2,95,129,99,0.10,0.13,0.23,0.10,0.23,0.02,0.09,0.10,0.02,0.10,Matches
Brian Plat,nl NED,DF,Volendam,22,2000,29,26,"2,193",24.4,0,0,0,0,0,0,6,0,0.7,0.7,0.4,1.1,27,60,42,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Julio Pleguezuelo,es ESP,DF,Twente,25,1997,23,11,"1,199",13.3,2,0,2,2,0,0,1,0,1.2,1.2,0.1,1.3,9,46,0,0.15,0.00,0.15,0.15,0.15,0.09,0.01,0.10,0.09,0.10,Matches
Romano Postema,nl NED,"MF,FW",Groningen,20,2002,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,2,4,0.00,0.00,0.00,0.00,0.00,0.26,0.14,0.40,0.26,0.40,Matches
Dirk Proper,nl NED,MF,NEC Nijmegen,20,2002,32,32,"2,755",30.6,1,1,2,1,0,0,3,1,2.2,2.2,1.4,3.5,20,133,27,0.03,0.03,0.07,0.03,0.07,0.07,0.04,0.12,0.07,0.12,Matches
Davy Pröpper,nl NED,MF,Vitesse,30,1991,2,1,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.39,0.00,0.39,Matches
Robin Pröpper,nl NED,DF,Twente,28,1993,29,29,"2,476",27.5,1,2,3,1,0,0,10,0,2.5,2.5,1.0,3.5,18,131,6,0.04,0.07,0.11,0.04,0.11,0.09,0.03,0.13,0.09,0.13,Matches
Stipe Radić,hr CRO,DF,Fortuna Sittard,22,2000,7,3,280,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
