Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Husein Balic,at AUT,FW,LASK,25,1996,14.7,1,0,0,11,21,12,16,4,4,,,0,Matches

Thierno Ballo,at AUT,MF,Rapid Wien,19,2002,4.5,1,0,0,5,6,0,10,4,10,,,0,Matches
Tai Baribo,il ISR,FW,Wolfsberger AC,23,1998,21.7,4,0,0,39,17,11,7,9,7,,,0,Matches
Sebastian Bauer,at AUT,"DF,MF",Admira,28,1992,22.1,7,1,1,38,26,0,0,61,27,,,0,Matches
Dominik Baumgartner,at AUT,DF,Wolfsberger AC,25,1996,26.1,7,0,0,29,21,0,1,49,40,,,0,Matches
Raffael Behounek,at AUT,DF,WSG Tirol,24,1997,28.8,4,1,0,12,23,0,5,41,37,,,1,Matches
Esad Bejic,at AUT,DF,Austria Wien,20,2001,0.5,0,0,0,0,1,0,0,0,1,,,0,Matches
Nemanja Belaković,rs SRB,"MF,FW",Hartberg,24,1997,3.8,1,0,0,6,5,1,8,2,7,,,0,Matches
Mergim Berisha,de GER,FW,RB Salzburg,23,1998,0.5,0,0,0,1,1,1,0,0,0,,,0,Matches
Bernardo,br BRA,DF,RB Salzburg,26,1995,11.6,3,0,0,22,8,0,15,16,16,,,0,Matches
Antoine Bernede,fr FRA,"MF,FW",RB Salzburg,22,1999,8.4,3,0,0,26,9,2,10,5,12,,,0,Matches
Nicolas Binder,at AUT,FW,Rapid Wien,19,2002,0.7,0,0,0,0,1,0,1,0,0,,,0,Matches
Noah Bischof,at AUT,"FW,MF",SCR Altach,18,2002,13.2,3,1,0,20,20,5,15,2,8,,,0,Matches
Noah Bitsche,at AUT,MF,SCR Altach,18,2003,0.2,0,0,0,1,0,0,0,1,0,,,0,Matches
Michael Blauensteiner,at AUT,DF,SK Austria Klagenfurt,26,1995,14.3,0,0,0,5,4,0,26,42,16,,,0,Matches
Bror Blume,dk DEN,"MF,FW",WSG Tirol,29,1992,24.7,1,0,0,15,15,2,92,38,17,,,0,Matches
Augustine Boakye,gh GHA,FW,Wolfsberger AC,20,2000,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Jan Boller,de GER,DF,LASK,21,2000,20.8,3,0,0,28,15,0,4,76,36,,,0,Matches
Aleksandar Borković,at AUT,DF,Sturm Graz,22,1999,2.8,0,0,0,1,2,1,1,7,6,,,0,Matches
Matthias Braunöder,at AUT,MF,Austria Wien,19,2002,21.6,7,0,0,55,50,0,77,38,32,,,0,Matches
