Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Lucas Chávez,ar ARG,GK,Panetolikos,27,1995,10.2,0,0,0,,,,,,,,,0,Matches
Chiquinho,pt POR,MF,Olympiacos,28,1995,11.5,4,0,0,,,,,,,,,0,Matches
Diamantis Chouchoumis,gr GRE,DF,Asteras Tripoli,29,1994,15.8,3,0,0,,,,,,,,,0,Matches
Lefteris Choutesiotis,gr GRE,GK,Aris,29,1994,7.0,2,0,0,,,,,,,,,0,Matches
Adrián Chovan,sk SVK,GK,Panserraikos,27,1995,28.0,3,0,0,,,,,,,,,0,Matches
Konstantinos Chrisopoulos,gr GRE,DF,AEK Athens,20,2003,0.5,0,0,0,,,,,,,,,0,Matches
Lazaros Christodoulopoulos,gr GRE,"FW,MF",Aris,36,1986,0.8,0,0,0,,,,,,,,,0,Matches
Nikolaos Christogeorgos,gr GRE,GK,OFI Crete,23,2000,7.0,0,0,0,,,,,,,,,0,Matches
Giannis Christopoulos,gr GRE,DF,Asteras Tripoli,23,2000,6.2,2,0,0,,,,,,,,,0,Matches
Enis Çokaj,al ALB,MF,Panathinaikos,24,1999,0.4,0,0,0,,,,,,,,,0,Matches
Adrián Colombino,uy URU,MF,Panserraikos,29,1993,0.1,0,0,0,,,,,,,,,0,Matches
Maximiliano Comba,ar ARG,"MF,FW",Volos NFC,29,1994,25.2,9,0,0,,,,,,,,,0,Matches
Quentin Cornette,fr FRA,MF,Volos NFC,29,1994,6.0,2,0,0,,,,,,,,,0,Matches
Mateus Criciúma,br BRA,MF,AO Kifisia,24,1999,24.4,8,2,2,,,,,,,,,0,Matches
Julián Cuesta,es ESP,GK,Aris,32,1991,29.0,3,0,0,,,,,,,,,0,Matches
Damil Dankerlui,sr SUR,"DF,MF",Panserraikos,26,1996,14.5,6,0,0,,,,,,,,,0,Matches
Vladimír Darida,cz CZE,MF,Aris,32,1990,29.5,6,0,0,,,,,,,,,0,Matches
Laurens De Bock,be BEL,DF,Atromitos,30,1992,24.9,7,1,0,,,,,,,,,0,Matches
Miloš Deletić,rs SRB,"MF,FW",Volos NFC,29,1993,14.9,5,0,0,,,,,,,,,0,Matches
Panagiotis Deligiannidis,gr GRE,DF,Panserraikos,26,1996,23.6,5,1,0,,,,,,,,,1,Matches
Georgios Delizisis,gr GRE,DF,Aris,35,1987,0.0,0,0,0,,,,,,,,,0,Matches

Mete-Kaan Demir,tr TUR,MF,PAS Giannina,25,1998,2.7,1,0,0,,,,,,,,,0,Matches
Kiril Despodov,bg BUL,MF,PAOK,26,1996,19.6,3,0,0,,,,,,,,,0,Matches
Apostolos Diamantis,gr GRE,DF,Panserraikos,23,2000,7.0,3,0,0,,,,,,,,,0,Matches
Youba Diarra,ml MLI,MF,Asteras Tripoli,25,1998,1.2,1,0,0,,,,,,,,,0,Matches
Sergio Díaz,py PAR,FW,Panetolikos,25,1998,13.6,3,0,0,,,,,,,,,0,Matches
Nouha Dicko,ml MLI,FW,OFI Crete,31,1992,9.4,4,0,0,,,,,,,,,0,Matches
Tuur Dierckx,be BEL,"MF,FW",Atromitos,28,1995,4.8,0,0,0,,,,,,,,,0,Matches
Cheick Doukouré,ci CIV,MF,Aris,30,1992,4.6,3,0,0,,,,,,,,,0,Matches
Bartłomiej Drągowski,pl POL,GK,Panathinaikos,25,1997,11.1,0,0,0,,,,,,,,,0,Matches
Bruno Duarte,ar ARG,DF,Panetolikos,29,1994,20.6,8,0,0,,,,,,,,,0,Matches
Alan Dzagoev,ru RUS,MF,PAS Lamia,33,1990,0.2,0,0,0,,,,,,,,,0,Matches
Joe Efford,us USA,FW,PAS Giannina,26,1996,0.8,0,0,0,,,,,,,,,0,Matches
Niclas Eliasson,se SWE,MF,AEK Athens,27,1995,26.9,2,0,0,,,,,,,,,0,Matches
Ahmet Engin,de GER,MF,Volos NFC,26,1996,2.1,0,0,0,,,,,,,,,0,Matches
Luis Enrique Palma,hn HON,MF,Aris,23,2000,1.0,0,0,0,,,,,,,,,0,Matches
August Erlingmark,se SWE,"MF,DF",Atromitos,25,1998,11.4,2,0,0,,,,,,,,,0,Matches
Rodrigo Erramuspe,ar ARG,DF,PAS Giannina,33,1990,24.8,12,1,0,,,,,,,,,0,Matches
Paolo Fernandes,es ESP,MF,AEK Athens,24,1998,1.0,0,0,0,,,,,,,,,0,Matches
Juan Fernando Garro,ar ARG,MF,PAS Giannina,30,1992,4.2,2,1,1,,,,,,,,,0,Matches
Franco Ferrari,ar ARG,DF,Aris,31,1992,16.0,5,0,0,,,,,,,,,0,Matches
André Ferreira Teixeira,pt POR,DF,AO Kifisia,29,1993,9.3,2,0,0,,,,,,,,,0,Matches
Giannis Fetfatzidis,gr GRE,"MF,FW",Aris,32,1990,5.6,0,0,0,,,,,,,,,0,Matches
Elton Fikaj,al ALB,DF,Panathinaikos,17,2005,0.0,0,0,0,,,,,,,,,0,Matches
Kostas Fortounis,gr GRE,"MF,FW",Olympiacos,30,1992,21.5,7,0,0,,,,,,,,,0,Matches
Nicolás Freire,ar ARG,DF,Olympiacos,29,1994,2.9,0,0,0,,,,,,,,,0,Matches

Samúel Friðjónsson,is ISL,MF,Atromitos,27,1996,9.6,4,0,0,,,,,,,,,0,Matches
Mijat Gaćinović,rs SRB,"MF,FW",AEK Athens,28,1995,16.8,9,0,0,,,,,,,,,0,Matches
Konstantinos Galanopoulos,gr GRE,MF,AEK Athens,25,1997,6.1,4,0,0,,,,,,,,,0,Matches
Felipe Gallegos,cl CHI,MF,OFI Crete,31,1991,23.2,7,0,0,,,,,,,,,0,Matches
Levi Garcia,tt TRI,FW,AEK Athens,25,1997,12.9,0,0,0,,,,,,,,,0,Matches
Manu García,es ESP,MF,Aris,25,1998,8.0,3,0,0,,,,,,,,,0,Matches
Rubén García,es ESP,DF,Asteras Tripoli,24,1998,9.8,3,1,1,,,,,,,,,0,Matches
Kostas Giannoulis,gr GRE,DF,OFI Crete,35,1987,1.1,0,0,0,,,,,,,,,0,Matches
Giorgos Giannoutsos,gr GRE,DF,PAS Lamia,25,1998,4.0,1,0,0,,,,,,,,,0,Matches
Kyriakos Giaxis,gr GRE,MF,PAOK,22,2001,0.1,0,0,0,,,,,,,,,0,Matches
Federico Gino,uy URU,MF,PAS Giannina,30,1993,24.4,10,1,1,,,,,,,,,0,Matches
Nikolaos Gkotzamanidis,gr GRE,DF,Panserraikos,22,2001,7.3,2,0,0,,,,,,,,,0,Matches
Nemanja Glavčić,rs SRB,MF,Volos NFC,26,1997,23.0,7,0,0,,,,,,,,,0,Matches
Dan Glazer,il ISR,MF,OFI Crete,26,1996,12.9,4,0,0,,,,,,,,,0,Matches
Adam Gnezda Čerin,si SVN,MF,Panathinaikos,24,1999,22.8,1,0,0,,,,,,,,,0,Matches
Marko Gobeljić,rs SRB,DF,AO Kifisia,30,1992,17.7,4,0,0,,,,,,,,,0,Matches
Eder González,es ESP,MF,Atromitos,26,1997,26.9,6,0,0,,,,,,,,,0,Matches
Sean Goss,nir NIR,MF,Asteras Tripoli,27,1995,9.7,4,0,0,,,,,,,,,0,Matches
Nikolaos Grammatikakis,gr GRE,GK,Asteras Tripoli,20,2003,7.9,0,0,0,,,,,,,,,0,Matches
Dino Grozdanic,hr CRO,"MF,DF",Asteras Tripoli,20,2002,6.3,2,0,0,,,,,,,,,1,Matches
Tomáš Hájek,,DF,Panserraikos,31,1991,1.5,1,2,0,,,,,,,,,0,Matches
Ehsan Hajsafi,ir IRN,DF,AEK Athens,33,1990,17.6,2,0,0,,,,,,,,,0,Matches
Santiago Hezze,ar ARG,MF,Olympiacos,21,2001,26.9,6,0,0,,,,,,,,,0,Matches
André Horta,pt POR,MF,Olympiacos,26,1996,9.7,0,0,0,,,,,,,,,0,Matches
Juan Manuel Munafo Horta,ar ARG,MF,Asteras Tripoli,35,1988,17.7,4,0,0,,,,,,,,,0,Matches

Vitor Hugo,br BRA,DF,Panathinaikos,32,1991,5.8,0,0,0,,,,,,,,,0,Matches
Vicente Iborra,es ESP,MF,Olympiacos,35,1988,6.6,0,0,0,,,,,,,,,0,Matches
Ilian Iliev,bg BUL,MF,AO Kifisia,23,1999,9.4,1,0,0,,,,,,,,,0,Matches
Maksym Imerekov,ua UKR,DF,Atromitos,32,1991,5.0,1,0,0,,,,,,,,,0,Matches
Fotis Ioannidis,gr GRE,FW,Panathinaikos,23,2000,23.8,3,0,0,,,,,,,,,0,Matches
Jack Ipalibo,ng NGA,MF,AO Kifisia,25,1998,10.3,4,2,1,,,,,,,,,0,Matches
Tin Jedvaj,hr CRO,DF,Panathinaikos,27,1995,21.6,6,0,0,,,,,,,,,0,Matches
Alexander Jeremejeff,se SWE,FW,Panathinaikos,29,1993,4.4,1,0,0,,,,,,,,,0,Matches
Jesús Jiménez,es ESP,MF,OFI Crete,29,1993,2.2,0,0,0,,,,,,,,,0,Matches
Jony,ar ARG,MF,AO Kifisia,29,1994,7.3,1,0,0,,,,,,,,,0,Matches
Jony,ar ARG,"MF,FW",Aris,29,1994,10.4,1,0,0,,,,,,,,,0,Matches
Dušan Jovančić,rs SRB,MF,AO Kifisia,32,1990,1.8,2,0,0,,,,,,,,,0,Matches
Stevan Jovetić,me MNE,"FW,MF",Olympiacos,33,1989,8.4,1,0,0,,,,,,,,,0,Matches
Juankar,es ESP,DF,Panathinaikos,33,1990,13.7,2,0,0,,,,,,,,,0,Matches
Juanpi,ve VEN,MF,Panetolikos,29,1994,20.7,8,0,0,,,,,,,,,0,Matches
Denzhel Jubitana,sr SUR,"FW,MF",Atromitos,24,1999,11.6,6,1,1,,,,,,,,,0,Matches
Jens Jønsson,dk DEN,MF,AEK Athens,30,1993,22.7,4,0,0,,,,,,,,,0,Matches
Ayoub El Kaabi,ma MAR,FW,Olympiacos,30,1993,21.8,1,0,0,,,,,,,,,0,Matches
Theofilos Kakadiaris,gr GRE,GK,Asteras Tripoli,16,2007,0.0,0,0,0,,,,,,,,,0,Matches
Alexios Kalogeropoulos,gr GRE,DF,Volos NFC,19,2004,23.4,7,0,0,,,,,,,,,1,Matches
Nikos Kaltsas,gr GRE,MF,Asteras Tripoli,33,1990,22.3,9,1,1,,,,,,,,,0,Matches
Joeri de Kamps,nl NED,MF,Volos NFC,31,1992,7.9,6,1,1,,,,,,,,,0,Matches
Stefanos Kapino,gr GRE,GK,Panetolikos,29,1994,20.0,0,0,0,,,,,,,,,0,Matches
Zisis Karahalios,gr GRE,MF,PAS Giannina,27,1996,23.9,6,2,1,,,,,,,,,0,Matches
Athanasios Karamanis,gr GRE,MF,Atromitos,19,2003,0.8,0,0,0,,,,,,,,,0,Matches

Constantinos Karayiannis,cy CYP,DF,Volos NFC,23,2000,0.1,0,0,0,,,,,,,,,0,Matches
Nikos Karelis,gr GRE,FW,Panetolikos,31,1992,15.8,3,0,0,,,,,,,,,0,Matches
Antreas Karo,cy CYP,DF,OFI Crete,26,1996,11.5,4,0,0,,,,,,,,,1,Matches
Panagiotis Katsikas,gr GRE,GK,Panserraikos,24,1999,3.0,0,0,0,,,,,,,,,0,Matches
Wajdi Kechrida,tn TUN,"DF,MF",Atromitos,27,1995,18.3,7,0,0,,,,,,,,,0,Matches
Tomasz Kędziora,pl POL,DF,PAOK,29,1994,27.2,6,0,0,,,,,,,,,0,Matches
Giannis Kiakos,gr GRE,DF,PAS Giannina,25,1998,14.7,3,0,0,,,,,,,,,0,Matches
Fotios Kitsos,gr GRE,"DF,MF",Volos NFC,20,2003,8.9,1,0,0,,,,,,,,,0,Matches
Kyriakos Kivrakidis,gr GRE,"DF,MF",Atromitos,31,1992,9.3,0,1,0,,,,,,,,,0,Matches
Boris Klaiman,il ISR,GK,PAS Giannina,32,1990,19.0,1,0,0,,,,,,,,,0,Matches
László Kleinheisler,hu HUN,MF,Panathinaikos,29,1994,0.2,1,0,0,,,,,,,,,0,Matches
Viktor Klonaridis,be BEL,"MF,DF",AO Kifisia,31,1992,5.1,1,0,0,,,,,,,,,0,Matches
