Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
José Carlos Lazo,es ESP,"MF,FW",Almería,26,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
José Carlos Lazo,es ESP,"MF,FW",Espanyol,26,1996,1.8,5,3,2,2,1,3,3,100.0,0,2,0,2,3,8,5,0,Matches
Carmona,es ESP,"MF,DF",Elche,20,2002,6.5,16,9,7,6,3,6,16,37.5,10,14,2,12,8,24,9,0,Matches
Carmona,es ESP,DF,Sevilla,20,2002,5.9,13,11,5,3,5,9,16,56.3,7,10,6,4,7,20,17,1,Matches
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,28,1993,25.7,35,14,21,10,4,23,54,42.6,31,23,1,22,12,47,19,0,Matches
Dani Carvajal,es ESP,DF,Real Madrid,30,1992,19.8,32,18,15,12,5,18,35,51.4,17,24,6,18,15,47,49,0,Matches
William Carvalho,pt POR,MF,Betis,30,1992,27.1,43,27,18,23,2,17,44,38.6,27,27,6,21,16,59,22,0,Matches

Casemiro,br BRA,MF,Real Madrid,30,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Valentín Castellanos,ar ARG,FW,Girona,23,1998,28.9,12,5,2,7,3,0,18,0.0,18,22,2,20,6,18,26,0,Matches
Samu Castillejo,es ESP,"FW,MF",Valencia,27,1995,15.1,21,12,8,9,4,8,40,20.0,32,21,2,19,9,30,2,0,Matches
Catena,es ESP,DF,Rayo Vallecano,27,1994,34.5,29,14,23,4,2,13,27,48.1,14,32,25,7,28,57,159,1,Matches
Edinson Cavani,uy URU,FW,Valencia,35,1987,16.1,7,4,3,3,1,3,15,20.0,12,10,3,7,2,9,11,0,Matches
Dani Ceballos,es ESP,MF,Real Madrid,25,1996,17.4,43,29,13,15,15,25,64,39.1,39,23,2,21,25,68,6,1,Matches
Álex Centelles,es ESP,DF,Almería,24,1997,12.5,22,14,16,3,3,16,22,72.7,6,13,2,11,11,33,40,0,Matches
Franco Cervi,ar ARG,"MF,DF",Celta Vigo,28,1994,21.0,76,46,29,36,11,33,66,50.0,33,33,1,32,36,112,16,0,Matches
Pep Chavarría,es ESP,"FW,MF",Rayo Vallecano,24,1998,4.1,6,4,2,1,3,1,5,20.0,4,8,0,8,2,8,8,0,Matches
Pape Cheikh Diop,sn SEN,MF,Elche,24,1997,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Andreas Christensen,dk DEN,DF,Barcelona,26,1996,19.6,20,15,9,11,0,10,16,62.5,6,14,12,2,21,41,47,0,Matches
Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,23,1999,26.0,14,7,7,2,5,7,23,30.4,16,13,0,13,12,26,16,0,Matches
Chumi,es ESP,DF,Almería,23,1999,16.5,29,16,18,9,2,14,23,60.9,9,20,7,13,15,44,53,0,Matches
Víctor Chust,es ESP,DF,Cádiz,22,2000,10.7,9,6,7,2,0,4,7,57.1,3,8,3,5,10,19,53,0,Matches
Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,28,1994,14.2,39,29,11,23,5,15,34,44.1,19,23,10,13,22,61,34,0,Matches
Carlos Clerc,es ESP,"DF,MF",Elche,30,1992,29.3,75,51,55,16,4,31,50,62.0,19,29,7,22,28,103,94,1,Matches
Álex Collado,es ESP,MF,Elche,23,1999,8.0,26,14,13,11,2,8,13,61.5,5,12,1,11,2,28,4,0,Matches
Diego Collado,es ESP,FW,Villarreal,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Eray Cömert,ch SUI,DF,Valencia,24,1998,18.6,35,23,24,10,1,17,33,51.5,16,23,8,15,29,64,76,1,Matches
Santi Comesaña,es ESP,MF,Rayo Vallecano,25,1996,27.2,71,44,24,41,6,38,82,46.3,44,39,3,36,32,103,17,0,Matches
Copete,es ESP,DF,Mallorca,22,1999,24.5,53,28,35,16,2,26,36,72.2,10,38,17,21,44,97,111,2,Matches
Francis Coquelin,fr FRA,MF,Villarreal,31,1991,8.3,18,13,7,9,2,7,7,100.0,0,8,2,6,9,27,7,0,Matches
Jesús Corona,mx MEX,FW,Sevilla,29,1993,1.2,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,1,0,Matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,27,1995,16.2,12,6,6,3,3,5,16,31.3,11,17,0,17,10,22,6,1,Matches
Thierry Correia,pt POR,DF,Valencia,23,1999,22.3,71,52,46,22,3,31,54,57.4,23,25,2,23,24,95,54,2,Matches

Jaume Costa,es ESP,DF,Mallorca,34,1988,28.9,50,34,26,17,7,29,51,56.9,22,13,5,8,22,72,44,1,Matches
Samu Costa,pt POR,MF,Almería,21,2000,22.1,61,31,35,20,6,29,61,47.5,32,29,7,22,37,98,64,4,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,30,1992,31.0,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,7,1,Matches
Yan Couto,br BRA,"DF,MF",Girona,20,2002,12.9,25,18,11,11,3,12,20,60.0,8,7,2,5,5,30,10,0,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,30,1992,22.9,24,14,17,4,3,13,23,56.5,10,21,8,13,13,37,58,0,Matches
Juan Cruz,es ESP,FW,Betis,22,2000,2.0,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,Matches
Jorge Cuenca,es ESP,DF,Villarreal,22,1999,5.6,9,7,7,2,0,4,7,57.1,3,10,8,2,6,15,44,0,Matches
