Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Facundo Cáseres,ar ARG,MF,Farense,22,2001,12.4,49,25,27,20,2,21,33,63.6,12,35,14,21,11,60,17,0,Matches
Midana Cassama,gw GNB,"FW,MF",Portimonense,20,2002,3.2,4,3,1,2,1,2,3,66.7,1,2,1,1,2,6,2,0,Matches
Cassiano,br BRA,FW,Estoril,34,1989,17.9,31,20,10,13,8,13,30,43.3,17,16,2,14,0,31,11,0,Matches
Jesús Castillo,pe PER,MF,Gil Vicente FC,22,2001,2.7,6,5,1,4,1,4,9,44.4,5,4,1,3,4,10,8,0,Matches
André Castro,pt POR,MF,Braga,35,1988,0.5,1,0,0,1,0,1,4,25.0,3,4,1,3,1,2,1,0,Matches
André Castro,pt POR,MF,Moreirense,35,1988,6.0,15,10,6,7,2,10,17,58.8,7,6,0,6,6,21,15,0,Matches
Cristian Castro,co COL,DF,Rio Ave,22,2001,0.8,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,8,0,Matches
Geny Catamo,mz MOZ,"MF,DF",Sporting CP,22,2001,18.7,25,17,12,5,8,15,33,45.5,18,19,1,18,12,37,15,0,Matches
Tidjany Chabrol,fr FRA,"FW,MF",Gil Vicente FC,21,2002,12.0,13,8,3,9,1,5,17,29.4,12,14,2,12,3,16,8,1,Matches
Charles,br BRA,GK,Vitória,29,1994,7.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,0,Matches
Chiquinho,pt POR,"FW,MF",Famalicão,23,2000,19.3,31,18,13,15,3,12,31,38.7,19,43,4,39,13,44,10,0,Matches
Chiquinho,pt POR,MF,Benfica,28,1995,2.1,5,4,1,4,0,1,3,33.3,2,1,0,1,2,7,3,0,Matches
Clayton,br BRA,FW,Casa Pia,24,1999,18.8,9,7,1,3,5,1,14,7.1,13,13,2,11,3,12,12,0,Matches

Sebastián Coates,uy URU,DF,Sporting CP,32,1990,25.3,38,19,23,14,1,24,36,66.7,12,28,19,9,24,62,81,1,Matches
Fábio Conceição,pt POR,"MF,FW",Rio Ave,22,2001,28.2,36,24,25,7,4,22,52,42.3,30,35,5,30,17,53,35,0,Matches
Francisco Conceição,pt POR,"FW,MF",Porto,20,2002,21.0,40,31,9,15,16,16,30,53.3,14,14,1,13,2,42,4,1,Matches
Leo Cordeiro,br BRA,MF,Estrela,27,1995,29.0,60,40,23,30,7,32,64,50.0,32,36,8,28,19,79,20,0,Matches
Jeriel Córdova,ve VEN,FW,Boavista,21,2002,1.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,Matches
Félix Correia,pt POR,FW,Gil Vicente FC,22,2001,24.1,31,22,11,11,9,21,29,72.4,8,28,2,26,21,52,16,2,Matches
João Pedro Araújo Correia,cv CPV,"DF,MF",Chaves,26,1996,23.3,19,12,10,7,2,12,41,29.3,29,21,8,13,31,50,44,1,Matches
Alberto costa,pt POR,DF,Vitória,19,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Bruno Xavier Almeida Costa,pt POR,MF,Vizela,26,1997,6.8,3,1,1,1,1,2,9,22.2,7,4,1,3,10,13,5,0,Matches
Diogo Costa,pt POR,GK,Porto,23,1999,32.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,17,2,Matches
Gonçalo Costa,pt POR,"DF,MF",Portimonense,23,2000,19.0,59,38,32,22,5,33,48,68.8,15,27,3,24,27,86,46,1,Matches
Michel Costa,br BRA,MF,Estoril,21,2001,3.3,10,4,5,3,2,6,10,60.0,4,4,0,4,2,12,6,0,Matches
Murilo Costa,br BRA,FW,Gil Vicente FC,28,1994,22.1,21,15,9,12,0,10,20,50.0,10,16,0,16,16,37,13,0,Matches
Rui Costa,pt POR,"FW,MF",Farense,27,1996,7.8,3,2,2,1,0,3,5,60.0,2,7,1,6,0,3,2,0,Matches
Tomás Costa Silva,pt POR,DF,Vizela,23,1999,29.1,74,50,42,24,8,45,79,57.0,34,33,8,25,41,115,102,1,Matches
Costinha,pt POR,"MF,DF",Rio Ave,23,2000,33.9,95,60,41,43,11,55,104,52.9,49,88,12,76,40,135,92,3,Matches
Sandro Cruz,ao ANG,"DF,MF",Chaves,22,2001,18.1,34,23,23,10,1,22,35,62.9,13,23,8,15,20,54,70,2,Matches
Florian Danho Seke,fr FRA,FW,Famalicão,23,2000,2.7,3,3,1,0,2,2,2,100.0,0,5,0,5,0,3,3,0,Matches
Ignacio De Arruabarrena,uy URU,GK,Arouca,26,1997,31.0,3,2,3,0,0,3,6,50.0,3,0,0,0,1,4,23,3,Matches
Fran Delgado,es ESP,DF,Farense,22,2001,5.5,7,2,3,3,1,4,6,66.7,2,9,2,7,2,9,8,0,Matches
Dener,br BRA,MF,Portimonense,31,1992,19.6,51,31,26,21,4,22,47,46.8,25,16,4,12,26,77,43,0,Matches
Depú,ao ANG,FW,Gil Vicente FC,23,2000,8.6,5,4,2,1,2,2,5,40.0,3,3,0,3,2,7,4,0,Matches
Ángel Di María,ar ARG,FW,Benfica,35,1988,24.6,20,12,9,8,3,7,32,21.9,25,26,0,26,8,28,3,1,Matches
Tiago Dias,pt POR,"MF,FW",Casa Pia,25,1998,8.8,8,7,4,3,1,4,14,28.6,10,15,1,14,5,13,4,0,Matches
Vinicius Dias,br BRA,GK,Gil Vicente FC,26,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches

Dida,br BRA,GK,Estrela,25,1998,4.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,5,0,Matches
Ousmane Diomande,ci CIV,DF,Sporting CP,19,2003,23.5,41,24,23,14,4,17,22,77.3,5,11,7,4,13,54,43,1,Matches
Álvaro djaló,es ESP,"FW,MF",Braga,23,1999,19.9,27,19,7,14,6,15,45,33.3,30,17,1,16,23,50,15,0,Matches
Mihai Dobre,ro ROU,FW,Famalicão,24,1998,3.9,5,3,4,0,1,3,12,25.0,9,4,0,4,3,8,5,0,Matches
Maxime Dominguez,ch SUI,"MF,FW",Gil Vicente FC,27,1996,25.9,46,26,16,25,5,28,68,41.2,40,51,4,47,28,74,6,2,Matches
Bruno Duarte,br BRA,FW,Farense,27,1996,25.1,15,9,1,11,3,8,27,29.6,19,24,5,19,7,22,27,0,Matches
Jorge Eduardo Sánchez,mx MEX,DF,Porto,25,1997,6.3,19,13,12,5,2,15,23,65.2,8,5,0,5,7,26,7,0,Matches
Marcus Edwards,eng ENG,"FW,MF",Sporting CP,24,1998,14.9,10,7,2,6,2,1,8,12.5,7,8,0,8,6,16,2,0,Matches
Úmaro Embaló,pt POR,"MF,FW",Rio Ave,22,2001,8.8,10,4,3,6,1,0,7,0.0,7,9,0,9,3,13,9,0,Matches
João Escoval,pt POR,DF,Vizela,26,1997,15.2,25,10,20,4,1,10,17,58.8,7,14,9,5,14,39,55,1,Matches
Ricardo Esgaio,pt POR,"MF,DF",Sporting CP,30,1993,16.6,44,22,19,18,7,22,42,52.4,20,14,2,12,7,51,35,0,Matches
Tiago Esgaio,pt POR,DF,Arouca,27,1995,25.3,61,37,37,20,4,42,68,61.8,26,36,9,27,34,95,72,0,Matches
Samuel Essende,cd COD,FW,Vizela,25,1998,29.6,9,7,1,5,3,4,9,44.4,5,21,8,13,3,12,17,0,Matches
Dario Essugo,pt POR,MF,Chaves,18,2005,12.9,29,19,15,11,3,16,25,64.0,9,21,3,18,21,50,32,0,Matches
Dario Essugo,pt POR,MF,Sporting CP,18,2005,0.4,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Paulo Estrela Moreira,pt POR,"MF,FW",Portimonense,24,1999,5.9,14,7,6,7,1,4,15,26.7,11,11,1,10,7,21,10,0,Matches
Stephen Eustáquio,ca CAN,MF,Porto,26,1996,17.0,41,27,16,19,6,19,35,54.3,16,28,5,23,18,59,25,0,Matches
Evanilson,br BRA,FW,Porto,23,1999,22.8,19,11,2,9,8,7,13,53.8,6,15,1,14,3,22,8,0,Matches
Fabiano,br BRA,DF,Moreirense,23,2000,23.7,45,30,27,11,7,25,35,71.4,10,13,2,11,29,74,60,1,Matches
Claudio Falcão,br BRA,MF,Farense,29,1994,28.9,78,45,33,44,1,29,82,35.4,53,48,17,31,40,118,128,1,Matches
Jean Felipe,br BRA,"MF,DF",Estrela,29,1994,12.8,24,18,9,13,2,18,30,60.0,12,11,1,10,10,34,21,0,Matches
