Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Mamadou Camara,ml MLI,FW,Troyes,20,2001,0.4,0,0,0,1,0,0,0,0,1,0,0,0,1,2,3,40.0,Matches
Eduardo Camavinga,fr FRA,MF,Rennes,18,2002,1.6,0,0,0,2,6,0,0,1,1,0,0,0,8,2,0,100.0,Matches
Fali Candé,gw GNB,DF,Metz,23,1998,10.8,2,0,0,11,11,0,45,6,18,0,0,0,60,18,12,60.0,Matches
Pierrick Capelle,fr FRA,"MF,DF",Angers,34,1987,13.3,1,0,0,22,5,0,17,16,24,1,1,0,98,19,31,38.0,Matches
Maxence Caqueret,fr FRA,MF,Lyon,21,2000,25.9,5,0,0,43,28,0,20,43,40,0,0,0,204,12,13,48.0,Matches
Irvin Cardona,fr FRA,"FW,MF",Brest,23,1997,14.8,2,0,0,16,14,10,21,5,7,0,0,0,55,13,19,40.6,Matches
Igor Carioca,br BRA,DF,Lorient,24,1996,17.5,3,0,0,25,23,1,68,25,16,0,0,0,88,10,10,50.0,Matches
Moreto Cassamã,gw GNB,MF,Reims,23,1998,8.9,1,0,0,11,22,0,19,9,6,0,0,0,61,3,6,33.3,Matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,26,1995,27.9,8,0,0,42,11,1,8,30,24,0,0,0,150,56,31,64.4,Matches
Zeki Çelik,tr TUR,DF,Lille,24,1997,30.0,10,0,0,39,16,3,66,43,37,1,1,0,160,40,22,64.5,Matches
Fabien Centonze,fr FRA,DF,Metz,25,1996,17.6,3,0,0,16,30,0,48,32,21,0,0,0,101,10,17,37.0,Matches
El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,16,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Nassim Chadli,fr FRA,"MF,DF",Troyes,20,2001,1.1,1,0,0,3,3,0,5,0,3,0,0,0,5,1,1,50.0,Matches
Mehdi Chahiri,ma MAR,DF,Strasbourg,25,1996,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0,Matches
Dylan Chambost,fr FRA,"MF,FW",Troyes,23,1997,8.4,0,0,0,7,5,1,21,8,11,0,0,0,47,13,13,50.0,Matches

Brendan Chardonnet,fr FRA,DF,Brest,26,1994,29.8,6,1,0,26,24,0,3,55,25,0,0,0,144,70,44,61.4,Matches
Xavier Chavalerin,fr FRA,MF,Troyes,30,1991,30.2,4,0,0,31,12,6,79,39,26,0,0,0,95,12,23,34.3,Matches
Xavier Chavalerin,fr FRA,MF,Reims,30,1991,2.4,0,0,0,3,0,0,4,5,4,0,0,0,16,2,4,33.3,Matches
Rayan Cherki,fr FRA,"FW,MF",Lyon,17,2003,4.9,1,0,0,4,8,3,27,1,2,0,0,0,18,1,4,20.0,Matches
Pedro Chirivella,es ESP,MF,Nantes,24,1997,29.3,6,0,0,22,25,0,8,37,31,0,0,0,168,9,12,42.9,Matches
Joris Chotard,fr FRA,MF,Montpellier,19,2001,32.6,5,0,0,29,11,0,20,42,30,0,0,0,206,20,29,40.8,Matches
Alexis Claude-Maurice,fr FRA,MF,Nice,23,1998,2.3,1,0,0,4,5,0,9,3,0,0,0,0,11,1,3,25.0,Matches
Jonathan Clauss,fr FRA,DF,Lens,28,1992,33.8,3,0,0,38,14,4,348,73,34,0,0,0,203,16,10,61.5,Matches
Marcus Coco,fr FRA,"MF,FW",Nantes,25,1996,10.3,3,1,1,21,31,4,24,10,14,0,0,0,67,31,32,49.2,Matches
Abdu Conté,pt POR,DF,Troyes,23,1998,15.0,2,0,0,14,14,2,41,4,12,0,0,0,68,9,11,45.0,Matches
Sébastien Corchia,fr FRA,DF,Nantes,30,1990,14.7,0,1,0,22,25,0,79,13,20,0,0,0,49,18,8,69.2,Matches
Maxwel Cornet,ci CIV,DF,Lyon,24,1996,0.7,2,1,1,2,1,0,3,1,1,0,0,0,4,0,1,0.0,Matches
David Costa,pt POR,"MF,FW",Lens,20,2001,16.3,2,0,0,9,14,0,35,13,12,0,0,0,69,1,11,8.3,Matches
Benoît Costil,fr FRA,GK,Bordeaux,34,1987,25.0,1,0,0,0,3,0,0,0,0,0,0,0,49,6,0,100.0,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,29,1991,9.4,1,0,0,11,8,7,3,0,1,0,0,0,14,77,41,65.3,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,22,1999,30.8,2,1,0,24,19,1,24,38,47,0,1,0,137,40,35,53.3,Matches
Enzo Crivelli,fr FRA,"FW,MF",Saint-Étienne,26,1995,1.1,0,0,0,1,0,1,0,0,0,0,0,0,2,4,5,44.4,Matches
Wylan Cyprien,fr FRA,MF,Nantes,26,1995,16.6,3,0,0,19,16,1,70,10,17,0,0,0,105,5,13,27.8,Matches
Lucas Da Cunha,fr FRA,MF,Nice,20,2001,4.4,0,0,0,3,5,0,23,1,7,0,0,0,25,6,6,50.0,Matches
