Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Romain Gall,us USA,"FW,MF",FK Mladost Novi Sad,27,1995,3.5,1,,,,,,,,,0,0,Matches

Nenad Gavrić,rs SRB,FW,Novi Pazar,30,1991,10.9,1,,,,,,,,,0,0,Matches
Petar Gigić,rs SRB,FW,Javor Ivanjica,25,1997,29.6,8,,,,,,,,,2,2,Matches
Marko Gobeljić,rs SRB,"DF,MF",Red Star,29,1992,11.3,2,,,,,,,,,0,0,Matches
Luka Gojković,rs SRB,MF,Javor Ivanjica,22,1999,30.1,6,,,,,,,,,3,3,Matches
Ricardo Jorge Pires Gomes,cv CPV,FW,Partizan,30,1991,32.5,19,,,,,,,,,3,4,Matches
Đorđe Gordić,rs SRB,FW,Mladost Lučani,17,2004,12.3,3,,,,,,,,,0,0,Matches
Srđan Grabež,rs SRB,DF,Javor Ivanjica,31,1991,12.4,0,,,,,,,,,0,0,Matches
Emmanuel Hackman,tg TOG,DF,FK Mladost Novi Sad,27,1995,13.6,0,,,,,,,,,0,0,Matches
Stefan Hajdin,hr CRO,DF,Voždovac,28,1994,18.7,2,,,,,,,,,0,0,Matches
Dušan Hodžić,ba BIH,DF,Radnik Surdulica,28,1993,12.2,0,,,,,,,,,0,0,Matches
Filip Holender,hu HUN,FW,Partizan,28,1994,0.1,0,,,,,,,,,0,0,Matches
Srđan Hrstić,rs SRB,FW,Spartak Subotic,19,2003,20.0,6,,,,,,,,,1,1,Matches
Nikola Ignjatović,rs SRB,DF,Radnik Surdulica,24,1998,4.6,0,,,,,,,,,0,0,Matches
Luka Ilić,rs SRB,MF,TSC Bačka Top,23,1999,21.3,6,,,,,,,,,2,2,Matches
Mihajlo Ilić,rs SRB,DF,Partizan,19,2003,5.3,0,,,,,,,,,0,0,Matches
Milan Ilic,rs SRB,DF,Javor Ivanjica,22,2000,13.1,0,,,,,,,,,0,0,Matches
Milijan Ilić,rs SRB,MF,FK Mladost Novi Sad,29,1993,24.6,0,,,,,,,,,0,0,Matches
Vanja Ilić,rs SRB,MF,FK Kolubara,23,1999,17.6,2,,,,,,,,,0,0,Matches
Veljko Ilić,rs SRB,MF,FK Kolubara,16,2005,0.9,0,,,,,,,,,0,0,Matches
Veljko Ilic,rs SRB,GK,TSC Bačka Top,19,2003,35.0,0,,,,,,,,,0,0,Matches
Sead Islamović,rs SRB,MF,Novi Pazar,22,1999,11.8,1,,,,,,,,,1,1,Matches
Mirko Ivanić,me MNE,MF,Red Star,28,1993,22.4,8,,,,,,,,,0,0,Matches
Filip Ivanović,rs SRB,DF,Radnički Kragujevac,30,1992,28.6,0,,,,,,,,,0,0,Matches
Đorđe Ivanović,rs SRB,FW,Čukarički,26,1995,26.8,9,,,,,,,,,0,0,Matches
Pavle Ivelja,rs SRB,FW,Javor Ivanjica,24,1998,2.2,0,,,,,,,,,0,0,Matches

Marko Ivezić,rs SRB,MF,Voždovac,20,2001,25.5,0,,,,,,,,,0,0,Matches
Kosta Janjić,rs SRB,DF,Javor Ivanjica,22,2000,3.0,0,,,,,,,,,0,0,Matches
Vasilije Janjić,rs SRB,MF,Radnik Surdulica,27,1995,2.2,0,,,,,,,,,0,0,Matches
Aleksa Janković,rs SRB,FW,Čukarički,22,2000,1.7,1,,,,,,,,,0,0,Matches
Marko Janković,rs SRB,MF,Radnički Kragujevac,21,2000,0.0,0,,,,,,,,,0,0,Matches
Nikola Janković,rs SRB,DF,FK Kolubara,29,1993,14.1,0,,,,,,,,,0,0,Matches
Nikola Janković,rs SRB,DF,FK Mladost Novi Sad,29,1993,13.6,1,,,,,,,,,0,0,Matches
Igor Jeličić,rs SRB,DF,Vojvodina,22,2000,24.5,0,,,,,,,,,0,0,Matches
Aleksandar Ješić,rs SRB,MF,Mladost Lučani,27,1994,18.2,0,,,,,,,,,0,0,Matches
Janko Jevremović,rs SRB,MF,Partizan,18,2004,1.3,0,,,,,,,,,0,0,Matches
Milan Jezdimirović,rs SRB,DF,Radnik Surdulica,25,1996,2.2,0,,,,,,,,,0,0,Matches
